start	end	text
680	3360	The short flashes and not streaks,
3580	8700	they're associated with things that are extremely flat and extremely reflective.
9040	9320	Wow.
9540	10160	Like mirrors.
10480	11180	Like mirrors.
14300	19020	This is from the Palomar Observatory before we had satellites in space.
20280	22780	How many of these transients did you find?
22940	28080	Our original sample is around 105,000 transients from just the northern hemisphere.
30000	33180	Beatrice Villareal holds a PhD in astrophysics.
33380	36920	She's won the L'Oreal UNESCO Prize for Women in Science.
37220	40500	She's currently an associate professor at Stockholm University,
40740	44880	where her research runs the gambit from active galactic nuclei
44880	48800	to transient phenomena in the search for intelligent life.
49200	53300	If I look at everything that I learned in the last years, I will be fair.
53420	55460	I don't think we are alone. I think we have company.
57320	63400	In other words, Dr. Villarreal is someone who really knows her s**t when it comes to
63400	64880	the night skies and cosmos.
65320	68500	My name is Beatriz Villarreal and I'm a very curious person.
68980	74880	And it's precisely these illustrious mainstream astronomical accomplishments which make her
74880	81120	latest paradigm-shattering results all the more shocking and threatening to the establishment.
81500	82940	Dr. let me first say that your reputation...
82940	85700	Actually, first, could you ask the gentleman with the firearms to wait outside?
86840	96440	Dr. Villarreal has found over 100,000 light-reflecting unidentified objects on the plates of the Palomar Observatory,
96560	100880	the most prominent observatory in use in the 1950s.
100940	108460	The only thing is, she detected these objects before the first satellite, Sputnik, ever orbited Earth.
108680	109880	You heard me right.
109880	118720	A conventionally renowned astronomer has detected over 100,000 UFOs before humans ever put anything
118720	119540	in space.
119880	123800	And the debunkers are flailing in their attempts to take her down.
124000	127020	Do you feel like the world is ready to accept this?
130760	134540	In this exclusive long-form interview, we address it all.
134540	142040	We stress test her results and even speak to a PhD from Vanderbilt, Dr. Steven Bruel,
142200	148020	who's followed up on Beatrice's study and correlates these UFO appearances with nuclear
148020	148520	tests.
149900	156960	The transients correlate not only with nuclear testing, but also show a small but statistically
156960	161520	significant correlation with UAP reports from the general public.
161520	162440	Whoa.
164840	170320	If you've seen our show or read the work of the great Robert Hastings, you'll know
170320	174980	that the nuclear UFO connection is widespread, ongoing, and global.
175240	180180	We've even interviewed a top presidential advisor at the end of his life who admitted
180180	185800	to holding UFO material that came from a nuclear detonation in the Marshall Islands in late
185800	186540	1963.
187060	188340	You know, he said Hamlet.
188480	189200	That's amazing.
189200	191400	But this is unprecedented.
191860	196480	We've never correlated those anecdotal sightings with the astronomical record.
196740	203340	What's even more is that all of this work has received peer review in mainstream astronomical
204020	204140	journals.
204440	210940	In other words, she has finally caught the white whale in UFO science, academic validation.
211380	213700	And then they can get their own ontological shock.
213940	215460	Why should only I have it?
216980	231900	So strap yourselves in, leave the Earth's atmosphere behind, and prepare to never see the night sky the same way again as we welcome this week's returning Swedish alchemist, the amazing Dr. Beatrice Villareal.
233460	238800	Beatrice Villareal, thank you so much for being here, a return guest on American Alchemy.
238800	245080	me. I couldn't be more excited to have you because you had discovered some amazing things the last
245080	253080	time we spoke. But this time, you have discovered things that I think are so ontologically shocking
253080	262100	and are hard to kind of compute for the average person because they wholesale change our worldview
262100	268040	and our understanding of the earth, its place in the cosmos, objects surrounding the earth,
268800	270420	And so I'm just so grateful for you.
270560	271900	Thank you for being here.
271940	273860	Thank you for spending time with us in Stockholm.
274160	274940	It's a pleasure.
274980	276580	And it's a pleasure to have you here in Stockholm.
277060	284580	Walk me through the day that you saw that there were maybe, you know, all these transients,
284620	288780	these objects that we're basically calling UFOs surrounding the earth.
288920	290140	What happened that day?
291900	294260	Well, I've been working with transients for a while.
294340	298360	I think a lot of people know about this transient work where we have been looking for like
298800	303960	multiple transients and images. Sometimes you can see multiple of them appearing and vanishing
303960	311520	within half an hour. What is a transient? So imagine a light flash or something that changes
311520	316800	in the sky. You have all these stars in the skies, you have galaxies, but some things change
317700	323820	their luminosity and sometimes they change it on a short time. And in our case, we saw things that
323820	326820	that appeared and vanished within half an hour.
326980	329560	And we had two such examples that are statistically significant.
330300	336760	One is five objects on a narrow band, and it's from the 27th of July, 1952.
337780	340340	And then my colleague Enrique Solano in Spain,
340480	344080	he discovered another such really beautiful example
344080	346000	with three super bright, beautiful stars.
346080	347940	It's the most beautiful example of all we have.
348340	351780	This one is from the 19th of July, 1952.
351780	362720	And then my colleague, Dave Altman, who is the media manager for Vasco, he said, do you know what happened on 19th of July, 1952?
362840	364040	No, I wasn't around.
364640	368020	So he introduced me to the Washington flap.
368780	375500	In Washington, ghost-like objects dart across the radar screen at the CAA Traffic Control Center at National Airport for several hours.
375680	376820	This was a national event.
377020	378540	It was all over the press.
378540	382840	It was in newspapers saying saucers on the White House lawn.
383100	388220	It prompted a call between Truman and Edward J. Ruppelt, who was the head of Blue Book at the time.
388620	395920	And you had this Washington invasion or D.C. flyover where there were saucers all over D.C. at the time.
396000	399300	And it was July of 1952, but it was specifically two weekends.
399420	402900	It was the 19th and 20th, and it was the 26th and 27th.
402920	405300	So I find that absolutely remarkable.
405300	405620	Remarkable.
405800	410040	So there I started understanding like there is something more to these transients.
410420	417260	And at the same time, I've been having all this discussion for several years with people who think, no, it's just plate defects.
417400	419740	You're trying to see systematics in plate defects.
420340	423700	Real quick, just for the audience, what is a plate?
423940	430620	And why are other astronomers saying that you're only seeing plate defects when you're looking for these flashes of light?
431700	437120	In the old times, in the 50s, in order to make a picture of the sky with a telescope,
437220	439520	you used big glass plates, big.
439580	440460	They were big and heavy.
440560	442700	They had an emulsion on top of it.
443020	449560	And then they tried to observe the sky and they made a survey observing the sky,
449660	452420	like the Palomar Observatory, for example, and Harvard.
453540	456500	They took images of the skies with these plates.
456500	463020	and these images they have been digitized so even if they are somewhere in an archive
463020	472060	then you today can access the digital images and it was assumed or known i don't anymore know
472060	477540	if i should use known or assumed that many of these dots that could be there could be some
477540	483800	kind of emulsion defects and people thought okay so in order to select a star or something like
483800	489280	People normally took two images and only selected those that appeared on two images.
489860	496140	But if you do that, you're missing a lot of short-lived phenomena that might only be seen for a few minutes.
496520	498020	Because then you miss all that.
498240	500920	It's not going to be in your samples.
501160	503260	And astronomy is all about sample selection.
503680	510100	The way how you define your sample, you need to think through the criteria very carefully when you start doing this research.
510100	515220	yes so when we have been talking about this multiple transients that people say oh you're
515220	520340	probably just running into plate defects that just happen to coincidentally look like stars
520340	526540	and when you say emulsion what does it mean and this chemistry you put on these plates
526540	533060	so the chemistry you put on the plates when the light shows through it you get almost like a
533060	538740	stain or like a record an exactly a bubble of what was in the sky yeah exactly and they say
540100	543860	If you have bad luck, you get a plate defect, like a pothole or something like that.
543880	547140	But if you have something real, then you will get a star.
547480	547880	Yes.
548020	552040	And so you have these plates, and they come from the Palomar Observatory?
552040	552920	Those that I work with.
553060	555700	And was this a well-respected observatory at the time?
555740	556820	Yes, it's one of the greatest ones.
557080	558660	And Fritz Zwicky was there.
559180	561800	And there were many very famous astronomers that were there.
562280	562840	So, yeah.
562920	569300	So we are working with this stuff that people have been using for doing really great astronomy.
570100	575200	back and looking at these digitized images and of course i'm having my discussion with people
575200	579640	thinking it's just plate defects and then there's a simple way of testing it actually how do you
579640	583600	that's much stronger well one of the tests we did were these alignments where we still found
583600	590520	things but there's an even cooler way how we can test that you can actually see if you have
591020	598580	the same number of transients when you look outside the earth's shadow or when you look
600100	606080	all the time the earth casts a shadow it's like a cone and the further you are from the earth
606080	615220	the narrower is this um shadow so my hypothesis was that there were um that and these transients
615220	621780	came from solar reflections at 42 164 kilometers from the earth or somewhere there around
623740	630120	and one of the ways how you can check it is to see are there more transients inside where you
630120	637320	know the earth shadow is at a certain time or is it like fewer transients and of course for every
637320	642720	transient we have the coordinate and we also have the time of the observation so you can calculate
642720	650220	is it inside earth shadow or not and if it would be plate defects you would have no deficit yeah
651880	657520	percent solar reflections you will have zero transients there yes and if you have that a part
657520	662880	of them are real and a part of them are plate defects that you will have a deficit and you can
662880	669180	basically estimate how big fraction of your objects that seem to be authentic of course
669900	676440	what do we do we test this yes because we have this code from a guy called guy near so he it's
676440	680900	a public code and then we have the transient sample from my colleague at the spanish virtual
681820	683780	so it's quite easy to test
683780	685800	you just insert the coordinates
685800	687060	from the sample
687060	689620	into the code and you count
689620	691260	things and guess what
691260	692640	you get a huge deficit
692640	695560	and that's when you
