start	end	text
0	9880	I mean, I didn't have some sexual desire for my mother, but when I looked at her, very beautiful blonde, you know, red lipstick, very beautiful woman, I was like, mommy, that looks really good. I like that.
10040	15840	It goes without saying that my next guest has been wrong about a million topics and he's hurt a lot of people in the process.
16220	18380	A lot of scientists think anthrax might have come from Mars.
18600	18700	What?
18900	29680	For over two decades, Alex Jones has run a platform called InfoWars, which still regularly reaches millions of Americans daily despite being unavailable on most platforms, including Roku.
30000	31440	How the hell do you get banned from Roku?
31640	35920	But I spent hours with the guy between my home in LA and the InfoWars headquarters in
35920	37900	Austin and we really ended up hitting it off.
38080	39800	He's like that kid you meet in elementary school.
40000	44180	No filter, gets bullied for saying all the wrong things, he can accidentally hurt some
44180	48820	people in the process, but he's actually more in touch with reality than the cool kids on
48820	51680	certain topics because he's been so marginalized.
53260	53740	Alex!
54200	54680	Alex!
55260	55740	Alex!
56820	57300	Alex!
57940	57940	
57940	58320	Alex!
58760	58780	Alex!
60300	62160	USA! USA! USA!
62560	64680	I was first introduced to Alex Jones
64680	66140	by one of my favorite movies,
66320	67840	Richard Linklater's Waking Life.
68060	70540	In the movie, Jones delivers an epic tirade
70540	72180	on human liberty and flourishing.
72340	75200	To me, this is what Alex was originally all about
75200	77220	before going a little off the deep end.
77380	80200	Populist anti-elitism and taking back control
80200	82000	from an oppressive corporatocracy
82000	84680	trying to distract us with consumerism
84680	85860	and endless foreign wars.
86120	88160	It's ironic to me that he's now considered
90020	95760	conspiracy theorist. In fact, in the early 2000s, he was very anti-George W. Bush, anti-the war in
95760	104760	Iraq, and against neoconservatism. In this very raw interview, we discuss his long relationship
104760	111000	with Joe Rogan, the mainstream media and its woes, weird science, parapsychology, UFOs,
111020	116240	esoteric philosophy, and his role as a societal scapegoat. We even show a clip of Jones making
116240	121120	making a bone-chillingly accurate prediction in July of 2001 that you'll have to watch
121120	122540	to the end of the video to see.
122760	127740	My amazing friend Riva Tez joined us in LA and to keep things light we all decided to
127740	131120	drink tequila, play fun trivia games, and do a little arts and crafts.
131460	135260	The result is a very unguarded Alex Jones that you're not used to seeing.
135440	139280	And if you want more of that Alex, please watch this incredible documentary on him coming
139280	142480	out on July 1st by the great director Alex Lee Moyer.
142600	144620	I'm linking the movie's website in the description.
146240	150440	Sit back, relax, and hit subscribe and join me in welcoming the internet's bogeyman,
150720	154680	the conspiracy king himself, and this week's scapegoat, Alex Jones.
156080	158080	The most hated man in America.
158360	160020	No, you're putting words in my mouth.
160100	161860	A criminal like Stalin or Trump?
161960	163300	Tie me off, snip me.
163800	165100	You are fake news.
165240	166600	I don't see it as left or right.
166700	167400	It's bullshit.
167720	172840	You know, it gathers speed and ultimately one victim must be killed.
173180	175400	I got attacked by all my followers.
178860	179320	Shit, man.
185660	187320	Alex, I'm just a colleague.
187460	188360	This is like a cool place.
188360	189260	It's like hobbits live here.
190200	191080	Hi, I'm Colleen.
191700	192420	Nice to meet you.
192420	193500	Nice to meet you, brother.
193740	194260	Good to see you.
194320	194780	How are you doing?
194840	195160	Good, man.
195200	195340	Good.
195600	198820	I think it's important to situate you for a lot of people because I think a lot of people
198820	201360	have a really broad misconception of you.
201440	202520	It's really kind of magic out here.
202560	203140	I love all this.
203300	205660	This looks like where, like I said, Bilbo Baggins would come walking out here.
207120	208620	Gandalf's about to pop out over here.
208840	210940	They don't think that you're broadly anti-elitist.
211100	216560	You just see that there's this strata of humanity that seems to be able to control the rest
216560	217960	of the population.
218340	220100	Absolutely, I don't see it as left or right.
220240	225760	I am just addressing the historical problem of entrenched elites that become decadent
225760	231240	and corrupt, then start preying on the general population and inevitably launch wars of conquest.
231560	232660	I'm really worried about the Russian thing.
232720	234020	That could really turn into a big giant war.
234300	234920	I think so too.
239640	242240	Jones doesn't just discuss the corrupt elite.
242400	248140	He snuck into the notorious Northern California secret society, the Bohemian Grove, in 2000.
248540	253700	Members of the society include a lot of America's business elite and top policy decision makers.
253980	258460	Inside the Grove, Jones witnessed a bizarre pagan scapegoating midsummer ritual
258460	261440	that to this day I have no idea how to make sense of.
261440	266920	When you snuck into the Bohemian Grove, you looked at this crazy ritual called the cremation of care.
267180	271720	The whole place and the whole vibe was not Christian or not pious.
276160	283100	It got dark. The guys go out there by the little pond, the little lake, and they do this composite pagan ritual.
283340	287340	And I'm standing there with about a thousand men watching it across the pond.
287400	290820	And the men had really crazy looks on their faces.
297280	301500	I didn't really believe that they were taking it serious until I was in the crowd with the men,
301660	303400	and they were taking this extremely seriously.
303620	306840	So you think they're going back to the pagan cult ritual, and it's not,
307000	312940	like it's framed, at least online, as a story where they are celebrating the displacement
312940	317060	of the pagan ritual by Christianity, but you would say that they were sort of
317060	319920	happily indulging in this kind of age-old pagan ritual.
319920	326300	Yes, because it was a fusion of Moloch worship, the bull out of the Middle East,
326400	332680	tired places, and then it was a fusion of Faustian occultism and Druidic occultism.
332680	339360	In a good society, and we know this historically, that builds better civilization and it's more
339360	344320	empathetic and loving, adults sacrifice for children, not the other way around. And in
