start	end	text
0	4920	You have this amazing blue being experience that prompts you to get into quantum physics.
5200	9860	Because of what this being had showed me, I started looking into this notion of longitudinal
9860	15580	scalar waves. Now, these were shown to me by this being as slinky, so to speak, that exists all
15580	19960	around us. You can use the potentials that exist all around us right now in the quantum vacuum
19960	23000	to surveil an entire room. How would you do that?
23160	28960	I don't want to say because it starts to overlap into stuff that's sensitive. I know a group that
30000	32700	in the government that has been working on this since the 90s.
32720	34560	And they've had massive success.
34780	37240	There are things that I've seen in private laboratories
37240	41560	that are undeniable and verified by people other than myself in those facilities.
41820	44180	A UAP was hovering near some plants.
44440	46700	And as an individual approached the UAP,
46820	49520	the UAP shot off, as many people have experienced.
49600	53160	However, when the plants that were close to the UAP were analyzed,
53420	57520	they had aged 10 years within X amount of hours.
57520	63000	we're dealing with multiple factions or elements of both government and private industry that have
63000	67720	vast influence on what could or could not be revealed and no one really knows what to do
67720	71840	if you reveal some then people are going to take it and run with it and then that's going to open
71840	78060	up a whole other avenue of research that can be weaponized pretty easily if someone has a
78060	82260	nefarious mindset we have mutual friends that are privately working on some of these things where
82260	84600	where six, seven months worth of work in the lab,
84740	86180	all of a sudden it's a weapon now.
86480	88360	And if someone gets a hold of that weapon,
89640	90600	it's game over.
92700	96000	This interview was one of the most baffling and intriguing
96000	97660	I've ever done on this show.
97920	100700	Today, we will talk to a former construction worker.
100920	102800	He was down and out and just scraping by.
103040	105480	He then developed an interest in UFOs.
105500	109120	Then, he had an interaction with a blue alien being
109120	111880	that, according to him, caused him to do a deep dive
112260	117200	to quantum physics. All of this sounded pretty crazy when I first heard about it. But since
117200	122320	meeting this next guest, I've introduced him to a Navy scientist who's worked at the highest levels
122320	127900	of government. Even he was extremely impressed and intrigued by this former construction worker's
127900	133520	findings. I know all of this sounds insane, but it's true. Our next guest was also spotted by
133520	138880	the legendary Hal Puthoff and Eric Davis, who have also noted his impressive knowledge in areas of
138880	139960	of unorthodox science.
140220	142920	Dr. Davis, thank you so very much for being here today.
143640	144640	Oh, thank you for inviting me.
144680	145380	I'm happy to be here.
