start	end	text
0	5060	I don't believe that this is being kept secret from us simply to protect methods.
5480	9660	I think it's being kept secret from us for deeper reasons.
13520	16660	The intelligence community is treating us like children.
16940	20360	It's time for us to know the truth about this. I think that we can handle it.
32280	38360	We are at Rayburn House Office Building where the oversight committee hearing is going to
38360	38600	happen.
38740	41380	The last one happened July 26th, 2023.
41880	44900	They have let in 15 people from the public.
46320	50000	Some big, big changes in public perception and even public interest.
50160	52360	The topic seems to be a lot more in the zeitgeist.
52360	56480	It seems to be people just have a general interest into the topic and just, I think,
56520	58500	in the paranormal in general.
60780	63300	You are just taking photos on your iPhone.
63460	63940	It's incredible.
64360	65580	So I'm just going to tweet it.
66020	67240	Or whatever we call it now.
68600	72400	Immaculate Constellation report on the US government's secret UAP UFO program from Whistleblower.
73180	78840	You'd say, discussed by Congress in today's hearing, full report here.
79660	80580	Okay, yeah, yeah.
81400	82960	Give it an RT right now.
83140	84620	Yeah? Let's roll?
84780	85100	Yeah.
85100	85580	Okay.
87180	87660	Done.
87920	88460	You done?
89340	91180	I just see that I get that first repeat.
91480	93980	It feels like the main impetus is we all need to read.
94220	97760	Michael just tweeted the Immaculate Constellation report.
98020	98660	That was fast.
99060	101360	You happy? Great. Thank you.
103600	104040	Yeah.
104180	105140	I love Bershett.
105140	105740	He was coming in hot.
105880	107180	He comes in hot every time.
107540	112400	And we punish them by giving them multi-million dollars more than they ask for every year.
113360	114100	Thirteenth time.
114320	115040	Thirteenth time.
115360	115480	Yeah.
116280	116720	Unbelievable.
117160	117300	Yeah.
117420	118260	What are the other times?
118900	123840	I've done energy, the environment, climate change, censorship.
124820	126460	Maybe you'll be in this chair one day.
126780	127420	Oh, God.
127520	127780	Michael.
127860	128120	I hope not.
129700	130720	I'd be bored to tears.
132400	138820	you get into this topic to begin with? That's a great question. I mean, the first piece I did was
138820	145680	on maybe the craziest of all the cases, which is the famous Brazil crass in Varginha. And I did it
145680	151380	in part because I lived in Brazil. I speak Portuguese. I thought the movie was incredibly
151380	158060	interesting. And I ended up doing some original reporting to verify some of the claims that James
158060	163020	Fox was making. I interviewed someone that actually had seen the photographs of the alleged
163020	168440	creature, and I did a two-page spread for New York Post. And then the subject kind of went to
168440	173360	sleep for me, and then I only came back to it after David Grush's testimony, and I just wanted
173360	177820	to poke around and see if I could verify some of the claims. And I've done about, I guess,
177860	182600	four or five stories since then. And we've both gotten to know David Grush for the last couple
182600	189900	couple of years. And he's also a big, for me, source of confidence because you can kind of feel
189900	196960	the earnest, I mean, he has mild autism, you know, attention to detail and focus on truth. And then
196960	202600	you also, he'll say a thing and it just gets corroborated continually in sort of your open
202600	206900	source findings. Have you found that as well? Yeah. I mean, there's certainly, this is, so this
206900	211940	This is an issue that I would never use even just two sources for.
212080	216680	I feel like when you're in something that is so on the fringe,
216800	220620	genuinely on the edge of what we understand,
220700	223560	that you need multiple sources and that you have to really check them out.
223720	226000	And so I've been pretty cautious in my reporting.
226360	230700	I also am careful to be like, this is what people are saying.
230840	233660	This is what people in these positions to know are saying.
234280	239360	I remain agnostic about the essential nature of the phenomena. I don't know what it is.
239520	243300	You know, I think that the other motivation was that this came during a period of time when
243300	248380	we were reporting on other governmental abuses of power. The most famous one was censorship,
248480	253960	but we've now done stories on entrapment by FBI. We've done stories on disinformation operations.
254300	260200	And so I find myself getting certainly fascinated by the phenomena like everybody else. But I think
260200	266360	that my motivation has been like, this is bad that the government is behaving in these ways
266360	271960	and that we need, and that really that's sort of, if you're going to kind of list top functions of
271960	276220	journalism, kind of at the top of it would be governmental abuses of power. How do we make
276220	280360	progress on the nature of the phenomenon itself? Because I thought you did a great job of towing
280360	285080	that line and maintaining kind of epistemic humility around what this thing is. Right.
285260	290020	How do we get closer on that? I mean, it seems like we're getting closer. You know,
290200	295240	There's a read, by the way, the report that Michael just tweeted, because maybe that'll get you a little bit closer.
295340	296980	It goes in a lot of detail.
297180	300620	Yeah, I mean, it seems like there's people are gaining courage.
301420	304880	So, you know, certainly cowardice is courageous, but so too is courage.
305060	307700	And so you start to see the whistleblowers becoming more comfortable.
308200	313300	We've had whistleblowers who are anonymous that are that were now on a different issue when you attach their names to it.
313700	315520	I think you're seeing more people come forward.
315520	323240	As I always stress, I could never encourage whistleblowers to go get information because I can't encourage anybody to break the law.
323720	327380	However, if people have information, I will promise to protect them.
327560	332640	And that's ultimately why someone came to me with the Immaculate Constellation stories.
332760	337140	They just felt like they had seen me getting grilled in front of Congress before about revealing my sources.
337220	340140	And I think they trusted that I wouldn't betray them.
340140	345360	Well, hopefully you get a deluge of interesting stories after this, because I think you're
345360	350140	doing amazing work with public and you did a great job protecting your source in this
350140	350380	case.
350460	351880	You were questioned pretty intensely.
