start	end	text
0	3180	As you guys know, I've been ramping up a lot of activity on the channel recently.
3340	6380	We've had amazing episodes. We just interviewed James Fox,
6860	9460	the best documentarian in UFO history.
9880	13760	Lou Elizondo, OG whistleblower from 2017,
14060	18280	that is basically responsible for a lot of the modern disclosure we've seen.
18420	20540	It's been a really fun couple of months.
20720	22280	But a lot of people ask me, they say,
22380	24640	Jesse, why can't we get full UFO disclosure?
25040	27080	So I wanted to make a video addressing that.
27080	31360	It seems like most of what we have are sort of bits and pieces of material.
31680	35760	It should be noted that if you actually speak to a lot of people in and around the program,
36000	40040	which it feels like Ross Coulthard and a few other select reporters are doing,
40320	45500	we don't seem to have that many wholly intact craft in our possession.
45860	51200	It is my belief that the United States is in possession of exotic material.
51200	56920	So again, whether it's Stanford professor Gary Nolan who actually showed me his UFO crash pieces,
57080	60720	or other civilians who seem to have collected pieces here and there,
60940	67100	it's really important to do things like mass spectrometry and deeper analysis to rule out other options.
67500	70500	You know, maybe these things are meteors, they could be man-made.
70720	75460	It's really important we go deeper on the material analysis to ensure that that's not the case.
75460	81700	I also think these crafts are probably extremely sensitive artifacts of American national security
82320	86600	But until we're shown any sort of intact craft we have to think
87500	89940	Probabilistically and we need some epistemic humility
89940	95500	We can't be making super bold claims around these crafts definitely existing
96140	102060	Having said that I think all of this brings a really important philosophical question up around what is UFO disclosure
102060	105720	I do think material analysis is a good inroad to disclosure.
105980	110300	For example, if we figured out whether any of these materials were arranged deliberately
110300	115360	on an atomic level, that would be basically a smoking gun that they're non-human.
115500	120140	Because humans don't have that level of granularity when it comes to fabricating materials.
120480	124560	So I think materials analysis is actually a decent inroad when it comes to disclosure.
124900	128960	There are other tracks of disclosure, I just don't think they're the smoking gun that people
128960	129900	actually want.
129900	134580	So Avi Loeb is putting up a bunch of sensors to get signatures that might represent UFO
134580	137240	activity above the Harvard Observatory.
137480	144060	So the Galileo project is basically an attempt to collect new data, new evidence, using the
144060	149140	scientific method without prejudice, being agnostic about what we might find in our fishing
149140	149460	net.
149680	152260	We cast the fishing net, it's a fishing expedition.
152600	153820	We don't know what we will find.
153900	154960	It's probably a mixed bag.
154960	160180	It will be a collection of natural objects, a collection of human-made objects.
160300	164980	But even if one object happens to come from an extraterrestrial technological origin,
165200	168180	that will be the most significant discovery of humanity.
168460	169560	I applaud this.
169660	170700	I think it's a great idea.
170940	177300	However, I think if you're an average person, just seeing a bunch of signatures in the abstract
177300	183100	on some sort of Excel sheet database is not going to convince you that we're not alone
184960	190060	human intelligence exists and that UFOs are actually flying around near the Harvard Observatory.
190260	194740	While I think this work is incredibly important, I don't think abstract physics is tangible
194740	195060	enough.
195240	197580	The next approach would be finding video.
197820	199820	Now, I'm not a VFX guy.
200040	204800	I think we live in this world of deep fakes where it's really hard to tell real videos
204800	205660	from fake videos.
205920	211600	And so I think it's incredibly important that we surface as many videos as we can that we
211600	213700	think are high fidelity and credible.
214960	217360	Jeremy Corbell are doing a great job when it comes to this.
217500	222040	What's so interesting about this footage is it has now been confirmed by the Pentagon
222040	224000	that it is actual Navy filmed footage.
224100	226460	So you're seeing a thermal imagery.
226640	230900	But unless you have the expertise to actually verify the credibility of these videos,
231080	234160	understand their entire chain of custody, how they were filmed,
234260	236920	the machinery and equipment that caught these videos,
237140	240980	I'm just not sure that you won't have permanent doubters on any of these videos.
240980	247860	Regarding the jellyfish UAP, in your opinion, it was birds migrating or you're just you were just making an analogy?
248180	253360	It ended up being debunked. It wasn't any it was not a UAP.
