start	end	text
0	4740	Were there actually updates in physics, maybe mid-century, that were not
4740	9860	disclosed to the public? Well, I mean, it quieted down because nobody ever got
9860	13360	anywhere, or it quieted it down because it did get somewhere and it went black.
13820	18340	Ladies and gentlemen, it's finally here, the much-anticipated conversation with
18340	23220	Eric Weinstein and Hal Puthoff. The world's most brilliant physics mind of
23220	27820	our time is the son of the country's most prominent and important
27820	30380	anti-gravity researcher of the 1950s.
30380	31780	I don't know what any of this is.
32900	35940	Hal is an electrical engineer and laser physicist.
36060	40040	Former NSA and CIA, Hal was a senior advisor to AATIP,
40180	42760	the official government UFO investigation program
42760	47360	that ran from 2007 to 2012 out of Bigelow Aerospace.
47720	51240	He also founded and ran the CIA's psychic spy program
51240	54080	called Stargate out of Stanford Research Institute
54080	55180	in the 70s.
55180	63700	Does our government have a protocol to wield stigma as a tool for keeping its programs secret?
63860	67460	Certainly there are parts of the government who consider that to be their job.
67860	70840	Many of you are already familiar with my colleague Eric Weinstein.
71060	75940	He's a mathematician who's dared to construct a unified theory of physics called geometric unity.
76200	81560	He's also a prominent yet rebellious cultural commentator who founded the intellectual dark web.
81560	88800	I still carry the sense of I cannot believe I am sitting here discussing visitations from some intelligent life that we don't understand
90620	96160	This interview is neither for the queasy nor the faint of mind there are more videos summer better
96160	101920	How much better as good as you could probably want for many of your comments? I haven't cut much from this interview
101920	104700	I left it pretty raw long-form and unedited
104700	111740	It's a deep technical dive into the physics of UFOs along with the implications of their prominence in the modern zeitgeist.
111960	119040	That is that we are either being subjected to the most interesting, effective, and weird government psyop of all time,
119220	123620	or our top scientists are missing something fundamental about the nature of reality.
123920	129880	And finally, Hal gets about as candid as he's ever been about the government psychic spy program Stargate,
130000	134160	while Eric, who's a little more skeptical of parapsychology, tries not to throw up.
134700	136860	I ran 70-30 instead of 50-50.
136940	137280	Sorry.
137440	139340	But if you want to do it, feel free to do it.
139420	141480	I've told you how to do it, so you can just go do it.
143200	143560	OK.
145820	147320	You don't have a lot of room to move.
147480	149260	You either have to postulate new physics,
149460	150740	or you have to say this isn't material.
151160	152280	Everything here is bold.
152560	155560	My conclusion is that there is something there.
155840	157240	I don't like losing to Jesse.
157400	159160	It's horrible losing him on UFOs.
159160	160560	I don't want to lose to him a second time.
161480	163440	But something is wildly off.
164700	173380	So with that out of the way, hit subscribe and get ready to unlearn everything you thought you knew about the material world with Eric Weinstein and Hal Puthoff.
177400	179600	Different parts of the brain have different activities.
179960	181340	But you know that, don't you?
184060	185980	I know people that you know a lot.
186060	187700	Maybe you should interview me.
195740	201500	The Intelligence Committee has ordered the Director of National Intelligence and the Secretary of Defense
201500	211880	to deliver a report on the mysterious sightings of Unidentified Aerial Phenomena, UAP, more commonly known as UFOs.
212520	217720	The reason I found the report fascinating was because it reeked of conflict.
217720	225100	I could clearly detect a voice, an authorial voice that wanted to disclose more and one
225100	226560	that said, over my dead body.
227200	232440	And the over my dead body people seemed to be stronger but losing ground.
232840	238780	The first branch of the decision tree is, is it stuff that is unintentionally in the
238780	241480	air versus stuff that is intentionally in the air.
241660	244600	The unintentional stuff was broken into two categories.
244600	247780	That was clutter and atmospheric effects.
248060	254520	The stuff that is intentionally in the air was broken into the next branch, which was us, not us.
254720	259720	Not us was broken into two things, known others and unknown others.
259940	264940	And that other is intentionally in the air, not us, not anyone we know.
265720	266400	Not necessarily aliens.
267220	270240	Could be coming out of the ocean, could be time travel.
270260	272080	I mean, who the hell knows?
272080	276680	but anything in that other category is astonishing.
277180	283600	I think one very important thing that most people in government who study this
283600	288020	seem to sort of have a consensus on that the public might not realize
288020	294080	is the idea that there is a separation between substrate and signature when it comes to UFOs.
294680	298160	And there might be a difference in terms of the way somebody perceives it
298160	301460	and some underlying sort of proto-architecture.
302080	306420	And so if we have been seeing these things for thousands of years, we've been seeing them in different forms.
307180	309680	Different forms and maybe different sources.
311020	319120	These days, since our technology platforms are so high to generate effects, they could mimic.
320260	327200	And our detection platforms are so well advanced so we could see a lot more.
327200	331960	than it really is a zoo of options and possibilities.
332560	336840	And so, for example, for the Tic Tac videos that are so well-known,
337240	340000	Lou Elizondo was behind releasing those videos.
340140	343080	I remember seeing them in the Pentagon before they were released.
344000	346760	But there are more videos. Some are better.
347460	348420	How much better?
348940	352520	Well, as good as you could probably want.
352520	352660	want.
353840	359760	If you showed me pieces of a craft and you guaranteed me somehow that it came from outside
359760	362720	the solar system, my first thought wouldn't be technology.
363120	364320	It would be physics.
364900	370420	Because everything is so far away from us other than our solar system that I would be
370420	371900	wondering, well, how did it get here?
371900	380860	When you look at the Civil War in the United States, it took place in the 1860s.
382100	390080	Within less than 100 years, we were dropping fusion devices from jet aircraft.
390460	394580	Less than 100 years, less than a single lifetime,
394580	401740	time means that we almost had a nuclear civil war and it was a very near miss.
402080	410720	Now what separated the 1860s, which looked like antiquity to many of us, from 1952 when
410720	412820	we have the first fusion weapon explode?
413400	418520	It was changes in our understanding of the physical world.
418520	437280	That means any time you have a profound physical insight post, I don't know, 1940s, you have to ask yourself, what Pandora's box would a new physical insight potentially open?
438480	442500	And I don't know why we're not more worried about this.
442620	445620	I think because we've been failing at physics for 50 years,
446420	448260	we've gotten out of the habit of thinking
448260	450380	physics is really dangerous and you have to track
450380	452320	every single important physicist.
452600	454820	Because any change in our physical understanding
454820	457680	of the universe can unlock holy hell.
458800	460660	Were there actually updates in physics,
460700	464540	maybe mid-century, that were not disclosed to the public?
468240	475320	Another puzzle we would love to have cleared up is an understanding of the role of aerospace
475320	481880	companies as holders of potentially basic scientific knowledge not shared with the academic
481880	482440	world.
482740	484080	Is it possible?
484400	485820	It seems very wrong to me.
486000	487760	Maybe wrong, but it's true.
488200	489160	It is true.
489300	490440	You believe it's true?
490680	491460	Yeah, I know it's true.
491460	494620	you know that there's physics knowledge
494620	498040	held by aerospace companies that is not known?
498140	499480	There certainly is materials knowledge.
499900	501820	Materials, well, okay, material science.
501820	504160	Which involves topological physics or whatever.
504460	507000	Okay, but fundamental physics
507000	510580	as opposed to, you know, condensed matter or...
510580	510740	Right.
510960	514260	Certainly aerospace corporations have knowledge
514260	516000	in the UAP area
516000	519460	that specifically are sequestered
521460	525000	against FOIA because of proprietary labels.
525000	525680	I appreciate that.
525900	530060	Which the whole thing was set up to be that way on purpose.
530380	533960	Right, but the idea that there would be fundamental physics knowledge that would
533960	538200	be housed in an aerospace company and not shared with the physics community.
538740	540160	There is no evidence of that.
540420	543080	No evidence for it, that I know of.
543260	545660	And I wouldn't- That doesn't mean it's not the case, but.
546240	548540	That would be this crazy egregious thing.
548540	559760	It would change our entire concept of who we are if somebody kept fundamental physics secret in the years since we became capable of exploding fusion devices.
560100	566020	I would grab a pitchfork and a tiki torch and I would march on the National Science Foundation.
566400	567520	Right, right.
568000	570940	I still can't believe that that's true.
570940	583480	It would only be if it were the case that in fact we have mastered anti-gravity and they're being built by aerospace corporations, then new physics would have to be involved.
583480	590500	Is what is called the golden age of general relativity tied to these topics?
590540	600400	That is, there was this bizarre surge of activity in general relativity between, you know, I would say the time of Einstein in the 50s or something like that.
600440	605220	There wasn't a ton of development in GR. And then suddenly there was this explosion.
605220	612460	Well, there's the explosion. There's a famous series came out in Miami Herald and other
612460	620300	newspapers in probably the 50s. The author was Talbert, and he did a series where he
620300	628300	found out that a number of aerospace engineering companies were suddenly interested in anti-gravity
628300	635260	and that people like DeWitt on up and down, really top level physicists, were
635260	641020	suddenly getting grants to look at the idea of anti-gravity. For example, the
641020	645720	gravity essay came along. It's from the Gravity Research Foundation in Boston.
645760	651220	Right, and so it looked like it's going to be a big explosion, but anyway then it
651220	657020	all sort of quieted down. They could take two implications of that and that is it
658300	663520	no way ever got anywhere or it quieted it down because they did get somewhere
663520	668680	and it went black. My understanding is that there were really twin loci of
668680	675220	activity one of which surrounds a gravity research foundation in New
675220	682280	Boston, New Hampshire and I guess that was the work of Babson and the story is
682280	687780	sort of not really very plausible that his sister had drowned in a pond or
688300	692300	to that effect, and so he had gravity as his sworn enemy.
693800	696120	You know this story? No, I had not heard it.
697100	704300	So Babson contacted Louis Witten, who was coming out of Johns Hopkins, and then oddly,
704640	711100	a similarly named individual named Bainson, with some sort of tobacco or air conditioning fortune,
711100	718640	reaches out to Bryce DeWitt and asks whether he will found an institute at
718640	722400	the University of North Carolina Chapel Hill for the study of physical
722400	727580	fields. And particularly focusing on gravity. Particularly focused on gravity.
727900	733660	Now somehow DeWitt has the courage to answer this essay contest in the other
733660	737880	silo and destigmatizes it. So there was money to be had but nobody wanted to
737880	742240	touch it because of fear of ridicule from their colleagues. And then there's a
742240	746640	famous gravity conference at the University of North Carolina Chapel Hill
746640	750640	that sort of kicks a lot of this off. It's a tremendous flurry of activity at
750640	756140	a time when anti-gravity was trying to break into respectability. At a minimum
756140	761780	we know that the Glenn Martin Company, where Martin was an early pioneer I
761780	766860	think from the time of the Wright Brothers, that the Glenn Martin Company
767880	772460	Marietta later becomes Lockheed Martin, so that word Martin is coming all the way through,
772760	780680	was employing, I believe, Lewis Witten, Edward Witten's father, to do anti-gravity research
780680	787840	somehow tied up with Wright-Patterson Air Force Base in Ohio and the Johns Hopkins University
787840	789220	in Baltimore, Maryland.
789480	795500	So there's something about aerospace in the 1950s and sort of post-Manhattan Project era
795500	797360	era that's pretty potent.
798400	800500	And we're confused by this.
800660	803220	Why was Solomon Lefschetz, the great topologist,
804420	808580	recruited to be involved with Lewis Witten
808580	813320	and to have an entire nonlinear group working on mathematics
813320	815800	that then gets moved to Brown University
815800	818540	when I believe that these programs are sunsetted,
818620	822140	so they get spun off back into the academic ecosystem?
823120	824920	I don't know what any of this is.
825500	828620	You have top physicists working on crazy stuff,
828740	829380	anti-gravity.
829500	831040	But most physicists don't know this story.
831260	832140	Yeah. Right?
832340	832580	Yeah.
832700	835060	It's like, I knew it because it was weird.
835140	835860	It stood out.
