start	end	text
0	1920	So you're going to create a wormhole on demand?
2340	3660	You should be able to.
3860	5420	That's what my research showed.
7000	10160	So walk me through, how do I get to Alpha Centauri
10160	13020	by engineering a traversable wormhole?
14460	15680	Well, you're going to create...
15680	19100	Eric Davis, you are kind of synonymous with UFO science.
19300	22360	You have an amazing background at Aerospace Corporation,
22960	24680	Earth Tech, you've worked with NASA Lewis.
24980	27860	Eric Weinstein, you are a math PhD from Harvard
27860	32180	who has dared to present a theory of everything in physics.
32500	35940	The alleged Roswell crash was real.
36080	37600	There was a there there, it really happened.
38220	40700	How is it possible that something this large
40700	41940	that involves this many people
41940	44860	has zero incontrovertible pieces of evidence?
45200	47340	Do you dispute the existence of atomic weapons
47340	48920	because you can't access it?
49400	50860	I can't access it.
51120	52320	Oh, you can access it.
52460	54280	I have no idea what we just did.
54480	57080	It is a crash retrieval, nine human intelligence,
57860	58700	human technology.
58840	61360	How many of those crash retrieval program people
61360	61960	have you met?
62100	63480	I think it's five total.
63720	65120	There's no physics in it.
65160	66340	It doesn't make any sense.
66720	67080	Say again?
67260	68820	It defies the laws of physics.
69060	70140	We haven't made progress.
70480	71460	We have no physicists.
72040	75060	How are they doing on this project decades in?
75560	77320	This thing is not a Manhattan Project.
77700	79540	And you know what the Manhattan Project was.
79740	81820	Not one of these proposals excites me.
81980	83280	They're boring as sin.
83980	85000	I don't like GR.
85420	87380	Why are you not tweaking it?
87860	91700	I don't have intuition on how I could tweak it.
92660	97120	Are there propulsion modalities that you're high conviction in
97120	99100	that transcend chemical combustion?
100140	102960	Yeah, it goes way beyond even advanced.
103720	108160	Are you aware of reports that we are being...
108160	108880	Monitored?
109020	111340	Made to know that we do not control our space.
111800	112180	Yes.
112360	114740	When you see smoke at this level, the question is,
114760	116140	what is the nature of the fire?
116260	116400	That's right.
116400	117160	There are different fires.
117860	118860	Or there's a smoke machine.
119140	120640	Or there's a smoke machine.
120640	120920	Right, right.
121300	123460	Epstein was running many different programs.
123640	125680	It wasn't even Epstein probably running.
126280	127900	Look, I believe we can leave.
128100	129720	And if you believe you can leave,
129960	131980	you have to imagine that you're being visited.
133620	135260	Ignition frequency 5.
137020	138420	How is this possible?
139540	141260	Nothing too emotional about that.
143160	146180	The existence cannot longer be denied.
147860	149140	Woo!
177880	183360	just clean, clear mental energy. The reason it works is pretty simple. It gives your brain's
183360	189700	ketones, which are almost by definition its most efficient fuel source. Instead of pushing your
189700	195560	system, it actually feeds it. In fact, your body endogenously produces ketones. So when you drink
195560	201700	this, it supports deep focus, long conversations, and sustained mental performance. It was originally
201700	206520	developed through a multi-million dollar military program designed for high stress environments
207860	212840	performance really matters. And today it's used by founders, researchers, podcasters like myself,
213040	217380	and people who need their mind to work when it counts. I always take a sip of one of these
217380	222100	things before long podcasts. This product is also really personal for me because I've known the
222100	226860	founders, Jeff and Michael, for over a decade. These guys are awesome, and for as long as I've
226860	231580	known them, they've tried every supplement, biohack, and nootropic under the sun. So it was
231580	237120	a pretty good signal to me that they decided to start a company around ketones. I use Ketone IQ
237860	243320	It's like a mental cheat code, and it's genuinely one of the cleanest energy sources I've ever found.
243480	250340	So before we get back into the episode, please visit ketone.com slash alchemy for 30% off your subscription order.
250480	252960	Plus receive a free gift with your second shipment.
253100	257620	Again, that's ketone.com slash alchemy for 30% off your order.
257740	262820	Or you can find Ketone IQ at Target stores nationwide and get your first shot free.
263120	264960	Seriously, this stuff works.
264960	268660	Thanks so much to Ketone IQ for sponsoring today's episode.
268900	270920	As you know, we have a new Starship.
271020	273280	Of course, we have a healthcare center on board.
273580	275680	Ask what my new favorite product in it is?
276180	278040	iRestore's Illumina Face Mask.
279200	282300	Some billionaires are rejuvenating in underground light pods.
282580	284860	I'm doing my own version in my living room.
285020	287400	This mask is like a med bed for your face.
287640	290000	It's lightweight, super convenient, cordless,
290000	294260	and runs red, blue, and infrared light therapy all at once.
294960	301360	type of technology NASA studied for skin healing in space. It's safe for your eyes too, so you don't
301360	306880	have to sit there like a statue. You can live your life. I wear it when I'm reading, meal prepping,
306920	312080	or investigating life's mysteries without feeling like I'm staring into the sun. 10 minutes of light
312080	317700	and my skin looks and feels so good. Finding red light therapy was a revelation for me. I've
317700	322920	definitely had a few late nights reading about magnetic pole shifts, but with this mask, I look
323740	351120	Did I? That's debatable. It's warm, wireless, convenient, and makes your skin feel super soft. And iRestore is kicking off their spring savings with some very big discounts. Right now, you can get the Elite Plus Illumina Face Mask Bundle at an exclusive deal when you use code JESSE at iRestore.com. That's JESSE, J-E-S-S-E, at iRestore.com. Please support our show and tell them we sent you.
352920	357940	Dr. Eric Davis. This is an absolute honor. I can't believe this is finally happening.
358400	364960	I think often in this space, when we're talking about UFOs, UFO legacy reverse engineering
364960	372160	programs, you have like a wave function that never sort of collapses. And you have, you know,
372160	379100	different sides saying things that are mutually exclusive and truth. It never collapses into true
379100	388400	True or false. And I'm really excited to do this because Eric Weinstein, you probably need no introduction when it comes to kind of a general audience.
388640	399920	You are a math Ph.D. from Harvard, premier cultural commentator of our generation who has dared to present a theory of everything in physics.
399920	401960	and then Eric Davis.
402020	404500	You definitely need no introduction in UFO space,
404840	406800	but to maybe a more general audience,
407600	409160	some of whom who might have seen you
409160	410960	in this recent Age of Disclosure movie,
411960	414860	you are kind of synonymous with UFO science.
415060	416800	You have an amazing background
416800	420460	at Aerospace Corporation, Earth Tech.
420880	422380	You've worked with NASA Lewis.
422780	424620	You've worked on various initiatives
424620	427900	in exotic propulsion, directed energy.
427900	431220	and so very excited to have you both today.
431420	433360	I want to make this kind of two parts.
433660	436380	One part is kind of establishing ground truth
436380	439780	on Eric Davis's claims
439780	442140	because he's formally investigated
442140	444600	this UFO legacy reverse engineering program.
444760	447440	So I want to figure out what those claims are
447440	448160	for the audience.
448240	449120	And then part two,
449860	452640	and this is why we have you here, Dr. Weinstein,
453300	455780	is I want to figure out,
455780	481340	And this is kind of actually a follow-up on this thing we did with Hal Puthoff last time. If there is a theoretical physics component to this UFO legacy reverse engineering program, is there physics hiding in private aerospace corporations? Physics you can think of as the rules of reality itself. That would be problematic, to say the least, if that were the case. And so I'm very excited to speak to you both.
481780	483440	Thank you. Thank you very much.
483480	483960	Thanks for having me.
485880	501000	So Eric Davis, I want to start with you. When did you become aware of this UFO Legacy Reverse Engineering program? And how did you become aware of it? And how are you so high confidence in it?
501000	522720	I was working at NIDS. It'd be 30 years this July. And I was the Director of Aerospace Physics and Astrophysics Research at NIDS. That's National Institute for Discovery Science that Bob Bigelow founded in 1995. And I was hired in July of 96 along with Colm Kelleher and George Onet.
522720	529720	and John Alexander was already there on the staff also served as a member of the science advisory
529720	535320	board so I worked for Air Force Research Lab after NIDS and before Hal Puthoff hired me at Air Tech
535320	541480	okay so then during my work at AFRL and then during my 15 years working with Hal Puthoff
541480	548020	we got involved with the OSAP slash AATIP and then later on the separate attempt called AATIP
548020	554880	and then the UAP task force that Jay Stratton led. And using my security clearances, my need to know,
555040	561380	my access, including my letter that I'm deputized by Jim Lukatsky as a representative of the Defense
561380	567420	Intelligence Agency, I used all that leverage and authority to get into the crash retrieval program.
567560	572080	I couldn't get access to see craft bodies or talk to the people, but I was able to get in
572080	577160	to the people who handled all of that at a programmatic level and got confirmation that
578020	578920	that all of it happened.
579140	582540	And what's your conviction level in, say, Roswell, for example,
582620	587300	like that being a real crash involving non-human biologics?
587360	588380	It's 100%.
588380	589220	100%.
589220	590040	It's 100%.
590040	592180	And it wasn't in Roswell, New Mexico.
592240	594380	It was on the Foster Ranch in Corona, New Mexico,
594600	596120	which is 30 miles from Roswell.
596260	598920	This landed at a ranch at Corona, New Mexico,
599120	601160	and the rancher turned it over to the airport.
601540	604560	Army officers say the missile, found sometime last week,
604720	606900	has been inspected at Roswell, New Mexico,
608020	613820	Wright Field, Ohio, for further inspection. I had my information I got from Ed Mitchell at a
613820	618860	Science Advisory Board meeting about the Greer briefings on the disclosure project at the
618860	624240	Pentagon and then Admiral Wilson coming back and verifying that the Roswell crash, well, the Corona
624240	630200	crash actually, really did happen. It wasn't a Mogul balloon. It wasn't a raw wind radar test
630200	634880	balloon project. It wasn't a weather balloon. It wasn't anything of that nature. It was a real
634880	642780	craft of unknown origin that was adjudicated to be not of human origin or construct. And it crashed
642780	648240	on the Foster Ranch in Corona, Mexico. And then there's my work with Dave Grush when I was at the
648240	652120	Aerospace Corporation. He was at the Aerospace Corporation building in Colorado Springs
652120	656960	because he worked for their government customer, which occupied one or two floors there.
657180	658980	What was David Grush doing in that capacity?
658980	667160	He was, I think, a security contractor or advisor to a program manager.
667360	671900	Dave was the NRO liaison officer to the UAP task force.
672140	675600	So he took direction from Jay Stratton.
675720	677440	Wasn't he National Geospatial Agency?
677860	680240	No, I said the NRO, the National Reconnaissance Office.
680240	682220	Yeah, you said that, but I thought he was National Geospatial.
682220	682920	No, that was later.
683000	683460	That was later.
683620	684340	That was later, yeah.
684340	686220	Okay, so he's the NRO liaison on the UAPTF.
686360	692120	So during the UAPTF, he was the liaison officer on behalf of the NRO to the task force.
692360	692600	Yep.
692620	693080	Got it.
693260	696400	So he worked with Travis Taylor, Jay Stratton.
697700	700100	There's some other folks that don't want to be named, I know.
700240	713840	So I just know that there's a core group of 40 people, but there was a peripheral body of 1,000 people that contributed some of their time and labor and resources.
713840	720380	and the other government agencies, DOD agencies, intelligence agencies, to feed information to the task force.
720380	748620	A lot of people ask about kind of circular reporting when it comes to UFO, you know, testimonies. David Grush is what a lot of people I think are hinged, hinging their belief on because he's just seems like a very kind of honest above board guy. He stumbled into a lot of this stuff. How many of his witnesses, his 40 witnesses are more of kind of the hapless engineer type that just worked on the vehicles versus people who have, you know, kind of secondhand or, you know, thirdhand?
750400	756400	But it's something that Eric and I had lots of hours and hours of conversations about two years ago.
756440	758240	Not a single of them were a physicist.
760760	762840	Not a single one of these guys were physicists.
762880	766500	They had some discipline in engineering in their profession.
766820	774620	They were either electrical engineers, material scientists, aerospace engineers, aeromechanical, aerothermal, thermal control, fluid mechanics.
775780	777120	Save that thought.
777120	778360	Who wasn't a real physicist there?
778360	783160	There's nobody at the PhD level who is either an applied physicist or a theoretical physicist.
783500	789640	Save that thought, please, because that is going to basically be the entire kind of premise for the second part of this.
790220	792860	Do you have any questions as I'm sort of, you know?
792980	806080	Well, you know, look, one of the things that I dislike very strongly about the UAP world is that you spend an inordinate amount of time if you're just trying to be an honest analytic person.
806080	810720	and with the, is there any actual tangible, incontrovertible proof?
811120	816000	And it always seems like there's somehow this tight-knit group of people
816000	819480	who, in general, themselves don't have direct proof,
819620	821680	but sort of have proof one thing away.
823320	830260	And people build entire theories about the names of crafts and who was where.
830600	835740	And I just have no idea as a civilian and a technical civilian
837440	842540	how to think about this because I don't want to spend our time in the is it real or not
843500	850000	mode because that basically wastes time. And it's also how conspirators get people not to work on
850000	856580	conspiracy theories that could work is that you demonize and stigmatize the behavior. So I usually
856580	862180	would prefer in this situation to just decamp and assume the nature of all of these. But just to be
862180	866020	be honest, and it just needs to be said once. I've been looking at this now, I don't know,
866040	872240	five years since Jesse first crammed it down my throat. And I would say, uh, I was clearly wrong
872240	877240	about it. It's an enormous area. There's so many people who claim to have had contact with this
877240	882980	program in one form or another. I can't believe that anyone could train an acting troop at Brando
882980	890060	levels of sincerity, uh, to lie to me like that. On the other hand, I've never seen anything
890060	895620	like it where I can't get a single shred of incontrovertible proof. And so many people
895620	901820	seem to have it, but they all seem to be under some kind of an NDA where they can't give something
901820	907480	real. So just the first frustrating question is, how is it possible that something this large that
907480	914280	involves this many people has zero scientifically incontrovertible pieces of evidence so that we
914280	919680	can actually, there's no way to predicate a discussion in a way that I know that's responsible.
920060	922120	just completely eludes the scientific community.
922420	924360	Yeah, it's because the incontrovertible evidence
924360	927200	is kept in the classified room for security reasons.
927460	927880	Well, but...
927880	928480	There you go.
928480	929580	And again, I don't want to...
929580	932300	Do you dispute the existence of atomic weapons
932300	933940	because you can't access it?
934800	935580	I can access.
936000	937360	Oh, you can access it.
937360	940200	Yes, if I look at the teller...
940200	940760	Have you actually been to pick up the plutonium core?
941040	943620	No, I never kept the demon core in my basement.
943980	944800	Oh, how about the...
945360	946620	But I appreciate the...
946620	949220	The lithium-6 fuel and the primary nuclear...
950060	950520	in high school.
950680	951840	Oh, no, no.
951900	952760	What I'm saying is
952760	954200	that the Teller-Ulan design
954200	955680	is released
955680	958420	as a highly redacted report, right?
958520	959600	And so I have an idea
959600	961900	from plenty of sources
962800	964180	that this program exists.
964360	964920	And what's more,
964960	967840	in the case of atomic weapons,
968960	972040	physicists are not perfectly locked down.
972180	973320	It's a high-trust community,
973640	974440	and in general,
974480	975740	people are willing to talk,
976780	977540	you know,
977540	979120	even if they shouldn't,
980060	987060	role of physics in atomic weapons. I have never heard a colleague, not once, at a high level in
987060	992140	physics give any credence to this world. In other words... Well, that's because they didn't have
992140	996280	access. They didn't have need to know. They didn't have a contract where they had to have access.
996440	1000620	Which, again, it's not a challenge in that sense. Assume that there is a dividing line. But
1000620	1017680	But it means that in the Manhattan Project, right, we called in Feynman and Bohr and Fermi and von Neumann and put them under Robert Oppenheimer and Teller and all these cats.
1017940	1019660	And Bette and…
1019660	1020520	And Bette, right?
1020520	1027620	Right. And so, but in so doing, I would say, okay, I would imagine that if this is an existential
1027620	1033400	threat, that there's stuff from someplace we can't understand that moves and breaks the laws
1033400	1037560	of physics and all this, we would call that in. Now, one of the great things that came out of our
1037560	1041960	discussions before is you said this thing, which I repeated on Rogan because I didn't think it was
1041960	1046120	classified. You said, when it comes to being technical, just at this point, that they don't
1046120	1054840	invited fizzes you said uh you you said that uh eric you me and hal put off are the three most
1054840	1060680	technical people on this and i said i'm not on this yeah that's that's the problem you should
1060680	1067740	be in it okay but that makes you oppenheimer and von neumann and feinman and beta and fermi
1067740	1075240	is how or something like that in other words or the reverse but are you and how our manhattan
1077620	1084560	No, we're not directly involved. We've been exposed to it officially for the purpose of the OSAP's goals.
1084920	1088540	What is the question that I wish to ask? Can you figure out?
1088540	1096940	Well, I think what Eric's trying to ask, and I do want to actually continue along the former lines of just asking about kind of core evidence with Dr. Davis.
1097060	1111100	But I think the question that Eric is trying to ask is, you just mentioned that none of Grush's 40 witnesses that he handed over to the Intelligence Community Inspector General are theoretical physicists.
1111540	1111700	Right.
1111800	1116360	And so you have your physics PhD, Hal is an electrical engineer.
