start	end	text
0	2800	Whenever you see something that doesn't fit what you know,
3000	6080	a real scientist should get excited, not skeptical.
9320	13740	My two guests today have credentials that are impossible to ignore.
16660	21640	Dr. Eric Hazeltine was Director of Research for the National Security Agency.
22020	25040	Basically, he was the tip of the spear on science and innovation
25040	28580	for the U.S.'s most hardcore intelligence agency.
30660	35020	Before that, he was an executive vice president at Walt Disney Imagineering.
35340	40520	He's a neuroscientist, a futurist, and has over 70 patents to his name.
40680	44160	He possibly has one of the most intriguing resumes of all time.
44380	48200	When you look at all the many thousands of reports, and we've looked at all, and some
48200	52040	I have guilty knowledge of from when I was inside the government, it's real.
52200	54400	And it's something we do not understand.
55520	61200	Dr. Chris Gilbert has an M.D. and Ph.D. from one of France's top medical schools.
61680	65560	She's worked with Doctors Without Borders across four different continents,
65860	69580	and she's pioneered her own incredibly unique methods in holistic medicine.
69840	72420	In our own body that we've studied so much,
72460	76240	there are things we're discovering that we had no idea existed.
76780	78920	She also happens to be Eric's wife.
79160	81300	Together, they've co-authored several books,
81300	85620	including The New Science of UFOs and The Shadow of Time,
85800	89720	a book involving ancient archaeological objects with anomalous properties
89720	93640	being systematically excavated by private corporations.
94620	95700	This thing's a cover-up.
95960	100180	So when I found out that a former NSA director of research,
100260	105220	who is privy to just about every sensitive piece of intelligence in the United States,
105440	109840	wrote a book about anomalous objects being recovered in the desert,
111300	111780	and learn more.
112000	115840	Do you guys have kind of a base case for what's going on?
116000	118260	I think what we're seeing with these credible,
118420	122260	real phenomena is something really bizarre and out there.
124800	126180	We might all be Martians.
126700	129000	What is to say that life doesn't exist
129000	132460	120 light years away from us?
133980	136000	I think it's almost certain that we're evolved
136000	138260	from building blocks that are extraterrestrial.
139180	147260	There was some advanced civilization on Earth many hundreds of millions of years ago that discovered near-luminal travel.
150300	153000	This whole interview is a fun game of cat and mouse.
153240	161000	It's me basically trying to figure out whether Eric and Chris's fiction books were at all informed by what Eric saw behind the curtain.
161180	164100	You can move something through the air where there's no engine on it at all.
164140	165500	You're just pushing on it with photons.
165760	166880	Did you do that at larger scale?
167120	167380	Yes.
167500	167760	Whoa.
168260	182580	So without further ado, sit back, relax, and enjoy a mind-expanding conversation with a bunch of rabbit holes you won't want to climb out of with this week's American Alchemists, Dr. Eric Hazeltine and Dr. Chris Gilbert.
183400	185020	Ignition sequence start.
186860	188340	How is this possible?
189380	191140	Nothing too unusual about that.
193520	196100	Their existence cannot longer be denied.
205000	207100	Oh, man, this is a total honor.
207260	214360	I feel very, as is often the case, but maybe especially today, intellectually underqualified to be in this room.
215360	222300	Dr. Chris Gilbert, Dr. Eric Hazeltine, you are the former director of research at the NSA, the National Security Agency.
223460	229840	and that role actually ended up with you on an A&E history series, Alien Files Reopen.
230120	234540	Having been at NSA and being one of their senior leaders, I find that highly unlikely.
234900	239600	Which is fascinating. You guys co-authored a book about UFOs together, which I can't wait to get
239600	245300	into. You also worked at Hughes Aircraft, Disney Imagineering, Dr. Chris Gilbert. You've done
245300	252860	done amazing work around the world as a physician, MD, PhD, and you guys have co-authored a few books
252860	259260	together, and I want to talk about those. You've independently offered, you know, a spy in Moscow
259260	265380	station, and you guys have just an incredible background, both individually and together. So
265380	270580	it's an honor to be with you today. That's a great honor to be here. Yeah, thank you so much for
270580	276920	having us. I wanted to talk about your book, The New Science of UFOs, because I think it's a really
276920	281720	great kind of survey level overview of all of the possibilities. I think often in this space,
282280	289220	there's a lot of kind of mushy brain thinking and, you know, just almost people are over-indexed
289220	297020	on intuition. And you really kind of lay out all of the possibilities from spoofing techniques to
297020	302160	to man-made craft, to genuine non-human intelligence.
302400	305060	And then you even get into frameworks for thinking about the non-human intelligence.
305420	308280	So, yeah, why don't we start there?
308540	313020	What are the possibilities kind of high level when it comes to UFOs?
313140	317360	Well, I'll start and then you can fill in where I miss things.
317640	319580	First of all, a little context for the book.
319580	329700	I spent years at the CIA after leaving NSA and ODNI, where I was basically the CTO of the U.S. intelligence community, the whole thing.
330220	340640	And I was an analyst for a particular target and was trained in analytic tradecraft, which is basically the scientific method.
340700	343540	And we call it the method of competing hypothesis.
343540	349960	hypothesis. When we see a phenomena or an event, we say, what are all the different hypotheses for
349960	355800	what could be driving this? And then we go and we look for evidence that would support or contradict
355800	362640	each of those. And at the end, we weigh it and come out with an assessment with the probability
363220	371380	of what we think is the most likely of all of those with some confidence. And so, for example,
371380	376500	in Iran, you have the Iran group at the different agencies doing that now saying,
