start	end	text
0	420	Hello?
700	2260	Randall, how are you my friend?
2560	4940	I'm doing very well, thank you. How are you doing, Jesse?
5140	6120	I'm good, man.
6520	11600	Do you believe that there are survivors of ancient Atlantis that are among us,
11700	17000	perhaps with underwater bases or bases on the moon and advanced technology?
18360	21520	Ah, ha ha, now there's the loaded question, Jesse.
21800	24480	I will just say very provisional...
25320	25880	Yes.
25880	26220	Yes.
28700	30980	2023 is gonna be a year of disclosure.
31400	33140	Things come around in their time
33140	36140	and there's been lost knowledge,
36360	38540	but it's never been completely lost.
38800	41580	And in fact, it's been everywhere around us.
41740	43700	And some of it's been in everyday use.
43780	46080	We just haven't understood or recognized what it is.
47980	50360	According to a professional midwit journalist
50360	54320	at the Guardian, my next guest's highly acclaimed docuseries
55880	57100	show on Netflix.
57480	60180	You've been described as a pseudo-archeologist,
60220	61960	someone who cherry picks your data.
62340	63900	And that makes him the perfect guest
63900	65660	on our show, American Alchemy.
65880	67760	If you're gonna roll your eyes at the notion of
67760	70280	mother ayahuasca, go drink some ayahuasca.
70300	71680	And then see if you're gonna roll your eyes.
71820	73740	The docu-series is called
73740	75800	Ancient Apocalypse, and the journalist
75800	78140	is internationally acclaimed, best-selling
78140	79760	author, Graham Hancock.
80060	82180	Since his 90's cult classic,
82240	83460	Fingerprints of the Gods,
83460	87680	Hancock has been accumulating an abundance of evidence to show that our
87680	92260	modern historical narrative that civilization was born a mere 6,000 years
92260	95660	ago in Mesopotamia is wrong and incomplete.
95980	100700	It's gonna absolutely demand a rewrite of history as we know it.
102360	108980	Hancock thinks that the human species has been suffering from mass amnesia and that maybe hunter-gatherers
108980	114540	were taught basic agriculture and astronomy by remnant survivors of an ancient civilization
114540	117860	that was wiped out in a mass extinction event.
118040	119700	There's testimony from the ancients here.
119820	124060	They're saying an enormous flood happened and that there was a time where there were only a few survivors.
124800	128500	This hypothesis, known as the Younger Dryas Impact Theory,
128660	134560	sustains that an asteroid from the Torrid meteor stream hit the Earth, causing a global cataclysm.
