start	end	text
3040	4100	What up bro?
5360	6760	How are you?
7060	7980	How are you?
8960	13320	I'm good man, just living my best life out here in Puerto Rico.
15200	18240	I'm sort of blown away by your change in course.
19840	22700	Yeah, it's unique to say the least.
23040	29980	Hold up, you're probably wondering, who am I, why the hell am I in Dorado, Puerto Rico with Jake Paul, and who's this guy?
30000	34120	guy on the phone with us. First of all, the guy on the phone is my friend and colleague
34120	39520	Eric Weinstein, mathematician, cultural commentator, and all-around crazy motherfucker.
39860	42080	My middle finger's pointed straight at you, understood?
42540	47600	I'm Jesse Michaels, a tech investor and your host of American Alchemy, a show where
47600	52440	we study the frontier of science and tech, sprinkled in with some conspiracy theories
52440	53260	for good measure.
53480	54940	There are animals that are immortal.
54940	59800	But if my show's about science, tech, and crazy ideas, why am I talking to internet
59800	62240	sensation turned pro boxer Jake Paul?
62480	65680	Well, for starters, Jake is about as radical as they come.
65840	65940	One!
66860	67380	One!
68180	68700	One!
69020	69400	One!
69640	69640	
70900	75980	In just the last year, he's completely revitalized the formerly dead sport of boxing.
76180	77960	Oh my god!
79820	83140	That's not to say Jake's journey hasn't come with its speed bumps.
84940	88380	making headlines after an FBI raid at his home in Calabasas.
88500	91040	But I've actually known Jake for about seven years.
91320	94300	He came to me when he was 17 years old for tech advice.
94560	96420	I invited him to come up to San Francisco.
96640	98380	He ended up crashing in my apartment,
98520	100760	and we just hit it off because we're both a little crazy.
101020	101220	Hey.
101640	101900	Hey.
102220	104980	So in this interview, I wanted to highlight the Jake
104980	105800	that I know.
105960	108660	Our mission at Boxing Bullies is to help instill confidence,
108820	109780	courage, and leadership.
110240	113100	The kid that picks up the phone no matter how busy he is,
114940	119420	working. So without further ado today's American Alchemist is Jake Paul.
121260	127600	You know it's it's the work you put in I think when no one's watching that that
127600	132260	shows in the light and when you are confident in yourself and you know that
132260	137220	you can create something that has never been done before you just got to go for
137220	141920	it. I don't know I yeah I felt like people had me down for the count. They
141920	144620	They were like, this kid's just a menace to society.
145260	148640	Fighting gave me that outlet to sort of redeem myself
148640	150160	and to work towards a goal.
150400	151200	Now you're favored.
151500	152440	Now I'm favored.
152680	156200	People think I will beat McGregor with ease.
156600	157040	Crazy.
157680	158980	But you're favored against Woodley too.
