start	end	text
3780	7460	There's the big divide between reason and faith, right?
7580	11580	Or between science and religion, and it's still here today.
14600	18720	The human species would be in peril if you shut down the mysteries,
18920	23040	which means not just democracy, but like life itself would become disastrous.
30120	38940	My next guest has a crazy thesis that ritualized psychedelic trips played a foundational role in Western civilization and Christianity.
39380	44460	Maybe you already know that Moses' burning bush actually could have been a DMT-rich acacia tree.
44600	49100	Or John Allegro's theory that the Eucharist was actually an Amanita muscaria mushroom.
49500	57900	But this week's American Alchemist, Brian Murerescu, takes this line of inquiry to the next level with his New York Times bestselling book, The Immortality Key.
57900	61540	Was Dionysus the god of wine or was Dionysus the god of psychedelics?
61600	66180	The book focuses on Eleusis, a little place 13 miles northwest of Athens.
66440	71660	The most important Greeks at the time, Pythagoras, Plato, Aristotle, basically the founders of
71660	76500	Western civilization, would all go there on a pilgrimage and engage in a secret, hermetically
76500	80120	sealed ritual, possibly involving psychedelics and ritual sacrifice.
80580	82540	People went to Eleusis as human beings.
82640	84800	They walked away thinking they were immortal.
88580	92320	Spilling the secrets of what went on at Eleusis was punishable by death.
92500	94040	This is the Fight Club of the ancient world.
94160	98940	There's even a lot of evidence that early Christian cults practiced these ancient mystery rituals.
99160	101440	And you've never had a psychedelic experience, is that right?
101500	102620	I'm having one right now, Jesse.
102900	108160	Brian also happens to be close friends with Leslie Kane, the New York Times journalist
108160	113320	that has broken pretty much every major UFO story in the New York Times over the last four years.
113520	115240	So we discuss a bit of that, too.
115440	115920	Oh my God!
117900	123160	Please welcome this week's American Alchemist in the truest sense of the word, Brian Murerescu.
126140	132480	I'm here with my friend and the author of The Immortality Key, Brian Murerescu.
133040	134700	It's a fantastic book.
135420	136560	It's a New York Times bestseller.
136740	142520	It's a book that almost begets more questions than it does answers, although it has a lot
142520	147600	of very interesting answers and follow-ups to earlier work by people like Carl Ruck.
147780	152140	Why don't we get into why we're here first because a lot of the viewers might be
152140	157180	wondering why we're in this very elegant setting. We're in the the majestic Hagia Sophia,
157600	162280	this Greek Orthodox cathedral right beside the National Cathedral in Washington, DC.
162620	166520	This in many ways is kind of the heart of the mystery of my book, trying to figure out the
166520	171400	roots of Christianity and how we got to these these beautiful cathedrals. It didn't start this way.
175060	182280	Is it possible that some communities of early Greek-speaking Christians at some point in
182280	189040	history, anywhere between 33 and 300 AD, may have availed themselves of what I think is
189040	193160	the kind of technology for which we can find evidence in the ancient sources?
193500	198540	In other words, was Dionysus the god of wine or was Dionysus the god of psychedelics?
198640	199020	Right?
199020	206080	It's a big question that Professor Ruck at Boston University asked 42 years ago when he released The Road to Eleusis.
206240	214460	And that was the book that, even when I was an undergrad, kind of sent me down the rabbit hole of trying to figure out, like, what was wine in the ancient world?
214660	221820	And could it have been spiked with mushrooms or other visionary plants, hallucinogenic herbs, toxins?
221820	227360	I think that is a really interesting question, not only because there's data in the sources,
227660	235160	but because for the first time, we're unearthing hard scientific organic data to actually support
235820	236980	what was in those ancient chalices.
237480	242860	Morescu thinks that the Kekeon drink consumed at the Eleusinian mystery rituals contained
242860	246660	ergot, a fungus that grows on wheat and contains LSD.
247220	253220	Reverend Martin Luther King Jr. wrote about the influence of the mystery religions on Christianity as far back as 1950.
253700	264580	You can't ignore the similarities from the pagan world to the Christian world, and he attributes it to an unconscious process of ceremonies and rites from antiquity making their way into Christianity.
264880	269060	So, a lot of this is centered around this specific spiritual capital.
269060	274640	If Athens was sort of the political capital, you had 13 miles northwest of Athens,
274880	279580	the center called Eleusis, where these mystery rituals went on.
279700	281160	What exactly happened there?
281320	282300	I wish I knew, Jesse.
282760	285520	That's what I've been trying to figure out for 25 years.
285940	289260	Nobody knows. This is the Fight Club of the Ancient World.
289340	292560	Whatever happened there, no one talked about it, under penalty of death.
292780	296640	So it was taken quite seriously, but what we're essentially talking about
296640	299720	are very elaborate rites of death and rebirth.
300000	302920	And not as some footnote, not as an afterthought,
303040	306440	this was, in some senses, the spiritual epicenter
306440	307940	of the ancient Mediterranean.
308100	311600	It called to Plato and Sophocles and Pindar.
311700	314620	It called to Cicero in the first century BC,
314760	318460	who called Eleusis the most divine and exceptional thing
318460	320080	Athens ever produced.
320420	322680	And a lot of this was somewhat pre-Socratic.
322900	325400	So you have a favorite author, Peter Kingsley.
325520	325700	I do.
326640	332220	you know, this famous quote, if you die before you die, you will not die when you die,
332360	335800	which kind of touches on, you know, what you were just talking about with Plato.
336020	342920	So what is this element of simulating death? You know, what does it do to an individual person?
343020	347920	Do you have any sort of sense? Well, that's the mystery. Whatever it does to somebody is
347920	353460	transformative. I mean, people went to Eleusis as human beings, and from what little testimony
353460	357980	survived, again because it's secret under penalty of death, they walked away
357980	359720	thinking they were immortal.
361180	364760	Anpethanis prinpethanis denthapethanis otanpethanis.
365080	368180	If you die before you die, you won't die when you die.
368320	376060	And I do think it harkens back to this ancient tradition of confronting our mortality in order to achieve immortality.
376260	380300	Something happens in that dissolving of the ego, right? The self that we
380300	385980	normally identify with our passions emotions our experiences our psyche our psychology something
385980	391520	happens when that is under threat and when it disappears and so to plato's point the way that
391520	396020	they saw these mysteries was not so much a learning process although there were things to learn there
396020	401520	were rituals to perform it was almost an unlearning process of kind of shedding back you know peeling
401520	410200	back the layers of the onion so you start writing the book 12 years ago is that right and what's
410300	414940	the purpose of the book? Like, why do you think it's important that people realize this? What
414940	420140	are the implications for today? Because we're suffering from an identity crisis. It's partly
420140	424380	why we're sitting here. There's this narrative that, you know, the ancient Greeks essentially
424380	430040	draft the blueprints for Western civilization, and in comes Christianity to save our soul.
430220	436000	And there is the divide. There's the big divide between reason and faith, right? Or between
436000	439500	between science and religion, and it's still here today.
439700	442460	And Huxley predicts that there might be a religion
442460	445560	around psychedelics, possibly a new Eleusis,
445680	448520	which Albert Hoffman talks about as well.
449900	451260	Do you think that happens?
451380	453240	And if so, what form does it take?
453360	455080	Is it state sanctioned?
455080	456760	Is it outside of the state?
458020	459300	I mean, that's a good question.
459520	461180	I mean, over the next 10 years,
461280	462760	I think you're gonna see a bit of everything.
462760	468620	So the state-sanctioned, Eleusinian kind of ordered mysteries, I see the FDA.
468860	472800	You know, like what's happening in Oregon, for example. It's crazy to think about
472800	478740	like a regulated ecosystem for therapeutic psilocybin. I mean, that was
478740	484160	unthinkable a few years ago. So there's the state intervening to produce, again,
484220	487780	these set and settings where these irrational states of mind seem to have
488440	494080	incredible medicinal purpose, right? For everything from anxiety, depression, end
494080	499440	of life distress, PTSD, etc. There is a place for that kind of sanctioned
499440	503460	medicine. You're gonna have the underground, the Dionysian wild kind of,
503460	507640	you know, from Woodstock to Burning Man. It never really went anywhere and
507640	510840	Grateful Dead helped it along the way. So you're always gonna have a part of that
510840	517940	and then just maybe in kind of a harmony between the two is the First Amendment
517940	524800	which again there seems to be a compelling argument for the responsible
524800	529900	sincere very sacred use of things like psychedelics within religious exercise
529900	533740	right it's it's kind of guaranteed by the First Amendment before the right to
533740	537440	free speech and assembly is that right to religion what else is America known
537440	542040	known for, but for that. And so we don't have a clear path yet. I mean, there's some use of
542040	547000	psychedelics in the Native American church, some Brazilian spawn churches, but I think the next 10
547000	553660	years you're going to see things like psilocybin, maybe LSD, DMT, and others begin to float their
553660	558500	way into either new churches or maybe even organized religion. What do you say to the
558500	564880	person who reads Plato and says, well, that's just a guardian creating kind of a noble myth.
564880	569220	And in fact, this is all just a lie to make me believe, you know, in the afterlife.
569660	577180	And it's sort of, you know, as Nietzsche would say, some sort of slave morality to de-emphasize the material life, which is all there is.
577900	579020	That's a great explanation.
580620	581940	That could very well be the case.
582000	585680	Maybe we're just all inventing it so we can feel better as we pass on to death.
585800	588600	I mean, there are folks who look at near-death literature like that.
588660	589740	Why do we see the white light?
589820	592960	Why would we be equipped for this experience as we're dying?
593060	593880	Does it help us die?
594880	597500	those around us experience our death better.
597600	601080	I don't know why these near-death phenomena occur.
601260	604120	Is there a biological evolutionary basis for it?
604180	605120	What would that be there for?
605200	608340	Why would our death be facilitated in that way
608340	609780	for purely physiological purposes?
610120	610720	I don't know.
610780	612300	And these myths and Plato, I have no idea.
612560	614940	But I would say, again, about Plato,
615040	619000	that his philosophy was the practicing of death and being dead.
619260	621740	And I would invite someone who's interested in Plato
