start	end	text
0	8100	I have probably somewhere in the neighborhood of 60-something photographs of things on Mars that are clearly alien.
8480	13000	Is it possible that there was a civilization on Mars thousands of years ago?
13160	16140	When did you start to believe there was life on Mars?
16320	17120	Well, you saw the square.
17360	17640	Yeah!
17900	19520	That square on Mars from that photograph.
19520	19720	Is that real?
19980	20580	Yes, that's real.
20780	21360	Is that real?
21980	22760	That's real.
22960	24940	That's three feet long and that big around.
25140	26380	That was taken on Mars.
26680	28120	That's laying on Mars.
30000	32060	are like hibernation chambers.
32280	35720	They're trying to survive until somebody comes to save them.
36000	37180	Wow, that's amazing.
37740	39060	But that's not the coolest thing.
39240	40420	That's so cool, though.
40460	42340	You're saying that you remote-viewed a pyramid
42340	44020	on Mars a million years ago.
48280	51000	Know that feeling when you're exploring a new city
51000	54620	or a new country, and suddenly you realize you're out of data
54620	57760	or stuck with one of those overpriced local SIM cards?
57760	59860	Well, that used to be my travel story.
60080	64140	Until I discovered Saley, the amazing sponsor of today's video.
64400	67660	Imagine downloading one app, installing your eSIM just once,
67880	71720	and then being connected to over 180 countries with affordable plans
71720	74260	that wipe out those crazy roaming fees.
74520	77700	Whether you're hopping between cities or traveling across regions,
78180	79600	Saley's got you covered.
79840	84640	I personally remember one trip where I was stranded at the airport with zero Wi-Fi in sight.
84940	87260	Instead of scrambling for a sketchy SIM,
87760	94160	simply opened the Saley app, chose a plan, and was back online instantly. No lines, no scams,
94160	98820	just seamless connectivity. So here's the deal. If you're planning your next adventure, do yourself
98820	105020	a favor and download the Saley app. Get an exclusive 15% discount on Saley data plans.
105300	110660	Use code AmericanAlchemy at checkout. Download the Saley app or go to Saley.com
110660	116060	slash AmericanAlchemy. From there, you can scan the QR code on your screen or head over to the
117760	122960	this video. Stay connected, save time, and travel smart with Saley. Happy travels and thanks for
122960	140100	listening. I'm here with the legendary Joseph McMonagle. You are known as remote viewer number
140100	146380	one. And in my mind, you are sort of the archetypal remote viewer as part of the Stargate program.
