start	end	text
0	3100	We should have this debate about gain-of-function research, which makes no sense.
3260	4680	The whole system's so fucked up, man.
4800	9640	Do you think that we've passed the Turing test and that the mind is a classical computer?
9940	12300	Yeah, I mean, I basically think that it is a classical computer,
12480	15500	and it's actually a fairly insignificant one with that.
15660	19520	For everyone that got pissed at me for talking to Alex Jones, hold on to your seats,
19640	25160	because this week I'm talking to America's most hated, the pharma bro himself, Martin Shkreli.
25320	29380	A little disclaimer first, I don't endorse everything Shkreli's done in the past.
30000	35660	In 2015, his company bought a drug called Daraprim, a cure for AIDS-induced toxoplasmosis.
35800	39900	He promptly raised the price from $13.50 to over $700.
40460	46320	Even if $13.50 was an economically inefficient price for this drug, and even if Shkreli ended
46320	51180	up making it accessible to people who couldn't afford his hefty price tag, making money through
51180	54700	pure rent-seeking and regulatory capture is still whack.
54700	62760	Turing's price gouging didn't drive any real medical R&D and it never reflected the cost of production for Daraprim, which is remarkably cheap.
62980	69940	But this sort of behavior runs rampant in big pharma and American corporations, and it usually goes completely unnoticed.
70080	73600	So what sets Shkreli apart? He's a troll and a provocateur.
73860	75960	I got into it with Hillary Clinton almost 20 years ago now.
76240	79460	This was pre-putting a bounty on a strand of hair.
79620	81240	And I would not characterize it as a bounty.
81240	84100	He has no respect for the middle-wit journalists that cover him.
84260	88900	These reflexively angry, over-educated reporters thought he was an isolated actor,
89220	95000	not realizing he was merely a symptom of a systemically fucked-up healthcare apparatus in the US.
95340	101480	But hey, isolated scapegoating can act as a pressure valve release to distract the masses from more systemic, insidious oppression.
101900	107260	The true scandal of Turing's profiteering scheme was that it was entirely legal and mundane.
107260	111360	He actually didn't get sent to jail for that, it was for securities fraud, later.
111660	116280	Securities fraud is obviously also not cool and it's something I call him out for in
116280	120500	this interview, but I think in this case it was used as a cover for the establishment
120500	121480	to take him out.
121660	126680	Anyways, I had heard Shkreli was incredibly smart and after 4 and a half years of prison
126680	131280	and what I assumed was a ton of reading and solitude, he was probably in peak intellectual
131280	131900	shape.
132060	134920	So I decided to have a markedly different conversation with him.
134920	140340	In this interview, we discuss the nature of reality, whether its base layer is physics or information theory,
140520	146820	the bioelectric field of the body, and of course, I ask him who his top five emcees of all time are.
147040	152920	Without further ado, please enjoy this special long-form interview with this week's scapegoat, Martin Shkreli.
154220	156200	The most hated man in America.
156480	158180	No, you're putting words in my mouth.
158240	159980	A criminal like Stalin or Trump?
160080	161420	Tie me off! Snip me!
161900	163220	You are fake news.
163340	164740	I don't see it as left or right.
164920	165520	It's bullshit.
165760	170980	You know, it gathers speed and ultimately one victim must be killed.
171260	173540	I got attacked by all my followers.
173800	174320	On the beach!
174660	174880	AHHHH!
176720	177440	Shit, man.
184320	186300	Have you trolled people your whole life?
186960	187400	Um...
188060	189220	I think it's sort of like a...
189220	191400	I'm actually surprised at how earnest you're being right now.
191500	193160	Like, I feel like we're having like a genuine interaction.
193160	193800	I'm always like this.
195120	198800	And that's why I started live streaming is like I wanted to give people a window into who I really was
198800	200720	Yeah, it's like it was fun to be this caricature
200720	203240	Yeah, it's like I would give ABC like a two-hour interview
203240	203580	Yeah
203580	208060	And I like explained drug pricing and explain how like you know this is a good idea and so we're like Ross Perot wing it
208060	210200	And then like they and they would take you out of contact
210200	215120	They would take like the the one gaff like the one like flub or like, you know stutter
215120	217760	And they just air that and it'd be frustrating
217760	223040	But like ultimately trolling is I think like I always like like Andy Kaufman and stuff like I love
224920	230940	You being here this morning. It's nice to see you. Tell me about tell me about taxi was
233820	236720	Would you like a tissue? Would you like a tissue?
239380	243980	The performance art and like the opportunity of like there's never gonna be another time my life
243980	246360	I'm gonna be in front of Congress like I have to make the most of this
246360	246780	Yeah
246780	251340	You know like you only do only and if you were to pick a group of people you you
251340	255880	like kind of don't have a ton of respect for at least for me it would be Congress
255880	259660	you you've had some other weird kind of paraphernalia that you had to auction
259660	267320	off like you you owned the Nazi Enigma machine yes so an Enigma machine was you
267320	274020	know one of the encodings you know one of the tools Nazis used to encode secret
274020	279200	messages to for you boat locations stuff like that and famously Alan Turing who's
280200	283420	the company Turing Pharmaceuticals, cracked the Enigma code.
283620	285740	It was actually a bunch of Polish cryptographers too,
285840	287640	but they don't get their story told as well.
287720	288760	They didn't have the better PR agents.
290160	293200	So anyway, Alan Turing helped do that.
293300	295560	And Churchill ordered all these machines destroyed.
295980	298300	He didn't want any memory to live on.
298480	301740	Because the Nazis would use it and the Turing cracked it.
301840	302080	Correct.
302180	305720	And it was like early cryptography and early computing and things like that.
305800	306480	And I think it's pretty cool.
307180	309140	So you bought like the one that was left?
310200	314960	that are left and there's a market for these and depending on whether it has three rotors or two
314960	319300	rotors or whatever but you know I would just also say that you know that that machine is in safe
319300	328080	keeping so somebody close to me owns it what why do you like Turing so much I mean now he's popular
328080	334480	right but for a while he was sort of like not that popular and I mean the guy conceptualized
334480	341460	computers before you know anybody obviously and he also did great work in ai um the suicide was
341460	345380	kind of really like i was fascinated with people like that and kirk cobain and others like i bought
345380	350900	kirk cobain's one credit card i don't know if you ever oh yeah that's right so like people like that
350900	355540	who like had it all in some ways yeah like also like looked at the ephemeral nature of life and
