start	end	text
0	6320	This big bug came, like, through the screen door on our deck,
6440	7580	and he's standing over me.
7740	13120	His little triangle face opens up, and these jaws open up,
13120	16340	and he starts tugging chunks of flesh off of me,
16400	20980	you know, from my cheeks, my shoulders, and he's flinging it.
21200	21740	What?
21980	24500	And there's blood splashing.
24500	34500	He wanted me to know that they could rip me to shreds if they wanted to, but they couldn't get to my soul.
34680	36700	I'm here with my new friend, John Blitch.
36720	37800	Lieutenant Colonel John Blitch.
37800	39140	Lieutenant Colonel John Blitch.
39180	41300	Lieutenant Colonel John Blitch.
41500	45700	You have maybe the most interesting CV of anybody I've ever interviewed.
46020	49240	There was this agreement that you don't talk about Fight Club.
49900	50480	Right?
50480	54380	You don't talk about the ETs that we've all seen.
54660	59960	I think the really interesting phenomena that happens after that is you have all these really tough guys
59960	66500	who get spooked by really crazy entities that they encounter.
67020	74120	A drop lands on my hand, on my handlebars, and then I realize it's red and it's blood.
74300	78060	There is no reason for me to have this gushing bloody nose.
79460	85380	and things get weird.
86400	91480	I have this fuzzy memory of a fuel truck,
91560	92980	what I thought was a fuel truck,
93780	96600	and so I kind of walk my bike up around it
96600	98200	and in the cab of this fuel truck
98200	101720	is this guy with a red plaid shirt.
102600	105440	Who is the guy in the flannel, the red flannel?
106700	107180	Yeah.
109420	113440	I was not prepared to talk about this in previous interviews.
117160	119480	I'm here with my new friend, John Blitch.
120200	121460	It's an honor to have you.
121500	125680	You have maybe the most interesting CV of anybody I've ever interviewed.
125840	129420	You were a Delta Force.
129720	131760	You worked at DARPA for a long time.
131800	133600	You managed some very interesting programs there.
133600	139800	You're a cognitive psychology expert and doctorate.
139800	140240	Is that right?
140520	144520	Well, I'll push back a little bit on the word expert.
144640	144880	Sure.
145180	152580	Because one of my favorite definitions of expert was from Dr. Ruth Meyer my first time through graduate school at the Colorado School of Mines.
152580	163700	And she said, because my first thesis was I built an expert system to recommend which robot to pick to go into rubble.
163860	166380	And she said, you know, the definition of expert?
167320	168480	I don't know.
168560	170220	This was, you know, in front of the whole committee.
170520	177820	And she goes, well, X is an unknown quantity, and a spurt is a drip under pressure.
177980	179760	So everybody cracked up.
179820	181180	I was loving it, right?
182940	191780	So, you know, I don't claim to be an expert in anything. All I would say is that I've made a lot of mistakes and that's a good path to learning.
191780	220620	So you really came on the public scene around this, you know, recent UFO whistleblower revelation. We've really crossed a Rubicon of sorts and kind of UFO alien world where you have this guy, Jake, Jake Barber, who's went through kind of the combat control pipeline, you know, Air Force Special Forces ended up being kind of sheep dipped to use like an Intel military world term where he was sort of erased as a person.
222020	230180	He was director of helicopter operations or whatever for a specific company, generic company.
230380	232640	But really, he was retrieving UFOs.
232660	239020	And he has come out with a story via me and Ross Colthart.
239140	244840	And he talks about retrieving an egg-shaped craft and then an octagonal craft.
245120	247280	And you've come out in support of him.
247280	253140	And you've had some incredibly interesting experiences yourself that came out in this Ross Coulthard interview.
253380	258360	And so do you want to talk about some of your own, you know, personal paranormal experiences?
258900	259800	Sure, sure.
260680	265520	Well, first of all, I want to thank you for letting me take off my academic jacket, right?
265660	270740	I should have had like leather pads sewn on the sleeves or whatever and relax a little bit.
270900	271780	Hence the shirt.
272660	277080	So, you know, the interview with Ross was pretty serious.
277280	285480	right? Because, um, I was trying to help these guys and, and sort of support them so they didn't
285480	290660	get whacked. Right. I mean, that was deadly serious stuff. Yeah. So now, um, in this environment with
290660	295860	you, I'm, I'm kind of excited to let the hair down a little bit with a little hair I have and,
295900	302200	uh, and have some fun. Yeah. So, yeah, so we can, we can get into some of those more, um, um,
303240	307860	open-minded speculation, wild speculation, sorts of things.
307940	312240	But, you know, there's an underpinning of science that's really important up underneath this.
313060	316280	And so I want to push back a little bit.
316300	318280	The Air Force doesn't use special forces.
318500	320180	That's kind of an Army term.
320400	330340	So Air Force is, they have their ground special operators in organizations called Special Tactics Squadrons.
332360	343520	So Jake, what I was able to verify was his track record in a pre-CCT training program.
343720	349240	And so that's as far as I was able to validate via his records.
349580	351420	But it's still very impressive.
351420	371260	And what's important about that is a lot of the military, whenever you, at least the way the Army did it, before we would go to scuba school, for example, Key West, the Army figured, you know, if we're sending these guys down to vacation land down there for three weeks, we're going to make them earn it.
371260	372520	So it's going to be tough.
372580	373180	And it was.
373200	375660	It's one of the most difficult schools I've ever been through.
375800	386560	Because most humans, I hate, I shouldn't say hate, but I am reluctant to put everything in one absolute declaration, all, right?
386700	392420	But the vast majority of humans are deathly afraid of drowning.
392600	394920	That's why waterboarding works, right?
395120	400560	And so holding your breath underwater and forcing you to build up your CO2.
401260	408840	oxygen. It's an excess of poison, the CO2 that builds up in your lungs. That can put anybody
408840	415340	into a frantic state pretty much. And that organization did that, the underwater operations
415340	423300	group down there. So what we used to do is we would have pre-scuba class and that would kind
423300	428780	of wash folks out so that before you spend all the money to send somebody all the way down to Key
428780	434320	West in vacation land and absorb all those resources, you want to make sure they're going
434320	434560	to pass.
434720	442380	So typically the pre-SCUBA, pre-Ranger, pre-CCT is usually more difficult.
442920	450400	And so the fact that Jake made it through that is a big feather in his cap.
450680	457400	And you believe him that he was then diverted to this sort of, you know, anonymized program
458780	461680	for specific contractors to retrieve non-human craft?
461960	462120	Yes.
462280	463560	I believe him.
464020	468160	Again, I always make this distinction about what I know versus what I believe.
468440	469000	And you believe.
469260	470600	Oh, yeah, absolutely.
470800	473660	And it's not just based on him.
474800	480580	When we first met, I met all four of his full team of four.
481040	485700	And I was looking for inconsistencies between those folks.
485700	491000	It's kind of part of tradecraft that we're trained in, you know, to try to figure out if you're walking into an ambush.
491100	495800	It was me against these four guys, and they all could have—any one of them could have kicked my butt.
495860	496800	Never mind, four of them.
497320	499380	Don't believe the Chuck Norris movies.
499420	501420	I love Chuck Norris, but don't believe those movies.
501660	508220	Because one person against two is—you're having a really tough time.
508280	510880	You've got to be superhuman to even beat those odds.
510880	518080	For my black belt test, I had to fight five other black belts at the same time.
518360	523800	And I got my nose broken by my sensei's daughter, 18 years old.
524300	527000	And it's a very humbling experience.
527960	537000	So trying to see all four of those folks collaborate, I was looking for the slightest little glance between eyes between each other.
538180	542040	and never saw the slightest hint of a red flag.
542780	547100	So collectively, they all validated each other.
547380	552300	And if they fooled me, you know, certainly my ego is part of this, right?
552400	553980	I don't want to believe that I can be fooled,
554080	556900	just like the vast majority of people don't want to believe
556900	559100	that they can be fooled by flying saucers.
559540	560680	Everybody can be fooled.
560880	563900	Yeah, but, you know, for me, it's a strength of belief, right?
564000	566620	So we were talking about probabilities, really.
567000	574540	probabilistically, I'm going to assign my belief in Jake and his team collectively at three Sigma,
574640	583520	right? So one Sigma's what's 66.666%. Two is 96, 97%. So that's an A. I'm talking A plus,
583680	592280	right? 99% sure that what he told me on my boat and all of our interactions thereafter.
592280	600980	after. I'm up there too on especially the prima facie story. And then the thing where I'm feel
600980	606960	like even he would have maybe 1% plus doubt. I don't, I don't know where he's at, but like,
606960	613600	was this egg shaped craft non-human it's to me, it's, you know, if it's just like the UAPTF,
613600	618340	you know, is assessing it. And then he he's going off his own knowledge, which is clearly advanced
618340	622340	when it comes to aviation, you know, and then it just looks very anomalous.
622800	624540	It's still like, what is that thing?
624680	625480	I don't know.
625800	626900	You know, I'd be like, what do you think?
627720	633100	Well, I, you know, I think the two most important things that I took away from that interview.
633180	639740	Now, when I did my interview with Ross, I had not seen Jake's or Fred's or Don Paul's
639740	640060	interview.
640220	644020	So we were all, and I understand why Ross probably wanted to do that.
644100	644420	Yeah.
644420	648020	just like you said, you want to kind of do things independently
648020	651940	to make sure that there's no coordination crosstalk, right?
652000	653000	And so I get that.
653680	658740	But I was deeply emotionally moved by his tears.
658880	664940	I felt like I was possessed by the most beautiful spirit
664940	666980	I've ever been possessed by.
667620	671180	When he was talking about that feeling of love coming from
671180	676660	whatever the whatever the craft it was i don't think it was coming from the egg he was telling
676660	684940	that that was the the eight gone octagon shit crap um so that was extremely powerful and extremely
