start	end	text
1820	8220	Skywatcher truly is a technology company that was started because of UAP.
10160	15080	After we turn on the dog whistle, UAPs literally come to us day after day.
15300	18260	Jordan, our sound lead, came up to me and Alex like,
18280	21120	Hey, tomorrow we're going to see a conflict in the sky.
21340	24800	We're going to have different UAPs are going to come in and there's going to be...
24800	25420	He sensed that.
25620	26520	He said that.
26700	27020	Whoa.
27020	27220	Oh!
29160	31960	We're seeing multiple classes, three classes today.
32160	35120	We saw them all with binoculars and or the naked eye,
35220	36780	which is really new for us.
36840	38620	We've not had that experience in the last five years.
38820	41160	These days, since our technology platforms
41700	46020	are so high to generate effects, they could mimic,
46880	50420	and our detection platforms are so well advanced,
50640	52380	so we could see a lot more,
52380	56260	than it really is a zoo of options and possibilities.
59680	63680	We have three spectrums and we see them on radar.
63900	65780	Then we get in a helicopter and go chase them
65780	67580	and they evade us, right?
67780	70500	But they evade us because the ground can see them invading.
70600	72560	From the air, we've never laid eyes on them.
72980	74440	Right, we're sitting there with binoculars,
74440	76140	sitting there with S-wear cameras.
78360	80480	The reason why the electro-optical can see them,
82380	84340	is where they're actually emitting light.
85840	88160	I think the government's conflicted right now.
88860	91200	I think they have advanced secret physics
91200	93060	and knowledge in science.
93260	93900	I agree with you.
93940	96280	That they've had probably since at least
96280	97180	the end of World War II.
98280	101060	You know that there's physics knowledge
101060	103740	held by aerospace companies that is not known?
103740	105360	There certainly is materials knowledge.
105760	107920	Materials, well, okay, materials science.
107920	110040	Which involves topological physics or whatever.
110040	115900	What I think a lot of people expect in this subject is for everything to tie together so neatly and perfectly.
116200	120420	You know, it's like the things you're seeing in the sky are the things that we have on the ground,
120540	126940	are the secret science things, is the consciousness stuff, and it all fits together in this neat thing.
127160	130740	And then also space aliens, and they're from Zeta Reticuli, and you're like, oh, it's easy.
130940	135020	And in fact, all of those things could be their own disparate threads.
135020	141900	reds. The skies are not classified and we are seeing things in the skies. Those things seem
141900	148660	to be there all the time. Mid-turn before he could actually turn it to the UAP, the UAP hit
148660	159860	us with an energy weapon. Whoa. I'm here with James Fowler. It's an honor to have you, man. I am
159860	163420	I'm beyond intrigued at what you're doing with Skywatcher.
163480	179300	We have a mutual friend, Jake Barber, who gave me the honor and privilege of helping tell his story after Ross Coulthart came out as the first person, one of the first people to retrieve this craft of non-human origin, an egg-shaped craft.
179720	185480	And he mentioned when I was interviewing him that he had this private enterprise he was working on called Skywatcher.
185540	188680	Since then, you guys have dropped a couple of really incredible videos.
189860	195660	to say was pretty mind-blowing. Each UAP class has different characteristics. Some shimmer,
195840	200540	some tumble, some spin, some look like they're alive and they just fly like a living object in
200540	206520	the sky. UAPs are extremely hard to image. What is seen with the naked eye is generally not what
206520	210860	is seen under camera. Even me, I'm sometimes skeptical like what what you know what are these
210860	216860	guys gonna find and I thought the taxonomy you guys had nine classes of UFOs that you showed
218060	221560	was really impressive. And you're, I think, you know, pushing the field forward
222040	226540	with that categorization and with, you know, the sensing techniques you're using. So
226540	229040	James, thank you for being here today. I appreciate you.
229100	230240	Happy to be here, Jesse.
230520	233820	And we're on this, what is this? The USS Hornet right now.
233820	235520	Yeah. On a museum, a floating museum.
235660	243180	A floating museum UAP hackathon. So super cool. And I guess the main question I want to start with
243180	246880	is how does one get into a private enterprise
246880	249020	around detecting UAPs?
249040	250840	What's the origin story for you?
251160	253700	Well, so I started out in the military,
253860	256140	spent a career there, retired as a sergeant major,
256760	258240	retired in 2020,
259000	262620	and spent about 23 years working for the government,
263240	264800	deploying a lot, jumping out of airplanes,
264900	268000	doing interesting things in bad places, usually.
268920	271540	After I retired, I started several companies,
273180	279960	contracted by the government to do different war game projects. At one of those war game events
279960	288900	in 2021, we had an observation. It turned out to be class one UAPs. And we originally thought that
288900	293820	that was a government made, U.S. government made tool. So we were very secretive about it. We
293820	298240	protected it and did all the due diligence to kind of make sure that that didn't get out anywhere
298240	302820	just in case it was made in America and need to be protected. So that's how we kind of got into it.
303180	310200	actually by accident. And I'd be remiss if I didn't mention, I am the, if you will, the lead
310200	315460	operations guy. I'm the guy who drove the discovery, but I'm not the person, I'm not the
315460	321160	pioneer that actually discovered it. So there's two pioneers in this field who wish to remain
321160	328720	anonymous right now. One is Mr. K, I'll say. And he's a really cool dude. He's like a physicist,
328720	334640	physicist, makes jet engines, flamethrowers, works on hot rods, and does physics for fun as well.
334740	340660	He's a really, really cool dude. He is actually the first one on our team that figured out that,
340700	345940	hey, there's UAPs over us, and hey, you got to come look at this. And we discovered, okay,
345980	348520	there's something going on here. And if it wasn't for him, we would not have figured out the dog
348520	352620	whistle. We would not have progressed to where we're at. It is because of him that we've arrived
352620	355720	here. Sounds like a genius. Sounds like a cool guy to hang out with.
355720	370620	Oh, yeah. He's a very, very cool dude. And the other one is Mr. D. He made a discovery with the signals. So for a while, we couldn't detect the UAPs with radar. Actually, the radar was detecting them, but not telling us it was detecting them.
370620	381000	And Mr. D figured out, hey, we can detect signals from these craft and geolocate them or direction find them in the sky and then put the camera on it and there it is.
381300	389080	So those are really the two pioneers that I feel like it's not fair if I don't mention them because they are the pioneers here, right?
389360	395740	I am merely the person who harnessed their knowledge and their pioneering attitude and capabilities to arrive where we are at today.
395740	399860	If this is an advanced species and is smart enough to do what it's doing,
400040	403980	they have the upper hand and we are the little ants under the magnifying glass.
404320	410400	We had a class 7 UAP. We went ahead and launched the Hilo to pursue it. Before
410400	415040	the Hilo got here, it actually came and hovered right over us. For the first time
415040	420200	we saw a class 7 with a naked eye. It was very glinty, looked metallic. Through our
420200	423560	optics we've always thought it was purple or black. Frankly the reflections
423560	425700	It looked like chrome almost color.
425980	431000	So you mentioned simulating war games and these UAPs show up.
431100	436480	Do you think, and obviously you get into speculative territory and you know kind of philosophy,
436620	440580	and I really want to get into kind of the hard data because that's what you guys sort of specialize in,
440680	447340	but you think that might kind of show that we're living in some sort of three-body problem universe or something
447340	449120	where they don't want us to harm ourselves?
449120	464480	You know, they show up around nuclear sites. They seem to across the U.S., but even abroad as well. And does that signal that they don't want us to, you know, blow ourselves up or something? Or why do you think they show up around these sort of war games?
464480	470260	games? So we have some ideas on that, and I have some opinions on that. We'll say, for example,
470260	474480	in 2021, the first time we saw them, we were running a war game for the government. The
474480	480200	deliverable for that war game was tactics, and we had a blue team and a red team. The blue team's
480200	487080	job was to bring American-made, government-made, and commercial-made protective systems for blue
487080	492720	forces. Think air defense, think counter-drone, think other things. And then the red team was,
494480	499400	as well as one-off hobbyist type drones, aircraft and other things.
499580	503320	And the red team's job was to penetrate the airspace of the blue team
503320	509120	or react, cause them to be able to basically tactically envelop the blue team
