start	end	text
0	1300	Look, here's the bottom line, guys.
1340	2080	It's very simple.
2200	4440	Either A, the reality is that UAP are here,
4520	7700	or B, this is some form of mass hysteria.
7760	9500	And if it is mass hysteria, that means
9500	11780	you have admirals, generals, trained pilots
11780	13840	with top secret clearances, weapons officers,
14200	17280	Air Force nuclear technicians, literally with their fingers
17280	18560	on the nuclear button.
18680	19080	Yeah.
19140	19400	Right.
19520	20820	That are all batsh- crazy.
21760	22640	Luis Elizondo.
22800	23660	Lou Elizondo.
23740	24500	Lou Elizondo.
24680	25320	Lou Elizondo.
25440	25860	Lou Elizondo.
26000	26140	Luis.
26280	27780	What is going on?
27820	28260	Is it aliens?
30000	30660	Non-human.
30760	31220	NHI.
31260	31620	Tic Tac.
31780	32280	Black Cube.
32480	32940	Jellyfish.
33160	33720	Blowing Red.
33960	34700	Triangular craft.
34960	35620	Better than our airplane.
35820	36400	That's nuts.
36620	38900	You can't stop a United pilot from posting a TikTok.
39360	42200	The white lettering under interference syndrome injuries.
42500	43600	What's going on there?
43940	45640	I'll have to be careful answering that question.
45680	46300	Okay, no worries.
46480	49620	Are we ready to tell the American people the truth about UFOs?
55260	56820	Not a good living still, I presume.
59060	59660	How's it going?
60600	61440	Give me a hug.
63080	64580	Hey, brother Henley, how are you?
64760	65500	I'm good, man.
65940	67440	We got the whole crew back in action.
67660	68440	Let's do it, guys.
69680	70220	After you.
70320	72060	Hey, gents, by the way, you're not gonna believe this.
72580	73900	This gentleman here, Mr. Hill,
74020	76880	was living here in Washington, D.C., in 1952
76880	79620	during the famous UFO incident here over Washington,
79760	80660	and he was just like this.
80820	81400	No way.
81420	82660	We just picked it up right now.
82720	84420	Him and his father were sitting on the front porch,
84520	86800	and he actually witnessed the UFO.
86820	88580	UFO event here over the Capitol building.
88680	91660	One of the last few people that I know that actually can tell this story.
91840	92660	We got an interview.
92940	97020	I literally just met him right now, but about 10 minutes ago.
97160	98520	You know who this guy is?
98900	101580	Yeah. I knew the face when he came to the door. I said, no, no, no.
101600	105160	You say, you know, I told him he should have just turned me away.
110300	111020	First off,
111060	115260	I want to give a huge thanks to delete me for sponsoring today's video.
116820	119220	is the man behind modern UFO disclosure.
119620	122140	Hate him or love him, there's a high chance
122140	125740	he wouldn't even be thinking or talking about UFOs right now
125740	127200	if it weren't for this man
127200	129480	and his work over the last eight years.
129800	131060	What's it like to be me?
131240	133220	I wouldn't want anybody to have to be me.
133540	136860	I don't wanna be me in this particular case
137420	138540	because it's very tough.
138740	141340	You're right, half of the government hates what I've done.
141740	143940	They consider it talking out of school.
144200	145520	And of course, you're right,
146820	150880	know what to think right am i a disinformation agent i got all these things around here from
150880	159420	various intelligence agencies right i can't be trusted no way what how you doing sir nice to
159420	164440	meet you oh my god i'm lou i'm like actually geeking out for like the first time ever
165300	171080	sir your name nate nate nice to meet you sir sure if you want this one i can thank you
171080	172560	Do you like make videos or something?
172900	174620	No, that's this guy that makes videos.
174700	176100	He's a famous YouTuber, not me.
176840	178400	Let me get this behind, too.
178620	179200	Here, come on, guys.
179260	180760	Look at the Devil's Tower and runs into this guy.
182020	184720	Luis Elizondo is a Pentagon whistleblower
184720	186760	whose fame has reached new heights
186760	188860	with his autobiography, Imminent,
188980	190760	in which he discusses the existence
190760	194180	of American legacy UFO reverse engineering programs
194720	196980	and of non-human intelligence,
197320	198920	the fact that we are not alone.
198920	204120	I don't think the fact that we are not alone in this universe is necessarily something
204120	205440	that needs to be classified.
205780	211500	He was the director of AATIP, or the Advanced Aerial Threat Identification Program, which
211500	217140	was an offshoot of OSAP, or the Advanced Aerospace Weapons Systems Application Program.
217420	218840	I know, a lot of acronyms.
218960	223300	We'll help you understand these programs and what they were actually intended for later
223300	227560	in the episode, because there are a lot of popular misconceptions about both.
231600	232640	This is great.
232840	233160	Yeah.
234460	237240	This interview took place across two locations.
237860	239000	Lou's home in Wyoming.
239320	240820	We filmed this two years ago.
240980	244920	And a certain special naval lodge in Washington, D.C. this August.
245240	245560	Wow.
246080	246880	Masonic temple.
247700	249440	A lot of our founding fathers were Freemasons.
250100	254220	And a lot of these buildings were built by, inspired by Freemasons.
254400	256680	And you have the pyramid and the eye on the dollar.
256960	257300	Oh, yeah.
257300	258360	Yeah, yeah, a lot of symbolism.
258400	260140	The Pentagon itself, the shape of the Pentagon.
260260	265960	The way all the Lafont, basically the architect who built DC.
266220	266400	Yeah.
266700	270760	If you look at the street from the air, you see the square and compass.
271120	271960	So interesting.
272000	272540	I didn't know that.
272660	272800	Yep.
274080	279360	I brought along Amar Kandil, one of my best friends and one third of the incredible YouTube
279360	281500	channel Yes Theory to help here.
281660	283120	And we had an absolute blast.
283120	287900	The dissemination of information now exists in a way that it cannot be controlled.
288220	291080	You know, until recently, I'd never seen Close Encounters of the Third Kind.
291200	294780	I found it really interesting that Spielberg got a lot of it right.
294960	295940	I was like, wow.
298160	301360	Before Lou's pivotal role in UFO investigations,
301900	307840	he had an extremely intense history in American special operations, warfare, and intelligence.
307840	314680	They've seen both the best of man and the worst of man, all within seconds of each other.
320880	327180	His father, Lou Sr., was a Cuban exile who originally fought shoulder to shoulder with
327180	327620	Castro.
329520	334600	After falling out with the Cuban communists and coming to America, he became part of the
334600	337560	the CIA's Bay of Pigs invasion to topple Castro.
337820	340600	Finally, he joined a hardcore militant group
340600	343220	of Cuban exiles called Alpha 66
343220	346660	that engaged in all sorts of very interesting
346660	349060	rogue operations for three-letter agencies.
349400	353620	Alpha 66's explicit mission was to eventually invade Cuba
353620	354700	and topple Castro.
354940	357760	This was the environment Elizondo grew up in.
357940	360880	Little Lou knew how to work every gun under the sun.
362640	365960	Here's how you cock this. Pull it back, let it go.
367440	371600	Bang, bang, bang, bang, bang, bang, bang. That's insane.
372900	378800	He went on to fulfill a pretty badass career in American defense and intelligence, protecting
378800	384700	the U.S.'s most advanced technologies, running intelligence efforts against ISIS, Al Qaeda,
