start	end	text
1420	5880	I've always believed there had to be a better way to move an object from point A to point B.
5940	9440	There just had to be. So I spent two decades looking at hidden momentum.
11920	16640	You do think you've discovered a propulsion mechanism that can get us interstellar travel.
16960	20160	I take those lifters and I put them in a plastic box and I put it on a scale.
20240	23880	You turn it on, the thing lifts up and the weight flatlines. It does not move at all.
24360	28260	Still about 200 micronewtons of force still inside.
30000	32960	How many variations of this experiment do you think you've tried?
33180	34660	We are close to 2,000.
34700	36540	2,000 instances of the experiment?
36720	38140	No, 2,000 variations.
38780	39660	Holy shit.
39660	40400	Two test articles.
40560	42160	Each one is tested multiple times.
42920	47260	If you were to apply that to a satellite in space in a zero-gravity environment,
47960	50120	it would accelerate with the power off.
50740	52400	Can't explain that to the scientific community.
52640	53340	I just can't.
53700	57400	The idea that you could just charge it up and leave it there and it gets thrust,
57400	61020	like it hurts my brain to even imagine how is that possible.
61260	63180	These are very weird things.
63840	67000	It's like you create this thrust mode that just keeps going.
67320	68420	I don't think I'm bending spacetime.
68680	69120	Man!
71660	73300	For over a century,
73560	76740	humanity's journey to the stars has been held hostage
76740	78820	by a simple, unyielding truth.
79720	81060	Newton's Third Law.
81360	84700	For every action, there's an equal and opposite reaction.
86460	92520	It's the law that powers every rocket, every satellite, every probe we've ever launched.
93020	96660	And it's also the law that keeps us trapped here on Earth.
97180	102900	In order to get to the closest habitable planet in our very own Milky Way galaxy, a place
102900	108140	called Proxima Centauri b, it would take you 50 to 80,000 years in a chemical combustion
108140	108820	rocket.
109020	112280	You would die before even getting 1% of the way there.
112280	117660	And if you somehow figured out a way to live for thousands of years, by the time you came
117660	121980	back to Earth after a trip like that, it would be totally unrecognizable.
122160	124820	You'd be playing out the ending of the Planet of the Apes.
127140	130440	To go anywhere in space, you have to carry fuel.
130820	131980	Massive amounts of it.
132060	136860	Over 90% of any rocket's mass at launch is just propellant.
136880	137660	Pure fuel.
137660	142120	fuel, burned and ejected out of the back to push the remaining 10% forward.
143080	148280	Launching a rocket to get a satellite into space is like flying a fully loaded 747 to
148280	149280	deliver a suitcase.
150880	155260	One of the challenges we have to solve is orbital refilling, where we dock on orbit
155260	156320	and transfer propellant.
156520	162640	The modern king of rocketry and Mr. Occupy Mars himself, Elon Musk, has publicly stated
162640	166020	that Newton's laws are the end-all be-all for space travel.
167660	168780	quite adamant about that.
169500	171780	There's no way around Newton's third law, really.
171980	174680	You basically have to expel mass.
175780	181020	The original godfather of American rocketry, Jack Parsons, believed this as well.
181300	187060	In 1936, he and some colleagues at Caltech began launching the first rocket tests in
187060	188200	western Pasadena.
188860	194580	But what most people don't know is that a decade before Jack Parsons, in the 1920s,
194580	200140	there was someone else at Caltech with some very different ideas for deep space travel.
200360	201160	Townsend Brown.
201260	202060	Townsend Brown.
202180	202820	Townsend Brown.
202900	203380	Townsend Brown.
203540	204740	There's a guy named Townsend Brown.
204780	205960	Okay, okay, Townsend Brown.
206640	212000	Brown had stumbled onto something that mainstream science still refuses to acknowledge.
212840	220000	A possible break in Newton's laws, a new force, or perhaps a way to manipulate gravity itself
220000	221920	itself with electromagnetism.
222740	227860	Unifying these two fundamental forces has been the holy grail of physics for the last
227860	230560	century, what Einstein died searching for.
233200	238080	Townsend Brown discovered that when you apply a high voltage to certain asymmetric capacitors,
238200	239540	they produce thrust.
239940	246760	No fuel, no exhaust, no propellant, just electricity, converted directly into motion.
246760	251800	a new model for space propulsion that could eliminate crude chemical combustion forever.
253660	257500	Brown called his antigravity work electrogravitics.
257660	260140	Meanwhile, physics textbooks called it impossible.
260520	263660	And because of that, he was dismissed, ridiculed,
263700	266800	and eventually erased from the official story of physics.
269040	274580	But if you dig a bit deeper and read his incredible biography by Paul Shatskin,
274580	277940	you start to piece together a very different picture,
278100	282660	one in which Townsend Brown isn't easily dismissed as an amateur quack.
282760	287460	In fact, his work was witnessed by the highest levels of government and military.
287680	289640	Now we're getting some interesting territory.
289920	295320	People like notorious Air Force Chief of Staff Curtis LeMay, who courted Brown constantly.
295600	299080	People like Edward Teller, the father of the hydrogen bomb.
299260	302000	Bill Lear, the founder of the first private jet.
302000	307260	And Agnew Bonson, founder of the Institute of Field Physics at North Carolina, a lieutenant
307260	311580	colonel from Wright Airfield who went on to become a general named Victor Bertrandius,
311800	316280	witnessed Brown's gravitator experiments in Los Angeles in 1952.
316480	321740	He was quoted as saying, believe it or not, I think I just saw a flying saucer, and it
321740	322360	frightened me.
323620	329280	And if that's not all, we have audio of a deathbed confession from French aerospace
329280	334520	Space Executive Jacques Cornillon, who witnessed Brown's successful experiments in a vacuum
334520	340700	chamber in 1956 in Paris, explicitly stated he witnessed a positive result.
343380	350200	This is to go along with an 120-page report around that specific experiment that's widely
350200	351840	available online today.
351840	359980	day. Nonetheless, stigma, tech protection, and scientific suppression are all very real. Brown's
359980	366920	work is still likely classified by the Navy to this day. Over the last 70 years, Brown's
366920	372440	experiments never went away. They just went underground. They've been replicated all over
372440	378920	the world in places as far as Japan, but usually by persistent hobbyist teams or aerospace engineers
378920	382420	stringing some funds together and operating out of pure passion.
382800	389760	But in deep black American aerospace, I believe Brown's work still exists in the form of whispers
389760	393400	and vital sub-compartments where it gets explored further.
394060	400740	Okay, so that's the backdrop. Newton has us stuck on Earth, industry titans like Elon can't be
400740	406480	bothered to explore new propulsion modalities, and Townsend Brown is a total ghost relegated
406480	408200	to quacky UFO circles.
408440	410060	That is, until today.
410560	412900	Inside a quiet lab in Florida,
413140	415540	NASA's lead electrostatic scientist,
415880	418520	a man named Dr. Charles Buehler,
418660	421780	has been running the same gravity-altering tests
421780	423600	as Thomas Townsend Brown.
423920	425960	When we see about 0.1 grams,
426240	428400	that corresponds to about one millinewton of thrust.
429080	431880	Only this time with modern instruments,
432120	433400	more rigorous controls,
433400	438840	roles, and decades of electrostatics expertise from his work at Kennedy Space Center behind
438840	439280	him.
439440	441880	And what he's measuring is thrust.
442340	445240	Real, repeatable, directional thrust.
445640	450460	No combustion, no reaction mass, the future of space travel.
450720	451980	We say we have an energy crisis.
452080	453000	Oh my God, the energy crisis.
453180	457500	Well, it could be considered an energy crisis, but it's really a force crisis.
457700	459240	It's a transportation crisis.
459400	461440	How do you get an object from here to here?
463400	468640	his company, Exodus Propulsion Technologies, Buehler isn't just replicating Townsend Brown's
468640	475080	work. He's validating it, scaling it, showing literal weight loss on scales due to upward
475080	481640	thrust. Again, Buehler is not some mid-level guy at NASA. He's the lead electrostatic scientist
481640	487340	in the entire agency. And you're also, I believe, about to be the president of the Electrostatic
487340	493240	Society too? That's correct. And he's contributed two fundamental principles to the field of
493400	498920	electrostatics that are now widely accepted. The question is no longer whether the Bifield-Brown
498920	505140	effect is real or not. The question is, where could this lead humanity? How can we scale this
505140	511380	up? And what is the theoretical physics behind it? On this last question, Charles goes deeper
511380	518040	on this show than he has in any other interview on his own quantum electrodynamics-based theory
518040	519720	around how this force works.
519940	521180	And I brought in my friend,
521300	524740	a brilliant MIT trained physicist named David Chester
524740	527640	to help stress test and sharpen Bueller's theory.
527880	531200	What happens when propulsion no longer requires fuel?
531380	534480	When the tyranny of rocket equations finally breaks?
534860	535740	Without further ado,
535900	539020	please welcome this week's amazing American alchemist,
539120	544060	NASA and Exodus propulsion's very own Dr. Charles Bueller.
544060	546300	Ignition sequence start.
548480	549660	How is this possible?
551100	552420	Nothing too unusual about that.
554840	557420	Their existence cannot longer be denied.
557420	558580	I love you.
587420	591620	No sounds, no nervous system weirdness. Just clean, clear mental energy.
591800	597460	The reason it works is pretty simple. It gives your brain's ketones, which are almost by definition
597460	603460	its most efficient fuel source. Instead of pushing your system, it actually feeds it. In fact,
603500	608580	your body endogenously produces ketones. So when you drink this, it supports deep focus,
608820	613500	long conversations, and sustained mental performance. It was originally developed
616300	621440	for high-stress environments where cognitive performance really matters. And today, it's used
621440	626560	by founders, researchers, podcasters like myself, and people who need their mind to work when it
626560	631860	counts. I always take a sip of one of these things before long podcasts. This product is also really
631860	636520	personal for me because I've known the founders, Jeff and Michael, for over a decade. These guys
636520	641240	are awesome, and for as long as I've known them, they've tried every supplement, biohack, and
641240	646080	nootropic under the sun. So it was a pretty good signal to me that they decided to start a company
646300	652120	around ketones. I use Ketone IQ regularly. It's like a mental cheat code, and it's genuinely one
652120	656960	of the cleanest energy sources I've ever found. So before we get back into the episode, please
656960	663560	visit ketone.com slash alchemy for 30% off your subscription order, plus receive a free gift with
663560	669760	your second shipment. Again, that's ketone.com slash alchemy for 30% off your order. Or you can
669760	675940	find Ketone IQ at Target stores nationwide and get your first shot free. Seriously, this stuff
676300	680060	Thanks so much to Ketone IQ for sponsoring today's episode.
680280	686060	Everyone talks about the Bermuda Triangle, but no one warns you about its colder, weirder cousin.
686280	691820	In the heart of Alaska lies the Alaska Triangle, where planes disappear, hikers vanish,
692080	697500	and the only thing that shows up reliably is my Wild Alaskan Company seafood box.
697780	703940	I'm being serious here, guys. I definitely don't trust flying over portals, but I do trust this fish.
703940	709440	Most seafood? I can't even look at it without wondering if it was farmed in a glowing vat
709440	716220	near a nuclear power plant. But this fish? 100% wild caught. Flash frozen off the boat.
716380	720740	Delivered straight to my door like it teleported through one of Eric Davis' wormholes,
720980	725260	and it still tastes better than just about anything your cousin microwaves.
725400	731240	No antibiotics. No additives. No fish farm sludge. Just real fish.
731240	736060	Fish. Coho salmon, Pacific halibut, and my favorite, the sockeye salmon.
736340	739960	Not all fish are the same. Get seafood you can trust.
740220	747720	Go to wildalaskan.com slash jesse for $35 off your first box of premium wild-caught seafood.
748120	753920	That's wildalaskan.com slash jesse for $35 off your first order.
754160	758100	Thank you so much to Wild Alaskan Company for sponsoring this episode.
758100	765240	episode. I'm here with Charles Buehler, who this is a holy grail interview for me. I'm like a kid
765240	772540	on Christmas because it's been like the search for Buehler ever since, you know, we connected a
772540	777380	couple of years ago because I made this Townsend Brown documentary. And as you know, and my audience
777380	783020	knows, I'm obsessed with this mid-century inventor, Thomas Townsend Brown. I think he found a real
783020	788940	force that lies outside of either the four fundamental forces might have merged gravity
788940	794740	and electromagnetism. I don't quite know, but something that transcends kind of our chemical
794740	801160	combustion modalities that will take us interstellar. And as soon as I came out with that,
801260	805100	a bunch of people hit me up and they're like, you got to talk to Charles Buehler.
805240	810940	He's the lead electrostatic scientist at NASA, and he's been doing this experiment,
810940	832120	but his own kind of version of it, his updated, better version of it in a vacuum chamber he's had access to for a decade plus. And so we connected a little bit. We kind of fell off. I'm so grateful to have you here now. It's just a total honor. And you're also, I believe, about to be the president of the Electrostatic Society, too.
833220	833800	That's correct.
861920	867760	center. So before I go on, I have to diverse to make everyone aware that this is not affiliated
868240	873140	with NASA, any of this work that we're doing. It's not sanctioned by NASA and we are not giving any
874260	879860	credence to NASA in this. Disclaimer accepted. I think maybe it's a little bizarre that NASA
879860	884560	wouldn't want to immediately kind of jump on this work. But they're probably going to be a customer
884560	889240	later on. We're not working this technology at NASA, at least not in my laboratory.
889240	894760	or you're not. But you are, is it safe to say you're the lead electrostatic scientist at all
894760	900500	of NASA? I would say that. I mean, we only have one electrostatics lab in all of NASA and I lead
900500	909320	it. And you run it. So by default, yes. Yeah. Okay. So again, if this sort of force were
909320	917020	attributable to basic electrostatics, you would know. Sure. Let's back up a second. And you know,
917020	918540	That's a really impressive, cool title.
919240	923160	What does somebody who leads electrostatics at NASA do?
924660	926180	Our lab does a lot of things.
927280	930580	It was founded about 26 years ago by Dr. Carlos Gaye,
930760	934460	a physicist who spent a summer working at Kennedy Space Center,
935180	937840	came back the following year and started the lab.
939320	943000	We do electrostatics at NASA, at Kennedy Space Center,
943020	945540	because of incidents that occurred in the 1960s.
947020	954920	There was an incident that trapped 11 people in a spin test facility where they accidentally set off a rocket, a solid rocket.
955880	957780	And there were some casualties there.
957940	960380	So we also had the Apollo fire that you've heard about.
960720	964780	So we've lost, I think, 14 people to electrostatics at NASA.
965460	971280	So Kennedy Space Center has kind of led this effort to study this phenomena and test it.
971980	988560	And a lot of the tests that we've been doing date to the 1960s, long before they had standardized testing from electrostatics. So Dr. Carlos Kaye formed a research arm of that test about 26 years ago.
988560	1001720	And aren't there also issues with lunar dust, you know, getting attracted to the lunar lander and electrostatics sort of allowing or removing the dust or something like that? Is that is that a thing?
1002320	1002460	Yes.
1002840	1011700	So when I get on the stand and I talk about these things, my pedestal, I always talk about the safety and need to study electrostatics.
1011700	1013500	But no one pays us to study electrostatics.
1014200	1019960	It's a case-by-case thing where people will give us funding to look at and investigate, just like any other investigation.
1020980	1022780	But it doesn't pay the bills.
1024420	1030820	So what we've done is we've understood some of the needs for NASA that are in the electrostatics realm.
1031720	1033520	For example, the dust mitigation aspect.
1033820	1043280	So dust is considered one of the two greatest challenges that have to be overcome for long-term human presence on the moon or Mars.
1043680	1051040	The dust was very problematic for the Apollo astronauts where they couldn't even do a fourth EVA.
1051060	1052340	They could do three, they couldn't do four.
1052560	1059200	Dust would clog the suits and get into the arms, into the helmet, into the joints.
1059200	1065660	and it just prevented further EVAs, extra vehicle activities.
1066120	1068880	So the dust mitigation is a serious one.
1068940	1069620	It's taken by NASA.
1069760	1071360	I think every center is working on it.
1071740	1074380	But we actually have many dust mitigation technologies
1074380	1075640	that we've developed over the years.
1076640	1080380	Our primary one is the electrodynamic dust shield, the EDS.
1080920	1085700	So this uses a surface that has embedded electrodes inside of it
1085700	1088120	that lifts and removes dust without moving parts
1089200	1090300	gases or fluids or anything.
1090480	1092260	So we can embed that into glass.
1092260	1097400	We can embed that into thermal radiators, solar panels, solar rays, all kinds of materials.
