start	end	text
0	2700	They're not coming in from another star system every other Tuesday.
2860	4120	They're present here.
5180	10000	There are handfuls of people doing weird things here and there.
10200	11840	Those people are all over the place.
12180	15680	Some of them I knew when I was at NASA have come to talk to me and said,
15760	18200	oh yeah, I was interested. I know something about this or that.
19740	22100	Have you met anybody working on the crafts themselves?
22660	25400	I've met people who claim to have worked on them or seen them.
25500	25760	Really?
25840	26280	So, yeah.
26980	31000	So the question I've had is why, when we had the NASA commission,
31320	35160	why was there no section on what astronauts have seen in space?
37120	40280	I talked to Alan Bean. He was from Apollo 12.
40620	46460	He said that when he went up to Skylab, they actually photographed a red flashing light.
47000	50180	Nobody puts lights on satellites. First, you don't need them.
50260	51620	And second, it's more weight.
51760	54740	Also, satellites back then weren't doing proximity operations.
56280	59400	predictable orbits. They weren't changing orbits. They weren't changing orbits. Yeah.
60400	64460	They actually had a craft pull up alongside of them. Whoa!
64480	70740	After orbit and the cosmonaut drew a picture of the object. The story Musgrave, a shuttle pilot,
70880	76860	also talked about seeing things like snakes. Wow! Things writhing around in space. Really? Yeah.
76860	77020	Yeah.
81140	84100	This is a phenomenon that people have seen for centuries.
84420	86500	This case is going back to the 1800s.
86500	87120	Back to Columbus.
87120	88680	Balls of light coming out of the water,
88780	90900	hovering next to the ship, following the ship,
90920	92120	and then taking off into the clouds.
93440	96040	And that's why I think there's probably bases underwater
96040	97040	is your best bet.
102880	105860	This message is sponsored by my favorite headphones,
106960	112580	One thing we talk about a lot on this channel is one's awareness, what you notice, what you miss,
112720	115500	and how technology quietly shapes your perception.
115880	118960	Most earbuds completely shut you off from your surroundings.
119220	123840	That's fine sometimes, but when you're moving through the world, when you're on a run or you're at the gym,
124060	126900	I personally don't want to be cut off from reality.
127260	130940	That's why I've been using these Raycon Essential Open Earbuds.
131120	136580	They sit just outside the ear canal so you get clear audio, but you still hear what's happening around you.
136860	140840	You're fully aware. You're not in a daze, out of it, or cut off from reality.
