start	end	text
1460	6340	The suppression of knowledge, the suppression of science, the active interference in scientific
6340	12780	discovery. What you are allowed to think and believe is controlled for a real agenda.
13740	18620	Matthew Brown, it's an honor to have you. You have a core story where you bumped into a lot
18620	23360	of real information around UFO tracking and reverse engineering programs that were ongoing
23360	27040	and multigenerational. Can you say what your position was at the Pentagon?
27040	30480	I was a policy advisor. I was working the counter WMD mission.
30840	33320	Once I was read in, UAP just popped up.
34460	36320	In this case, the Immaculate Constellation.
36440	40600	You're building an operational picture of the world and having all domain awareness.
41080	44140	Do you think they would know vital secrets about UFOs?
44260	47400	We're running up against their own interests in not disclosing this
47400	50480	because it will challenge their economic, social, and political power.
50800	56320	Bait for shootdowns is in fact cover for using psionics as breeding stock
57040	60140	down the line where you have some sort of super psychic child.
60500	60760	Whoa.
61640	63980	Triangles in particular seem to be highly advanced.
64280	68200	They appeared above Russian naval vessels, relatively close.
68300	69440	Like, it wasn't way up in the sky.
69640	71100	It was a football field above them.
71260	73980	The Russians had foreknowledge that this triangle would appear there,
74080	75740	and they were essentially there to meet with it.
76100	78060	Seems like there was some reason for that meeting.
78140	81080	So you think the meeting was intentional on both sides?
86340	91560	Your report mentions a formation of 12 metallic orbs skimming the ocean's surface at high
91560	93900	speed before dispersing in multiple directions.
94180	95340	That's pretty wild.
95540	95760	Yep.
95820	100680	The White House possesses a unique AI capable of accurately predicting a range of future
100680	101040	events.
101220	102060	What does that mean?
103620	105800	Our mind is no longer sovereign.
105980	108760	It can be interfaced through remote means.
108760	112940	even our dreams are now subject to technological manipulation.
113320	114760	This isn't even classified knowledge.
115020	119080	Technical applications from MIT itself relating to dream implantation,
119200	120300	including at a distance.
120580	123880	Do you think ideas can be implanted in somebody's waking life?
124100	124240	Yes.
124320	125560	That's freaky.
125580	126060	It is.
126060	126780	And you're high confidence.
127100	127660	I'm certain.
127780	128280	That's insane.
130200	131920	Ignition sequence 5.
134140	135100	How is this possible?
136120	137960	Nothing too unusual about that.
139440	142880	Their existence cannot longer be denied.
