start	end	text
0	3240	We look at the Giza Plateau and we look at the pyramids and we think,
3360	6360	wow, that's incredible, look at the achievements, but what about under the ground?
6560	11020	There was a whole network of rooms and cavities underneath the Sphinx.
11160	15860	The entire area of Giza may have an entire subterranean area underneath it.
15960	17620	You realize the implications of what you're saying.
17680	22060	You're saying that NASA figured out that we're actually living in these sort of civilizational cycles
22060	23140	and they're hiding it.
23240	26840	And in order to cover it up, they blocked all knowledge of the binary star companion
26840	29640	so that that whole cycle would not be understood.
30000	33520	You're of the opinion that this dead star is headed towards the sun now?
33720	33960	Yes.
34220	36100	When do you think these underground cities were built?
36260	37340	That's the ultimate question.
37480	38220	Nobody knows.
38380	41400	And it was sealed and buried and concealed by the flood.
41660	43420	You think this is what we call Atlantis?
43660	47180	I would say that it's what we're looking for for the lost civilizations.
50020	53580	Matt LaCroix, I could not be more excited to have you, man.
53760	55180	This has been a long time coming.
55380	57780	I've seen a couple of your episodes with Julian Dory.
57780	60400	And it's really serendipitous because I'm in L.A.
60460	65500	I interviewed Graham Hancock two days ago, and I feel like he takes things to a certain point.
65840	72600	He's done an amazing job along with Randall Carlson and many others as far as, I think, really proving out the Younger Dryas impact theory,
72760	83980	this idea that at the latter end of the last ice age, there was maybe this comet airburst from the Tord meteor stream that wiped out some proto-civilization,
84100	86680	some civilization that existed prior to ours.
87860	92900	speculates as to what that civilization is. He talks about the Atlantean myth, which comes from
92900	99560	Plato. But I think where Graham falls short, and he'll admit he falls short at times, is actually
99560	106880	proving out that that proto-civilization definitely existed, characterizing them. Who were they? What
106880	112180	did they do? What were their mythologies? How did they live? What technology did they have?
112180	118020	have. And I think you're sort of taking things to a whole other level with your work as far as,
118040	122620	you know, really discovering what this civilization was all about and, you know,
122620	126880	what they were building. And you're figuring out conflations that were made between this
126880	132540	civilization and other civilizations that are much less old. And so I couldn't be more excited
132540	136100	to have you, man. Thanks, Jesse. It's great to be here. I'm looking forward to this conversation.
136100	142760	definitely. Yeah, it's going to be a blast. So, okay. I want to start in the most basic possible
142760	148620	kind of starting point. Sure. And so how did you get into the idea that there's sort of this big
149500	153800	civilizational coverup? There's, you know, the civilization before ours, it got wiped out.
154320	159880	How did you get into that idea to begin with? Well, I've had this natural curiosity for a lot
159880	164860	of my life, you know, seeing early movies that show lost civilization type of concepts and
166100	171680	that were long ago, long before we're told. And I have to give a lot of credit to Graham Hancock
171680	178180	and Randall Carlson. They definitely spearheaded me a lot of early on in my journey of understanding
178180	184460	this and kind of doing that wow factor of like, wait a minute. So things perhaps are very different
