start	end	text
5780	11220	So why are we here? I think this talk, we want to kind of accomplish two aims.
11480	16160	One is talking about how UFOs are real. They're real phenomena. They're a real thing.
16360	20800	But I think that's somewhat passe and conventional at this point. Over 50% of the
20800	24780	American population at this point probably believes in the existence of UFOs.
24780	32380	were at Hereticon. So I think the real heresy here would be actually linking UFOs as a modern,
32460	38460	observable, scientific phenomena with past religious phenomena. So angels and demons
38460	42800	would be kind of the popular nomenclature of the past. Is what we're experiencing today
42800	49240	what we've experienced in the past? And so is religion actually real? The Latin root of religion
49240	54660	religion is religare, which means to relink. And it's our belief on this panel that through
54660	61780	observing UFOs, we can relink ourselves with kind of a past epistemology that we've always had,
61880	66680	and that modernity is actually somewhat of an aberration from that epistemology.
66900	73760	So I have two amazing guests to discuss this with me. First, I have Diana Walsh Pasulka.
73760	80820	she is a classicist and religious studies professor who specializes in catholic history
80820	85740	she wrote a great book in 2014 called heaven can wait about the catholic concept of purgatory
85740	92660	and then very interestingly she followed that up with two books on ufo phenomena as kind of a meta
92660	98520	religious modern phenomena in 2018 she wrote an amazing book called american cosmic which is like
98520	103680	like the modern ufology Bible. I highly recommend you read it. And in 2023, she wrote a great book
103680	107740	called Encounters. And she in her own right is somewhat of a, you know, kind of a mystic and
107740	115420	truth seeker. And so very honored to have her. We also have Colonel Carl Nell on stage. Very
115420	120500	excited to have him. He's a very polymathic thinker. And it's always hard to present him
120500	126420	because his CV is very long and impressive. But he worked at aerospace companies like Lockheed
126420	132640	Martin, Northrop Grumman. He's commanded every level of the army to brigade. He helped set up
132640	138120	army futures command. So he ran a lot of tech modernization efforts for the army. And probably
138120	143540	most relevant for this talk, he was the army representative for the UAP or unidentified
143540	151340	anomalous phenomena task force, which basically was directed to look into UAP UFOs. I'll use
151340	158940	those interchangeably in their existence and reality. And so he's privy to a lot of classified
158940	163220	information, but here he'll be talking about the non-classified information. I want to start
163220	172000	with you, Carl, to allay audience, how would you convince them that UFOs are real? Because this
172000	176000	whole talk is kind of predicated on that fact. Well, thank you, Jesse. It's a pleasure to be
176000	181500	be here and great to be here with Diana and really excited about this event. So yeah, we actually
181500	187540	looked into this area and so probably privy to a lot of information that's not publicly available.
188340	193300	So, you know, how can the rest of the folks out there maybe have some confidence that,
193300	197720	you know, there's some reality to this subject. So there's sort of three lines of evidence that
197720	202300	you can look at. There's the first principles, there's sort of testimonial from people that
202300	206380	are in positions to know, and then there's the data. So like if we're going to kind of run
206380	212120	through those from first principles, you know, the going in position is probably the laws of
212120	217300	physics are the same here that they are everywhere else. And undoubtedly there's some exceptions,
217400	221760	but in general, that's pretty much accepted by everybody. And so if you look at how quickly
