start	end	text
0	5940	All these people conducting this seance were bringing in these nine, maybe extraterrestrial beings,
6160	10880	maybe beings that go to the nine Egyptian gods, but it's like a council.
11920	14820	He really was a genuine believer.
15520	21120	I'm Andrea Puharich. I'm a physician by training, research scientist by choice.
21500	24980	We have tape recordings of him meditating in the king's chamber.
25260	25500	What?
25680	29400	And they brought through this information. Apparently they're channeling this Egyptian god.
30000	32140	And there are specifically nine Egyptian gods.
33320	35240	So he gets this called metallic voice.
35340	37600	That was some sort of alien intelligence.
39640	43560	This is what, you know, you hear a lot about this with the UFO abduction stuff.
43640	47340	These people weren't looking to be in the spotlight.
47460	54600	It took about two years for me to basically earn the trust of these space kids.
54720	56660	It's like stranger things in real life.
58860	63380	You know, one neat solution that would explain everything away would be mind control, right?
63620	67480	Delgado implanted radio receivers in the heads of bull.
67780	70040	Delgado has remote control of the animal.
70280	74000	You have a guy who's being able to play the bull like a video game.
74460	80240	I'm revealing for the first time a lot of things that even my closest working colleagues do not
80240	85680	know. There's reason to believe Buharich may have been a double agent. He says it.
90040	93040	This is one of the craziest interviews I've ever done, man.
105900	109160	Their existence cannot longer be denied.
118020	124400	I'm here with Greg Malazzi. This has been a long time coming. We've had a lot of interesting offline conversations.
124740	138560	You made an amazing documentary called Mind Traveler about this very mysterious mid-century scientist named Andrea Puharich, who is like this zealot of American conspiracies.
138560	145720	he's this architect of MKUltra and early CIA mind control techniques but also seems to be
145720	154140	channeling aliens through what he calls the space kids this like collection of kids who he recruits
154140	161040	who are psychic he's the inspiration for Star Trek incidentally like he is one of the most
161040	166680	interesting people I've ever encountered and you've made this amazing documentary on him
168560	172280	to dive into this and I appreciate being here. Oh, thanks man. I appreciate you having me.
172540	178660	Absolutely. So what, give me a little bit about the origin story for Andre Puharich. Who is he?
178780	185260	And, um, how did he come to be one of these kind of renegade spooky scientists involved in mind
185260	191880	control? I guess you could start it at, um, Northwestern university. He, uh, went there,
191880	214260	He was a medical student. I think he started in 47. And so he was there doing all sorts of stuff with the nervous system. He was very interested in that. And he was doing like normal medical training. And he was actually part of the Army Specialized Training Program. Have you heard of this?
214260	237480	No. It's this special program where basically they recruit students who they believe could be, you know, useful to whatever they're planning on doing in certain categories of the army, whether it be medical, so forth. He was a medical doctor and he was part of this program. It's very strange. Kissinger was part of this program.
237720	237900	Really?
237900	242140	A bunch of other weird people. Kurt Vonnegut, the author.
242460	242680	What?
242940	247200	Yeah, you could look it up. It's really weird. So he was part of that. Basically,
247220	253780	it was like sort of a recruiting program. And they saw something in him all the way back in
253780	260400	47 when he was a medical student. And he very rarely, in fact, I've never even heard him
260400	265660	mention this and all the stuff I've listened to and read about him. So for whatever reason,
265660	282460	And, you know, he didn't talk about it. And that could have been his first, you know, step into that world, the military world. But that happened when he was a medical student, like way before the Roundtable Foundation, the first lab he had or anything like that.
282660	286460	What did this military program, this army program involve?
286460	292280	evolve. You can, even on Wikipedia, there's, there's not much about it, but again, I think
292280	299000	it was more like looking at certain institutions, certain places for people who are special. I mean,
299020	304840	army specialized training, you know, and he was considered special at that time for what he was
304840	309760	doing and they just saw something in him and he was brought into that program. I don't know what
309760	315660	it did exactly or, you know, what, like, yeah, the day to day or anything, but he was part of it as
316460	321180	again, a list of other people, like in all areas, right? Again, Kurt Vonnegut, the author,
321260	325320	like all these people were a part of that. Where was he a medical student?
326180	330060	Northwestern, Chicago, which, you know, is a very prestigious school.
330360	334740	Absolutely. Evanston. And I think also Jalen Hynek was, you know,
334800	340520	his astronomer blue book was Northwestern too. So, uh, okay. So he's in the Chicago suburbs
341060	346060	and he's a medical student. How does he get into like telepathy and mind control?
346460	347360	and things like that.
347880	350340	I came up with a theory of the nervous system
350340	352580	that I called the Puharich theory.
354120	357000	I visualized the nervous system as being embedded
357000	358740	in the cell tissue of the body,
358840	362380	just as the roots of a tree are embedded in the ground,
362440	363560	which gives it nourishment.
364460	367080	But the tree also has a similar network
367080	368700	radiating into the sky.
370240	372020	Perhaps man does as well.
372020	376260	and he too gains nourishment through a touchless process.
377540	381780	And if dynamics can be transferred, why can't thoughts?
384100	387480	So he was a medical student,
387640	392280	and there's a guy also at Northwestern at the time
392280	393700	named Warren S. McCullough.
394520	395240	Do you know who that is?
395320	395800	No, who's that?
396040	397960	You could do an episode on him.
397960	403900	He's like, you know, a Puharich on steroids, sort of, back then at least.
404000	411980	But he was this very far out researcher into basically ESP stuff back then.
412000	418400	He was very interested in like, you know, altering drugs, psychedelic drugs, mind altering stuff.
418640	420960	For the audience, ESP is extrasensory perception.
421160	422660	Yeah, yeah, extrasensory perception.
422880	425240	So he was at Northwestern Sky, McCullough.
425740	427180	I think I'm pronouncing that right.
427960	451520	Um, but he sort of took Puharach under his wing. And, um, from what I understand was the first person who introduced him to, you know, whatever weird science, if you want to call it that, because he was one of these guys, McCullough, who would, you know, on his off time, do all these like strange experiments with, uh, radio frequencies and, and, and that kind of stuff.
451520	477600	And I think like in the academic setting, he had to, you know, put on a suit and tie and like not talk about that basically. But he also was very involved in intelligence stuff. Like he was always getting sort of like we have letters from like CIA and stuff back then who were kind of going to him with questions and so forth.
477800	478300	McCullough.
478300	478940	McCullough. Yeah.
478980	479340	Interesting.
479340	503540	Yeah. And he actually, there was an archive in, I think it wasn't Northwestern. It was some bizarre archive I found years ago making the film. And, you know, I know you had Annie Jacobson on, like she's in the film. And she was trying to find records on McCullough because, you know, he's really interesting. He was part of the Buhart story.
503540	517880	And somehow we found this like big stash of archives of his that, again, were these letters from CIA and the Navy and everything sort of, I guess, wanting to recruit him.
518060	526300	But in those letters, there were letters from McCullough back to these agencies saying, you know, you should check this guy Puharich out.
526300	544500	You know, he's, I work with him, he's young, he's very smart. And he was older, like much older than Buharach at that time. I think he was probably like, you know, in his 70s or 80s or something. So, you know, he passed on. But basically that, I think, triggered Buharach to get very interested in the subject.
