start	end	text
0	5540	People were noticing all throughout this time that Forrestal seemed like he was unraveling.
6240	9600	He started developing these weird nervous tics.
9700	13620	He said, I'm being followed by strange foreign-looking men.
14620	19880	He started dipping his fingers into glasses of water all the time and just wetting his lips.
20220	22700	I drink only distilled water or rainwater.
23240	25120	Oh, glad to see what you're getting at.
25280	29760	A couple of big tough Navy guys grab him and throw him the hell out the window.
30000	31460	I'm absolutely convinced that's what happened.
31500	31920	Yeah, yeah, yeah.
31980	32400	Oh.
33140	34100	It is.
34340	41720	And in the 80s, it felt like maybe the U.S. moved from a strategy of secrecy and denial to flood the zone.
42020	45020	And flood the zone doesn't mean put out BS.
45040	47600	It means put out partial truths and put out a lot.
50400	56880	People did see it emerge from the water, circled their transport ship twice, totally silent.
56980	57980	He said there were high winds.
57980	59920	This thing should have been bouncing around in the wind.
59960	61040	It was rock solid.
62020	66520	He writes in his diary at 3.30 a.m. on August 12, 1825,
67320	72300	the Night Watch reported this orange spherical object rise from the ocean.
73900	75900	Let's get down to the fundamental reality here.
75960	77620	We are dealing with a phenomenon.
78100	78440	Yes.
78640	82220	It is a reality-shattering phenomenon.
82320	87680	I do believe that there is a good reason to think that we have been monitored or observed for a long time.
87980	90380	It's not that we're being too crazy and too friendly.
90400	92780	We're not going out there enough.
92920	93620	I think that's right.
99820	101680	Here with the great Richard Dolan.
101720	105720	We just did this amazing kind of live show for a bunch of people.
105800	106320	It was a lot of fun.
106460	107260	It was a lot of fun.
107380	111380	I told you afterwards, I think you're the easiest person to interview because, you know,
111400	113860	I just have to tee you off and then you just go.
115180	116840	And yeah, it's an honor to be here.
117980	122860	for me and um maybe what we should start with here in this kind of you know private setting
122860	129240	is i'm curious to know how you got into ufo research to begin with and who your inspirations
129240	133740	are yeah i have a lot of inspirations in my life some in some in this field some beyond
134640	139940	this is a story i've told a few times i don't want to sound like i'm i'm rehashing it but i
139940	145880	want to i'm going to try to do it fresh um i was always like a very like driven young young person
145880	154000	and I always felt like there was this very intellectualized destiny that I wanted to pursue.
154100	155220	I didn't really know what it would be.
155340	157300	I've always been drawn to history and politics,
159060	163380	discovered a real deep love of literature when I was in my early 20s,
163380	165500	and that's remained with me.
165720	168480	But as a young person trying to make a professional life,
168560	172680	I thought, well, I would finish a PhD in history and teach at a university.
173360	180880	When I was in my youngest portion of that, I was totally unqualified to try to do what I ended up doing.
180960	185200	I was studying German history. My German language was minimal at best.
186280	196080	And here I was studying basically the J. Edgar Hoover of Otto von Bismarck's 19th century Germany back in the 1850s and 60s, a man named Wilhelm Stieber.
196620	201020	And I'm like, oh, this is an interesting guy. And I'm diving into his career and I thought, I'm going to do a dissertation on him.
202680	205360	50 pages or whatever, and it failed.
205500	210960	I was unable to crack Wilhelm Stieber.
211080	211720	He's an interesting guy.
211820	213480	He blackmailed people.
213700	216820	He created a brothel in Berlin in 1870.
216920	218420	He would take pictures, all this stuff.
218580	222640	He literally was a Jäger Hoover of German unification.
222840	223320	Absolutely.
223480	223920	Interesting.
224180	225680	It was amazing.
225940	227660	But anyway, so I bailed out of that.
229260	231400	That was when the Berlin Wall came down.
231440	232200	I was there.
232680	237680	Berlin during that whole period, 1989. I was trying to wrap this thing up, and it just failed.
237880	245720	So I go back to the States, and I left for about two years. I was studying at the University of
245720	250760	Rochester in upstate New York. And then I went back, and I thought, you know what? My German
250760	255340	sucked, so why don't I just do American history, because I know that language. And I went in,
255360	261040	and I focused on United States diplomatic history. And I did great. I was really, really into it.
262680	265000	By this time, I was in my early 30s, so I was a bit more mature.
265720	269780	And I was studying Harry Truman and his presidency.
269940	271560	And I was doing a lot of Soviet stuff, too.
271660	278140	But I ended up studying 1950 national security strategy,
278320	280200	just before the outbreak of war in Korea.
281000	282240	And I was like, who cares?
282360	283860	But that was what I was doing at the time.
283920	288480	And I wrote another 125, 150 pages of a dissertation on that,
289740	291020	which I did not finish.
293340	300780	and I was in a bookstore just like a ordinary bookstore one day in Syracuse New York and I saw
300780	306700	a copy of Timothy Good's very classic work Above Top Secret oh yeah and it was a subtitle of that
306700	313880	book that caught my attention it's the worldwide UFO cover-up oh wow so here it's like 1994 so I'm
313880	321440	about 32 years old and uh I flipped through the book and I'm like I know that name I read his
322680	329400	know that department wait what ufos what what is this like it was this great uh cognitive dissonance
329400	334740	and i thought this is this looks like a fairly serious book he's got a variety of documents it
334740	341720	looks like his research is at least halfway decent yeah um and my question wasn't are ufos real
341720	346520	um my question wasn't like are there abductions or are there crop circles i wasn't down that road
346520	352300	my question was simply even if this was a mistake like if they were mistakenly interested
352680	354480	in this UFO thing back in,
354520	356360	or the flying saucers back in the 40s.
357200	358540	How come I never read about it
358540	360560	in any academic history book, like ever?
361200	362400	Even if it was a mistake,
362520	365200	like would you not think that's kind of interesting?
365900	368080	You go back to 1947, 48,
369160	371240	and I'm reading here in Tim Good's book,
371340	373440	like the Air Force and the Navy,
373520	375160	like they were totally into this.
376440	378340	And you're in the early Cold War.
378480	379740	Yeah, that's damned interesting.
380060	381680	And so I thought, well, I bought the book
382680	383940	I just went down that rabbit hole.
