start	end	text
0	4820	First off, I want to give a huge thank you to our sponsor for this video, Incogni.
5160	11400	They have a very special offer for you. It was so good, I actually personally signed up with the discount code in the offer.
11740	14460	Today, my interview guest is Danny Sheehan.
14920	23860	Danny might have a better understanding of what actually happened in just about every major 20th century American conspiracy than anyone I've met.
24040	27260	And I know a lot of conspiratorial people. Shout out Alex Jones.
27580	29560	A lot of scientists think anthrax might have come from Mars.
30000	33980	If you want to know who really killed JFK, watch this interview.
34240	35660	It's absolutely crazy.
36040	37740	Do you think that the CIA killed JFK?
37880	39140	I do know who did kill him.
39300	42600	Oswald could not have gotten off the number of shots.
43000	46940	This interview is an endless wellspring of mind-blowing facts from Danny.
47220	54700	The craft have built into it some kind of an AI capacity to respond telepathically to the control of the pilot.
54860	56040	That's the key to it all.
56040	61500	From American industrialists and financiers secretly funding the Nazis before World War II.
61700	65200	So that they wanted Hitler to establish this kind of fascist government,
65440	69960	the economic theory of which is you place all the instrumentalities of the government
69960	73260	at the disposal of the interests of the private corporations.
73760	77700	And the formation of the CIA as an extension of the great Gilded Age families.
77980	83120	Because the Central Intelligence Agency was the brainchild of the people at Brown Brothers Harriman.
83120	93340	Danny even sketches a photo of a UFO that he saw firsthand in a classified facility in Washington while reviewing the Blue Book files for Jimmy Carter.
93620	101640	And finally, if you want a true understanding of the major players involved in the Watergate scandal, look no further than this interview.
101840	109240	Danny's comprehensive knowledge of core American conspiracies is partly due to his involvement in like half of them as an attorney.
109240	112560	I was asked to be the attorney for L. Ron Hubbard.
112700	117200	I could be given access to every single document anywhere in the world in the internal files
117200	118340	of the Church of Scientology.
118640	119660	I'm not kidding.
119860	124960	He was actually personally involved in the Watergate case, the Pentagon Papers, Karen
124960	131380	Silkwood, and has personally represented UFO whistleblower Lou Elizondo, Harvard psychiatry
131380	137900	department head and legendary UFO researcher John Mack, and the notorious Dr. Stephen Greer.
139240	144980	do. Sit back, relax, and be prepared to stay up all night integrating your new worldview
144980	151260	after hearing from the man at the center of every American conspiracy, Daniel P. Sheehan.
154120	158620	But before we talk to Danny, it's important to point out that if you're watching this,
158760	164580	you might be interested in other forbidden truths and want to protect your data. You probably don't
164580	168920	realize just how exposed your personal information is on the web. There's an
168920	173440	abundance of sites all over the internet with personal data on millions of
173440	177300	American civilians. These sites get their information from sketchy data brokers
177300	181900	who collect and sell detailed profiles of your online activity, your phone
181900	187520	number, home address, family details, even your financial information. This is
187520	192000	where Incogni steps in. They make it super simple to remove your data from
192000	194300	from these online brokers and keep it removed.
194740	197820	I did it and the drop off of weird calls and texts
197820	198740	is astounding.
198940	201600	And as bad as these annoying spam calls and texts
201600	202740	you may experience are,
203020	205680	they're nowhere close to the most extreme dangers
205680	206980	posed by these brokers.
208080	210060	This data can be used for identity theft
210060	212420	or even somebody showing up at your home
212420	213500	if they have it out for you.
213720	215600	If you value your privacy,
215820	217680	you'll want to check out Incogni.
217780	221380	Use this discount code on the screen, AmericanAlchemy,
222000	225920	a huge 60% discount off their annual subscription.
226340	227960	Check the link in the description below,
228140	230980	exercise your basic personal online hygiene,
231180	233300	and take control of your personal data.
235680	237380	Here with my new friend, Danny Sheehan,
237640	240000	who knows probably more about every American conspiracy
240000	241560	than anybody I know,
242100	244560	partly because you were involved in half of them
244560	247280	as a public investigator and kind of people's advocate,
248420	250880	whether it was Watergate or Karen Silkwood,
252660	260200	Now you represent a lot of the UFO whistleblowers, Steven Greer, Lou Elizondo, John Mack before that,
260320	265340	who was the head of the Harvard Psychiatry Department and studied alien abductions for the last 10 years of his career.
265480	267720	So it's an honor to have you, and I'm excited to have you.
267860	269460	I think we're going to have a pretty crazy conversation.
270220	270580	Terrific.
270800	274100	Why don't we start actually with UFOs?
274120	277440	I think they're sort of very in the zeitgeist right now,
277440	283480	but I think a lot of people in the UFO disclosure world feel very frustrated because last year
284080	289780	you have David Grush from the National Geospatial Agency coming out blowing the whistle and you
289780	296960	know literally a year ago August of 23 saying in front of congress that we've had July 26th
296960	304740	July 26th that's right okay good good that's amazing good memory saying that we have had a
304740	309700	legacy reverse engineering programs. We've had crash retrievals of UFOs. We
309700	313300	have them in our possession, you know, in various aerospace warehouses.
313500	316280	Do we have the bodies of the pilots who piloted this craft?
316840	319240	Biologics came with some of these recoveries, yeah.
319360	322040	Were they, I guess, human or non-human biologics?
322320	327720	Non-human, and that was the assessment of people with direct knowledge on the program I talked to that are currently still on the program.
327980	333840	And it's a sort of bombshell claim, and he says that he's brought forward 40 firsthand witnesses.
334740	341340	on the program to the Inspector General of the Intelligence Community, Monheim, and yet
341340	344180	nothing's, you know, not a lot has happened since.
344420	350340	And I'm friends with Grush, and I do trust him, and I think there's a lot going on there
350340	351020	behind the scenes.
351160	353500	But yeah, what's your take overall on where we're at?
353660	357120	There's a lot going on behind the scenes, is the answer.
357800	364660	And one of the things that people who've worked in Washington, D.C. for 20 years or more really
364740	370340	realize that the public hearings that take place in the Congress are kind of dog and
370340	370860	pony shows.
371860	375900	And that, you know, they're semi-scripted as a rule.
376640	381860	There's a decision made on high as to what's going to get said publicly and what isn't,
381860	384700	what questions are going to get asked and what aren't.
385420	390160	And so that there's a bit of theater involved, more than a bit of theater involved.
390160	396860	involved. What's going on in the background is the real deal making. And the challenge
396860	403320	in Washington, D.C., among many others, is that everything is a deal. Everything is a
403320	411840	negotiation. So if the Republican Party proposes $10 billion for a particular program, the
412660	417860	Democratic Party proposes $8 billion for the same program, you know ahead of time it's
417860	418900	it's gonna come out to 9 billion.
419560	421180	Because it's not a matter of principle,
421360	423800	it's not a matter of what the program needs,
424020	427280	it's a question of the kind of false dialectic
427280	427900	that's going on.
428260	430580	So you have to get used to that to begin with.
431120	436140	And now we've come into the scene with the UFO phenomenon.
437060	439940	And there have been a number of passes at this
439940	443380	in the history, but what's happened is since,
444160	445180	one that everybody knows about,
445180	448560	is the December 17th of 2017,
448900	451700	the front page story in the New York Times.
452260	454580	Lou Elizondo and Chris Mellon,
454700	457080	and Chris Mellon, very importantly,
457260	460380	was the Deputy Assistant Secretary of Defense
460380	464100	for Intelligence, both under the Clinton administration
464100	466560	and under the W. Bush administration.
466900	472240	So he's kind of a bipartisan Mellon family guy.
472240	480880	guy. And Lou Elizondo was involved in the program that the Pentagon had, a secret program,
481720	487840	above top secret, the real elements of the program, where they were attempting to develop
487840	494280	a weapon system, an advanced weapon system, using the technology that they'd recovered
494280	496260	from UFO craft.
497440	500400	And the thing that people don't realize,
500680	502380	you know, this big hubbub, you know,
502400	504240	with the front page story in the New York Times,
504380	505200	and everybody's saying,
505280	507480	oh, here's two amazing whistleblowers
507480	508860	that have come out of the shadows,
509020	510140	and they've come forward,
510220	513800	and they've made this extraordinary set of revelations
514340	516020	about the existence of this secret program.
516520	518500	And it turns out the whole thing was authorized.
519060	521860	I mean, that the United States Defense Department
521860	525320	Office of Pre-Publication Review and Security,
525680	529840	had cleared all of those videos to be shown
529840	534200	and had okayed the New York Times to publish them.
534680	537340	And so there's this whole backstory going on
537340	542300	that there's a pretense of kind of a insurrectionist
543220	546260	kind of whistleblower kind of group coming forward
546260	548320	to reveal this information and challenge
548320	550400	the deep secrets of the state.
551860	555520	decisions being made deeper in to reveal some of this.
555600	556280	There have to be.
556380	556680	Yeah.
556760	560640	And there also have to, it has to be this sort of limited form of disclosure that's,
561140	565980	these people are sort of coordinating because the videos, the three videos, you know, whether
565980	571100	it's Go Fast or Gimbal or Nimitz, all these videos are not high quality.
571220	572020	They're not high resolution.
572440	573820	They're nowhere near what they've got.
573960	575180	It's only one sensor.
575420	578700	And then they say, they say, you know, we have a lot better stuff, you know?
578700	583660	Yeah, and so it's clearly almost like a Rorschach test like or conditioning or something
583660	588380	It's like how are people gonna sort of react and then maybe we'll go a little farther in a couple years
588380	594460	And then maybe we'll go even farther. Yeah, you have to be careful because you can start speculating about what's going on there in the background
594460	600680	I don't know it's hard. Well what I've done that I got contacted by Lou Elizondo himself
600680	603160	Right after this happened
603160	606540	Well, for the context for the audience, if you don't know anything about UFOs,
606600	611160	Lou Elizondo ran an AATIP, these programs from 2007 to 2012.
611700	617980	He also was involved in a lot of interesting kind of counterintel and recon for the U.S.
617980	620240	and was at Guantanamo Bay at one point.
620280	621300	I think he was deployed in Iraq.
622160	624260	And yeah, I've been to his place in Wyoming.
624420	625240	He's a very interesting guy.
625360	629040	And in 2017, he came out as part of this New York Times revelation.
629580	629840	That's right.
629840	631820	He was the first kind of whistleblower to say,
631880	632660	I ran this program.
632980	635020	It was actually under Senator Harry Reid,
635140	636180	who was interested in UFOs.
636180	637500	They'd appropriated $22 million.
638080	640100	Harry Reid, Ted Stevens from Alaska.
640720	641960	And Dan Inouye.
642020	643440	And Dan Inouye from Hawaii.
643720	644060	That's right.
644100	647180	And they're all studying UFOs,
647180	649240	a lot of which took place under Bigelow
649240	650500	and on Skinwalker Ranch.
650600	652180	So okay, Lou Elizondo approached you.
652180	653340	So now you've blown out the whole audience.
653440	654640	Nobody knows what we're talking about.
655840	662060	I'm the same autistic compulsory attention to detail that you do.
662440	684080	The bottom line is that what's happened is that for some reason, which we can explore, but for some reason there's been a decision that was made in 2017, very end of 2017, to come forward to begin a process of trying to establish control, literally.
684640	688180	over the disclosure of the UFO information.
689440	693560	And it actually generated an extraordinary piece
693560	697840	of legislation that the United States Senate approved.
699200	705120	That was a 64 page bill that set up this complex process
705840	708220	of undertaking a controlled disclosure
709280	712860	and actually formulating a controlled disclosure campaign
714640	719580	seven-year period to start rolling out information to the public, into the world, therefore,
719800	727780	about what it is that the United States government knew about the UFO phenomenon and about some
728620	731920	vaguely identified non-human intelligence.
732360	738240	So what you're talking about now is the Schumer Amendment to the forward-looking year 2024
739620	741840	NDAA, National Defense Authorization Act.
741860	743460	So it's the defense budget every year.
743540	744040	That's the one.
744640	749900	Amendment and it talks about non-human intelligence and the government declaring eminent domain
749900	756360	over non-human craft that's in possession of these private aerospace companies. And
756360	759280	it ends up kind of dying on the vine because of Mike Johnson.
759600	763900	Not really though, but that's the impression that again, people have.
763960	766080	Well, it got diluted. It got passed, but in a very...
766080	772600	What happened is that one of the most important aspects of the bill did get passed and that
772600	777760	And that is ordering, here's the Congress of the United States, both the Senate and
777760	783860	House, signed by the President, ordering all six of the United States military services,
784160	792740	the Army, Air Force, Navy, the Space Force, all of them, all of them and all 18 of the
792740	794440	United States intelligence agencies.
794580	799760	There's a lot more than just the CIA and the Defense Intelligence Agency and the NSA.
799980	801180	There's 18 of them.
802600	805980	And there's 32 United States Defense Department agencies.
806320	814560	All of them were ordered by Congress and the President to take 300 days to gather together
814560	820040	every single piece of information that they had about the UFO phenomenon and about any
820040	825320	non-human intelligence that was understood to be responsible for the UFO phenomenon and
825320	831140	gather it all together, put it into digital format with an index so that it's recoverable
832600	838700	and have it ready by October 20th of 2024 to be turned over,
838840	843660	the Senate bill said, immediately to the National Archives.
844720	849120	That got changed in the House, but only in a minor way,
849280	854400	in which they said they were to turn it over as soon as possible after having it compiled.
854700	859080	But that whole process was extraordinarily important,
859080	862700	And it was a key portion of the bill that the Senate passed.
862860	864460	And that got passed by Congress.
864540	865980	That is the law right now.
866120	869020	So that whole process is going on right now.
869160	872240	So the bottom line is that piece got passed.
872500	879060	The big thing in the Senate bill that did not get passed was the creation of an independent
879060	879740	panel.
880380	885940	There was a board of review that the Senate had proposed that'd be an independent board
885940	892040	board of review that got to look through all of this information and decide how much of
892040	893300	it is going to be made public.
893880	900740	They put in a provision that the president of the United States could personally postpone
901340	907840	the public revelation of any piece of information that the board chose to make public, but that
907840	910220	was a big piece that was cut out.
910220	920140	They didn't, the House didn't agree to allow an independent panel to review all of this information and decide how much is going to be made public.
920320	925520	So that the information has to be gathered together and made available in the National Archives.
926100	928260	But then it doesn't necessarily have to go anywhere.
929000	930360	That's where we are right now.
930520	937440	But the Senate, the Senate Intelligence Committee people and the House Intelligence Committee people will get to see it.
938220	939660	And that's a key thing.
940220	946220	to get to get the the congress briefed in on what it is that the executive branch has been doing
946860	953980	all of these years since the last 80 years basically it goes back to basically january
953980	960680	1st of 1945 is the actual operative date in the statute every piece of information every phone
960680	967380	call every memo every internal study every report of a ufo sighting every single piece of information
967380	970620	that they have has to be put into this compendium.
970640	971280	So that's happening.
971500	972720	That's happening right now.
972860	973400	That's amazing.
973580	976480	And will that be public or is it going to be public?
977060	977080	That's the question.
977360	983780	As of right now, the operative order of the Senate was that it had to be turned over immediately
983780	988480	on October 20th to the National Archives and be made available to the members of the Intelligence
988480	988940	Committee.
989260	989600	Okay?
989740	994920	The House has changed that language to be made available as soon as possible, which
994920	996820	is a wiggle phrase.
997380	1000140	You know, the question is, how quickly are they going to turn it over?
1000520	1003400	But they have to have it compiled by October 20th.
1003840	1005560	So that's the law right now.
1005660	1010120	And a lot of people, even in the UFO community, just think, oh, the law got gutted.
1010120	1010940	It got made.
1011060	1011840	That's fascinating.
1012060	1013240	But this is extraordinary.
1013600	1014140	That's really important.
1014360	1022340	But another very important part of the law is the idea that government is going to declare eminent domain over UFOs,
1022980	1026580	the actual crafts that these aerospace companies have in their possession.
1027380	1034580	right to do it if they choose to. Yeah. But that got gutted. That is no longer part of
1034580	1039100	the bill. And my understanding of the behind the scenes what might have happened is Mike
1039100	1044160	Turner who is on the. He's the chair of the House Intelligence Committee. Chair of the
1044160	1048080	House Intelligence Committee but also represents Dayton, Ohio which is where Wright-Patterson
1048080	1052080	Air Force Base is. That is right. All the UFO rumors are centered around Wright-Patterson
1052080	1054680	in the Air Force Base, of them holding craft.
1055240	1058020	And his top three donors are, I think, Lockheed.
1058940	1061020	I don't want to mess up the other two,
1061060	1062940	but two other big aerospace companies.
1063360	1066200	And he works through Mike Johnson
1066200	1069120	to take that out of Schumer.
1069300	1071300	And so I find that interesting.
1071440	1075740	Where do you think a company like Lockheed Martin actually
1075740	1078100	see, like how do you think they see the UFO thing?
1078320	1081240	Because they see it as a profit making potential profit.
1083080	1088460	Well, Ben Rich, who's the president of Skunk Works, their most secretive division, used to call UFOs unfunded opportunities.
1089020	1096740	And then in 2016, 2017, you know, they're working with Tom DeLonge, who's the Blink-182 front man.
1096900	1101560	And you have Rob Weiss, who is, you know, Ben Rich's successor at Skunk Works.
1101620	1111620	And the emails between him and Tom DeLonge that were revealed through WikiLeaks, where it's clear that Lockheed wants to, like, talk more about the UFO, you know, phenomena.
1113080	1117280	through a guy like Mike Turner later, you know, last year to kill this bill.
1117400	1119160	So that feels a little schizophrenic.
1119200	1122500	They sort of want to do it on their own terms or how do they?
1122600	1128360	They just, they want to get, they want to get Congress to know enough about it, which
1128360	1134080	they don't yet, to agree to set up a law that authorizes them to get patent rights.
1134620	1135560	That's what they want.
1135700	1142220	They want to get patent rights to the technology so that the United States government for the
1143080	1148840	years when it wants to have access to any of the technology of the UFOs for superluminal
1148840	1154720	flight or anti-gravity stuff, is going to have to license it from the private company
1154720	1156600	and pay them a ton of money for it.
1156960	1160460	I mean, it's just absolutely, you know, it's just avarice and greed.
1161020	1161700	Got it.
1161700	1163080	So that makes sense.
1163120	1167420	So they want like a broader public knowledge or surface area on the topic, but they don't
1167420	1169560	want any of their IP taken out of the company.
1169880	1170220	That's right.
1170320	1170540	Yeah.
1170640	1171620	I mean, that makes sense.
1173080	1179860	as possible on it. And here we have an event taking place of the world getting ready to
1179860	1189020	be made aware of the fact that there's this humongous other civilization around us in
1189020	1191920	our galaxy. What's the evidence that it's extraterrestrial
1191920	1198160	and not some time traveler or like, yeah. The fact that people have been face to face
1198160	1202820	with them and had telepathic communication. Sure, but for everyone
1202820	1206220	that says they're from Zeta Reticuli, they also say they're from the future
1206220	1210720	and they're also super deceptive and say all sorts of other crazy stuff. Those are
1210720	1215280	people in the UFO community who say all that. They kind of make up stuff, you know,
1215320	1219580	but the fact of the matter is, it's just as plain as day. No, but I mean
1219580	1222500	if you look at the Edgar Mitchell database, any of the databases around
1222500	1226220	this stuff, I actually think it's split. Like I don't think it's clear that
1228160	1236800	If there's one hominid species on Earth that's sentient, upright, bipedal, that has advanced technology, and it's us,
1236980	1243200	and there are 20 billion Earth-like planets in the Milky Way galaxy, but there are over a trillion non-Earth-like planets,
1243980	1246760	and we're seeing a thing that looks like us.
1246920	1247100	Yeah.
1247200	1248220	They're hominid.
1248240	1253840	So the likelihood of evolutionary convergence on a totally foreign planet is just super, super slim.
1253840	1259520	And so the Occam's razor explanation would actually be that there's something emanating from
1259520	1266580	There's they're sort of related to mankind and they could be interstellar. They could be a different timeline interacting with us
1266580	1270880	I just think we have to widen the aperture of possibility. Oh, yeah, no, no
1270880	1278500	I mean there but not to the point of just obfuscating. Yeah obvious sure, you know, yeah, there's a thing there's a phenomena
1278500	1282860	Yeah, but I do think that's called the phenomena for a reason because it's sort of really hard to classify
1283840	1287660	because the conversation that you're talking about now
1287660	1292620	has assiduously excluded all the evidence
1292620	1294800	of face-to-face contact that people have had.
1295040	1297520	I mean, there are thousands of people
1297520	1301900	who've had face-to-face contact in telepathic communications
1301900	1304380	with the actual occupants of the craft,
1304640	1307880	which there's this huge effort to kind of pretend that isn't true.
1308020	1309300	Like that isn't true
1309300	1312880	because there aren't enough government-circled people
1313840	1316120	scientific community people who've affirmed it yet.
1316280	1321800	Well, that's a good segue into the first UFO-related person you represented is John Mack.
1322020	1322340	That's right.
1322440	1324900	And John Mack was the head of the Harvard Psychiatry Department.
1325680	1331360	And I think he, through his friend Bud Hopkins, his childhood friend, right, started to see
1331360	1335640	all these cases, these people who know mental health history.
1335900	1336080	Right.
1336500	1338780	It wasn't even always through hypnotic regression.
1338940	1339140	Right.
1339140	1343900	They would just say, I had these experiences where I was abducted by these aliens.
1344260	1346380	And he started to take it very seriously.
1346600	1350560	And so, yeah, what do you think about John Mack and his investigations?
1350560	1358960	Well, I represented him for 10 years and met dozens of people that he had worked with,
1359080	1364180	was involved in vetting them to determine which ones were credible and which ones weren't,
1364780	1366920	what detailed information they had.
1366920	1375780	and have talked to several absolutely, totally credible witnesses that I could put in front of any American jury.
1376380	1380120	And the jury would be absolutely clear that they were telling them the truth,
1380320	1387100	who have had direct face-to-face contact with one or more of these extraterrestrial beings.
1387360	1391680	They have them in American underground military bases.
1392320	1393520	They have the beings?
1393800	1394860	They have the beings.
1395360	1396620	They've interviewed the beings.
1396920	1402140	talked to people who were there when they were interviewing where where are the beings that
1402140	1409940	particular one was at s4 in area 51 and outside of area 50 about 11 miles away i would totally
1409940	1415320	distrust that but i have some good friends who are very trustworthy so they're a couple and the
1415320	1419860	husband broke the world record for the biggest wave ever surfed in nazaré portugal his name's
1419860	1424640	garrett mcnamara and her her name's nicole and they're very good people and they would just
1424640	1430540	would never lie yeah and they have a friend who worked at area 51 or might be a friend of a friend
1430540	1436900	but they met him and he was totally traumatized and after having worked there yes and he said that
1436900	1443820	he was led down into a basement that's right and he saw reptilian creatures and they were they were
1443820	1449640	speaking yeah english well they were they're telepathic they're telepathic and they talk
1449640	1454300	french to french people they talk german to german right but they're they're telepathic but isn't that
1454640	1455960	That's strange though, right?
1456260	1457100	Strange, yes.
1457700	1458960	Yeah, there's no doubt about that.
1458980	1460540	So but then like if they're that advanced,
1460780	1464480	they're telepathic, they can fly faster than light,
1464600	1468380	then how the hell do we corral them into underground bases
1468380	1469600	against their will?
1469740	1471380	Or are they happy to be kept?
1471420	1475680	Well, one of the ones that I was talking to the guy who
1475680	1477720	was there when they were interviewing one of them,
1477800	1479660	it was clear that it was voluntary,
1480400	1483700	that the extraterrestrial being was voluntarily
1484640	1486880	where Cher was having telepathic communications.
1487020	1487860	So they was being interviewed.
1488000	1489580	They're just kind of hanging out in these spaces.
1490160	1492700	Well, I wouldn't put it that way.
1493300	1494620	What do they want?
1494740	1495680	Why are they there?
1495900	1501700	What happened is Albert Stein was this guy's name.
1502440	1504400	He called me on his deathbed.
1505420	1508820	He was dying up in Northern Minnesota.
1509280	1512980	Called me and wanted me to come and see him right away
1514640	1517120	I flew there and went and met him at the hospice.
1517280	1520400	And he's sitting there with all the tubes in him and dying.
1520600	1523040	And he said, look, he had to tell somebody about this,
1523080	1525500	that he was the United States Army,
1526520	1530620	was assigned as a clerk typist to Project Blue Book.
1531500	1533520	And that, well, Blue Book had this whole
1534280	1535840	buffaloing operation going on,
1535940	1538360	telling people that it was swamp gas
1538360	1540740	and birds that they had misidentified,
1540740	1547320	that there were over 700 actual sightings that they found it absolutely impossible to discount,
1547520	1550820	that they couldn't come up with because too many people had seen them.
1550960	1552760	You know, there are too many corroborating witnesses.
1552980	1554920	There was radar tracking and everything.
1555440	1560320	And he was assigned to the group that was investigating those sightings.
1561420	1566840	And he would just sit and they'd send people out to interview all the people that had seen one of these things.
