start	end	text
3060	7740	It's not only a UFO library, it's about the unknown.
8380	10320	So how many countries do you have files from?
10900	13480	Oh, I don't know. I have no answer to that.
13600	15920	But we have Japanese files, for instance, and Russian files.
16000	16200	Wow.
16940	21920	And they went out on the field and brought back debris.
22500	22980	What?
23220	24180	From this crashed object.
25720	29420	They were standing on the other edge of this carriage.
30000	34120	and he had very tight helmet, small, small heads,
34340	35940	and some gloves.
36300	39080	She was eight meters from them.
40380	43040	Meet Claes Svahn, journalist, author,
43360	46500	and one of the world's most impressive UFO researchers.
46960	49920	He's a real-life Swedish fox molder,
49940	52180	and that's because he's basically in possession
52180	54160	of the modern X-Files.
54380	55140	I'm not kidding.
55460	57720	Since the early 1970s,
57720	60140	Svahn has not only reported on the phenomenon
60140	62080	for Sweden's largest newspaper,
62900	65240	but he's spent decades building, organizing,
65460	67600	and preserving what is widely recognized
67600	70560	as the world's largest UFO archive,
70960	73140	the Archives of the Unexplained.
73320	77600	This 16-room building houses detailed witness reports,
77980	82400	photographs, audio recordings, radar data, video,
83220	85080	and original first-generation documents
85080	87920	that no longer exist anywhere else.
88300	89100	Time travel?
89420	90700	There's a time travel section?
91040	92660	What is this, Brown and Burrage?
92860	93500	Townsend Brown.
93640	93800	Yeah.
94640	94660	Yeah.
95020	96240	I went to Eureka in California.
96640	98700	I met with this guy in his garage.
98960	101560	We packed it all together and sent it back to Sweden.
101880	105540	Behind you here is the oldest UFO group in the world,
105720	108560	Borderland Science Research Association.
109120	109320	What?
109400	111300	There's something very interesting about them.
111440	113120	They were new more than intelligence
115080	118740	In this episode, we go over a half century of overlooked evidence.
119140	123400	Radar-tracked objects executing impossible right-angle turns.
123660	127400	Military helicopters nearly colliding with wingless craft.
127780	129460	Sonar and radar returns.
129960	134440	And of course, covert European UFO crash retrieval operations.
136560	141360	We discuss the Swedish ghost rocket craze of the 1940s.
141360	149220	A swarm of at least 1,400 documented rocket and cigar-shaped UFOs descending on Norway and Sweden,
149420	153400	never landing on the ground, always plunging into water.
153820	159420	A swarm that even caused the Swedish government to form a specialized military unit.
159540	161780	Klaus Svahn isn't just an archivist.
161900	164280	He's a field investigator in his own right,
164380	169300	interviewing experiencers and witnesses at the very center of UFO history.
169300	175740	He spent a lot of time with Betty Hill of the famous Barney and Betty Hill 1961 abduction
175740	177340	case in New Hampshire.
177520	180860	Everybody knows about this canonical abduction story.
181120	186800	But Kloss dug a little deeper and found out that Betty, outside of her abduction, witnessed
186800	189200	a UFO crash near her home.
189420	195100	She even recovered the debris which she went on to bury in her backyard, where it still
195100	196680	might be to this day.
196680	201880	I usually say that we are standing at the very top of a mountain of knowledge today.
202100	202500	Yes.
202760	208840	But the mountain is resting on this mountain that is even bigger.
209060	209500	Yes.
