start	end	text
0	4620	Jonathan Weygandt, he is told at one point that there's a downed friendly or forehand plane.
4860	5720	No big deal.
6080	10040	After a combination of driving and trekking, they encounter a clearing.
10800	15180	There's an enormous egg-shaped, teardrop-shaped craft embedded in the cliff face.
16600	20280	And there seemed to be a hatch open with an arm hanging out with four fingers.
21260	25220	It was dripping this syrup-like liquid. It was everywhere.
25440	28280	It was weird. It was purplish-green colored.
30000	31620	of being as communicating to him in his mind,
31680	33640	telling him not to be scared, but also asking for help.
33740	34920	They were not gonna harm me.
35560	37960	That was basically that everything's gonna be all right.
38020	39760	Just help me, just help us get out of here.
39980	41580	There's one common thread I found,
41720	44300	and each of these three people had the same thing happen
44300	45440	that they kind of answered independently.
45820	47480	They're immediately intercepted by
47980	49980	between eight and 12 operators in all black,
50140	52980	no insignia, no name tags, held at gunpoint.
53100	55340	All three of these men, directly after their encounters,
55440	56640	were given what they were told
56640	58180	were anthrax vaccine boosters.
60000	60860	So weird.
60880	69320	You are one of the few people who puts names, dates, programs, acronyms to the actual UFO legacy program.
69400	70640	You're famous for your acronyms.
70840	80080	CONUS and OCONUS, outside CONUS, continental United States, intelligence surveillance reconnaissance platforms, ISR, OICI, and yes, FFRDC, federally funded research and development centers.
80280	80520	Wow.
80780	80940	Correct.
81020	84080	You have somebody like Dick Cheney, maybe at the top.
84180	84460	Yeah, yeah.
84540	89100	And then you have these six different kind of high up intelligence organizations.
89100	89780	And DOD stuff.
90000	91140	And DoD stuff.
91340	91480	Yeah.
91540	94080	Okay, so you have DoD plus intelligence organizations.
96160	100200	Do you know the first director of OGA, the Office of Global Access?
100600	101200	Doug Wolfe?
101260	102140	This is Doug Wolfe.
102200	105280	Do you know Doug Wolfe spent 16 years in the NRO?
105420	109180	He was the executive assistant to the director of the National Reconnaissance Office.
109360	109520	Whoa.
109540	111720	He was indeed CIA DS&T deputy director.
111840	113020	He indeed started the OGA.
113200	113560	Whoa.
113580	116800	And indeed, he was the DDNI AT&F,
116800	122920	The deputy director for national intelligence for acquisition technology and facilities direct oversight over NRO acquisition crazy
124240	130080	It's obviously Bob Lazar, you know was briefed on project looking glass. Yeah, which is like the manipulation of timelines
130080	133540	You have Tim Taylor. He kind of thinks of himself as like a
133540	140420	Adjustment Bureau timeline management person this sphere was basically used to I guess like
140420	144100	like coagulate time onto the Planck scale,
144200	146660	looking at time as frames of Planck scale
146660	149000	and combined with like the many worlds interpretation
149000	152040	of quantum physics to like view parallel timelines.
158760	162220	This episode is sponsored by one of my favorite services,
162360	163180	Incogni.
163280	165200	If you think UFO secrecy is intense,
165520	168200	you should see what data brokers quietly collect
168200	171200	on regular people like you and me every day.
171300	172380	I'm not exaggerating.
172460	175160	Every search, every late night internet binge,
175340	177520	every form you've ever filled out online
177520	180200	gets logged, bundled, and sold.
180400	183220	And they just sit permanently on these sketchy websites.
183660	186460	Most people never see these profiles on themselves,
186580	188560	which often contain personal information.
188880	191380	Their phone number, their email, their family members.
191640	193980	Nobody agreed to have these profiles made.
194220	196260	Most people don't even know they exist.
198200	204160	use Incogni. Incogni goes after these data brokers directly and forces your information to be
204160	210820	deleted forever. Not buried, not opted out, actually removed permanently. And they don't
210820	216040	stop at the first request. They keep following up until the deletion is confirmed. They also
216040	221380	added an amazing feature called custom removals. If you find your information on some random
221380	226720	sketchy people finder site on one of the dark corners of the web, you simply paste that link
228200	229500	and Incogni handles the rest.
229920	232200	Unlimited takedowns, no back and forth.
232360	234620	And just to be clear, this isn't a VPN.
234820	236440	It's not private browsing.
