start	end	text
0	2500	There we see a wreck, and there we see something there.
2780	6860	And then, this thing popping up on the screen.
8860	12160	My next guest is a world-famous treasure hunter.
12360	13220	You heard that right.
15000	17360	His name is Dennis Asperg.
17500	21920	And this Swedish sensation is a real-life superhero out of a different era.
22200	23240	I'm a curious guy.
23520	27100	I've always been interested in finding things that nobody else has found.
27940	33180	But on June 19, 2011, his life's mission would change forever,
33400	38240	from unearthing human treasure to unraveling the nature of reality itself.
38620	42640	That's when he came upon what you might call an underwater UFO,
43020	45740	or what's now known as a USO,
45760	50700	an unidentified submersible object in the very remote Baltic Sea.
51060	55660	It's something that makes our instruments go wild sometimes.
57900	60260	It's on the ocean floor right now.
60520	63580	So me, my crew, and Amar Kandil from Yes Theory
63580	64860	went to go see it.
65400	69420	Sitting 90 meters below the surface, 60 meters wide,
69760	72600	this is one of the weirdest objects ever detected
72600	74780	by humans in the ocean, period.
75240	77880	Yes, round and down, we have these corridors,
78280	80440	you have angles, 90-degrees angles.
80800	82360	When you say corridors, like...
82360	85200	Yeah, you have a corridor and you have walls, flat walls.
85520	85740	Wow.
87160	91760	Dennis has now confirmed that it is not attached to the seabed floor,
92000	94240	so it's not a natural geological formation.
94760	99160	I have never seen anything like that before, not have my colleagues either.
101120	103940	Electromagnetic anomalies are rampant around it.
104020	107440	It breaks down GPS, subsea rovers, drones.
107840	111640	And then when we have used the ROV, the ROV stops working.
111980	112420	Really?
112600	112800	Yep.
112920	113740	You lost GPS?
114280	115580	Very close to the object.
115680	116360	To the object?
116540	116640	Yeah.
117460	118540	Oh my god.
118840	123280	We have video of smoke coming out of the water above the object,
123520	125620	as if it's fuming or emitting gas.
126100	130680	And then you see, like, it's from this hole, this milk is going.
130900	131480	Uh-huh.
131580	133580	You know, something is moving.
133680	134440	Yes, breathing.
134440	134840	Breathing.
134940	135100	Yeah.
136000	138800	Almost like a biological organism or something.
139840	141440	But it doesn't stop there.
141720	143900	It was literally struck by lightning,
143900	146900	An occurrence often considered a high watermark
146900	148160	for its unlikeliness.
148500	152280	We also have video of NATO ships encircling this object
152280	154800	and tracking Dennis' Ocean X crew
