start	end	text
0	4660	He's frightened. He's really frightened. He's screaming into the phone.
4880	7960	They said, sir, we got all the guards out.
8100	14400	They've got their weapons pointed at this red-orange pulsating light. It's huge.
14900	21580	I went over to talk to my commander because now I'm thinking there's something serious going on up there.
21800	26160	Before I could tell him about the phone calls, we'd get a big horn go off.
26160	31840	one of the missiles went off alert status or went from green to red.
33220	41160	No go. Can't launch it. And right after that one went down, all of them went down. One at a time.
41440	45640	I'd already been trying to get in touch with you and interview you. And then this kind of
45640	50840	ridiculous Wall Street Journal piece comes out by this guy named Joel Schechtman. It just seems like
50840	54560	a really botched kind of attempt at discrediting you entirely.
54860	56520	Why would they come after me?
56740	61980	Well, nuclear deterrence is the backbone of our national security.
62360	67280	A short time ago, the U.S. military carried out massive precision strikes.
67620	70120	You have Xi and Putin closer than they've ever been.
70340	74120	Iran and Israel is really a proxy war for this larger global conflict.
74220	76960	You have Pakistan having nukes.
77000	79980	Think about the amount of al-Qaeda still in northern Pakistan.
80840	85380	a failed state at any moment. I am gravely concerned about the situation in Pakistan.
85640	91940	If there was ever an explicit disclosure moment, it might occur around us being on the brink if
91940	99500	you have another kind of Cuban Missile Crisis. Between September of 66 and March of 67,
100100	106400	we lost 30 missiles to UFO activity. 30.
106580	107180	30.
109520	116900	Our next guest was a witness of one of the most spectacular UFO nuclear-related cases we've ever had.
117080	119980	He was stationed at Malmstrom Air Force Base in Montana.
120320	125640	He was a missile launch officer there, deep underground, monitoring a group of 10-minute manned missiles.
125900	135000	In March of 1967, while on duty, he received a call from an extremely frightened topside guard reporting unidentified flying objects.
135000	140560	projects, glowing red lights hovering above the base. You won't believe what happened next. But
140560	145400	the UFO appeared to interact with the nuclear weapons. If this were an isolated incident,
145560	150560	it would be one thing. It's not. It's a repeating pattern. UFOs show up constantly around nuclear
150560	156840	weapons and civilian energy grids. The great journalist Robert Hastings has documented 167
156840	163620	Q-cleared witnesses in his great book, UFOs and Nukes. The link between UFOs and nuclear weapons
165000	170300	and widespread. And our next guest's sighting at Malmstrom is one of four different sightings that
170300	176320	I am aware of in and around this particular Montana base. This isn't an anomaly. It's a
176320	181120	real scientific pattern for those earnestly engaging with the data, for the ones who won't
181120	185860	just reflexively look away due to the stigma. Just last month, the Wall Street Journal wrote
185860	190560	a hit piece attempting to discredit our next guest. They claimed that this whole event he
190560	196500	he witnessed was due to an experimental test of a non-nuclear EMP. They cited an EMP model that
196500	202720	wasn't even operational in 1967 and claimed that this device was used on our own nuclear weapons
202720	207980	with officers like him present. The article made no sense and it really didn't even make an attempt
207980	212980	to make any sense, but it was written by a journalist that says that conspiracies around
212980	218100	JFK's death are now fueling a belief in the quote-unquote deep state. This journalist also
218100	223220	also just wrote an article railing against a psyop that marginalized Chinese COVID vaccines.
223960	228700	Suffice it to say, I think we have very different worldviews. But as you'll see in this interview
228700	235700	with my next guest, history might not repeat, but it certainly rhymes. In 1967, they also tried to
235700	241140	cover this case up using some very bad faith tactics. Luckily for us, our next guest has
241140	245960	documented the hypocrisy the entire way. And even though the Wall Street Journal wouldn't let this
245960	252720	85-year-old veteran publish a full response to defend himself. He does so very eloquently here.
252980	257100	So without further ado, I'd like to welcome this week's American Alchemist,
257200	264840	First Lieutenant Robert Salas. I'm here with Bob Salas. I'm so grateful to be here. I appreciate
264840	270920	you having me. I've been kind of citing your experience for the last two or three years
270920	276820	on my show. And so it's really cool to finally be in person and be able to, to, you know, hear it
276820	281780	directly from you. And this couldn't be more timely because I had already been trying to get
281780	286700	in touch with you and interview you. And then this kind of ridiculous wall street journal, uh,
286900	291960	piece comes out by this guy named Joel Shechtman. Clearly, you know, he's collaborating very
291960	296980	closely, probably too closely with a guy named Sean Curtin Patrick, who's the former head of the
296980	299840	the All Domain Anomaly Resolution Office.
300440	305960	And it just seems like a really botched kind of attempt
305960	308760	at discrediting you entirely
308760	311060	and basically saying that there was an EMP
311060	314300	that was wheeled up to Malmstrom Air Force Base
314300	315380	where you were first lieutenant,
315540	317460	you were working in the launch control facility.
317760	320060	And that is what explains
320060	322240	these 10 nuclear missiles going down.
322360	323500	So anyways, it's very timely
323500	326140	and I'm very grateful to be having this conversation with you.
326980	329320	I'm happy to talk about this.
329700	336300	Yes, I think there was a deliberate attempt to discredit my story.
338440	342180	And I've got some theories as to why that was done.
342720	344600	What are your theories as to why?
344740	345740	Or why don't we do this?
345780	349320	Why don't we just get into the core details first of what happened?
349380	351480	And then Lot's going to be referencing that.
351560	354860	And then from there, we can get into theories as to why people are trying to sabotage it.
354860	358800	So in 1967, I was assigned a two-man crew.
359720	362820	My commander was Fred Mywald.
363340	365420	We were both lieutenants at the time.
365500	370520	And we were assigned to Oscar Flight, which is near Lewistown, Montana.
370960	372180	No, I take that back.
372180	381900	It's near Roy, Montana, which is about 100 miles to the east of Great Falls and Malmstrom Air Force Base, located near Great Falls.
381900	397080	So at this site, we go underground to what we call the Launch Control Center, and that's where we have all the equipment down there to monitor and launch missiles if necessary.
397880	409140	So on this particular evening, March 24th, 1967, my commander was taking a rest break.
409200	410420	We had a little cot down there.
410500	413540	I was in charge of the entire facility.
416560	419220	I get a call sometime in the evening.
419260	422460	I don't know when exactly.
422460	428800	Exactly. It was probably close to 9 p.m. or so. It was dark out.
429700	436040	And the topside guard, which we call a flight security controller, called down and said,
436180	442480	Sir, I've been seeing some strange lights in the sky overhead, directly over us.
444340	451120	They're strange because they're flying very fast, stopping in midair, reversing course,
452460	459500	90-degree turns, no engine noise, and sir, these are not airplanes.
461780	464240	Airplanes can't do what these lights are doing.
464540	468700	So I even said, you mean like UFOs?
471140	476700	Because we had actually had newspaper accounts in the Great Falls Tribune
478280	482440	of people like farmers and citizens
482440	486220	seeing strange lights in the sky at night that week.
486820	490340	Yeah, wasn't there a truck driver and a police officer,
490560	492300	if I'm not mistaken, who would also see?
492300	493380	Yeah, we'll get to that.
493520	496040	That's an important part of this.
499060	500780	We can talk about it now if you want.
501120	506420	On the same night, and this I think was about
506700	510000	7.30 to 8 in the evening,
511360	514940	a truck driver was driving through the town of Belt, Montana,
515260	522740	which was about 35 miles to the southeast of Great Falls.
522960	527520	And he looks over out his window
527520	531920	and sees a bright light that's pacing him,
532920	533840	going the same speed,
533840	536820	and it's actually blinking at him.
539020	541060	He finds it a little strange.
542540	545940	It was just a big white ball of light to him.
546060	551920	He stops the truck and gets out
551920	557600	and watches the light land in a ravine,
559540	560760	a large ravine.
