start	end	text
540	4580	You're dealing with weapons that would make a hydrogen bomb look like a tinker toy.
6420	12040	It's the largest criminal, corrupt organization in the history of the earth.
13000	18160	Most people have a price in either blackmail, threats, or money, or position.
18520	20620	I said, sit on it and rotate.
22180	24660	Why are you so controversial?
25060	27500	Just let me finish. Let me finish. Let me finish the story.
27500	30480	You keep interrupting me, but I will tell you if you'll let me finish.
31040	33960	The really high-tech stuff, they slammed into a box.
34240	39020	It would liberate every home, every car, every factory, every country.
39160	39460	Yeah.
39680	43240	Into energy independence, no pollution, and no poverty.
43440	45760	Here's a warning to you money-grubbing whores.
45940	48700	It's gonna be open sourced.
50060	52960	So I've been doing this work one hell of a long time, since I was 35.
53400	55760	I thought everything that went bump in the night was alien.
57500	60820	I started having people come forward who said, oh, we piloted these.
61060	64480	And then I had guys come forward who had actually been on the abduction squad.
64760	66000	Made them look like aliens.
66200	66340	Whoa.
66520	67400	And they said, oh, no.
67400	68640	You've met people who, like.
68940	69940	Committed those crimes.
70020	70300	Wow.
70300	72400	Yeah, and they feel terrible later in life.
73440	77900	The folks who know about this, they need to come clean truthfully soon.
78040	80120	This is getting very serious right now.
80280	84680	Whether you're in Congress, the Senate, the public, or someone on your podcast,
84680	90580	they need to be arrested and tried for treason and sedition against the United States.
90720	95000	Does that involve storming Area 51 and Dugway and Right Pad?
95220	96340	What does this involve?
96600	96920	Literally.
100820	105340	This week's long-awaited American Alchemist is Dr. Stephen Greer.
106080	109520	Love him or hate him, this medical doctor turned UFO truth seeker
109520	113120	has played a big part in modern disclosure that can't be ignored.
114680	119440	closer to the truth, you just can't really throw out his foundational research, the Disclosure
119440	124900	Project archive, and his whistleblower testimonies. He's gathered more firsthand UFO witnesses than
124900	130000	anyone on the planet, and humanity owes him a debt for that. In my opinion, speaking to Dr.
130040	134920	Greer is like panning for gold. If you get past some of his antics, there's a ton of value there.
135080	140080	I've been told by people not to do this interview because of those antics. I don't really care for
140080	145500	being told who I should and shouldn't speak with. Talking to someone on a podcast is not in any way
145500	150980	an endorsement of all of their beliefs, so I decided to sit down with him. The one caveat I
150980	157380	will include here is Dr. Greer goes after just about everybody in UFO World and hurls out a ton
157380	163100	of ad hominems. If I had tried to perfectly referee all of his accusations, this would have turned
163100	168400	into an unintelligible and endless argument about who the bad faith actors are in UFO World,
170080	175620	are probably many. So instead, I tried to show appreciation for his incontrovertible contributions
175620	181440	to UFO disclosure and to learn what I could from him. So without further ado or disclaimers,
181500	187940	please enjoy this special long-form episode with this week's American Alchemist, Dr. Steven Greer.
188880	195820	I'm here with Dr. Steven Greer. I'm so excited to do this. This has been a long time coming for me
195820	198180	because I've explored a lot in UFO world.
198380	198640	Sure.
198840	203200	And you are really responsible for a lot of disclosure.
203520	207340	I mean, a lot of the, most of the whistleblowers who've come out
207340	210520	have had a touch point with you before they've gone public.
210740	215360	And so Disclosure Project is your kind of organization.
215660	218280	You have an archive with terabytes of data,
218380	222000	documents that go incredibly deep on the cover-up.
222060	225020	You've also made a couple of great movies on Acknowledged.
225820	227600	The Lost Century about suppressed science.
227740	230040	And the new one that just came out, The Battle for Disclosure.
230100	231220	And The Battle for Disclosure.
231400	234620	And then you've given me this incredible, this briefing.
234740	235540	For the president.
235580	237240	We cleaned it up.
237320	237680	Okay.
237900	239100	And redacted things.
239220	239440	Okay.
239460	242120	And then I made it available to the public so everyone can get it now.
242380	245600	So you'll have 90 plus percent of what the new president has.
245760	246420	That's pretty awesome.
246540	248400	The Disclosure Project Briefing Document 2025.
248520	251160	So have you spoken to Trump or his team?
251940	255580	I can't talk about the who, the names.
255820	261280	But very senior people relevant to this issue in national security, yes.
261380	265460	So as soon as the election happened, even before.
265960	274400	So some of his closest advisors and major funders have been on my team and are supportive of this.
274660	281920	And some of them that are new to that world, and just to be clear to everyone, I'm nonpartisan.
281920	286840	So I've dealt with all the way back to Clinton and the Obama and John Podesta all the way
286840	287340	forward to now.
287460	292760	So my institute and the Disclosure Project is completely a nonpartisan, has to be.
293180	297660	And not only nonpartisan, it's global, because I do the same thing for Europe, Australia,
298160	298780	Great Britain.
298840	300180	I was just in Great Britain in September.
300640	303480	So we're assiduously, carefully nonpartisan.
303480	318220	With that said, this administration, I think the first administration since Bill Clinton tried to fix this problem in his first term is most open to perhaps pursuing it.
318300	318760	We'll see.
318940	320260	That would be very exciting.
320660	328020	Well, this brings up this kind of perennial question because I think a lot of people associate this topic with the quote unquote deep state.
328180	332220	And they also associate Bill Clinton with the quote unquote deep state.
333760	336700	Deep is the deep state that deals with this topic.
336760	340320	If you have Bill Clinton kind of knocking on the door of the program and not getting let in,
340900	344320	what are we talking about as far as a power structure here?
344600	350480	Well, it's exactly what Eisenhower described when he went out of office in 61, in January of 61,
350640	352760	when he left and Jack Kennedy came in.
352900	355760	And he said, beware the military-industrial complex.
356000	361760	It will become a threat to our way of life, and excessive secrecy will destroy democracy.
363480	370800	the speech. The same thing that Jack Kennedy said in a number of speeches. And then we know for a
370800	375680	fact, and I know the people who have the actionable intelligence on this, Jack Kennedy was killed over
375680	382820	this issue. And the constellation of programs attached to UAPs, and particularly the science
382820	388720	and technology branch of it, which we'll get into. That's two big pillars here, keeping it secret.
389280	394840	They want people to go out publicly, and we know who they are, who will spin the subject
394840	400180	in the direction of it being an alien threat for the purpose of a totalitarian super state
400820	405540	uniting the world against aliens, which is a total hoax and nonsense.
406280	409520	And that's, you know, it's like the movie Independence Day or the War of the Worlds
409520	409900	or whatever.
410260	413460	You know, like when Will Smith goes, let's kick alien butt, right?
413460	413580	Right?
414280	418500	That whole script was like out of CIA central scripting casting.
419360	420740	Not that Will Smith is.
420780	421260	He's a great guy.
421440	424440	But it was reached out to us and very interested.
424800	431180	But I think that the trajectory of this goes back to the late 50s.
432020	433060	Probably earlier.
433280	440600	But definitely the decapitation of the presidency happened on Eisenhower's watch.
440600	447660	And we know that Jackie Gleason knew this and some people that in my early days as a young doctor when I first started this
447660	450820	I got to know some people who had known Eisenhower and
451700	459620	And like one of our whistleblowers way back then at the when we kicked off the whole disclosure project effort in the mid-90s
459620	462160	It was called project starlight code name
462160	466560	We were private and then it went public in a one with the National Press Club
466560	468820	that had 800 million people see it.
469120	473620	And then 9-11 happened a few months later as a direct consequence,
473860	475900	which I don't want to get into that much,
476080	478680	but this was going to get blown wide open.
480060	480540	Interesting.
480920	484600	They needed a diversion, so they created something called 9-11,
484720	487080	and they've been stuck in that world for 20 years.
487460	490960	But what's fascinating about this so-called deep state
490960	494320	is that it was a carryover out of World War II.
495300	505500	and it started when a man who was one of the original founders of CIA, Alan Dulles,
506480	514760	it was OSS during World War II. The other thing was a guy named Paul Mellon and Mellon was one
514760	519120	of the few billionaires in the world at the end of World War II. I mean a million having billions
519120	527120	of dollars and 45? Amazing. So Paul Mellon's grandson, who is John Warner the
527120	532240	fourth, the son of Senator John Warner, I got to know years ago and he said,
532300	536960	look, first time I walked into his house, at the Watergate, it's a huge
536960	543660	place on the water, and John Warner the fourth, not his father, the Senator
543660	548200	Warner, but John Warner, I walk in, he goes, oh my whole family were fascists.
549120	549640	I went, what?
549920	550840	He says, oh, yeah.
551360	559440	So his grandfather, Paul Mellon, so Warner, his father had married Paul Mellon's daughter.
559980	561560	So it's very familial.
562380	564580	This runs family back, way back.
564980	569660	And he said, yeah, I mean, he was a huge supporter of Adolf Hitler and fascism.
569720	570620	So was Henry Ford.
570720	571720	So was Watson of IBM.
572300	574380	So these were all hardcore.
574600	577460	And so was Prescott Bush, George H.W. Bush's dad.
579120	580900	be big supporters of fascism.
581060	583460	They're at like Union Bank, Brown Brothers, Harriman.
583800	584680	Yep, all that.
584880	587160	Chase Manhattan, the whole thing.
587680	594400	So that was put into kind of stasis for a few years until we won, I call it the battle
594400	595060	of World War II.
595500	600080	But then those people sort of covertly surfaced after World War II.
600320	604400	Well there's a story of John Warner IV and he's having martinis, I believe, with
604400	605260	Paul Mellon, his grandfather.
605260	605940	That's what I'm talking about.
606080	606320	Exactly.
606320	609780	He admitted this and admitted going over and getting a Nazi disc.
610020	610500	That's right.
610680	612020	That was not a ramjet.
612080	613720	It was actually electrogravitic.
613820	620340	And my grandfather said, look, you know, we were in a facility, a hangar, and we saw a German flying disc.
620840	627600	And I said, you know, oh, is that the one that was cobbled together with six BMW jet engines?
628020	630460	And he laughed and he said, no.
630760	632460	Now, some of them are extraterrestrial.
632580	632700	Yeah.
632700	636260	I don't use the word alien because people think it's someone from Guatemala or something.
637380	642820	But an ETV, an extraterrestrial vehicle, or NHI craft, non-human intelligence craft,
644180	645380	that's not what he brought back.
645580	649840	It was a Nazi early prototype, but it wasn't stable.
650520	656260	It took us from 1945 to 1954 to master what's called gravity control.
656620	659500	And I have a man who is a whistleblower, but privately,
660180	662460	who is the top scientist at the Naval Research Labs.
663700	667840	who has passed away, so I'll say his name is Richard Foch, F-O-C-H.
668780	671900	Rick had been in the vault and saw the documents
671900	674500	for the date we mastered gravity control,
674740	676700	and it was October 1954.
677560	679880	So beginning in the late 50s forward,
680360	684860	many of the UAPs, UFOs, whatever the new fake word is
684860	687940	they're using for these things, that's also out of CIA.
688060	691180	We'll talk about the word usage and how it's a mind colonization.
691500	692460	It's a mind fuck.
692700	697900	excuse my language, but to think how these guys think, right?
698000	699100	You had to get at their level.
699320	703020	And so from there forward, they said they had captured
703020	707620	or shot down a couple of ET craft, but they weren't starting from zero.
708360	711260	They already had that, right, the Nazi disk.
711520	714660	They had the T. Townsend Brown electro-gravitics,
714840	717900	which became the foundation of RAND Corporation, by the way.
719400	729520	That's interesting because I know Townsend Brown did some experiments in the 60s right before his work got kind of covertly transferred to Northrop Grumman for the B-2.
729700	733960	And he did a presentation for Rand Corporation and then something happened.
734340	736940	But that started in the 20s.
737220	738640	Well, his experiments, yeah.
738640	749980	Okay, so late 1920s, they were using very high voltage material, resonant frequencies, certain frequencies of very high voltage, but low power.
750440	751540	Not a lot of current.
751580	752160	Yeah, low current.
752380	754340	Low current, if you understand electromagnetism.
754360	758840	And power is, you know, the current times the voltage, right?
758960	763520	The fact is that he was able to hit a sweet spot with certain crystalline materials.
764280	765680	High K dielectrics.
765960	767240	Yeah, and that would then levitate.
767400	767740	Yeah.
767900	768380	Float.
768860	770480	That was 28, 29.
770680	773280	It was reproduced in Germany in the Kalski-Frost experiment.
773560	777840	All this is in, by the way, the Disclosure Project Intelligence Archive.
777840	778760	We released it all.
780260	781060	Dpiarchive.com.
781200	781920	Is that it?
782480	783180	Dpiarchive.com.
783340	785560	And so, I go, anyone who wants to see it, it's there.
785680	787060	If you can read, you'll learn it.
788400	791280	So that percolated along.
791860	796860	So the covert programs with this go way back to the turn of the last century.
798860	805360	1900s. There are still top secret files on this issue from the late 1800s and early 1900s. We
805360	810120	know this. Wow. Way back. Fascinating. Yeah, it is fascinating. And how do you know that
810120	816600	it goes that far back? Because one of the very top people since 1979 at the CIA who's worked this
816600	821320	issue is an intel source for me. So what is the secrecy? Because we think we associate it with
821320	822900	with the CIA, which was formed in 47,
823180	825160	even OSS was 42 through 45.
825600	826080	Yeah.
826120	829380	So like, if this was like late 19th century,
829480	831020	is it Office of Naval Intelligence?
831160	832300	Is it Secret Societies?
832360	832860	Is it both?
833080	833820	What's up guys?
834080	836840	I wanna tell you about my new favorite boots.
837080	838040	These things are epic.
838340	839500	I've been wearing these everywhere.
839780	840700	They're called Brunt.
840900	842680	They're insanely comfortable and durable.
842860	845640	These things last for years and they're super versatile.
845840	847840	I wear them for hiking, for hanging out.
847960	849840	They look pretty swaggy if you're going out.
851320	856160	work meetings. They feel incredibly comfortable. There's no annoying break-in period. They just
856160	861040	kind of form fit to your foot right off the bat. They're lightweight. You don't have to lug them
861040	865980	around, but they're also super weather resistant, waterproof, and durable. Brunt is committed to
865980	872220	making sure you're 100% satisfied with your new gear. With over 500,000 customers already on board,
872380	877320	these boots are the best in the category. Take it from me. Brunt makes the most epic, durable,
877320	883480	and comfortable work boots. For a limited time, our listeners get $10 off at Brunt by using code
883480	890900	Jesse at checkout. Just head to bruntworkwear.com and use code Jesse and you're all set. Even better,
891020	896920	Brunt lets you try all their products on the job risk-free. Just go to bruntworkwear.com
896920	904480	and use code Jesse for $10 off. Again, that's bruntworkwear.com, code Jesse. After you purchase,
904480	910360	They will ask you where you heard about them. Please support our show and tell them that we sent you
910360	914100	No, it was it was again. It was military intelligence and
914600	920460	Scientists who were under contract and there were top-secret things going on. See people forget Nikola Tesla
920980	924820	Not the fake Tesla cars with a little toy battery plug in
925400	931640	No, I'm not talking about the fake Tesla. I'm going about Nikola Tesla. Uh-huh, you know as Einstein was asked
931640	935780	what's it like being a genius and he goes I wouldn't know you should ask
935780	942300	Nikola Tesla see I think that was the real genius I agree with you of the
942300	948180	20th century him in Townsend Brown and yes and Matt Faraday Maxwell they all
948180	952380	had stumbled across this electromagnetic effect mm-hmm so this is when I say we
952380	956840	have a hundred the lost century everyone go see this documentary it's a
956840	962820	a documentation of 100 years of lost technologies that are really advanced. And I don't mean the
962820	970360	crap out of Silicon Valley. It's just peripheral garbage. iPhones, all that stuff. That's not high
970360	978380	tech. None of it. So the really high tech stuff, they slammed into a box. Because it would liberate,
978460	985320	this is a libertarian's dream, it would liberate every home, every car, every factory, every
986840	989940	to energy independence, no pollution, and no poverty.
990220	994220	But then that undercuts this uber elite oligarchy,
994500	997340	the super powerful trillion dollar,
997500	999740	I'm not talking Elon Musk, couple hundred billion,
999900	1001280	nobody cares about $200 billion.
1001980	1004780	We're talking hundreds of trillions of dollars in assets.
1005160	1007580	Can I say where I might disagree with you?
1007700	1010360	I think we have these novel effects in the black
1010360	1012600	around Townsend Brown, electrogravitics,
1012680	1014600	things like that, extended electrodynamics.
1014600	1016800	And then I'm not so sure.
