start	end	text
0	4660	In modern times, we've gotten used to the images of dystopian societies in fiction.
4860	8920	From a world where babies are no longer being born and children of men,
9120	14760	to the use of human-like artificial intelligence as slaves in a dying world like Blade Runner,
14900	20220	or the very bleak future of The Matrix, where our entire reality is a managed simulation
20220	25240	keeping us docile, just so that our bodies can be used for energy.
25460	28760	There is an acceptance of the dystopia they survive in.
30000	32700	A microbial frog sat in slowly boiling water.
32860	42780	And one only need to shift their perspective slightly to realize that the world we are currently living in shares many characteristics of these dystopias.
42960	47340	Or at the very least, there exist some extremely worrying trends.
47700	53880	Trends that might produce a future where food makes you sick, going to the doctor can bankrupt your entire family.
54640	57740	Social interactions have been reduced into likes and upvotes.
57740	61640	And you can barely even tell if the person responding to you is AI.
62080	69960	We live in a society where panels of self-appointed quote-unquote experts decide what you're allowed to hear, think, and remember.
70280	75360	We're told what's real and what isn't, and anything that doesn't fit the script is dismissed.
75880	81800	These things are treated not as mysteries to be explored, but as distractions, a punchline of a joke.
81940	83300	Don't get him too close to me, please.
83320	87180	It seems clear that a system has been put in place to deceive us.
87740	90760	And this does not end at the limits of what you can see in the sky.
91620	95880	This deception reaches down into the fundamental building blocks of your body,
95980	101460	what you eat, why you get sick, and how that disease and treatment is commodified.
101700	109640	It's not a wildly outlandish claim to suggest that a blanket similar to the one that has hidden truths about UFOs,
109640	117460	non-human intelligences, and physics redefining technologies has also been used to disguise the truth about health.
117740	123000	Following this trail leads through many of the same avenues as the hidden history of UFOs.
123020	126480	The alliance between secret government programs and big business.
126980	129360	Classified breakthroughs in science and medicine.
129660	134440	And the code that we have been written on, our DNA, having cosmic significance.
134980	140060	And there is a conspiracy keeping us poisoned, low energy, lonely, and tired.
140160	143440	Too sick to look up and ask what we are doing here.
144280	145240	But is there a way out?
145240	150380	The long road to the dystopian health system we now live in, and how it has become enforced,
150820	156320	started at the beginning of the 20th century, when the entire landscape was transformed,
156700	160440	almost single-handedly, and to serve big business interests.
160900	166940	John D. Rockefeller, already the richest man on Earth thanks to Standard Oil, now ExxonMobil,
167140	171400	had a vision to monopolize medicine in the same way that he had oil.
171400	176780	Petrochemicals were on the rise and synthetic pharmaceuticals that included products derived
176780	183720	from oil were a way to patent and own treatments and medicine. It also meant stamping out competition,
184140	188860	most notably of natural medicine and therapies that could eat into profits.
189180	195080	In 1910, with backing from Rockefeller and fellow titan Andrew Carnegie, the Flexner
