start	end	text
0	4080	I'm here with Eric Wargo. This has been a long time coming because I think I refer to your
4080	8900	books like in every episode that I do. And so this is an honor. I really appreciate it.
8920	14900	Found myself in your neck of the woods in DC and had to do this and I'm really excited.
15060	21240	You've written three books. The two that I've read are Time Loops and From Nowhere.
21800	27480	And they're just incredible. In the world of kind of AI doomsdayers where that's all the rage these
27480	32720	these days, where I think people struggle to kind of separate the human mind from kind of the
32720	39000	robotic mind that is AI. You have a new theory of mind that I think comports with a lot of people's
39000	44580	intuitions as to how the human mind works. I want to start with a really interesting concept that
44580	50760	you actually present at the beginning of time loops, which is this idea that often prophecies
50760	58180	prophecies are you get some sort of message, that message actually causes you to react in a certain
58180	65740	way to the message that then manifests or causes the actual prophecy to come to fruition. And the
65740	71160	traditional example of this might be Oedipus. How do you explain that? What sort of model
71160	79440	do you apply to that? If it works the way I think it works, and I think that
80760	87240	Various trends in science are converging, I think, on an actual physical explanation for how it works.
87600	91300	If it works that way, prophecies have to be self-fulfilling.
92260	93280	Now, what does that mean?
94140	98840	Events in the future are, in a sense, fixed, in the same way events in the past are fixed.
99720	107720	Now, if that's the case, any kind of time travel, and precognition is really a form of time travel,
107820	109400	it's a form of informational time travel.
111620	119240	cannot change history. This is a misconception. People somehow they think about precognition or
119240	124160	they think about time travel. They think, but wait, you could go into the past and change history and
124160	128860	kill your grandfather and so you couldn't be born and all that. Grandfather paradox.
129080	140560	So, it's kind of faulty reasoning. And in fact, physicists in the 80s kind of did the math.
140760	153680	I mean, they got interested in wormholes and things like that, and they did the math and found that, no, in fact, if you send a particle through a wormhole or a billiard ball through a wormhole and try to deflect it away from the wormhole, it fails.
153820	161940	You're always going to deflect yourself into the wormhole, and you're always going to be in what's called a closed time-light curve or a time loop.
162100	170300	It means that the universe is self-consistent. It means paradox doesn't occur, and that's the definition of paradox, something that can't occur.
170760	178620	Um, so any intervention in time, any backward influence via information alone or via physical
178620	183880	objects traveling through a wormhole or a time machine or something like that, that,
184000	190160	that adventure in the past, whatever it is, is already part of the backstory of getting
190160	191380	in the time machine in the future.
191660	195140	Um, and there's really no problem.
195260	199820	There's really no problem with time travel or with information traveling in time.
200760	208380	lead to paradox. You just have to wrap your head around the idea that, that you now are the product
208380	215140	of time traveling information already. And maybe time travelers, you know, you know, your history,
215260	222100	your past history includes, you know, all that time traveling, uh, either physical time traveling
222100	229880	of advanced beings or, and at the very least information in your head that's traveled back
230760	236700	future. You now are the product of information refluxing from your future and influencing
237400	244800	your past and influencing your present. That's why we can say that prophecy is always self-fulfilling.
