start	end	text
0	3960	You're sitting there and you're sitting with David Fravor and with David Grush and you and
3960	8640	David Fravor have these amazing eyewitness accounts. As we convene here UAP are in our
8640	13780	airspace. These sightings are not rare or isolated they are routine. There's a long history of fighter
13780	18640	pilots like yourself having seen these things. What happened when you were there? Our assumption
18640	24040	at first was that these were just radar error but they weren't behaving like false traps. They were
24040	28320	steady, they were solid, they were consistent and some of these objects were even going over the
30000	34220	that threshold, boom, object shoots down, came within about 50 feet of the cockpit.
34380	38040	And he described it as a dark gray or black cube inside of a clear sphere.
38260	41600	Half the room raised their hand like, oh, yeah, the cubes and spheres, you know, we saw those.
41700	44440	Yeah, about 5 to 15 feet in diameter.
44700	45900	Oh, by the way, they're out there all day.
46140	46840	Do you believe that?
46920	49960	Do you think that the U.S. government is reverse engineering UFOs?
51040	55940	Flow state is a popular word in, you know, pop psychology, that sort of thing.
55940	62480	I have to think, you know, it's described as like, you know, you're purely present and you're just focused on that.
62760	69700	You have to think that that experience flying a fighter jet like that has to be peak flow state, right?
70020	70420	100%.
70420	76140	And, you know, honestly, it really even starts before we get in, you know, well, we have a brief that we have to prepare.
76360	77420	And, you know, you're joshing around.
77500	79340	Once that brief starts, it's very serious.
79980	83840	You finish a brief, maybe you have time for a coffee and then you're walking to the jet.
83840	94120	You were walking to maintenance, signing it out, signing out the maintenance forms, reviewing the aircraft, strapping in all the gear, you know, 60 pounds of gear or so and hopping in the jet.
94220	99140	You know, we do what we call building our nest, you know, like for unloading contents from our new board.
99240	103460	We're strapping in, we're placing things on our legs that we need for information.
105460	112540	But then once you get airborne, it's, it is, it's just like, it's like being constantly in the moment, but you are planning ahead.
113840	117000	your fuel state, where you're going, what you need to do, what the contingencies are.
117160	122360	And I would say the greatest example of that, the penultimate presence moment, if you will,
122420	127760	is landing on the aircraft carrier, especially at night. It's a very trippy experience. It can
127760	131960	be almost meditative when you're out at range and you're just flying towards this singular
131960	139260	little light that's in a sea of blackness and literally a sea as well. And, you know,
139280	143680	you kind of have this very like slow and gradual perspective change. And then all of a sudden,
144840	146760	getting faster and faster, this perspective change,
146920	148200	the light getting brighter and bigger.
148320	150540	And all of a sudden you almost have to kind of snap out
150540	153100	of the state and remind yourself that you're about to go
153100	154900	through this very intense evolution.
155880	157340	It almost feels like,
157840	160300	does the jet become like an appendage of your body?
160340	160900	It's 100%.
160900	161980	Yeah, a hundred percent.
162320	163400	You're strapped in there.
163520	167340	I mean, there's, it's not the jet and you, it's just,
167380	170200	you know, you think and the aircraft moves, you know what
170200	170340	I mean?
170340	177200	become so synchronized and part of kind of your subconscious, you know, because you train so much
177200	182700	on it. You're constantly making corrections. You're constantly doing things. And just all
182700	187260	those mechanisms are just so well rehearsed that it just feels like you're just part of the jet
187260	192580	and you're just moving around. You did an amazing podcast actually with Dr. Ia Whiteley, who deals
192580	198600	with the psychology of both fighter pilots and astronauts. What did you learn from her? I mean,
200340	205660	putting words and analysis and names to things that you've experienced firsthand but what was
205660	210420	that conversation like well you know we get a lot of what we call ground training where they bring
210420	214940	in folks not unlike herself and teach it to us at a certain level and we go through different reviews
214940	218880	you know like every six months or a year where we rediscuss these different issues
219580	224860	but i think what was like most impactful to me like as as the operator as a guy on the leading
224860	229900	edge we don't always you know get to see behind the curtain to like the countless people that like
230340	235380	takes to get us there and make this mission successful. So to really talk and engage with
235380	239860	someone who's devoted her career to this or life to this, it was just really rewarding to kind of
239860	244120	have that perspective from someone that is ultimately always on the outside of the
244120	247340	actual operation, but is so critical to what we do.
247520	253360	Yeah. And I imagine you learn so much kind of in the abstract before you get into the cockpit,
253460	258920	and then everything probably goes away at some point. Like there's a great book called The Art
260340	265600	weight skin, he was actually the inspiration for searching for Bobby Fisher. So he's this
265600	271980	prodigious, amazing chess player as a kid. And then he became, I think, a champion in like
271980	277020	Tai Chi push hands or whatever martial art. So he's one of the few people who've like
277020	281180	been at the top of two different disciplines. And he writes this book about how to
281180	285320	best learn. And it's called it's a great book. It's called The Art of Learning.
285440	290200	And he says that you can learn a bunch of mental models. But ultimately, when you're like doing
290340	295100	the thing, all of the mental models just go away and you have to kind of integrate. It's like a
