start	end	text
0	7480	There was an age in which the gods were dwelling on earth among men.
10560	13580	And those beings came from somewhere.
15440	23500	The human species was originally created, designed, intended to be a member of the divine family.
23500	30380	way. This is an archetypal myth that cuts across a lot of regions and cultures. It's universal.
32640	37680	So we have these watchers that came down, they were extraterrestrial, they mated with man,
37740	42840	they created Nephilim, and then we have evidence that a lot of this actually holds astronomical
42840	50040	weight in the ancient world. There are ruins of an ancient civilization on the planet Mars,
50040	52120	specifically in the region of Cydonia.
52240	54420	And this, what's so fascinating about this,
54520	58320	is that the ancients believed that the gods descended from Mars.
58700	60500	We can understand the modern phenomenon
60500	61500	in light of the Book of Enoch.
62560	64000	Hearing about the Book of Enoch,
64160	65880	and it sounds a lot like Prometheus,
66120	68560	where you have titans who try to give
68560	70560	mankind sacred knowledge.
70820	72700	So these were very, very intelligent beings,
72760	74540	probably in possession of what I would describe
74540	76420	as advanced aerospace technology.
76820	79180	I myself have seen a UFO right above my car.
80040	85560	thing just descended and just hovered there like I was supposed to see it. That is some top secret.
88940	94740	Speaking of evidence of Nephilim and this whole narrative, you're one of the few people who
94740	101520	has gone deep on this phenomena of giants. The story that has since become known as the
101520	107840	Kandahar Giant. This is where it begins. He was a cargo pilot and he would describe these missions
107840	108900	as classified.
109260	110540	And one day he's flying in there.
110700	112140	They said, this never happened.
112220	112880	No pictures.
113080	114120	Don't ever talk about it.
114200	117160	He sees a forklift bringing over an air cargo pallet.
117220	118420	And there's something on it.
120160	122860	And he said the first thing that hit him was the odor,
122960	124360	like BO and death.
125000	126700	The hair of this being was red.
126860	127700	The skin was pale.
127940	130500	He said it had six fingers on each hand
130500	132040	and six toes on each foot.
132220	134440	And he said this thing was solid as a rock.
135140	137560	So you can imagine, let's say it was 12 feet tall,
137840	139760	The whole thing weighed 1100 pounds.
140080	141160	That's pretty crazy.
141440	141700	Yeah.
141920	142240	Yeah.
144780	146480	Ignition sequence start.
148220	149820	How is this possible?
150740	152580	Nothing too unusual about that.
154280	157580	The existence cannot longer be denied.
166260	168860	As you know, we have a new starship.
168940	171240	Of course, we have a healthcare center on board.
171500	173580	Ask what my new favorite product in it is?
173860	175980	Iris Store's Illumina Face Mask.
177180	180240	Some billionaires are rejuvenating in underground light pods.
180520	182800	I'm doing my own version in my living room.
182960	185320	This mask is like a med bed for your face.
185320	192220	It's lightweight, super convenient, cordless, and runs red, blue, and infrared light therapy all at once.
192360	196380	The same type of technology NASA studied for skin healing in space.
196740	200740	It's safe for your eyes too, so you don't have to sit there like a statue.
200940	202020	You can live your life.
202440	206420	I wear it when I'm reading, meal prepping, or investigating life's mysteries,
206600	209000	without feeling like I'm staring into the sun.
209140	212080	Ten minutes of light and my skin looks and feels so good.
212300	215160	Finding red light therapy was a revelation for me.
215320	218600	I've definitely had a few late nights reading about magnetic pole shifts.
219100	221960	But with this mask, I look like I actually slept.
222180	223760	Did I? That's debatable.
223960	227720	It's warm, wireless, convenient, and makes your skin feel super soft.
228040	232460	And iRestore is kicking off their spring savings with some very big discounts.
232880	241240	Right now, you can get the Elite Plus Illumina Face Mask Bundle at an exclusive deal when you use code JESSE at iRestore.com.
241240	245740	That's jesse, J-E-S-S-E, at iRestore.com.
246200	249060	Please support our show and tell them we sent you.
249320	253340	I don't know exactly what AG1 is doing in my body,
253420	256600	but I do know that my microtubules are online.
257020	259360	I'm not saying I can feel the force,
259540	262440	but my chakras have definitely auto-aligned.
263140	265640	In fact, I used to think I had seven chakras,
265640	269020	just like everybody else, and then I drank AG1.
269120	270660	Now I have 50.
271240	276160	Just kidding. But I did used to wake up feeling stiff and groggy like my brain's on airplane mode.
276360	281320	And then I started one habit, one scoop in eight ounces of water. It's a multivitamin,
281420	287620	a prebiotic, a probiotic. And with its adaptogens, it's the only green powder I'd ever bring to a
287620	292600	skiff. Shout out Chris Ramsey. I take this in the morning and it's the easiest upgrade I've ever
292600	298500	made. My favorite flavor is berry, but honestly, they're all good. AG1 has over 50,000 verified
325000	328400	Thank you so much.
328500	337200	to AG1 for sponsoring today's episode. I'm here with Timothy Albarino, and I could not be more
337200	343560	excited to speak with you. I have been just going through all your stuff, all your podcasts,
343980	349580	your book, your amazing book called Birthright, which is really awesome because I think people
349580	355540	in this space, it's always an anecdotal story that's really crazy and interesting. You have a
355540	359840	a lot of those anecdotal stories. I want to talk to you about the Peruvian face peelers. I want to
359840	363560	talk to you about the giants of Kandahar, all of these amazing things that you cover. You're this
363560	370640	kind of modern, larger than life adventurer. But you also are, I think, a really impressive kind
370640	375440	of philosopher and sense maker. And you do such a great job in this book, Birthright, which I
375440	384180	recommend people get, in reconciling the whole kind of alien, you know, NHI phenomena, which is
385540	391820	with kind of the modern disclosure movement, but with ancient traditions and with the Bible and
391820	397720	Plato and the book of Enoch, which is where I kind of want to start this conversation. So
397720	403840	I appreciate what you're doing. I think it's really cool. What does the book of Enoch hold
403840	413320	in terms of relevance for our life and our world today? Enoch provides the foundation for Hebrew
413320	419760	cosmology as it pertains to the antediluvian world. So you cannot separate what I call the
419760	424480	Enochian narrative or the Enochic tradition. You cannot separate that out from the biblical
424480	431960	narrative. It is fundamental to how the Hebrews, the ancient Hebrews view the antediluvian world,
432040	441380	the world before the flood. And not only is it the ancient Hebraic view, it's the view of our
443320	449160	crossed the board. The ancient Egyptians, the Mesopotamians, the Greeks, the Romans,
449400	456880	they all viewed the antediluvian world in a particular way, namely that it was a time of
456880	464700	great learning. It's a time when the fundamentals of civilization were imparted to mankind from
464700	472940	extraterrestrial entities. And in the pagan world, and pagan just means everybody but the
473320	479900	in the pagan world, this was known as the Golden Age or Zeptepe to the ancient Egyptians.
480680	486940	And it was a time when the gods commingled with mankind, literally. They procreated with human
486940	494280	women. They progenerated a race of hybrid demigods in the earth. In many accounts,
494360	499780	these demigods were giants, such as in the biblical account and the ancient Mesopotamian
499780	505740	account, the Epic of Gilgamesh. Gilgamesh himself was a giant. And so these traditions are ubiquitous
505740	513080	across the earth. And this is how civilization began in the minds of our antecedents. Again,
513220	518460	whether it be the Hebrew account, the Judeo-Christian account, or the pagan accounts.
519380	527600	Now, among the Jews, there was no greater prophet and scribe, and these are important terms,
527600	535480	prophet and scribe than Enoch. Enoch was the greatest pre-flood patriarch. He was revered
535480	540500	above all others. And the Bible says very little about Enoch. It says that he walked with God
541520	550080	for 365 years, and then God took him. And that's pretty much all the Bible says of Enoch,
550140	554940	and there's a couple of references in the New Testament. But it always was strange to me as
554940	560680	as I was a teenager, thinking and reading the scant information provided in the biblical text
560680	567180	concerning Enoch, who clearly was the greatest pre-flood patriarch. The Bible has much to say
567680	571400	about its other prophets and scribes. The Bible says a whole lot about Moses.
571960	578820	It says a whole lot about Elijah. It says a whole lot about Noah. It says almost nothing about Enoch.
580100	587800	and it occurred to me when I was probably, I think I was 16 years old. I just had gotten
587800	595040	my driver's license and my father was a pastor. So I grew up in a very, very good home. I had a
595040	601560	very, very good upbringing. My dad was an excellent father and pastor. And I had a wonderful mother.
601560	602720	My mother died when I was 14.
604220	610840	But I remember when I was 16 years old, I drove to Borders.
612260	613740	That's the one that went out of business, right?
613780	614040	Borders.
614220	614760	Yeah, Borders.
614820	616180	I drove to a Borders bookstore.
617000	621940	And I remember I was perusing the aisles, just sort of wanted to buy a book.
622660	626280	And I was particularly interested in the pseudepigrapha.
627600	630180	And I pulled the pseudepigrapha off the shelf.
631560	634020	ancient-looking book that they had there in Borders.
634580	636420	And I was most interested in the Book of Enoch.
636520	639360	I had heard about the Book of Enoch, and I didn't really know what it was.
639940	643840	And so I remember pulling it off the shelf and sitting down on a bench in Borders
643840	647220	and opening it up and sort of skimming through the Book of Enoch.
647320	649240	I was instantly captivated.
650200	651560	And I bought it, and I took it home.
651920	656300	And that sort of began my fascination with the antediluvian world.
657280	660120	Because what the Book of Enoch does is it—
661560	668840	It provides, as I said earlier, it provides the foundation of Hebrew cosmology in regard to the antediluvian world.
670780	686520	And I remember reading, when I was a teenager, reading the verses in Genesis 6, those enigmatic verses inscribed in Genesis 6 about the sons of God who saw the daughters of men, that they were beautiful.
686660	689800	And they came down and they took wives of all whom they chose.
691560	695600	with these women and progenerated a race of giants in the earth called the Nephilim.
696620	704180	But that was it. Just this little footnote. It is a bizarre digression in the Genesis narrative.
704460	710600	And this precedes the flood. The next chapter is the flood. And then you get to the New Testament
711520	720240	and you see Peter referencing the angels who sinned and as a result are chained in the
721560	730920	gloomy abyss, Tartarus. Jude takes verbatim from the book of Enoch, he copies and pastes into his
730920	741500	epistle a few verses straight out of 1 Enoch. And it's the same sort of, it comes from the book of
741500	748980	the Watchers. And the book of the Watchers in 1 Enoch is the story of the descent of these beings,
748980	755300	of these heavenly beings, these celestial beings. And you realize when you read the book of Enoch
755300	761120	that the reference in Genesis 6 is an abridged version. It's just an abridged,
762440	770180	it's a cliff note, basically, of a story that was clearly already well-known by the audience.
770280	775580	So the author of Genesis, when he inserts into Genesis 6, again, this bizarre digression of the
775580	779960	the Genesis narrative, about these heavenly beings, the sons of God who descend and commingle
780480	788260	with the daughters of men and copulate with them. The reason he doesn't expand on that story is
788260	792280	because it was already well-known from oral tradition, but I also think from written
792280	797000	tradition, namely the book of Enoch or some version of the book of Enoch. So the story was
797660	802200	already so well-known to the audience that the writer of Genesis, whether it was Moses
802200	809660	or someone else, didn't need to retrace the details of this story. It was so well known.
809920	817020	It was so essential to the fabric of their cosmology. And indeed, the book of Enoch lays
817020	822000	out this story. So what does it say? The book of Enoch says that in the days of Jared,
822660	829980	who was the sixth from Adam, Jared was the father of Enoch, that these heavenly beings,
829980	832760	which the book of Enoch denominates as watchers.
833280	837180	And the watcher denomination is not exclusive to extra-biblical texts.
837320	838860	It's in the Bible. It's in the book of Daniel.
841020	844180	That these beings called the watchers, 200 of them,
845800	848000	decided that they were going to descend to the earth,
848580	850320	or maybe they were already on the earth,
851280	852760	but that they were going to,
854560	857920	they wanted to take wives from the daughters of men.
857980	859640	They wanted to wed the maidens.
859980	866500	these, these, the daughters of Adam, because they were beautiful and they wanted to procreate with
866500	876740	them. And, and they wanted to, to, to essentially to make families, to sire offspring. And these
876740	885480	watchers knew, these 200 watchers knew that this was a grave transgression. And so before they did
885480	889880	this thing. They bound themselves on the summit of Mount Hermon. According to the book of Enoch,
889940	896480	they descended on the summit of Mount Hermon. And they bound themselves by an oath of mutual
896480	900920	imprecations. In other words, we're all in this together and we're all going to suffer the
900920	905400	consequences whatever befall. So they bind themselves with an oath. And that's why to this
905400	914540	day, Mount Hermon is known as the mountain of oath. And so after binding themselves by an oath
915480	916700	They descend into the plains.
916900	918160	They choose for themselves wives.
918460	925480	And then they make a transaction, I believe, with the fathers of these maidens.
926520	928280	A dowry of sorts is paid.
930300	936220	They provide, the fathers provide their daughter's hand in marriage, the maidens.
936480	941840	And the watchers in turn, as a dowry, remember, this is a very patriarchal society in the pre-flood world.
942160	944420	The fathers give their daughter's hand away.
945480	950160	you know, it's mutual agreement, let's get married. In the anti-Diluvian world and even
950160	955480	in the ancient post-Diluvian world, and still is the case in some parts of the earth, the father
955480	962960	gives the daughter's hand in marriage in exchange for something, a dowry. And so the watchers
962960	966560	received the daughter's hands in marriage from the fathers, and they in turn gave the fathers
968040	973340	information, knowledge, forbidden knowledge. Book of Enoch says they gave them the knowledge that
973340	975720	that the men were striving to learn.
977140	979560	And I think this was technological knowledge,
980840	983000	what we would call today scientific knowledge.
984020	987760	And then the watchers, just as it says in Genesis 6,
987860	991220	they copulate with their wives who conceive
991220	995300	and give birth to a race of giants called the Nephilim.
996280	1000620	And then what results is men are corrupted
1000620	1002600	by the forbidden knowledge of the watchers.
1003340	1010200	giants grow to an enormous size and ultimately begin to consume all of the acquisitions of the
1010200	1016220	land so that men can no longer sustain their appetites. So human beings were basically
1016220	1022980	subjugated to this hybrid race of giants. And they were spending all of their time and energy
1022980	1027260	feeding them. And when they could no longer satisfy their enormous appetites, the giants
1027260	1033040	began to devour mankind. And it's at this point that men begin to cry out to God,
1033120	1038520	and the court of heaven hears the appeal of mankind, and God dispatches some angels to the
1038520	1047340	earth. He binds the watchers. But by the way, I should say, nobody knows the duration of time
1047980	1053160	from when the watchers descended in the days of Jared to the flood of Noah.
1053160	1058920	Noah, at the very least, you're looking at hundreds of years, if not thousands of years
1058920	1066040	of this going on on planet earth. And then, so the watchers are dispatched. I mean, the angels
1066040	1070520	are dispatched to the earth. They bind the watchers, but before the watchers are incarcerated
1070520	1076640	in the abyss, they're forced to watch the destruction of their beloved sons, of the giants
1076640	1082360	who are enticed, who are incited to war with one another. So you have this fratricidal war
1083160	1090180	place among the giants. And I describe this as the empire of the gods, because it's not like,
1090240	1094680	you know, big dumb giants from Disney movies when we were growing up, you know, bashing each other
1094680	1101400	over the head with clubs. These were exceptionally intelligent beings. Their fathers, the book of
1101400	1108520	Enoch says, taught them and their wives. They instructed them in their knowledge. So they were
1108520	1112400	receiving the instruction of their fathers. So these were very, very intelligent beings,
1113160	1117840	possession of what I would describe as advanced technology, maybe even advanced aerospace
1117840	1122640	technology, which I do believe existed in the antediluvian world. I think that's how the
1122640	1128820	Watchers got to the summit of Mount Hermon, by the way, at the helms of advanced aerospace
1128820	1136840	vehicles, what we would describe today as UFOs. And so to close out this story, the Watchers,
1136840	1141140	rather the Giants, go to war with each other. I believe this is a technological war.
1142120	1146900	and then the flood ensues, the great flood.
1147080	1151600	And the flood was intended to cleanse the earth
1151600	1154040	of the abominable seed of the watchers
1155520	1157520	and to reset mankind.
1158680	1161120	So that's an encapsulation, a summarization
1161120	1165580	of what the first section of the Book of Watchers describes,
1166520	1168880	rather the Book of Enoch called the Book of Watchers.
1169040	1169880	It's a great summary.
1171860	1177880	biblical scholar, would I have any points around the book of Enoch to say that it's,
1177880	1182680	oh, it's just apocryphal and it's not connected to the Bible? And what would you say to those
1182680	1192080	points? Well, nearly all scholars agree that the book of Enoch provides the cosmological substrate
1193700	1199500	for the ancient Hebrews. There's no doubt about that. I mean, the story is referenced
1201280	1206040	in the Old Testament, obviously Genesis 6 and in other portions, but also in the New Testament.
1206400	1213740	In fact, when you get to the New Testament, you find Jesus of Nazareth using a title,
1213860	1219460	a very specific title, the title he preferred more than any other. It's a messianic title,
1219540	1224520	but it doesn't come from the Old Testament. It comes exclusively from the book of Enoch.
1224520	1232720	and that title is the son of man now there are several titles that jesus could have employed
1232720	1240160	when referencing himself messianic titles and he did use various titles the son of god for example
1240160	1248240	which he was but he uses the son of man the most and there is no reference that it's that that is
1248240	1255020	is a proper title, the son of man. So the only reference in the Old Testament that scholars will
1255020	1261840	go to is a reference in the book of Daniel, where Daniel sees one like a son of man, but that is a
1262840	1268920	descriptor. That is saying like, I saw one who looked like a human being, like an offspring of
1268920	1275740	Adam. It's not a proper title. The proper title, the son of man comes from 1 Enoch, specifically
1275740	1279680	specifically from the second section of 1 Enoch, which is called the parables.
1279820	1284740	And the parables are the oracles of Enoch. And the oracles of Enoch pertain primarily
1284740	1292160	to the Son of Man and were clearly fulfilled in Jesus of Nazareth. Now,
1293600	1300600	there is some dispute in regard to when the parables were authored or compiled. The book
1300600	1305040	of Enoch, first of all, the book of Enoch is a compilation of texts with several authors.
1306300	1311360	And the various sections of Enoch were probably written at different times, different periods of time.
1311800	1322100	The oldest section, namely the Book of the Watchers, containing the Enochian tale of the Watchers, that was written at least circa 300 BC.
1322480	1326140	But I think that the oral tradition at least is way older.
1326220	1327780	I think it began with Enoch.
1327780	1337740	And in fact, the Hebrews believed that Enoch was the inventor of writing, that he was the first to write.
1339500	1344840	And remember, Enoch was revered as a prophet and a scribe, so he prophesied and he wrote.
1346940	1352240	And tradition says that those writings were delivered ultimately to Noah and preserved through the flood.
1352240	1364900	So is it possible that portions of 1 Enoch actually originate thousands of years ago? Maybe the very first writing ever conceived by the human species was written by the hand of Enoch.
1364900	1376380	And that's why people, the contention here is, mostly from the secular world, that the Bible is, all of the stories in the Bible are just copies of the more ancient Mesopotamian texts.
1377700	1383640	Well, sure, but what if the foundation for those stories goes all the way back to Enoch?
1384740	1389220	Then everybody's copying Enoch, and everybody has a version of what Enoch wrote.
1389220	1408940	And it's very possible in my mind that the Hebrews have the most faithful rendition of the oral traditions and, in fact, of the written compositions that came from the antediluvian world, which far predate the ancient Mesopotamians.
1409160	1411360	And Enoch was related to Noah, is that right?
1411360	1420620	Yes. Yes. I believe Enoch was his great, great grandfather. Enoch was the father of Methuselah, who was the father of Lamech, who was the father of Noah.
1420780	1430000	Interesting. And yeah, in the Old Testament, Methuselah, a lot of these guys lived for very long periods as well, which I think caused you to ask all sorts of interesting questions.
1430000	1430800	900 plus years.
1431040	1435680	That's right. Yeah. It's so fascinating. How was it found? How was the book of Enoch discovered?
1435680	1445480	discovered? The book of Enoch was preserved by the Ethiopians. And had the Ethiopians not
1445480	1450300	preserved the book of Enoch, we would not have it to this day because it was clearly expunged
1451440	1458520	from the scriptoriums of the Middle East and the West. There was controversy, a lot of controversy
1459120	1463320	in the early church age over the book of Enoch. Some of the early church fathers wanted to
1463320	1468080	to incorporate it into the canon. So there was a debate, an ongoing debate that what cannot be
1468080	1474820	denied is that the book of Enoch was, is that the early church was conversant with what we call
1474820	1480800	first Enoch today. Now there's clearly a different manuscript in circulation because some of the
1480800	1487220	early church fathers cite the book of Enoch and they're citing portions of the book of Enoch,
1487280	1492080	which we don't have today in what we call first Enoch, but then they also cite portions, which we
1493320	1497920	So some of these early church fathers referenced the Book of Enoch as scripture.
1498940	1514660	In fact, around the 4th century AD, the Tawahedo Orthodox Christians and the Beta Israel Jewish community in Ethiopia incorporated the Book of Enoch into their canon.
1515100	1516600	That's why they preserved it.
1516600	1523700	it. So to this day, if you visit Ethiopia and you visit a synagogue or you visit an Orthodox church,
1524520	1531440	among the scriptures that we have in our canon in the West, you'll find the Book of Enoch
1532240	1538680	and some other apocryphal works as well. They revered the Book of Enoch, and so they preserved
1538680	1556300	So, but as I said, the early church was undoubtedly conversant with portions of what we call today First Enoch. And what I was going to say before was you have the book of Enoch attested in the Old and New Testament.
1557500	1586280	And when you read the parables, the Oracles of Enoch, which are primarily prophecies pertaining to the Messiah, to the Christ, again, fulfilled in Jesus of Nazareth, clearly, you realize that the writers of the New Testament derived much of their eschatology and Christology, their theology regarding the Messiah, directly from the New Testament.
1586300	1594520	from the oracles of Enoch. And in fact, there are citations throughout the New Testament that are
1594520	1600240	not found in the Old Testament, references, indirect references that are only to be found
1600240	1608660	in the book of Enoch. So, scholars will say, you know, it's divided, the scholarly community,
1608840	1614680	there's lots of difference in opinions there in regard to the book of Enoch. They all will
1616300	1624920	portions of Enoch were compiled around 300 BC. Some scholars will say that the parables,
1625500	1632520	again, containing those messianic prophecies, were compiled sometime around 100 AD.
1633640	1640440	There's a lot of debate about that, but because, precisely because, it's apparent that the authors
1640440	1645440	of the New Testament are deriving so much of the theology from the parables of Enoch.
1646520	1664600	And so it's hard for some scholars to believe that these prophecies, which are so astonishingly accurate, fulfilled, clearly fulfilled, as I keep saying, in Jesus of Nazareth, that those could have been written before the advent of Christ.
1665380	1666500	I believe they were.
1666500	1682820	I believe that the oracles of Enoch are ancient, that first Enoch, that the earliest portions of first Enoch, namely the Book of the Watchers and the oracles of Enoch were written by his hand.
1684460	1691200	Or some version of them, you know, carried through the flood in the form of oral tradition at the very least.
1691220	1692820	And then someone later compiled them.
1693300	1701800	Is there some sort of control mandate or something? If you think of the Council of Nicaea and creating the modern canon.
1702080	1702540	Yeah, I think so.
