start	end	text
0	2560	What do you call it when a retired Air Force general,
2720	6840	one who once ran the most notorious lab in UFO history,
7260	9900	vanishes from his house in broad daylight?
10060	13080	The general was involved with the Pentagon's most advanced
13080	14380	aerospace research.
14820	18400	When the NASA material scientist behind a breakthrough
18400	22260	rocket engine alloy disappears 30 feet from her friend
22260	22960	on a hike.
23200	25700	She was right behind them, 30 feet behind them,
25780	27020	and then she disappeared?
29020	35740	When one of MIT's top plasma physicists is gunned down outside his own front door.
36320	43940	This many top scientists getting killed or going missing in just under a year looks like a major red flag.
44260	48140	Who were the first people the Israelis killed in Iran when they went in?
49340	51560	The first thing you do is kill your scientists.
53440	57680	It's the kind of thing that sounds like the Chinese science fiction book, The Three
57680	58320	Body Problem.
58600	63320	A world where scientists don't just make discoveries, but become the front line of
63320	65440	a war they don't even know they're in.
66640	70760	A world where the future rests on some of the most important minds on Earth.
71020	73280	And those minds start disappearing.
74600	78300	Except here, the names and the people behind them are real.
78300	84300	Gacias went missing after taking lunch to her teenage daughter at a cafe in Taos Plaza.
84640	88780	Some of them were very important people and we're going to look at it over the next
88780	89140	session.
89680	94540	What we're looking at might not just be geopolitics in the dark or pressure coming
94540	99660	from nation states, but from an unseen force shaping our timeline from somewhere above
99660	104260	it and a hidden struggle over who gets to control humanity's next leap.
104260	107800	Or maybe none of these cases are connected.
108060	109740	It's really sensitive stuff,
110040	111960	and I'm not a big believer in coincidences.
113000	114580	So tonight we're following the trail
114580	117280	through missing scientists, murdered physicists,
117880	121600	defense world gatekeepers, in this strange shadow land
121600	123900	that forms wherever advanced knowledge
123900	126660	becomes too dangerous to leave walking around.
137980	146780	There's a state that researchers called hypnagogia, that threshold between waking and sleep where the brain is doing something genuinely unusual.
147000	152080	The kind of thing that comes up in remote viewing accounts or other out-of-body experiences.
152560	157060	And honestly, some of the most fascinating conversations I've had on this show.
157300	161040	Since moving to Austin, sleep is something I've thought about a lot more.
161380	163580	Mostly because I'm not really doing it.
164260	169460	until recently. I used to sleep on whatever mattress I'd had for years, and it was clearly
169460	174980	not helping me get the sleep I need. Then I did a comprehensive search, and I learned that most
174980	180620	mattresses are kind of lame. And a total insomniac friend of mine told me that he tried Helix,
180740	186440	and it fixed all of his issues. Helix is the mattress of the future. They have a sleep quiz
186440	191820	that matches you to the right mattress based on your sleep position, your body type, and whether
191820	197040	whether you sleep hot or cold. I got matched with the Helix Midnight. It has a cooling cover,
197120	202740	which I know is going to matter a lot in these extremely hot Austin summer days. When I started
202740	207820	using it, the change hit immediately. I'm waking up feeling like I actually recovered overnight.
208140	213260	For someone who does four and five hour interviews, sleep is maybe the most important
213260	218460	thing for me to dial in. Ask any health or biohacking expert, and it's the number one
218460	223740	thing that impacts the rest of your life. Helix has 20 plus mattresses, free shipping,
223940	230560	and 120 night trial and a lifetime warranty. And Helix's Midnight Luxe was ranked best overall
230560	236660	mattress by both Forbes and Wired. Thank you so much to Helix Sleep for sponsoring today's episode.
236980	243280	Visit helixsleep.com slash jessemichaels to take advantage of their spring savings event and get
243280	248520	20% off site-wide. And 20% is a lot when it comes to mattresses.
248540	253820	Again, that's helixsleep.com slash jessiemichaels, Michaels with no A.
269620	274920	The trail begins in Albuquerque, New Mexico, in the shadow of Sandia Mountains.
275420	281260	It's February 27th, 2026, a late Friday morning on Quail Run Court.
281260	287700	Neil McCasland, a 68-year-old retired Air Force general, is at home in a quiet neighborhood
