start	end	text
0	3320	Horses are smart in ways that humans are not.
4140	7120	But humans are smart in ways that horses are not.
11960	13820	Hello, are you interested in buying some books?
19200	22840	Meet Rob Reinhart, founder of Soylent turned ice cream maker.
23080	25080	The way to make the best ice cream is to use raw dairy.
25220	25800	What's up, sexy?
26160	26580	How you doing?
26580	31840	Rob is about as close as any millennial can get to Marlon Brando's character in Apocalypse Now.
32040	33420	You have no right to judge me.
34080	39060	His preferred form of cutlery is the machete, and his weapon of choice is the fly zapper.
39980	47720	But when he's not making examples out of trespassing flies, he's feeding horses beautiful poetry, or goats are love mics.
47980	49340	Oh, it's done. It's done.
49420	50860	Yeah, that actually happened.
51140	52040	Abort. Abort.
53380	55260	I think Einstein's overrated.
56920	58200	This is so crazy.
59320	64380	But before we get started, if you haven't already subscribed, please do that now.
64600	65960	Let's back up for a second.
66100	67640	Who is Rob Reinhart really?
67860	75760	In 2013, Rob founded Soylent, a beverage that promises to feed the body all of the nutrients and minerals it will ever need.
75980	77280	And it turns out it's pretty great.
77380	82000	To drive his point home, Rob basically only had Soylent for a year straight.
82240	82800	It's plants!
82800	83240	Plants!
83340	87960	The product quickly developed a cult following in the Bay among hackers who had little time
87960	88580	for meal breaks.
88820	90560	But Rob didn't stop at Soylent.
90680	95840	He became a partner at MarsBio Biotech Fund, and he also writes the blog Mostly Harmless.
96580	100440	What I love most about Rob though is he's completely polymathic.
100480	103080	He can go deep on physics, computer science, biology.
103540	106040	He can talk about any conspiracy theory under the sun.
106220	108480	He's just an all around delight to talk to.
108600	111160	There is a sunken continent south of India.
112800	116960	All of that and then some with this week's American Alchemist, Rob Reinhart.
123700	124140	Rob.
124840	125460	Hey, Jesse.
125640	126400	What's going on?
126640	127720	Just chilling on the porch.
128300	129500	What do you want to do today?
129840	132140	Today is the annual Malibu chili cook-off.
132440	132960	No way.
133340	134540	Maybe we could stop by.
134740	135920	By the way, where's John?
136380	139220	I think John might be still asleep in his room over there.
139400	140360	Should we go wake him up?
140440	140740	Let's go.
140960	141300	Okay.
144800	149100	This Malibu native is asleep in a stuffed animal called Moon Pal.
150100	150580	John!
151720	152900	Wake up, buddy.
153220	155240	That's my good friend John Fiorentino.
155400	160440	He's the e-commerce genius behind Gravity Blanket, Moon Pods, and now Moon Pals.
160580	164440	I knew if I woke him up, he would wake up approximately two and a half hours later
164440	166380	and pop on camera to say hello.
166620	167140	Night, John.
168220	170980	I do not care what you have heard.
173520	174540	Bread is the word.
174720	176700	So Rob, what have you been thinking about recently?
177400	178900	I've been thinking a lot about time.
179360	180760	I've noticed that nobody has any.
181280	181680	Yeah.
181900	183160	Which seems very strange.
183520	185160	Abort. Abort.
185380	186660	Line's too long, we don't have the time.
187420	188940	Everybody's worried about time
191160	194020	But I just keep that shit off my mind
195460	197360	Do you think the brain creates time?
197940	199540	Uh, I think it observes it.
199620	200620	I mean, I think that time...
200620	201020	Oh, excellent.
201220	202260	Would you help me build this later?
203060	203860	Yeah, great.
204020	205300	We can set up here on this cop car.
205820	207340	Rob, what are you doing, bro?
207440	209800	Hello, are you interested in ancient Egyptian secret societies?
210200	210840	No, thank you.
211160	211660	No, please.
211660	214160	Did you know ice cream is a Freemasonic symbol?
214780	215740	I did not know that.
215900	216680	I just made that up.
217120	222240	The variable of time does not show up in quantum theory, and I think a lot of the universe
222240	222860	is subjective.
223180	227020	And quantum physics was this interesting era because it kind of bridged those.
227020	233580	We could show, more or less scientifically, that consciousness was involved in the process of the universe.
233840	236520	Nobody's paying attention to the fact that you're on a cop car.
236880	239400	You're on a ride that never stops.
243000	247000	We created a system of understanding time.
247200	250260	We, to this day, do not know the origin of the calendar.
250480	253040	Is there a connection between violence and time?
254020	257740	I mean once time is seen as this limited resource, which it is increasingly
258880	264020	Then yeah, you're gonna have a resource conflict and you see it every day. Nobody has any time. Yeah, nobody's free
264020	267800	Do you have the time? No, I don't have the time. I think the Navy has it
268480	270120	They let out a little of it each day
270720	276860	You know, you're spending time you're taking time you're giving time people literally say time is money
276860	282280	Which really bothers me because it's not these are two completely different things. Would any of you guys like some books?
284840	291600	You know Philip K. Dick used to talk about when we killed Jesus, time froze and we were
291600	296060	doomed to repeat cycles where we scapegoat innocent victims.
296360	297360	Yeah, trapped in the cycle.
297480	300420	That is present in essentially every mythology.
300680	301220	The fall of man.
301400	305400	That, you know, we are divine beings, we have fallen and we are trapped in this body, we
305400	310360	are trapped on this earth and we have to somehow get back to the divine state.
310360	313440	which is the opposite of this rhetoric around science and progress and technology,
313680	316480	which is that we used to be these primitive savages and everything was horrible,
316620	322000	and now thanks to progress and technology we live in this advanced civilization with bridges.
326060	332180	The real leap is going from a by default balance between mythology and science. Most cultures in
332180	338320	most timelines, they had the sacred and they had science. You know, take agriculture, for example.
338320	340620	You know, they controlled when to put the seed in the ground.
340720	341780	They didn't control the rain.
341960	342980	So the rain was sacred.
343140	346020	So they had religious rituals around things
346020	346840	that they couldn't control.
347000	350500	And so there was this balance between, you know,
350520	351280	myth and science.
351400	353320	And I think we've lost that because science
353320	354160	has become our myth.
356740	357760	Hey, Bolt, come over.
358960	359480	Come on.
359480	359680	Come on, Bolt.
360440	362120	It is important to have good teachers.
363000	364280	You can teach them as well.
365240	366740	Humble yourself and listen.
368320	375580	to sell. The first time it's okay to do things by the book, but then you should
375580	378360	experiment. Ideas everywhere you look.
382020	384500	I got it like two or three months ago so like...
384500	385800	You get Delta or regular?
386020	389880	Regular. It also wasn't bad at all. I don't have my taste and smell though.
390260	390680	Still?
390820	391140	Still.
391360	392180	Oh dude.
392180	393060	It's been like six months.
393260	394120	Does that not...
394120	394940	I love it.
395120	395540	What?
395600	396140	I love it.
396140	398380	You would say some weird shit like that.
398400	399620	I eat less, I eat better,
399720	402200	and now it's just a salad with chicken every day.
403000	405620	Talking about COVID or the vaccine makes people afraid.
405780	406500	On either side.
406600	408780	If you get the vaccine, like it's hard to talk about.
408780	409740	If you don't want to get the vaccine,
409880	410740	it's hard to talk about.
410840	412340	So we have this, you know,
412380	414120	kind of standardized culture of fear.
414280	417380	And the way that was implemented was by dividing people
417380	419220	into these different discrete camps.
419340	419640	Yeah.
419680	420620	And like losing the storytelling.
420820	421220	Yeah.
421280	423000	And like losing the nuance of these issues.
423000	426740	And the complete inability for anyone to think for themselves.
427060	428740	Like there's zero nuance.
