start	end	text
7760	10840	This is a true story taken from an actual medical file.
15660	16680	Enjoy the film, Paula?
17160	18960	Very much, darling. Did you?
19300	20920	Yes, but I won't be sorry to get home.
21620	22680	I'm darn tired.
23100	25080	You've had a wretched week. All those nightclubs.
25540	27580	This is probably a list of them waiting when we get home.
27740	28540	Oh, heavens, I hope not.
30000	33940	to drive. Not quite that bad, honey. We're almost home. There's not much traffic. Yes,
33960	39540	and besides, you hate to sit in the passenger seat, I know. Tom, what's that? That blue
39540	43860	kind of light across the field over there. See it through the trees? It's probably a
43860	49280	house. Well, there are no houses across there. Besides, look at it. It's quite distinctly
49280	53900	blue. What on earth? Did you see the way it flared up suddenly? I thought I saw something
53900	59300	else. Saw what, Tom? It looked like a man running away from that light. I'm not quite
60820	62900	I think I'd better go and find out what's happening.
66800	67620	Medical File.
67760	70920	The story of the men and women whose vigilance guards our lives.
71200	73260	A reconstruction of a clinical case history,
73400	75620	step by step with the doctors who were there.
79080	80420	My name is Tom Abbott.
80600	81720	You're a doctor of medicine.
82500	85380	You stopped one night on a lonely road because of something you saw.
86160	87060	You stopped,
87060	91180	and you became a part of the strangest newspaper headline in a generation.
99760	101660	And now, Medical File.
111420	114800	It was 8.25 p.m. Thursday, September the 4th.
115580	116760	It had been a long day.
117420	119100	Patients at my consulting rooms all morning.
119280	120140	A hurried lunch.
120760	122300	Hospital rounds for most of the afternoon.
123480	126140	At 5 p.m. I had met my wife and seen an early movie.
127080	129280	And at 8.25 p.m. we were driving home.
130880	132620	Along the North Road was where we noticed
132620	135400	a strange blue light about a hundred yards from the highway
135400	136360	through a row of trees.
137800	141360	And what I saw next made me slow the car to a sudden halt.
142600	143440	Tom, what is it?
144800	145560	What did you think you saw?
145860	147920	Looked like a man running away from that light.
148640	149660	Well, the light's gone, look.
150300	151720	Yet I'm sure I saw someone.
153400	154600	I'd really better go and take a look.
154800	155340	Darling, I...
156180	156500	What?
157440	159460	I was going to say perhaps we should be careful.
160300	161580	But that'd be stupid, wouldn't it?
162040	163440	Just some kind of flaring light.
163920	164760	Yes, I suppose it was.
166800	167800	Yes, of course it was.
168460	170040	Well, come on, Tom, I'll come with you while you look.
171460	177740	The North Road is an unlit, at times almost deserted highway. There was nothing behind us
177740	184260	but the headlights of our own car. Nothing ahead but a dark field and against the sky,
