start	end	text
1560	4800	Good evening. Tonight we go after a fantastic story.
5560	9600	The story that flying saucers from other worlds are visiting our planet,
10460	13720	just as we are exploring outer space with our own rocket satellites.
14620	18060	Our guest is former Marine Air Corps Major Donald Kehoe,
19020	23860	who has the support of scores of prominent businessmen, military men, and some scientists
23860	27420	in his campaign to prove that flying saucers exist.
28360	36200	If you're curious to know why Major Kehoe charges the United States Air Force is deliberately deluding us when it calls saucer stories the bunk,
37040	44840	if you want to hear his own evidence, the saucers are real, and his reaction to the claim of two Americans who say they've spoken with men from Venus,
45720	47660	we'll go after those stories in just a moment.
48240	51740	My name is Mike Wallace. The cigarette is Parliament.
53640	70800	The new High Filtration Filter Parliament presents the Mike Wallace interview.
72260	74080	And now to our story.
75100	80440	Major Donald Kehoe is the director of the National Investigations Committee on Aerial Phenomena.
81740	85100	is head of this private group interested in flying saucers.
85460	88680	He's repeatedly attacked the United States Air Force and others
88680	92220	for claiming that flying saucers are apparently flights of fancy
92220	95640	and not flights by Martians or men from the moon.
96360	99000	Independent surveys show that millions of Americans
99000	103480	do share his belief in these celestial saucers.
104420	106760	Major Kehoe, first of all, let me ask you this.
107040	109000	Most people in the United States,
109000	113780	In spite of the fact that I say that millions do believe, you will agree that most people
113780	118160	in the United States don't believe in flying saucers from outer space.
118560	125420	They probably hold the view of columnist Bob Considine, who wrote that flying saucers
125940	133480	are products of, for the most part, quote, pranksters, half-wits, cranks, publicity hounds,
134280	137080	fanatics in general, and screwballs, end quote.
139060	140060	Mr. Considine's charge.
140800	142340	Well, I know where he got the story.
142480	143740	He got it from Colonel Watson
143740	146440	out at the Air Technical Intelligence Center in Dayton.
146620	148580	In fact, the colonel went even a little farther
148580	150260	and he said behind every sighting
150260	153220	was an idiot, a crackpot, a religious fanatic.
153380	155720	That included a lot of high-ranking Air Force pilots,
155840	158480	incidentally, and many airline captains,
158960	161060	people who were qualified to see these things.
161260	163120	He was just following out an Air Force policy.
164140	165400	Well, now, you're not suggesting
165400	167520	that Bob Considine is in the pay of the Air Force.
169000	174700	considerable reputation i mean the colonel no i have every respect for bob considine in spite of
174700	180260	the fact that he suggests that pranksters halfwits and screwballs are responsible for the stories
180260	186920	about flying saucers well i wish i could show him anytime a list of about 800 witnesses some of the
186920	193220	big names in aviation including up to the rank of colonel in the air force they're still flying and
193220	198000	they're still carrying passengers they've never been grounded they're still guiding airliners in
199000	203860	night after night in bad weather. If there's screwballs and incompetence, why are they still
203860	213440	on the job? Major Kehoe, where do you think flying saucers are coming from? I don't know.
213700	219420	There is an indication that they could be using Mars as a base. I don't mean they originate there,
219540	225860	but every time Mars has approached us in the last 10 years, there's been a noticeable increase in
225860	227140	and saw sightings.
227580	228920	That's been mentioned officially.
229000	231020	In fact, the Canadian official project,
231700	233020	on the basis of that,
233060	234980	set up an observation station in Canada.
235240	237180	You say the Canadian official project.
237380	238960	What do you mean by the official?
239140	241740	There was an official project called Project Magnet.
241880	244260	They set up an observatory at Shirley Bay
244260	246300	to try to track these things.
246740	248620	What happened to the official project?
248700	249760	You say there was a project.
249860	251640	Yes, they ran for about a year,
251740	254300	and they had one sighting on a gravimeter
255860	257760	A very large object had flown over there.
258060	261220	They finally decided they were spending a little too much money on it, I suppose.
262180	265100	Well, certainly they wouldn't have thought that they were spending too much money on it
265100	269060	if they believed that that kind of phenomena existed.
269640	273060	A lot of people on the project are still working up there on their own time,
273180	278700	and certain government officials have still kept the lid on their reports in Canada,
278780	279960	just as they do down here.
281020	284440	In other words, you suggest that they come from Mars or from other planets,
285920	290320	possibly throughout the universe is that correct yes and there are a lot of
290320	294000	scientists who said the same thing what is your theory as to the kind of people
294000	299580	who fly these are the kind of beings who who fly these saucers well that's
299580	303100	speculation Willie Lace said recently they'd be just like the man next door
303100	308000	the invaders from space and his reasons may be good but most of the top
308000	312740	scientists have said that the odds are that beings from other worlds would not
312740	318520	be like us. Some of them would be. Dr. Harlow Shapley, for instance, said that there probably
318520	323860	were at least 100 million inhabited planets in the universe. And Menzel, who doesn't believe
323860	329760	in saucers at all, says that he goes that high or even higher. And among those, by, they must be,
329880	333080	by the law of averages, a certain number of planets that would be like the Earth.
333720	337860	And if evolution started at the same time, why, you might have the same type of being.
338540	343560	What do you think are the intentions of these people, for lack of a better name,
343660	346560	of these people who are in these flying saucers?
347140	352020	Well, there's been no evidence of any hostility during the last ten years,
352180	353560	what we call the modern phase.
353780	355020	There have been sightings before then.
355440	358780	There have been some accidents, Air Force pilots chasing these things.
359260	361840	Captain Mantell was killed chasing one in 48,
362580	367020	and two pilots disappeared chasing one in 53 over Lake Superior.
367860	370160	But I think those were just accidents.
370280	371020	Just accidents.
371840	375280	Why don't they try to communicate with us?
375440	376680	What's your theory about that?
377940	382240	Well, I'll follow some of the theories the Air Force people have said.
382520	388200	They suggested to me back in 1952 and 1953, at which time we were cooperating.
388760	391180	I had a lot of very good friends in the Air Force at that time.
391200	393360	The policy was to give out information.
393480	395580	They were about to tell the people everything they had.
396080	403380	and the theory was then that perhaps these beings were so much different from us that communication
403380	409740	would be a very hard thing they might not for instance have speech sounds like ours that's one
409740	414880	answer another thing they might not be able to exist in our atmosphere we're going to land on
414880	420340	the moon we'll have to wear spacesuits or else build air-conditioned buildings up there air
420340	425240	pressured. There could be lots of factors like that. Well, do you think they're down here when
425240	431940	we do see them to look at us? I think that it's probably a long-range survey. A long-range survey,
432040	438800	and yet no attempt, as far as we know in any case, of communication with us. There have been claims
438800	446740	of communication, but most of those have been by individuals. The Air Force has not admitted that
446740	451640	there's ever been one and i don't know our committee hasn't found any cases that we would
451640	458440	accept as absolutely verified all right now let's go at it from another point of view if i may the
458440	465420	air force point of view they agree undoubtedly objects have been seen in the sky but the air
465420	471200	force has said time and time again this is a quote from richard horner assistant secretary of the air
471200	478720	Force for Research and Development. All but a small percentage of these reports of unidentified
478720	485240	flying objects have been definitely attributed to natural phenomena that are neither mysterious
485240	493200	nor dire. End quote. Weather balloons, mirages, ordinary sky phenomena like meteors, airplanes
493200	499300	themselves. What about that? I'll answer that, but I'd like to make several points doing it.
501200	507080	Aerotechnical Intelligence Center at Dayton, top Air Force intelligence men and scientists under contract,
507320	512400	sent a secret document to the commanding general of the Air Force saying that whatever these things were, they were real.
513380	520600	In 1948, ATIC, the same group, sent a top secret estimate to the commanding general.
520740	524400	Hoyt Vandenberg said these were interplanetary spaceships.
524740	529380	In 1952, there was an intelligence analysis of the maneuvers of these things.
532320	539900	triangulation radar photographs and in 53 the Central Intelligence Agency and the
539900	544100	Air Force had a special panel of scientists meet at the Pentagon to tell
544100	548520	them what to do and after they got through this group said you don't have
548520	552700	proof that these things exist not scientific proof but you have a very
552700	557320	strong circumstantial case we suggest your quadruple investigation set up
557320	560700	special observation posts in the meantime release everything you've got
561200	566060	people. Now you've got four documents there that they've been sitting on all this time,
566900	571640	and they have been spending a lot of money investigating flying saucers. If they don't
571640	577500	exist, why the money? Why do the intelligence teams rush out every time there's a sighting?
577740	586500	Now then, you have mentioned four documents that you claim exist. We've heard in the past that you
586500	590840	have claimed that these documents existed. We've seen your literature in which you talk
590840	595300	about the existence of those documents. So we spoke with the Air Technical Intelligence
595300	599760	Center at the Pentagon earlier this week, and this is what we were told officially by
599760	606400	them. Three of the four documents Major Kehoe refers to simply do not exist. The fourth
606400	612020	document does exist. You can have a copy of it, Mr. Wallace, and you can see that it doesn't
612020	614700	say what Major Kehoe claims it says.
614960	616840	We have a copy of it,
616920	620580	and I quote to you from the copy.
621600	624320	The Air Force document says just this.
624500	625820	The panel recommends
625820	628440	that the national security agencies
628440	629680	take immediate steps
629680	633000	to strip the UFOs of the special status
633000	634520	they have been given
634520	636240	and the aura of mystery
636240	638120	they have unfortunately acquired.
639240	640900	We suggest an integrated program
642020	648780	assure the public of the total lack of evidence of inimical forces behind the phenomena.
649620	654320	And again, as I point out, Secretary Horner says, it simply ain't so.
655040	658600	The point really at issue here, it would seem, Major Kehoe, is this.
659360	664620	Why do you believe that the Air Force says that nothing is going on?
665940	670240	Why do you believe that the, it's a fairly serious charge that you make.
670240	670400	I know it is.
672020	679240	The United States government is withholding from the people of the United States certain very important information.
679820	683780	Why? What would their motives be for withholding that kind of information from us?
684020	688500	Well, I'll answer that, but I would also like to show you some proof that they are withholding it.
689860	697680	The reason that was given to me when they were working with me back in 1952 and 1953 was, first, that they were afraid of hysteria.
697680	702580	remember the Orson Welles show back way years back when he scared people into the hills with a
702580	709880	idea of invading Martians then uh they were also afraid that it would upset organized religion that
709880	715040	was a smaller factor but there was some fear of it later they were afraid that these accidents
715040	719620	when the interceptors had chased these things and had been lost or had crashed might be considered
719620	727180	a proof of hostility now I would never have put my name on anything if it were a matter of personal
728080	734260	I've talked to and read the reports of hundreds of pilots and radar men and guided missile trackers
734260	736680	who've seen these things, and some of them are very important names.
737740	744640	The Air Force says they have this down to 1.9%, but you'll notice the word current in there.
744740	746260	They mean we are currently explaining.
746900	751720	I have in my possession a copy of Special Report 14, which is their Bible on this.
752060	757340	In the back, it has a table showing that 3,201 cases they examined,
757680	762540	19.5% were unsolved, and they admit they still are unsolved.
762640	766580	You add up what they've had since then, it makes over 12% of the reports,
766800	769560	and those are mostly from the best possible sources.
769640	772000	Now wait just a second. I'll use your figures.
772820	777440	The Department of Defense released an official bulletin on November 5, 1957,
778140	782420	saying that from June of 55 to June of 57, a two-year period,
782420	788040	just a fraction over 2% of all investigated unidentified flying objects
788040	792600	had to be listed as unknown. 2%. So that's your 1.9. What was the period again?
792780	798900	55 to 57. The rest were determined to have been balloons, airplanes, hoaxes, and
798900	804240	a category about 12% called insufficient information, which means that the report
804240	808220	was so flimsy that there was simply nothing to check on. I must confess that
808220	811660	that they have certainly shown me no classified material,
811780	814660	but they have opened their files quite willingly to us
814660	816600	in our preparation for this program tonight.
816860	820000	And they've given us very convincing evidence, Major Kehoe,
820140	823580	that it is largely, I shouldn't say largely,
823680	827520	I'll say 99 and 44 one hundredths percent, a hoax.
827760	829120	Now, you mentioned...
829120	829500	A hoax?
829860	832340	Well, when I say a hoax...
832340	833660	You're calling a lot of good pilots hoaxsters.
833900	835380	No, no, no, not hoaxsters.
836260	838040	I thank you for correcting me.
838220	844160	just a hoax but let's say misinformation or sightings of objects which seem to be
844160	849100	one thing but are in fact another I'm glad that you corrected me about the
849100	854240	hoax because it was by no means that much a hoax but you mentioned a dr.
854260	858640	Donald menzel who's a professor of astrophysics at Harvard before I think
858640	862120	you will agree that he's one of the world's most distinguished astrophysicist
862120	867840	is that not so I think there are others who are equally capable but he did not
868220	874520	He is one of the world's most distinguished astrophysicists, though I think we can't agree on that.
874580	880520	In any case, he stresses, you see, that pilots are not expert observers.
881160	885760	That they, as well as others, can see flying saucers when it's only, to quote him,
885860	889480	the wrapper of somebody's lunch blowing around in the air, end quote.
891660	895820	But again, let's come back to the point, the most important point, Major Kehoe.
895820	904320	And that is why, why will the Air Force, why will the United States government withhold information from United States citizens?
904500	905080	For what reason?
905220	911280	Because they're treating them like children the way they did with the H-bomb at first and the way they've been doing with other things.
911400	913460	Now, I'm not attacking the United States Air Force.
913780	922120	I'm attacking a small group in there that has been persistently keeping this from the public just as they've kept other things.
922120	926700	for a long time you couldn't even mention the idea that we could be hit by missiles from submarines
927240	932620	from the gulf and from both coasts very easily i knew that years and years ago and tried to get
932620	937600	it out and at the time was discouraged about it you mentioned these did this denial of these
937600	941720	documents now i'd like to tell you something that happened on the armstrong circle theater
943380	949480	i had requested that those points be in the script and i was discouraged from it at first
949480	950240	by their writer.
951120	953380	Then later, some of our board of governors
953380	955260	insisted that we have those points included.
955540	957560	So I said, either I don't go on
957560	958820	or we have those in there.
959000	959620	They said, all right.
959800	961840	So the script was completely rewritten.
962480	964000	Now, those were in the script
964500	965960	as it was first rehearsed.
965980	967860	But when the second rehearsal came along
968860	971340	and the Air Force saw the mimeograph sheet,
971480	972520	the Air Force representative,
972580	974800	according to the Armstrong writer,
974860	977400	said they would immediately deny it on the air,
977400	981620	even though it meant denouncing their own former project chief.
981820	985920	Now, the source for this is Captain Edward Ruppelt,
986120	989000	who was the head of Project Blue Book for two years.
989080	991340	And at that time, he was considered good enough
991340	993580	that he briefed President Truman on these things.
994180	995520	He was the top man.
995880	998460	Rank didn't mean anything, it's your experience that counted.
999700	1001600	He says these things existed.
1001820	1005660	He put it in a book which was cleared by security and review in the Air Force
1007540	1011980	1955 that was cleared. It's in his book. He's never been hauled in and court-martialed.
1012620	1018700	Now I have here, and if you allow your camera to come in on it, this is a sheet from the script
