start	end	text
1800	7680	In March, I decided to go away for just a very few days, unknown to anybody.
8100	14180	I planned to join a friend over a weekend for a period of a couple days' rest in Puerto Rico.
15020	19100	The plane, a Pan American Airlines plane, left Miami.
19700	26860	There were storms, and I remember a great deal of wind and a great deal of cloud formations
26860	28460	and flying above the rain.
30000	32660	go off its normal airline course.
33720	37520	About 3.30, 3.15 in the morning,
38360	42620	an hour and ten minutes out of San Juan, Puerto Rico,
43440	46060	to the left of the...
46060	47460	And I was sitting at a window,
48320	52620	and I was reclining, trying to sleep, but was not asleep.
53040	55760	Though the windows are small,
55920	59060	this gave a complete vista over the wing of the plane,
60000	72500	as I was leaning back, a solid-looking, luminous, large object with a greenish core to it, very
72500	77660	bright, very large, moving at a fantastic speed.
77740	79360	I don't know how fast it was going.
79440	80800	I'm not capable of judging it.
80840	82320	I don't know how fast the plane was going.
82640	86860	It looked as though it were going to hit the plane exactly.
86860	92380	The next moment the pilot veered his plane out as he rose quite steeply.
93160	96060	Many of the passengers were knocked into the aisles.
96060	99400	I would say all but two or three passengers were knocked into the aisles.
99840	101740	Their safety belts were not on.
101860	104640	There had been, of course, no indication that anything was going to happen.
105380	107700	And, of course, many people were thrown into the aisle.
107780	115120	I know an after mass of stewardess and two passengers, the Giflas of Brooklyn, were hospitalized
116760	124960	injuries. The thing, the object made, and this was the unusual thing, at least from what I've heard
124960	132180	and read of unidentified flying objects, the object made a tremendous amount of noise. Now,
132200	138060	whether I think it was from the object, I don't believe it was from our plane, but it made a
138060	143780	roaring, tremendous roaring sound. But the interesting observation, and all of this happened
143780	147220	And in a second, you're amazed how many things one can observe in a second,
147860	152760	the object, though it appeared to be on a dead collision course with the plane,
153740	161500	exactly veered away from the plane, changed its direction, went up, leveled off, and then went back.
161760	163380	This is what we saw.
163860	165760	Almost every passenger saw this.
166440	169060	Of course, it was great hysteria and great shock.
169060	173240	upon landing, and I say the airline officials were extremely nice
173240	176660	and most hospitable and interested in the welfare of the passengers
177280	179500	about an hour after arrival
179500	182060	the passengers were told
182060	185280	and I will repeat this, the passengers on the plane were told
185280	191460	that the airlines regretted this almost mishap caused by a meteor
192440	195740	whereupon one or two passengers remarked immediately
195740	198460	well this wasn't a meteor and how do you know it was a meteor
199060	202020	you assume it was a meteor, again the statement was repeated.
202360	207720	We regret this almost mishap due to the mixup.
207720	211040	They had no control over the meteor, which almost hit the plane.
211500	213860	Well, I again repeat I have no scientific background,
213920	217780	but I've never known of a meteor to come at an airline, at an airplane,
218080	223480	almost hit it, change course, go up, rise above a plane, level off to sea,
223520	226000	as I imagine it went up as the plane went up.
226000	231140	It came towards the plane, veered out, and rose as the plane rose in its bank,
231740	233620	leveled off, and then reversed its direction.
234000	238000	Now, I have never seen, and I defy any astronomer or any man
238000	242680	who is adept in the studies of meteors to tell me that a meteor would react like this.
243160	246400	The object was not incandescent. It was not burning.
247000	248500	It was not gaseous.
248600	252400	There were not darts and tons of flames leaping about it.
252420	254040	It was a solid object.
256000	258900	There were no propellers that I could see, of course.
259040	260020	This was quite sudden.
261040	262480	It was more like a...
262480	263840	It wasn't saucer-shaped.
264160	268400	It was more like a soup bowl placed on a saucer.
268560	272560	It was quite bright with a steady glow,
273340	277640	and it had seemed to have a core of green on it.
277960	280620	But if an object were going at a straight line,
280820	281840	in a straight line,
281840	287380	line, and about on a collision course with an object crossing that line, and the object
287380	292780	about to cross it veered up, the object would continue its straight course and pass underneath,
293080	294520	would it not, the body.
294720	295760	This did not.
295880	302380	This reversed and almost backtracked its entire movement the moment it came within range of
302380	302800	the plane.
303180	308720	And I must say again and I repeat, it was not a clear night, and there had been conflicting
308720	312340	conflicting story that the plane was on its normal course. It was not on its normal course.
312580	317180	The Newark papers said one. The New York Times, for example, I think every paper covered it.
317380	322180	They all had pointed out the pilot was off the normal airline course. I must also say
322900	329060	that the seven other planes in the vicinity saw the same object that night, and they all
329060	336620	radioed into the field at San Juan because commercial pilots have orders from their airlines
336620	339880	that a moment and UFO is sighted,
339880	342260	that it is to be radioed into the field immediately,
342560	348480	they, seven pilots on different commercial passenger airlines,
348840	352080	not army airlines, the Air Force,
352240	353780	saw the same UFO.
353920	355960	And the pilots, in talking to one another,
356100	360020	have all confirmed that they saw an unidentified flying object,
360140	361700	that they didn't know what it was.
363160	372260	immediately pressure was put on the government base in San Juan to know just what in the devil missiles were doing out or jet planes were doing in the commercial air lanes
372260	384540	and the government in San Juan and the government later here in the United States immediately denied that there were any runaway missiles, number one, and number two that any jets were anywhere near the commercial lanes at that time.
