start	end	text
27980	29680	This is Long John with the Party Line.
29840	33340	We're around from midnight to 5.30, six mornings during the week.
33500	35960	Monday mornings, we get started about 1.
36580	42400	We continue through to 5.30, and that means we're around for 37 and a half hours a week.
44140	46780	During the past week or last week,
47640	52060	I mentioned quite often that we would have what I consider to be
52060	56960	a very, very exciting discussion this morning.
57980	60140	Or maybe you think we're still in Monday.
60180	62100	Actually, we're into Tuesday morning already.
63780	65500	First, let me bring you up to date.
67140	71340	Major Donald E. Kehoe, United States Marine Corps flyer retired
71340	75940	and author of three books on UFOs commonly called Flying Saucers
75940	80440	and presently Director of National Investigations Committee
80440	83080	on Aerial Phenomena of Washington, D.C.,
83720	86780	was a guest on the Armstrong Circle Theater
87980	92700	Wednesday night, the 22nd of January, 1958.
94380	96800	If you've been listening to the party line,
96920	101860	you certainly remember that we discussed that particular telecast.
101900	103560	We spent a lot of time on it.
104740	106500	Now, the show was scripted,
106500	110040	and all guests and professional performers appearing thereon
110040	112920	are supposed to undergo two days of rehearsal
113700	117280	and then read their lines from teleprompters.
118120	131660	On the program with Major Kehoe were first its senior writer, who sat in as a guest for Mr. Kenneth Arnold, because Arnold refused to appear after the last rehearsal.
133340	145760	Now, Major Kehoe was allotted about five minutes immediately after the Air Force representative read from his teleprompter several statements that would confirm the existence of UFOs.
145760	153200	UFOs. Well, now, wait a moment. At this point, some people may be a little confused. You may be
153200	157240	under the impression that I have made the statement that the Air Force representative
157240	166200	led people to believe that there's an existence of UFOs. Actually, it was Major Kehoe's opinion.
166800	174060	In fact, I think that he implied that these UFOs are coming from outside this earth.
175760	180960	Now, Major Kehoe concluded his allotted time for the final 20 seconds
180960	185620	with an ad-lib statement that was not in the script.
186580	191160	Now, this statement was monitored from the air by at least two private citizens
191160	193600	and recorded by them on tape.
194660	198040	Unfortunately, it was inaudible to the average listener
198040	201800	due to the volume having been cut down
201800	205880	almost to the minimum at some physical point
205880	210300	between the microphone being used by Major Keyhole
210300	214560	and the TV transmitter then being used.
215840	219320	Now, this could have been at any one of several points.
220360	223720	However, this is what I consider to be very important.
225480	230660	Keyhole's statement, which faded at the 13th word,
231960	234300	was finally cut off.
235380	239500	Now, this is quite different technically from a fade.
240900	244840	Actually, it was cut off two words before the end.
245600	249080	Now, I have been told, and I hope I am not wrong,
249220	250640	but to bring you up to date,
251480	256380	this is supposed to be part of the statement that you heard
256380	260440	and part of the statement that you didn't hear,
261800	263520	for the first time this morning.
266120	267560	Kehoe made this statement.
268900	271280	I would like to make a disclosure
272140	275420	that has never been revealed to the public.
276840	278140	Now, at this point,
279600	280640	fade began.
280780	283080	In other words, the microphone seemed like,
283140	284440	just like at home,
284460	286320	if somebody got up to your volume control
286320	287960	and turned it down slowly.
289080	296980	Now, according to two private citizens, possibly many more, but two of them that knew enough
296980	304020	how to record this, even at that low volume, told me that this was the balance of the statement.
304160	305360	I will read it for you.
307300	315580	For the last six months, our committee has been working with a Senate committee which
315580	317740	which is investigating UFOs.
318520	326380	If the hearings are held in open hearing, I feel it will prove beyond doubt that the
326380	327900	flying saucers are real.
328720	336120	In order to secure the information we need, we suggest that all of the citizens write
336120	339860	too, and at this point there was a true cut.
340120	342480	There was absolutely no sound.
342480	351000	Now, according to a lip reader that contacted me, I've been told that the last two words were,
352020	353660	Your Congressman.
355020	360280	Now, no sooner had the video cut to Douglas Edwards, who was the emcee of the show,
361040	363880	when the telephones began to ring.
364060	368640	Now, actually, a large number of viewers wanted to know what Kehoe had said,
368740	372220	and they also wanted to know what had happened.
373080	375220	Many of them, naturally, were crying censorship.
376120	381040	And within hours, a series of statements were issued to the wire services.
381920	385360	Most of them attributed to CBS spokesmen.
385800	393520	And also, a phone report was made by Irving Tunick, the writer of the show, who sat in for Kenneth Arnold.
393660	396820	And, of course, actually, I'm the one that received that report.
396820	402840	Port. Now, I've got a lot of things to sort of straighten out with you first so that you'll know
402840	410640	exactly what took place on that telecast. And of course, we'll hear statements from Major Kehoe
410640	415800	and from many of the other people. But before we get into that part of the discussion, let me take
415800	420600	just a moment to talk about one of our sponsors. Now, before we get back with our discussion,
420600	427100	and I might add that we'll be hearing from Cortland Hastings, Jules B. St. Germain, Major Kehoe.
428160	433420	In case you're not aware of this, Major Kehoe is director of NICAP.
434500	438220	That's National Investigations Committee on Aerial Phenomena.
