start	end	text
1700	6700	Our guest, Dr. Frank Stranges, is considered to be one of the world's foremost authorities on the UFO,
7640	9100	Unidentified Flying Objects.
9100	12300	He's the author of a controversial new book entitled Stranger in the Pentagon.
13660	14740	And this is the book.
15660	18400	And, Doctor, I don't think there's anybody stranger than you are.
18740	20840	Well, I appreciate that very much coming from you.
20940	24320	I've often thought that your name was a phony, but apparently it's not, huh?
24440	26400	No, it's not, Joseph. It's Frank Stranges.
26560	27340	It really is, huh?
27440	27860	Yes, sir.
28340	31280	And you have been at this now for how many years?
31940	34200	Approximately 21 years, beginning in 1945.
34580	36040	Has it been profitable for you?
36340	39320	It's been profitable, yes, to the extent where I've had an opportunity
39320	43120	to speak to many thousands of people throughout the entire world about UFOs.
43360	46100	It's almost like a man going about the country making a living
46100	48060	out of telling people about Flash Gordon.
48900	50840	Well, that's true, but there's one basic difference.
50920	53340	Flash Gordon is science fiction. This is science fact.
54340	54840	Prove it.
55180	56320	Prove it? Disprove it.
57860	59820	Flash Gordon. You prove that I'm
59820	61700	false. I can prove Flash Gordon is real
61700	63820	because I can tear him out of the newspaper and hand
63820	65780	him to you. Now you tear off a hunk of a flying
65780	67920	saucer and hand it to me. I'll tear off a hunk
67920	69360	of a bunch of scientists here that
69360	71620	concur with us that space communications
71620	73600	are inevitable and
73600	75820	that perhaps space communications with people
75820	77900	from other worlds might be very detrimental
77900	79820	as well as upsetting to the peoples of
79820	81860	this planet. Entirely possible. As a matter of fact
81860	83780	we have a giant radio telescope someplace.
83960	85120	It used to be in Virginia. Yes.
85480	87740	Sending out different series of
87860	93300	code messages, hoping years from now to get back some other kind of a message and receiving in
93300	97900	whatever noises are coming from outer space. But in the meantime, you're going around giving people
97900	102420	the impression that the flying saucers are here now, aren't you? Not only I, but many others.
103400	107320	Well, there are lots of people in your field. Oh, yes. There are many people in our field of
107320	111840	UFO investigation. I remember one time there was a lady in Phoenix, Arizona,
112340	116380	and she was selling postcards of a flying saucer just hovering above some trees.
117860	120440	and that flying saucer was superimposed over the trees,
120480	122580	and what it was was the top of the lady's vacuum cleaner.
123020	124060	Yes, that proves...
124060	124180	She had photographed.
124400	126380	But she's getting a bucket card. Not bad, huh?
126480	129160	Yes, that proves that there are just as many phonies in the UFO field
129160	130800	as there are in the telecasting business.
131080	132440	Well, how do we know that you're not a phony?
132800	134380	Well, sir, from past experience,
135460	138900	and judging from the fact that we've been tested and analyzed
138900	141760	by qualified individuals, professors and teachers,
142140	144900	even attorneys, as I stated once before in your radio program.
146080	147160	Attorneys have tested you?
147860	148040	Yes.
148080	148860	Then he tested you.
148940	152180	In other words, they take the sum total of what I'm speaking about.
152280	155320	Any account that we tell the public about,
155420	157840	they take the time and the effort and the finance to check up
157840	161600	to find out whether Frank Strange is blowing hot and cold at the same time
161600	165140	or whether he actually has some facts, figures, names, dates and places and events.
165440	169840	Well, Frank Strange's will give you names, dates and places up to a certain point.
170140	172860	And then suddenly Frank Strange's evaporates
172860	174980	and there's no way to check out past that.
174980	181180	For example, let's talk about the stranger at the Pentagon whose name is Valiant Thor, T-H-O-R.
181480	182940	Now, how did he come to your attention?
183300	188000	He came to my attention the first time when this photograph was given to me by August C. Roberts,
188180	192720	who resides and is a newspaper reporter and photographer in Wayne, New Jersey.
192800	194680	And also happens to be your own photographer.
195000	196120	Yes, he's a photographer.
196140	199220	Therefore, a less reliable witness because he works for you, right?
199280	203300	He's a photographer for our organization, the National Investigations Committee on UFOs.
205080	210000	and he said this is a fellow whose photograph we took at a place called Highbridge, New Jersey.
210380	212580	And he said this man was very unusual.
212720	215020	I said that in itself is not too conclusive.
215180	219460	But the fact is that this fellow, when I met him several years later in Washington,
220260	221980	had no fingerprints on either hand,
222100	227300	and he claimed to have been there ending March 16, 1960 for the period of three years.
228280	231300	Highbridge, New Jersey, isn't that the place where there was also a man
231920	236460	We used to go on the radio and talk about bringing an 800-pound dog back from the moon
236460	238760	and a potato that weighed 200 pounds.
239000	242660	No, I think you're confused with a little fellow down in the backwoods of Missouri.
242960	244760	No, this was High Bridge, New Jersey.
245020	247640	And he said that the saucers used to come down in his backyard.
247860	249460	I'll never forget High Bridge, New Jersey.
249680	252020	This fellow used to go on different programs in New York.
252360	254760	No, I haven't heard this about the fellow in New Jersey.
254800	256160	I heard this about the fellow in Missouri.
256440	257680	Did you meet Valiant Thorne?
257800	258380	Yes, I did.
258420	260320	I spoke with him for the period of 30 minutes.
261300	267500	at his fingertips? I looked at his fingertips and he had no scars, no burn marks, no bruises. In fact,
267520	273160	no fingerprints on any of his ten fingers. Did you photograph his fingers? No, I didn't because I had
273160	277260	no photographic equipment. Remember, this was the inside of the Pentagon building where... How come
277260	282380	Mr. Roberts who photographed the man didn't get his fingerprints? Because at the time he was taking
282380	287560	these photographs, he did not know that Valiant Thor had no fingerprints. Who finally told him?
288420	292080	I believe he found out the last day that Val was there at this meeting,
292140	295340	which happened to have taken place behind the home of one Howard Menger,
295480	297920	who was also a UFO researcher in Wayne, New Jersey.
298520	302480	Howard Menger is the fellow who used to come from Hybrid, New Jersey, isn't he?
302640	302840	Yes.
303060	305400	Isn't he the one with the 800-pound dog from the moon?
305560	306480	That I don't know.
306520	308320	I've never heard that about Mr. Menger.
308380	311660	Yes, and Hybrid, New Jersey was his former home, as I recall.
311800	312460	Yes, that's right.
312620	314860	Now it's all coming back to you, isn't it?
315000	315900	Not about the dog.
318500	323300	Menger with these wild things happening in the large potato and the 800-pound dog, and
