start	end	text
1840	5020	You haven't gotten completely away from the bazaar, however,
5180	7780	in that you've been investigating the flying saucer thing, I believe.
7940	12760	Yes, I've been interested in the field, though, I guess, for about four years.
12800	15100	I don't know, on the West Coast here,
15280	17300	I bet if you ever heard of Howard Menger.
17840	18820	Howard Menger.
18920	21700	He was a rather famous contactee,
22500	27320	and I've on numerous occasions appeared with Long John, Long John,
27320	30340	Neville W. Wardo, I understand, is your counterpart,
30740	33140	or his counterpart, on the West Coast.
33320	34880	I'm often told that.
34940	37220	I've never heard long, John, but I'm looking forward to hearing it.
37260	39900	Well, he's a grand guy personally,
40040	42240	and he's done a terrific amount of source work,
42280	44160	because he's popularized it in the East.
44320	48620	And I don't know if you're following the same classification on the West Coast,
48840	50680	but speaking of brain picking,
50860	53500	I'm sure there's a little more meat on your side of the microphone,
53500	56040	so how about my picking yours a bit?
56180	56680	All right.
57320	60200	By the way, you said you wanted a drink of water, I think.
60200	62720	Would you like coffee, or did you really mean water?
63600	65100	I really meant water.
65340	65780	We've got it.
65920	66500	We've got the best.
66500	67240	Yeah, I have scotch.
67320	67880	Oh, I get it, Papa.
68040	68540	You have the scotch.
68540	70280	Yeah, that's how it comes to the rules in California.
70380	71040	I see.
71980	75240	Well, anonymous there will get you a glass of sparkles, which is the very best.
76320	78400	Now, what did you want to pick my brains about?
78620	83400	Well, I'm very interested in your experiences and your various, as I understand,
83400	88780	been interviewed on the coast here with the flying saucer groups. I hate that word, by
88780	96380	the way, flying saucer, the UFO groups. And particularly, my hobby has been contactees
97000	102920	and, to a certain extent, as much as is possible, debunking them. I was wondering about how
102920	105580	many of the contactees have you interviewed out here, Ben?
105800	111320	Oh, Jules, I'm just trying to remember. I keep thinking I've talked to all of them,
111320	114240	and every time I think I've talked to all of them, a new one crops up, you know.
114340	122200	But just to name a few, my favorite interviewee in that field, incidentally, is Dan Fry.
122280	123440	Have you ever talked with Dan Fry?
123440	126520	Yeah, Dan and I were on a program with Long John,
127540	130500	and George Van Tassel was on the same time.
130600	133160	It was actually June 57.
134540	136200	It was a very hot one, by the way.
136340	138700	Well, I've talked with Dan any number of times.
138700	142100	I like to talk with him because he makes more sense than most of them,
142140	147640	and he knows his stuff on rocketry and that sort of thing as nearly as I can tell.
147820	151160	Well, maybe you're better qualified than I am in that field, Ben,
151180	153420	which may start going to scientific talk.
153460	155560	It's all a meaningless jargon to me,
155620	159040	and they could be double-talking from sunup until sundown.
159060	160080	I couldn't tell the difference.
161040	162700	But if you know rocketry...
163360	164920	I don't either. I don't either.
164920	171120	but I have had Dan on the program when we had with him people who did,
171360	176880	and although the other people on the program disagreed completely
176880	180200	with the premise that he had flown in a flying saucer,
180900	184920	they did say that the guy made sense when he talked about rocketry
184920	187280	and missiles and space flight and that sort of thing.
187540	189960	I don't doubt his IQ, but I have a few,
189960	194920	You reserve a few doubts to speak mildly about his story of the White Sands incident.
195260	196000	Yes, well...
196000	200820	I just learned tonight, by the way, that it is now Dr. Fry.
201300	207760	He has received, he says, an honorary Ph.D. from some group in England
207760	213280	as a result of... which is awarded to him for some... one of the books that he has published.
213700	216320	The Divine College of Metaphysics, no doubt?
216820	226160	It's something, that isn't the name of the outfit, but it's a church type of doctor, I think.
226460	228580	I know, I just found that out a few moments ago.
228660	232520	I was speaking, making a tape with Gabriel Green for Party Line,
232580	237740	it was Long John in New York, and he was telling me that it was Dr. Fry now.
239380	243540	And oddly enough, in my conversation with Gabriel,
243540	247160	who I found a most affable and pleasant young man,
248080	251040	and with whom I disagree 102%,
253220	257080	they're talking about one fact that struck me as a bit of an anomaly.
257180	261160	That is that here is, I don't know, I guess you hear in the contactees here
261160	263240	that the space brethren declined,
263560	266700	probably atomic warfare, hydrogen bomb in the least.
267000	272960	I understand, actually, that Dr. Fry has been making parts for missiles.
273540	279500	And I'm afraid that he's going to give them the bad graces of the space brethren unless he desists.
280620	282560	Well, now, yeah, that's true.
282640	285480	And, you know, you bring up a point that has often occurred to me,
286100	293840	and that is that, of course, as loyal Americans, most of us are probably interested in seeing
293840	299840	that our country's defense against any possible aggressor is maintained to the utmost degree
299840	301580	until it no longer becomes necessary.
303620	308500	also that if I were trying, if I were an enemy of this country and were trying to undermine
308500	316980	it, I would find some pseudo-legitimate way of getting to people to get them to agitate
316980	323440	to let down their defenses. And it presents some possibilities that are a little alarming
323440	324340	when you think about it.
324640	331100	Well, this strikes a familiar chord in my mind. Have you had Ivan Sanderson out here
331100	331380	at all?
331600	332420	No, we haven't.
333540	335800	has done a lot of radio and TV work,
335840	339060	and one of his, he's a very well-versed ufologist,
339160	340440	too, on the serious side.
340720	345080	And Ivan has very often advanced the theory
345080	347620	over the air and privately
347620	350320	that it would be a wonderful way
350320	353740	for the communists to put a representative
353740	356820	in the guise of a man from another planet
356820	358980	or another galaxy or what have you
358980	362300	to say, lay down your weapons, men.
363540	368120	have peace while the Russians, on the other hand, just get a few more bombs in the underground
368120	368720	caves.
368920	371580	I personally don't subscribe to the theory.
371840	378980	I don't think that the UFO movement is communistic at all, but I do think that it presents possible
378980	383020	fertile ground for communist work if they wanted to get into it.
383160	387920	Of course, I think you have to differentiate between the U.S. movement as such and the
387920	388960	contactee group.
389360	389640	Yeah.
389640	400700	Well, now, here's the way it boils down to me, as long as you ask me, and then I would be very anxious to get your opinion and find out what you have discovered in all of your researching that you've been doing.
401460	414960	I've interviewed all of the contactees and find it awfully difficult to believe any of them, despite the fact that, without exception, the ones that I've interviewed all seem to be tremendously sincere,
414960	422020	sincere and they seem to be very pleasant, very likable people. And some of them, like Dan Fry,
422200	427140	for example, will take the attitude, well, if you don't want to believe me, don't believe me. I
427140	433020	don't care. I know what I know. And if you don't believe it, that's up to you. And of course,
433040	439380	it's rather hard to combat an attitude like that. What can you say? And you eventually,
439700	443380	in talking with all of these fellows, and I've talked with, in addition to Dan, I've talked to
444960	449840	and John Otto and Dick Green as well.
449920	451600	Have you met Dick Green yet?
451740	453920	Dick Green? No, I haven't. It's a new name to me.
454120	458180	Well, he's the one that started the Monca business out here on the West Coast.
458280	459240	We have Miller or Green?
459680	460840	Oh, his name is Miller.
461180	463520	Yes, it was. Excuse me. Miller. Dick Miller.
