start	end	text
1800	4120	K.Y.W. Westinghouse Radio in Cleveland, Ohio.
4240	6480	This is Harv Morgan, and this is Program PM.
39500	45140	I'm not very obedient and not very servile either,
45240	47880	but Bob Rove is along here and is going to be servile
47880	49960	to the extent of answering your questions,
50000	53440	along with Earl Neff, our ufology investigators.
53900	57140	Now, we thought we would kind of set the stage for things tonight
57140	59600	with that, I call it space-type music,
60000	66020	Because as I understand it, there has been a space sighting, and we'll get into that in just a moment.
66040	70420	First, let me ask, as I always do, anything new in the way of outer spaceology?
70560	71720	Earl, how's it been going?
71820	80280	Well, I learned of something today that looked pretty good, and when I checked it out, I found it was one of those fraud phonies, the hoaxes.
80280	86700	A party called the report center, and from all appearances, it was on the level.
86740	89520	Then I double-checked it and found the whole thing was a fraud.
90140	96660	So those are the things you must be very careful of, and we always go to great trouble to check them and double check.
96660	98400	You don't just accept it on Facebook.
98800	98980	Not at all.
99080	102480	If someone says, I saw something purple up there, you do bother checking it out.
102600	104080	Right. This was just a crackpot.
104260	104620	Bob?
105140	108760	Well, as a matter of fact, a number of things have come by our way.
108800	116360	Some very delightful, erudite, informed letters have been sent to us, as most of them, in fact, just about all of them, always are.
117180	126080	We have, I want to thank first of all an Armed Forces man who feels that secrecy must be preserved if the objects are of a United States military nature.
126300	127440	He made a good point in that letter.
127440	130980	Yes, that was an excellent point. Of course, his name is not to be mentioned as he requested.
131340	137460	I wish also to thank John Spanton who wrote us, he is near Buffalo and listening this evening.
137860	144660	Hello to him. We appreciate your very technical letter and I will correspond with you as you suggested and hope in there.
146360	148560	also the Reverend Carlos Sparks from Tennessee.
149200	152780	And so far as a citizen's band network relating to UFO,
153020	154520	our range would be far too short,
154580	157380	and of course the time element of talking between stations
158300	161560	would be restricted to five minutes, which just wouldn't be enough.
161880	165060	I think, Bob, that this brings up a very big point
165060	167000	that I've been noticing the past few weeks,
167060	169780	and that is that the mail that we've been getting
169780	172240	on this UFO roundtable on Program PM
172240	178220	p.m. has been coming in, I think, from much farther afield than anything that I've experienced
178220	180640	before on p.m. during the course of the last year and a half.
180760	186460	I mean, people have been commenting about and writing us their comments on the UFO Roundtable
186460	189140	from all over the South, from all over New York, Pennsylvania.
189220	193360	So wherever you are listening, believe me, we're interested in not only the fact that
193360	198640	you are listening, but also in your reaction to the program, the UFO Roundtable on program
198640	199040	p.m.
199040	200900	Let us hear from you wherever you are.
202280	206320	No, that's one that we've missed, although we've heard most of this side of the United States.
206560	207980	I wonder if we beam up that way.
208600	209700	Earl, do you have something?
209880	213000	Well, I wish to thank those who sent me season's greetings.
213060	220380	Quite a few mentioned their interest in the series of programs that KYW is putting on here.
220620	228960	And I'd personally like to thank you, Harv, and KYW for permitting Bob and myself to tell this listening audience,
228960	234640	and it certainly is a great listening audience from judging from the response and from the areas from which we hear
236260	237780	Permitting for permitting us to
238560	246020	Put on this series of what we believe is a very important subject a subject of UFOs unidentified flying objects. I received a
246760	252820	Or let me just a comment because this being the beginning of the new year. I think that I would be lacking
253640	259800	in my duties if I didn't go above and beyond something we've been doing all of the fellows
