start	end	text
1620	6040	People, places, and things, and you meet them all on WDNC Radio.
6540	12380	This is another of the series of people, places, and things involving UFOs,
12380	14560	unidentified flying objects.
15400	19060	And with us tonight is Mr. William E. DeLoach,
19240	23840	security officer with the Western Electric Corporation in Burlington.
23920	27240	Mr. DeLoach lives in Burlington, North Carolina.
27240	36620	and several years ago Mr. DeLoach saw what he thinks was a flying saucer.
37100	40720	Mr. DeLoach, I'd like to ask you, first of all, sir,
40760	44080	how long have you been employed with the Western Electric Corporation?
44420	45860	Thirteen years.
46380	47380	Thirteen years.
47700	54160	And this is the first strange object that you've ever seen of this nature.
54220	54820	Is that right, sir?
54980	55860	Yes, sir, that is correct.
57240	61640	Mr. Deloach, could you just tell our radio audience what you saw?
63100	66100	It was in the fall of the year in 1951.
66200	69920	I happened to glance up, and beside a water tank,
69980	73480	a silvery aluminum object was coming down out of the clouds.
73760	77460	It came down slowly until it reached the height of the water tank.
77780	83240	Then it stayed there for several seconds, rotating as it stayed in the air.
83780	85300	Spinning more like a top.
85540	86720	Spinning like a top.
87240	92400	and then it took off to the left at a speed so fast that you could not see it,
92440	94940	but that it left a silver streak behind it.
95080	97280	I got a perfect description of the object
97280	100360	because it came down beside the top of the water tank,
100540	103820	and it was approximately the same size as the water tank.
105240	109440	This object that you saw, now, what time did you see it?
109700	111720	It was about 1 o'clock in the morning.
111920	116900	1 o'clock in the morning, and this happened at the Western Electric Corporation in Burlington?
117240	121400	No, it didn't happen there. It happened beside another water tank in the city of Burlington.
121620	122840	In the city of Burlington?
122980	123220	Yes.
124340	129180	Did you report this unidentified flying object immediately?
129640	132040	I discussed it the next morning with several people.
132540	136580	I believe someone else was with you at the time that you saw this, is that right?
136700	139500	Yes, there was another gentleman with me at the time I saw it.
139580	143560	I called him and asked him to look at it, and he thought I was joking
143560	145980	and didn't look until it had already left,
146040	148280	and all he saw was a silver streak in the sky.
148600	150580	I have a book here in front of me, sir,
150680	152820	and before we went on the air,
153540	156100	you pointed, there are several diagrams here
156100	159520	of what has been drawn,
160060	164780	an artist's interpretation of the reports of UFOs,
164780	166160	unidentified flying objects.
166400	170860	And from this, you have picked one picture
170860	176920	which resembles that of a top. Is this the correct picture, sir? That is
176920	182480	absolutely a correct picture of what I saw. Now this was silver in color? Silver
182480	188380	in color. And you say that it left at a speed that made it so it was impossible
188920	194100	to see. It left at a speed so rapidly that it was impossible to see it as it left,
194160	198380	and it left a silver streak in the sky. There's no doubt that it was a spaceship
198380	199520	on another planet.
199740	202300	And you are certain that, in other words,
202340	204860	there is no doubt in your mind
204860	208860	as to whether this might have been a so-called sun dog
208860	212460	or a reflection from the moon or stars or something like that
212460	214680	or a figment of your imagination?
215240	217800	It could not have been a figment of my imagination
217800	219600	because it was still cloudy
