start	end	text
1540	8460	What we'd like to do now is transition to our Blue Book panel discussion portion of
8460	14560	our reunion. I'd like to introduce myself again. I'm Major Sam LaFerriere, and I'll
14560	20900	be your untrained moderator for this portion of the Blue Book panel discussion. So I look
20900	29000	at my role as someone of Harald Rivera, Oprah Winfrey, Bill Donovan, and only without the
30000	30860	for the paycheck.
33020	37240	Again, on behalf of the commander and staff of the National Air Intelligence Center, I'd
37240	41180	like to welcome you to our Blue Book panel discussions.
41860	48080	We're honored to have you folks here today, our distinguished civilian military alumni
49220	55260	with our reunion activities, and especially in light of this 25th anniversary Blue Book
56860	57460	anniversary.
57460	62660	Is it the 25th anniversary of Blue Book or the opening?
62920	63400	The closing.
63780	64400	The closing.
64660	65020	Okay.
65560	71900	What we'd like to do, we have what we think is a pretty good show for you, Jay, but in
71900	76900	any event, our purpose in bringing together our Blue Book panel discussions is twofold.
77180	83420	First, with the anniversary of Project Blue Book and the current media blitz of all the
83420	88580	the UFO-related news stories, we felt appropriate to, as I like to say, as Paul Harvey says,
88820	93780	get the rest of the story from the real experts in the science and technology areas.
94900	99780	Unfortunately, most of us today have been weaned on contemporary press and media, which
99780	103040	leans toward the existence of extraterrestrial activity.
103760	109060	We want to use our time today to exchange stories about our work on the project and
109060	115680	and talk about any other work experiences which articulate the Intelligence Center's contributions to our national security.
116440	124360	Our second purpose is to, well, how can we say, pass on down an oral history of each of your professional experiences
124360	131740	to some of our less seasoned military and civilian professionals who now carry the charge for the National Air Intelligence Center.
132000	136340	I encourage each of you to offer anecdotes of your Blue Book experiences.
136340	141380	Our audience and staff are all very friendly and eager to listen to your story.
142260	149520	It's important to note, as far as I know, that all Project Blue Book subjects aren't classified anymore,
149740	156140	but I want you to be aware there may be some exceptions if we get into details of intelligence collection
156140	163820	or analysis discussions which reveal modern day activities or capabilities at the Air Intelligence Center.
164360	169460	I'd like to point out again we have no media present today or other folks who will question
169460	172860	your point of views or comments or anecdotes.
173000	177420	We are however, as you can see, taping this event for official historical purposes.
178900	184220	What we'd like to do now, we've prepared a little video to try to set the stage for our
184220	190720	discussions which some of you may find humorous or thought provoking depending on your views.
190720	192820	The video lasts about 15 minutes.
197660	203960	It's great, as a matter of fact, courage that you've all exhibited in the face of such dangerous aliens.
205720	210760	So I think you folks are definitely under-recognized for your contributions to national security.
212220	221380	I'm curious, what we try to present there, obviously, is the whole cut of the pie of the UFO myth, if you will,
221480	232640	all the way from the media perpetuating the event through the so-called experts who have their anecdotes and stories.
233080	238380	And then we try to, obviously, bring levity in it with, as most of you recognize,
238380	240800	and that's Colonel Quinn Ellis' response.
241420	244460	Nonetheless, the myth keeps getting perpetuated.
244760	249280	There's just a wealth of anecdotal evidence, but yet little physical evidence.
249600	255480	But we have the great faithful masses who keep moving forward and searching forward,
256280	259460	moving the UFO myth on down the street.
259820	264080	Well, again, what I want to reiterate is we have a wonderful opportunity here today
264080	272240	today with our logical and clear-thinking scientific and technical experts that we have in the audience today.
