start	end	text
2080	9340	Dr. Williamson, as an anthropologist, could you tell us how you became interested in fine
9340	12240	felsers while doing work in anthropology?
13180	19720	Well, it's quite a long story, but it covers quite a long period, too.
20140	27540	And I might say that it really began while I was working in Arizona, preparing to do
27540	31580	I did some research in Mexico amongst the Indian tribes down there.
31860	39840	I went down into Mexico and worked for some time, but my health became quite bad down there,
39920	44820	and my doctor advised that I go to a more northern climate for some time.
45360	53800	I decided that I would work with the Chippewa Indians and also some of the Sioux and tribes in North Dakota.
53800	61820	After I arrived there, I began to collect legends which I felt would make a fine children's book.
61920	65600	Many of these legends would be very interesting to children.
66160	76400	Many of these stories and so-called myths of these ancient peoples include a great deal of phenomena
76400	81220	which might be regarded as softer phenomena.
81220	87820	phenomena. For instance, the Chippewa Indians of Canada and the northern part of the United
87820	96500	States speak of the jinglin, which translated means earth rumblers. And they also speak
96500	105300	of flying wheels or flying boats. There is a parallel to that also we find amongst the
105300	113780	Navajo Indians and the Paiute Indians of the Southwest, legends of the Haumusus, or the
113780	120020	little people. And they are supposed to have flown over this country many hundreds of years
120020	127300	ago, according to these Indian legends, in what the Indians call flying boats. I became
127300	134200	interested in this because there seemed to be so much of this type of story amongst our
135300	139880	Not only the tribes I mentioned, but practically every tribe in the United States.
140500	145440	Also, I found that primitive peoples all over the world have stories.
145500	149160	We find stories in India of flying boats also.
150800	155440	About this time, I happened to pick up Donald Kehoe's book,
156260	158700	which was one of the first books out on the saucers,
159400	162720	the title of which was The Flying Saucers Are Real.
162720	173680	I was very impressed with Mr. Kehoe's book, and the idea that the saucers were interplanetary first suggested itself to me.
174700	182340	However, I could say here that I always felt that other planets besides Earth could be inhabited.
183680	198340	In my studies in anthropology, even, it seemed very illogical to think that the Earth would be the only planet out of billions upon billions of Earths that would be the only place where man might be found.
199020	206080	However, I never gave the Sosiphenomenon much thought until I ran across it in these legends.
206080	213140	After I read Mr. Kehoe's book, I then began to accumulate more legends of this type.
213660	216940	Before that, I was not just collecting saucer legends.
217420	224420	And when I looked into it, why, the facts for the saucers were really astounding.
225100	230900	I got back to Arizona, where I had my home, and met my wife.
230900	236620	She had been staying in Arizona doing independent research along anthropological lines.
237100	244620	And when I arrived home in March of 1952, why, we compared notes,
244740	250160	and she had also found a great deal of material which compared with my own.
251080	255680	So then we really became interested in the saucer phenomena in earnest.
255680	261740	And in that, other people who are also interested in the stories of flying sausage.
262220	268820	Oh yes. There are friends of ours who live very close to us in northern Arizona.
269720	278800	He is not a professional in anthropology, but he is very, very interested in the archaeology of our state.
278800	284460	and he was also interested in many ancient things and in collecting.
285840	290920	He happened to come down one evening to my home to visit,
291840	297840	and we brought out many of my records that I had been making in the United States,
298680	300220	and I read some of my legends.
301320	305360	The subject got around the thought that it was inevitable that it would,
305360	314880	and we suggested the different pros and cons, the possibility that they might be from Russia or from Spain,
315120	319280	or they might be a secret to development of the United States,
320600	327120	or that they might be a number of things that have already been discussed by different scientists.
328360	331860	And the idea that they might be interplanetary was also discussed.
332560	340980	and I asked my friend, if these saucers are being controlled by intelligent beings,
342120	346620	they must be more intelligent than we are since they have come to Earth in spaceships,
346640	349300	and we don't have any such thing as yet.
350480	356900	Therefore, they must also be able to speak English, perhaps,
357560	361680	which is very easily explained from an anthropological standpoint.
362080	366380	If they have been coming to Earth for a long time, which it looks like they have,
367040	373040	but here they will now be able to speak the language, and perhaps these many languages of Earth,
373280	376280	and also to more our code systems.
376940	384480	So I suggest to Diem the possibility that we might get a hold of an amateur or hand radio operator
384480	391700	and send out Morse code and try for something.
392100	395340	We really didn't have any hopes that we would succeed,
395640	398660	because if they were up there in Chippsburg,
398660	402500	probably they wouldn't be interested in contacting us anyway,
402660	404120	and we wouldn't receive any answers.
404560	407500	But we thought we'd try it.
407500	417560	You felt that at first that perhaps they would be interested only in contacting civil leaders or the president of a country or a great scientist?
418240	425780	Well, yes. It didn't seem likely that there would be any reason for them to contact us.
426060	435120	But surely they would contact the heads of government and some of our leading men in science and industry.
435120	441860	But you were successful in actually contacting spacecraft by radio.
442160	450340	Yes, not at first, however. I might say that after that evening of talking in Arizona,
450700	460320	my friend went home and he contacted a friend of his and asked him if he would be interested in trying.
461200	470140	Sometime later, this radio man admitted that he had been interested in contacting other planets,
471140	474660	not so much saucers, but other planets, for several years.
475760	482440	The Federal Communications Commission, several years ago, when Mars came very close to Earth,
482540	486320	as it does, there's a period there where it comes closer,
487720	496640	Every hour, on the hour, for five minutes they had complete radio sounds to see if any messages would come in from Mars.
497180	503840	And they did receive and have recorded these messages, which they have never been able to decode.
503880	510520	It's in a series of dots and dashes, but not in any system that we know.
510520	516260	And these records are in the Bureau of Standards in Washington at this time.
516620	519900	Well, the story interested him and the radio man.
520360	524880	And he had also heard of other hands who had been receiving space signals
525520	531120	that they thought were coming from other planets or from spacecraft.
532380	535380	I see. Well, that's a very interesting story.
535700	538820	Tell me now, how would you begin transmitting?
540520	543140	calling the spacecraft from Mars, let's say.
544620	547480	Well, that was a problem that presented itself.
548440	550920	Just exactly what would we say?
551100	552320	What would we do?
553220	560240	And I might add that I cannot mention this radio man's name at this time
560240	567060	because he did not use his call letters in contacting these craft.
568240	574180	He didn't want any other operators, I guess, in the vicinity to know that he was trying it.
574200	579240	Perhaps that was for his prestige in his hometown or something, I don't know,
579320	585780	but he just wanted to do the work without that being let out at that time.
586400	591160	So we decided that we would send out a message without call letters
592120	597400	that would be Earth calling an interested spacecraft.
598000	601300	Now, those were not the exact words, but that was the gist of it.
602720	608020	And he tried that for a week or two without having any success whatsoever.
609020	615220	And then finally, it was on August 27, 1952, in the evening,
615440	619240	that a very loud signal came in.
621160	626420	and I don't know the terminology very well, but I'll try to explain it the best way that I can.
627020	633220	A very loud signal came in, and the radio man said that it blocked his set,
633980	636740	the way he explained it, that it blocked the entire set.
637440	644700	That was very powerful, by far the most powerful signal he had ever received on that set that he had.
646100	654920	Every message came in, he took them down, but he felt that his friends were helping him.
655460	661300	A little friendly joke. But he went along with it, nevertheless, and took the message down.
661780	669320	Well, when we first heard it, we felt that he was joking us a little bit. So it worked both ways, you see.
669580	671160	And you went along with him, then?
