start	end	text
2020	4700	You went on a 40,000 mile trip.
5020	7720	Did any of your friends come down to see you off?
9240	10700	When I went on the...
10700	11780	What trip? Which trip?
11780	13260	On the flying saucer.
13540	14860	You mean my own people?
15220	15660	Friends.
16500	17140	Well, no.
17220	18300	For example, if I were...
18300	18760	No, no, no.
18760	21740	...getting out into space tomorrow at 7, I'd have a number of...
21740	28720	No, I usually went by myself because only one time, only one time,
30000	34520	too, because I wouldn't ask. When they tell me, then this was another thing. I made up
34520	39260	my mind to do that that way, and I handled it that way. One time they asked me to bring
39260	45800	two men, two scientists along with me, and I didn't even know the one scientist. One
45800	51040	of them I didn't know. He met me in Detroit. And anyway, so I called this one up and asked
51040	55900	him about the other one. He knew the other one. I didn't. So they came along, and they
55900	56760	They have learned a lot.
56960	59420	In fact, I understand they learned this much,
60240	62800	that although their names have not been revealed yet,
63440	65660	for security purposes and so forth,
65680	66980	or their jobs especially, mostly,
67200	69420	but they will reveal it.
69500	71280	And when things begin to happen,
71300	73600	you've probably heard about that letter I got from them,
73620	75540	called Strait's letter or something like that.
76180	77520	Well, when that happened,
77580	80020	I was wondering how in the world they could give me the,
80860	83280	or make the statement they did in that letter,
83840	85400	unless somebody told them I didn't.
85900	90560	So then I figured the only ones that could have told them that would be these two men, these scientists.
90940	95400	Because from that time on, I've been getting tremendous amount of scientists up there.
95740	102000	I used to have a Saturday afternoon, Sunday afternoon open house to the people come and ask questions,
102020	103860	just like we're doing now and all of that.
103980	108580	And you used to get a lot of scientists from different aircraft companies, engineers and so forth,
108740	111940	come up with really terrific questions and things like that, you know.
111940	114160	In other words, you're saying,
114920	117160	though you can't reveal her identity at the moment,
117360	123480	that you were, in effect, seen off on one occasion by two scientists.
123760	125360	They really took a ride with me.
125900	127720	They went on the flying saucer with you.
127980	131520	And I think as a result of quite a number of things
131520	134220	that are in security field right now,
134360	137780	that I've been told recently are being under construction,
138660	140160	that I know these fellas observed.
141940	143820	you're referring to the United States government of course.
144080	147960	That's right. After all, we must use comments, and that's what I use.
147980	151200	I could have put in a lot more in that book, Inside the Spaceships,
151240	154360	but there was a lot of it in there that would have lended itself to some other nation,
154500	155720	and that wouldn't have been right.
155780	159420	So I figured, well, I'll keep that out, because that's good in our own defense.
159640	159880	See?
160220	160540	Right.
160900	161800	You've got to do that.
163140	168440	Any particularly interesting happening on any one of your nine trips?
169460	171220	Well, it was fascinating, obviously.
172960	174940	one case was very interesting
174940	176580	because that was the only time
176580	178760	that it was quite a good sized ship
178760	179620	a big ship
179620	182300	and they had quite a party like affair
182300	183600	where they danced and all of that
183600	185180	and it's the first time I've really seen them dance
185960	186400	orchestra?
187220	189280	well there was no orchestra
189280	191920	but they had a machine
192500	193300	that produced
193300	194640	and I understand that that music
194640	196280	really was coming from their own planet directly
196280	197720	like we do on radio
198500	199720	yeah something like that
199720	201100	it was what we call in the trade a remote
201940	204780	and the old-fashioned dance band would be at the edge of one of each hotel.
205260	207000	And you know the funny thing, too,
207100	210020	the ships in the homes, the same thing, I must mention that,
210080	213360	the ships in the homes are illuminated like the walls
213360	216080	or produce the light instead of some light somewhere hanging.
217400	218500	It's that kind of material.
219240	220920	Did you dance at this party?
221640	223300	I tried it, but I couldn't make it.
223920	225500	I'm not much of a dancer myself.
226160	227740	Well, tell us about your sitting it out.
228080	230800	Well, I was watching, I was interested in the footwork.
231940	233520	than ours. In what way?
233700	235880	Well, I think we use
235880	237920	three steps, and I don't know much about
237920	239480	dancing, but something like that,
239480	241300	like a two-step and so on, so common.
242200	243300	They use, I would
243300	245340	judge the way I was watching it,
245460	247680	probably four and six steps
247680	249940	and so forth in various ways, you know.
250620	251700	Well, I think
251700	253580	tapping would come near it.
253780	255700	I see. This is admittedly a dumb
255700	256800	question, but I like them.
257560	259020	How did they dance?
259140	261600	One male and one female? Yes.
261940	268220	The same way, yes, but they didn't caress each other like we do in dances, more or less.
268300	276580	More or less of a loose type of a dance, something like we have the square dancing or something like that.
277640	284980	But every step, every motion of the body was symbolical to something in life.
