start	end	text
1540	8400	If we start a group here, it will be patterned after Mr. Adamski's work and these teachings
8400	10020	that the brothers are giving him.
10980	18320	We have, there are three little booklets at the moment which after a while Mr. Adamski
18320	19940	is planning to put into one book.
20160	23000	This is Telepathy, the Language of the Universe.
24280	30740	It's a basic understanding of yourself, what makes you tick, why we're here.
32040	36580	And I find it very helpful in the short time that I've been using it.
37040	40980	And we will use this material, the cosmic philosophy.
41480	44020	I don't know whether all of you have seen this or not.
44080	45380	We have a few of them left here.
45400	46960	They're not available in the bookstores.
46980	51240	You have to send to California to get it from Mr. Adamski.
53000	54740	in case anyone would like to have one.
55260	60480	Then currently, Mr. Adamski has a series of 12 lessons going called Science of Life.
61160	64420	This would probably be the name of our group,
64680	67020	our Science of Life study group.
67780	71500	And this is used out with the telepathy book,
71540	73320	which is going to the cosmic philosophy,
73500	77620	and then the Science of Life is still deeper phase of this work.
77780	79800	And it's pure science and truth.
79800	89180	It has nothing to do with religion or metaphysics or occult things, anything of this nature
89180	93520	that we most of us have studied into in varying degrees before.
94060	96560	It's mostly just scientific facts.
96700	101280	This is why it appeals to me as just plain common sense, and it fits together like pieces
101280	102240	in a picture puzzle.
102660	106320	And to me it's just fantastic.
108560	110800	I don't know how I ever lived about it, really.
112080	116220	So I hope you will ask Mr. Adams key questions.
116340	117660	I don't know what he's going to tell you.
119280	121720	Sunday night when we had this meeting in Dorchester,
121900	123340	I didn't know what he would say either,
123380	125800	and I left him to say all these things, and he didn't.
126320	127980	So tonight I thought I would,
128160	133160	and then people would understand more where they are to begin with,
133220	135540	and you can fit in better what he's trying to tell you.
136320	139540	And if you have any questions, I know you'll be glad to answer them.
140060	146440	Well, in the first place, the science of life, life is scientific if you understand.
147160	148820	Would you wait just a minute, please, sir?
148940	150920	I want to tell you about these things.
151080	154500	There's an article in the Biographical Sketch in any of the other years.
154640	156600	You have these here if you don't have them.
156900	162840	These are also a few copies of a cosmic quality which Mr. Adams, he publishes,
162840	165200	and what you can get by sending your name to him.
165220	167100	It's on a voluntary basis.
167160	171920	If you like it and are interested, you can share whatever amount you like to help pay for the course.
173420	174860	There's only three or four of these.
174940	177460	These are all he had left when he finally arrived in Massachusetts.
178180	180720	I don't know what the people are going to do where he goes from here.
181580	187120	And then we have the Science of Life study course.
187120	191900	This is a short description of what it covers, the chapters in the course,
191940	194100	and what comes every month and that sort of thing.
194340	196520	As far as these stories, you're welcome to have them.
196560	197740	I think we should have enough.
197940	200340	Some of the people in the group, I've mailed these out.
200500	202460	We've got them since we had the last meeting.
203100	206300	So before you leave or during the course of the evening or what,
206380	207720	come look them over if you'd like.
207860	210800	I would appreciate it if these three bulletins you would leave
210800	215580	so that people have a chance to look at least until a meeting is over and you come home.
217120	222580	Mr. Evans, his address is on this Signs of Life sheet, and it's also on this biographical sketch.
222940	225140	And anyone can write to me.
226140	230280	I'll be glad to answer any questions I can or send you any information I have.
230760	234700	If there's anyone here tonight whose name we don't have on our record,
234860	240960	if you are someone who has phoned me, I know there was a group in Shrewsbury who called,
242140	243900	and we'd like to have your name.
243900	245740	Okay, after this is over, you're still interested.
245860	250120	We'd like to have your name so that we can keep you in touch and tell you what goes on next.
253040	253480	Okay.
253960	254400	Okay.
255880	261400	We call it the science of life because life is scientific in itself.
262780	265720	Even God is scientific, if you want to use the term.
268280	272840	Because we might say when you understand a thing, you can live it.
273900	281640	And we might say once you understand science itself, then it's called applicable science because you apply it in your life.
282900	289920	And philosophy, of course, is a foundation of science as well as all the faiths or religions.
291920	294840	And philosophy lends itself into various fields of life.
294920	299840	It's really the foundation of life out of which many things come forth.
299840	306660	In other words, the foundation of life is like a trunk of a tree that later grows into
306660	307600	various branches.
308400	312800	We up to date have been studying the branches and never the trunk.
314060	320200	We left the trunk to some here raptor that when we die maybe we'll find out somewhere
320200	322960	else just what the trunk of that tree is.
323340	326460	And we named it God, Jehovah, and many other names.
326460	335300	Now, what life is, as a whole, we might not know it as a whole either, because the label
335300	340560	might not represent exactly what we want to bring forth.
341300	347020	And we are living by labels most of the time for identification purposes.
347020	359980	purposes. But life itself is both force and intelligence. For we know that matter or gases
361140	369440	or anything of which forms are made are first in the invisible state and then solidify.
369440	373960	I'll give you an example, for instance. You look into the sky like today was a clear sky.
373960	376520	You didn't see anything up there.
376680	378760	Yet there were gases up there.
379560	381080	But you didn't see them.
381120	382420	They were the invisible state.
383220	385740	Well, suddenly they would form.
385920	390720	They would slow their action up, and a white cloud would appear.
392300	399440	Then you saw what you saw is an effect of a concrete effect, something that you call concrete.
399440	404560	Up to that time, they didn't have nothing concrete until the cloud appeared.
404940	411500	And if that cloud keeps appearing and reducing its activity more and more, it becomes a dark cloud.
411740	416740	And a little bit more, you'll finally get some moisture out of it, and so down the line.
416920	423020	Besides, it also gathers on energy, which we call static electricity.
423020	429820	of times when they're loaded pretty well, they'll shoot that force out to another cloud.
430000	436660	We call it lightning. Well, this all comes out of the invisible to visible state, and
436660	443420	right before your eyes while you're watching goes back to the invisible. The cloud dissipates
443420	450860	and now the clear sky, you see nothing there. So you can see that light in the field of
450860	456920	abstract is in the abstract state as we call it abstract state not the effective side we have
456920	462820	been studying the effects mostly and never gone down to the cause of it and there was a cause for
462820	468760	every manifestation you might say there was a cause for the cloud to appear and there was a
468760	476940	cause also for the cloud to vanish again become invisible in other words life works in a cycle
476940	480180	right on through and produces various types of manifestations.
480940	484640	Now, the cloud that you might have saw today appearing in that way,
485620	490500	you may never see it again because it will never repeat itself in the same geometrical pattern.
490760	492840	There will be other clouds, but not the same one.
493560	494840	And they keep on going.
