start	end	text
2020	3600	Hi there, I'm Long John.
3840	6660	My guest is George Adamski.
7260	13900	Fairly a very unusual man, a man that claims that he's been in flying saucers and what have you.
14000	22760	First I'd like to show you, Doug, a copy of a newspaper that will point out to all of us
22760	31260	that Mr. Adelsky was a guest of the Queen of the Netherlands, Juliana.
32180	34120	Of course, you may not be able to read this,
34860	38800	but I have another newspaper over here in Turkey.
39860	43180	I think this is from one of the American newspapers.
43780	48200	And you possibly see this on your screen at home in just a matter of a moment.
49780	57240	Victor Levitsky certainly is a very unusual man, and I think that he has a very unusual story.
57940	62640	George, the very first thing I want to talk about, or first of all I'd like to say,
63760	73380	you have, without a doubt, some very fantastic stories, such as seeing flying saucers, meeting space people,
73380	75620	people riding in spaceships and all the like.
75720	84540	One thing that really amazes me, why did the Queen of the Netherlands want to have you
84540	85380	at the Palace?
85440	90120	What was the reason for this meeting, or are you the one that arranged it?
90620	92800	No, I haven't arranged it, John.
93120	100180	She was a little bit aiming while I was in this thing, asking for, or requesting, 35
100180	105700	45 minutes, which turned out to be two hours, exactly after I got there, and it was sent
105700	111560	to one of the group leaders that was part of my program in the living room, and you
111560	112900	can read that if you wish.
114600	120420	Well, I'm not going to read the entire letter here, but the one paragraph may be of interest.
122400	123780	The first paragraph.
124180	129100	Today, we had a telephone call from our Queen's private secretary.
130440	138860	After that, if we could arrange a private audience with George Adamski at the palace to meet the Queen.
140580	148600	I presume that you feel that this establishes the fact that the Queen invited you and that you did not promote the whole thing, right?
148740	157020	That's correct. I had the slightest idea that on that world street I would meet any contemporary just like I had met.
157020	161620	I had no idea whatever. Nothing was brought out before that.
161780	165280	It all came out, as you might say, suddenly, out of nowhere.
165600	168500	What was the reason for the trip around the world?
168800	174600	Well, the reason for the trip around the world is a lot of people are interested, far more than we realize.
175300	184000	And I was to bring the information I had to the public in general, not in these organized groups,
184000	192860	because organized groups were on the average from 20 to 40 in the group, what they call flying saucer groups, and so forth,
193060	201280	and organized all over the world, in all nations. But lectures, as they took place in various towns and larger cities,
201520	211120	only it turned out that the public was interested to such an extent that from 1,300 to 1,800 people would be turned away every night,
211120	213760	And we did lecture every night.
214280	222800	George, do you think that these people that attended your lectures, that they really believed in trying sciences?
223200	228580	Well, not all of them, I wouldn't say. Some, I'm sure, were curious. Some were a good lead.
228820	232240	But I would say, I'm a swanch to team and a half.
232300	238580	Supposing 2,000 people attended, I would say that 1,000 at least were serious, mentally.
246680	254000	I thought for a moment that you implying that possibly some of these people were not on
254000	254280	there.
255020	256620	What have I done on that?
256900	264720	What I couldn't say and no one did enough, but I found that men like head of the government
264720	268340	and the two shiz of those folks had a lot of that wealth.
268440	268560	And I think that's what I'm trying to say.
268560	268560	
268560	268560	
268560	268560	
268560	268560	
268560	268560	
268560	268560	
268560	268560	
268560	268560	
268560	268560	
268560	268560	
268580	272800	just like the governments of whichever country I would be lecturing in.
273300	277400	It was a country of men, like for instance, the Wellington Museum,
277980	282200	it was a country of men, and the federal government, the Zitko, called Matangi,
282420	283980	they organized this lecture.
284380	286560	But the people like that had been person.
286840	292940	Even in Rome, I had various priests and military ajoteus
292940	295580	and military men present in the lecture,
295580	298440	and all two, all the lectures were the same way.
298540	302140	The fact that priests attended your lectures.
303400	306840	Did you say that this means that they believed in science,
306880	310420	or in the possibility of space people landing on the sky?
310460	314420	Would you say that they believed, or at least they were interested,
314580	317720	or now might say this, that in Rome especially,
318000	323560	after the lecture, two priests come up to me and they kiss and they write.
323560	328440	Thank you brother for the kind information you have given to us.
329640	332660	How long were you with the Queen of the Netherlands?
333420	337560	Well, I'm supposed to have had, according to that, a request list for 45 minutes.
338220	346420	According to that, in standard, it was almost too odd because it was 5 minutes to 1 when the Queen finally spoke up and she said,
346500	350080	you're going to be late to your lecture. I already was late, 20 minutes late.
351280	360620	George, I've made a couple of notes after reading your book, and I would like to question you about some of these things.
362440	367440	In your book, Flying Saucers Have Landed, which you wrote with Desmond Leslie,
368360	379720	You state that your first flying saucer sighting was on October 9th, 1946 at Palomar Gardens, California.
380560	382280	Can you tell me something about that?
382280	388900	Yes. That was the time, you know, if you remember back there, when there was a heavy meteor shower.
389740	393380	And the moon was coming out pretty strong then too.
393380	399900	So first Friday evening before the moon came up, the meteor shower took place, which is quite early, around 6 o'clock or so.
400500	412320	And we were told, as always in manager's time, by having two telescopes, we were requested to count, meteorized that we could count per minute how many of them were falling.
412860	419740	Well, it got so when the moon finally was pretty high, you could see some of the smaller ones that you did before.
419740	429400	So it got lesser and lesser and then we finally quit as we, Dr. Quik, currently, you know the number of people, not only myself,
429740	439460	and we're over the mountains, which is known to be Wadley Mountain, Volcan Mountain, towards San Diego, from Panama, looking for San Diego.
439460	442720	A big dirigible type of ship came along.
442920	444960	Not at that time, I didn't do any ships, you know.
445160	449140	A big dirigible type that had no basket like dirigible.
449340	450440	What did you first think?
450660	451120	Why?
451300	455360	I thought it was probably some development come out of the World War II,
455800	459220	but we knew, heard nothing about a dirigible without a basket.
459360	460160	That's right.
460900	461420	Yes.
461740	468380	Because we did announce that a group of B-29s in the sky
469460	471820	and meteorites and are building from the door falling.
474000	488140	In the same book a few pages later, you claimed, George Adamski, that six military officers stated that this spaceship was, and that's a perture book,
489020	490820	not of this world.
491700	496740	Who are these military officers? Are they American and why didn't you name them in the book?
496740	499940	I didn't even know, I don't know their names right now.
500880	503300	But they were from Arizona base.
503660	504480	And they were in uniform?
505080	505520	Yes.
505720	509240	And you see, they was in the restaurant eating.
509680	512000	And the restaurant, by the way, was not mine.
512220	514940	I was just living on the premises, but I was in Mrs. Wells.
515160	516220	Did you ever eat on the premises?
516320	516820	No, no.
517000	517980	I never did.
518120	519820	I never owned a business in my life.
520420	522980	That's why I learned even business is when you're running one.
522980	535680	But I looked on the post right when I did. And of course, people from the band from the big observatory, and I had the telescopes up there, which we showed through my telescopes what they could see at the big observatory.
536020	541680	And they probably would ask about this flying saucer. They just recently been appearing on the scene.
542360	545720	So, there were some people discussing this question with me.
545720	552400	When these officers sat at the table, we were listening, and I said, it was fantastic.
553420	562580	And one of the officers said, the company says, no, it's fantastic, and it seemed to me, if you're a newer one, like I have been within two feet, you'd realize how realistic we are.
562840	572780	What were the majors, planners, who all of them was a captain, any of them, I remember, I don't know of any major, but there was a captain, a lieutenant, and so forth, all of the Air Force at that time.
572780	575920	were they sent to Palomar Gardens?
576180	576940	No, they weren't.
576960	577360	Not today?
577580	578140	They weren't.
578140	578940	That's just the view.
579040	579920	They're not at all.
580080	583420	They went up to the top, and they were coming up from the top,
583420	585740	which we call the top, where the observatory is,
585880	588780	to the observatory, and stopped on the way down
588780	589960	to where they're sandwiched.
591660	595200	Of a spaceship, or a flying saucer,
595780	601260	according to Mr. Adamski, he made the original photograph.
602780	612800	public and back let me get the dates right here on a thursday the 20th day of november in the year of
614660	625100	1952 a person landed someplace near palomar gardens in california and the person got out of this craft
625100	634540	craft. And our guest, Mr. Dansby, had the opportunity of interviewing the person. Now,
634560	640840	it's a fantastic story, George. You claim that you spoke with a person from Venus, and
641600	648060	according to your book, you spoke with him for almost an hour. Do you want to begin at
648060	649040	the beginning?
649040	655340	Hello, my lord. In a first place, of course, it's fantastic. Anything is fantastic in the beginning.
656460	666620	But the fact remains that I have spoken to the man on November the 20th of 1932 in the prisons.
667700	673480	They weren't exactly right close by, but they were watching me all the time since I was a witness.
673780	674620	How close by?
674620	688900	Well, about, uh, well, the longest person I was here would be half mile. About a half a mile away. Yeah. And the reason I would be, and I was not charged for anybody to actually witness something.
688900	694300	I think, well, it's sufficient enough that Mrs. Wells, who was the owner of part of my gardens,
695120	700300	because she sold it, a pretty good artist, sketched the man later.
700740	704740	And on the other time, later I had to give her the color and so forth,
704820	708940	that she could put in when she took on a suit and so forth.
709240	717280	But getting back to the November 28th, these people, which were from Prescott, Arizona,
728880	735800	I would say around 180 miles, I believe, over from somewhere in there, between 150 and 180
735800	736120	miles.
736580	740820	I don't know exactly, but in the same desert center where it was.
741180	748160	It was driving in through Colorado River, not too far from there, about 40 miles to
748160	748460	the side.
748900	758660	And we come up on this highway, which is known as the Parker Highway, going to Parker Dam, Arizona, where the Indian Reservation is.
759200	764120	And we stopped on a hump of it, what you call a hump, where it goes up here and then down here again.
764380	769540	We saw our own plane go by, and we didn't fight.
769900	773440	When you say our own plane, you mean the American plane?
773520	776300	An American plane, yes. All of us sat back together.
776300	781280	And then all of a sudden there was another one appeared, which we call in recent beginning
781280	785500	called Mothership. Not the one you showed us. That's a skull, what they call a skull.
785820	790120	I don't know about it. The Mothership has nothing to do with the American Air Force.
790440	795240	No, no, this is from another planet. At the time we did know it was from another planet.
795760	799680	But we looked at it closely and she'd been after us and had her own thing.
799720	802060	She was using them to kind of like wing or anything else.
802060	808440	And on the surface of it, it showed a big white circle, where that meant I don't know if it was a snake.
808840	811980	But it had a big white circle, and it ran on the surface of it.
812160	817620	So we realized, in this was our new slug, because nobody in this world had anything of that type.
818060	821360	So I went down and lied, and I ran on it.
821440	827440	And then we went down from this top of the hill, down where I could set up my telescope, my six inch.
827440	832240	I always took it with me because there have been reports of them landing out in the desert
832240	837820	and I was in hopes of at least getting a decent picture of a spacecraft in light of the people.
838860	841140	So we went down and set up the telescope.
841560	849220	I had eight plates of cut film, longed in the place, and after I set it up,
849260	852660	this thing, I looked up and I wanted to take a picture of the mothership.
852660	854240	That's all I know at the time.
854240	861580	While I was doing this, this other spaceship that you showed on the picture here, must have come out, but when, I don't know.
861800	864480	But it came out, and came in just about where we were.
864620	868860	And Starship Leela, then I wanted to get that picture, which I did.
869020	872420	I exposed it to him as fast as I knew how.
872640	876660	Because I didn't know how long he was going to stay, when he was going to go, or anything like that.
876940	880640	So it didn't even have a too good a focus on it at the time.
880640	886300	And I couldn't have gotten as good a picture as I did had it not been for the telescope.
886700	891900	The telescope, the telescope lenses have like a big telescopic lens.
892460	895840	So that's how I've been able to get it as well as I did.
895980	897480	You shoot the picture through the telescope?
897780	898140	Oh yes.
898420	902600	You see how it's not looking, yeah, I had an advantage.
902840	905780	Remember, you put the camera right over the eyepiece.
905780	909180	And while I'm speaking of this, some might be listening to this.
909900	911640	You take the eyepiece out.
912000	914400	I mean, the lens out of the camera.
914580	917980	And leave the eyepiece in there, and that options the lens for the camera.
918140	919560	Otherwise, you mess it up.
919740	922320	So I had an eye fix, and you put it in there.
922320	925620	Now all I have to do is put the person, expose them, and take it out.
925860	928860	And to expose a picture like that, you can't push on it,
928900	931780	because you might move the telescope, and you move the telescope
