start	end	text
2260	5240	This is Buck Nelson in Mountain View, Missouri.
6240	14280	I'm here to tell you my story and my trip into space to Mars, the Moon, and Venus.
14800	21080	So I'll first start my story by telling you the first contact when I flew over my home.
21780	32660	That was July 30, 1954 at 4 p.m. I heard a terrible noise on the radio. It was louder than static.
33060	38280	I couldn't see the ground. It was lower than the box. I couldn't see what I had. It was still in charge of the loud.
38680	45660	It was not static. But there'd be some stations coming in. Probably heard some unknown town.
45660	53300	I couldn't figure out what it was. But the names in my pony that I'd raised came outside, going around in circles,
54420	60220	following me around, mickering. My dog was barking loudly for me to come out.
60500	64980	So more than what I had on the radio, my pets attracted my attention.
65580	72800	So I went outside with my pets, and doing more than anything else, and my dogs were worth much of a fit, and I had two of them, and two daughters.
73340	77500	So when I went outside, directly over the kitchen door, I saw one of you.
78120	80880	At that time, I thought, I didn't know what else to call you.
81040	84380	Didn't seem to call you, didn't seem to call you even a dick at that time.
84920	86760	But it's called a thing at that time.
87320	92520	Directly over the kitchen door, I noticed two quiet bodies, quiet bodies.
92880	97660	So I hurried back to the house without waiting to see what they were doing or anything,
97660	100360	to get my camera, so it might sometimes work.
101180	103680	Get a picture of that, see what it was.
104880	109140	So I got my camera and hurried back out to the kitchen door, you see.
109820	113740	And I think I was going down towards the west.
113820	117220	That is about, I think, about 50, 100 feet west of the house.
118320	120940	So I had to wait a little while. I didn't know whether to go down there,
121040	122500	wait at the house, or what to do.
122800	124600	I waited at the house, looked at what they were going to do.
124600	130200	So while I was living next to the house, he flew from west to the house and straight north to the house.
131180	133280	And then he played around in the little crowd.
133500	136160	The moment I was there, I put through a picture.
136840	143220	So I had the camera sitting on a barrel, and he was going and going through my stands there,
143240	149820	and back, right back, kicking doors around the front part of the house.
151720	154580	I got the camera on there and waited until they got close.
154680	157660	I thought I could hear, or they could possibly come.
158620	163040	And I took one snap, and I waited until all three were in the defender.
163280	163940	I thought they were.
164540	169960	I took another snap, and I thought I at least had two, or about three that time.
170360	173740	I took three snaps, and it was pretty short each time, at least.
174140	177980	One to two were in the defender each time.
180260	184220	I said, well, I'll be there till that forward morning story.
184480	186760	I sent him to the corner drug store to have him developed.
187020	189240	I didn't even wait to take the rest of the roll.
189560	192040	And I sent him to the corner drug store.
192200	193960	I said, no, he didn't have it.
193960	194480	It was all defended.
195380	200180	The drug store sent my son back to me, sent my son back to me.
200940	205460	And they notified the airport that they thought I had something that they should see.
206940	208140	and they were very respectful.
209120	212920	Then after getting in touch with me, they thought I had some impatient spirit,
213040	214580	and the airport did get in touch with me.
214620	217840	They asked me if I'd be willing to take part in the UFO program,
218920	220740	and they sent me my iPad 4 there.
221580	224520	So I wrote them and told them I'd be glad to take part in it.
225180	227840	So they asked for my film.
228360	232560	So I sent them my film, and they wrote me back.
232560	238440	I could be very, thank you very much, as soon as they could take other copies out that they were
238440	244240	doing, trying to. Since they have visited me many times. But I'll go back to my story there
244240	251380	where I left off. The time I photographed them. I photographed them behind the barrel, that kind.
252900	259060	And after I got my six photographs made, I decided to see if I could flag them down to get them to
259060	260440	the room and run the place again.
261500	267080	So perhaps she wrote what they were, what they was, and she probably didn't have no
267080	270740	idea what it was, because they had no idea what it was, except they'd only take a farm
270740	275780	magazine and a comic paper, and they'd never sit in the box.
276100	277460	Anything like that, they had to know.
279560	282560	I attempted sliding down the flight flight, and I did.
282640	286880	I jumped several times and motioned up and down, so I tried to raise and lower the flight
286880	292820	flight. And the time I got a map they got to really on me much harder and brighter than the sun.
293500	297720	And at that time I really wasn't scared because I thought I'd make friendly contact with them.
298540	305620	And I hoped they'd harm me, so I really wasn't scared for that reason. I moved around a little bit.
306560	311280	I threw a thing, came another flight captain, but you know they might get another than us, or
311280	316680	I waited. Because if that knocked me down, it was hardly if I didn't get to the club and be knocked down.
316880	320180	So I waited till I had left, next word, there wouldn't be any others.
321320	326500	So I waited till after Charlie had gone on 3A, and I moved around a bit,
326640	329300	because if he thought he could get up, I just thought he surely would get up or not.
329400	335100	But before, if I even fell down, or slipped, I'd get carried to Phoenix, and that's when they came for me.
335100	338100	So nothing seemed to show up in my thing.
338520	340500	We drowned in the bed and stopped my thing.
340580	342020	So I got up.
343400	346480	All of these things here have never been bothered about since.
346980	350320	I've wanted to store here a little bit more each time.
350840	353280	It's necessary to do that.
354280	357880	So after I got up, I stopped my thing.
358000	359860	As I said, it stopped running down the fence.
359860	362980	I had a little baby shot just to see the thing.
363580	368220	So I went in the house. I thought a long time, I didn't know what that was.
369560	373300	Of course, at the time I thought I'd gotten my photograph back a while ago.
374660	377760	So I went in the house, thought a long time wondering what I'd got.
378720	382620	I'm wondering how I'd get to town, get to M.C. to develop my practice.
383980	387920	But we got all the ideas of what I call first contact.
387920	394320	They just got into the first contact. They flew away and there was nothing more to do but call a little while.
394900	401420	The next contact was February 1, 1955. That was at 12 o'clock noon.
402160	405680	They took a little bit of house and asked me to send a voice.
405820	409120	It becomes a comfort of some sort of a theater system.
410100	413740	They told me they could hear me talk, the things I could hear them talk.
414320	423240	They asked me if I was friendly. I told them yes, and they told me that what about that
423240	429840	G&H Rally, they knew it was my own, they didn't want to help me, they didn't want to harm me.
430600	436820	And they asked if they could lend them any time necessary, and they asked for water spring,
436820	441120	They come and have water to spring, but they seem to be cleaning out.
441280	445020	They just make a mesh load that they seem not to have used.
445240	448540	They're a bit willing to bring the spring out by letting them use it.
449220	452380	I made two filters in the house.
452720	458340	So it wasn't necessary for me to go down, fix me on a stick, and down a very deep hill to get water.
459040	461640	So I haven't used that spring for several years.
461840	465040	I've been getting water from the house, but the filter is still just water.
468040	474120	So they, I told them, they may use that water coming there, but they wanted a third use,
474200	475180	they said, in their ship.
475880	482160	So that just about landed, that just about ended the, ended the second contact.
482860	486980	So the third contact, oh, that's going to be used again for the arrest.
488080	493560	So the third contact was March the 5th, 1965 at 12 o'clock on Thursday night.
495080	499520	The land that entered the house, three men and a big huge dog.
501160	505820	The young man, getting his name as Suck, Suckie.
506500	511760	The second man was Song, Song, 200 years old, Sucky is 19.
512440	518180	And the third man was what they called a train, but they never gave his name, and he never gave his name.
519280	525180	So he's found, apparently, about the same age. Both age, age, age, age old age.
526080	531860	Yes. The training was, of course, much older. But he's wrinkled and dry again.
532100	536760	And very dry and wrinkled. Wrinkled even around two weeks. He's very wrinkled.
537880	543520	The man, after having been there for each, they turned to him, expecting him to get his age.
544180	550200	because they're talking English or not, I don't know, but none of the Chinese that they talked to
551120	557040	just smiled around at any of my contacts, and they did get very engaged or talking.
557960	563520	So I don't know whether he couldn't talk to me, I didn't get engaged, or if he couldn't talk my language.
563800	569860	But he just smiled, but I... he's much older than I am, but I didn't mind.
570400	573920	But I would think, because I would have failed what I know, what I saw.
574700	581000	But yet, I can see that you've learned new trades at that age.
581620	583180	We thank you very much.
584040	587120	You're very old, yet learned new trades at that age.
587300	591920	You've learned space travel, and mainly space navigation.
592920	596600	Those are the things you learned on that mission, I told you.
597180	599480	They did everything I had in my home.
599840	603720	They started looking at things from the time they entered the kitchen.
604480	608580	Well, first, I believe I said to them, we shook hands when they came in that night, the
608580	609440	Troy cocktail night.
609660	611380	They all shook hands with me.
611640	614980	And the dogs used to sit up and put their paws to shake hands.
616100	620360	Well, then after they entered the kitchen, they looked to see everything I had in my
620360	620640	home.
620700	625240	So they'd come in the kitchen first, because they'd come in back doors, that's the reason.
626600	631400	They wanted to see the stove, kitchen stove. I had an oil stove there, I let it form.
632200	639800	I let a wood stove that I cook on, a cook stove, put a little fire in it, it's mostly trash, and let that form.
640340	642300	The center is definitely not happy now.
643180	646260	What really matters is the front room.
647880	651740	They stopped, they put pictures on the walls and the time they first entered the room.
651740	658600	The first they saw when they entered the front room was the cop there, one of the emergency
658600	659620	bed.
660560	663740	That was the third time they made any comments about anything.
664160	667140	To say very much, that's a talking conversation.
668000	673440	I had covered both ones on that bed, mattress, and the door was loose.
674300	686320	They said that their dead, they had no blankets or mattress, but the fellow he saw was in the mattress, so if there's nothing, he'd move around, pull anything off of it.
687240	692960	No, of course, the blankets go in, but there's a canopy, a curved canopy that comes up from the bed,
692960	698780	So I went to bed, probably a little waist, so it would get you from the ground on the bed and come down to the, past the bottom of the bed.
698820	702720	So if you're dialing, you can hold anything you wish there, switch over.
703680	707860	Well, they told me what they had in that home, probably was my home over.
708860	715520	So they said, they asked, well, we went through my bedroom, but they seemed no interest then.
715740	716860	They seemed no interest.
717360	723680	Well, they went to all the pictures and the next time they left the bed, they went to my radio next.
724300	730040	And they wondered if that was regular. They thought that looked like perhaps the radio, something like that they said.
730720	734820	So I told them, yes, that was what we call a radio here.
735460	737360	I think he stated that it was one.
738000	740980	But the batteries kind of fooled him, what that thing was on top.
741580	745400	Yes, but that was on top. So he thought of that.
750360	753380	I don't know what that was for.
754280	756440	I don't know what that was for.
756480	756480	
756480	756480	
756480	756900	I don't know what that was for.
756900	756900	
756900	756900	
756900	756900	
756900	757120	I don't know what that was for.
757120	757720	I don't know what that was for.
757720	758380	I don't know what that was for.
758540	760760	I don't know what that was for.
760880	762180	I don't know what that was for.
762180	767300	I don't know what that was for.
767300	768940	and I said, I can't hear you.
770260	776900	So they went from there on around the party to pictures on the same side of the room that they had the radio's on.
777920	782020	And I let them pass the pictures right to the last supper, the pictures.
784160	788300	And they went on around the party, which I thought, they weren't going to pass that.
788460	791480	I didn't want to find out, but I thought they passed there.
791520	794000	So I asked them, did you see those last pictures?
794000	797340	I said, Pastor, I didn't mean anything to you. I didn't mean what it was.
798040	800320	That one didn't tell me what it was.
800440	805060	In fact, the answer was the very words that I could give you.
805260	808380	They said, yeah, we understand, but you folks don't.
809600	811820	That's about the exact statement of.
813520	815420	We understand, but you folks don't.
816680	819260	So that's kind of that mistake.
819260	823440	So I didn't, there was no more station to stop that last name anymore.
824420	826120	So they went on around the forest.
826660	831240	They're coming in now to the bedroom site, to my desk, in the desk light.
831680	833020	They want that turned on.
833200	838000	That's when we commenced to kind of wonder about where my power comes from when I turn the desk light on.
838420	839900	Turned the front room light on.
840020	841740	They wonder where that power comes from.
841740	848940	I told them it was my own plant outside in my tool shed room and feed room called my dog house.
850420	854520	So then they looked around the house a little more to see how things were.
854640	856700	The room was mine and their house.
856880	860640	They told me how their things were and they said they'd like to go out to my plant.
861120	865440	So they went to my first bedroom and they seemed about dead.
865540	866600	They just thought things were better.
866660	869700	The brother in the bed looked at and didn't come up to their approval.
870440	878360	So that's the start of all the other things that I've made in the house except the front
878360	878800	room stove.
879000	880880	I laid it.
881040	883620	It seemed like a good stove.
884320	886400	It was a full-size front room stove.
887020	888680	I worked that thin on the handle.
888880	891320	It was a cool knife.
891800	895100	I just put it on the side of the front room stove and laid it back on.
896200	899320	So from there on, they thought they better drop the female life plant.
899500	899680	They put it in the back of the house.
899680	899680	
899680	899680	
899680	899680	
899680	899680	
899680	899680	
899680	899680	
899680	899680	
899680	899680	
899700	901380	He wasn't very much of a come from.
902320	904580	We were out there in some little light planes,
905280	909360	little big and fat engines that generated when the belt dried.
910140	912920	And that attracted their attention quite a bit.
913500	914740	We watched that run.
915680	918080	And the moment they stopped it, it started up again.
918680	921320	And when he stopped it, it started up again for him.
922260	926140	So that seemed to be bothering him a whole lot,
926180	927580	to make power like that.
927580	930060	They said they'd plug it into their forest.
930960	934080	And the third one they saw is that they'd plug it into some of my radios,
934100	935160	just plug it into the radio.
936140	939940	I thought, well, they make shivvies for the radio.
940040	940740	They had to understand.
941480	942860	They just plug it in radios.
942940	944780	If you ask them out there and do that, you get power.
945500	947560	Told me if we did, it's got to be for us.
948820	951740	They don't have to call the R.E.A. line or the city.
951820	954780	I said they had a blood-type part,
954780	957440	And for a generator, as we were done in the studio,
958320	964280	they want to draw that way outside the house to start up the power to the left of the lighting side.
965160	969980	At the still level, still when rising, you have to get far off the already lined things, I said.
970400	972260	They said they'd just come from their radio.
972600	974320	They're getting the radio first.
974420	975860	Anytime far as they want.
977200	980240	So that's the... they say that we still have a lot of orbit.
980240	992140	But what I told them about my office during that night and the hours, questions and things that they wanted to know, and things that I lost, they took about an hour pretty fast.
992760	997660	And that did not have to end that part of the interview when they were in the house.
997820	1001640	But they told me to decide, and they were going to see me again.
1002480	1007580	Fourth contact was a, well, I left something out of that third contact.
1007580	1009980	I said, I should be in the better care of these boys and support the contact too.
1010300	1012880	I was very interested in how they were coming there to my place.
1013860	1018020	And before they left, that's when I got there at the girl's house, showing them my life
1018020	1018220	plan.
1019060	1022580	I wanted to see their ship off the bay, see how they got here.
1023300	1025180	So I asked them if I could see their ship.
1025740	1030220	And they, not a great woman, gave me a good smile.
1030460	1035840	So I thought I'd let them leave way there to ask a few more questions right quick before
1037960	1040140	before that yes and came into me today.
1040300	1042840	So I said, Brad, take a ride.
1043080	1044640	I stood up and said, smile back.
1045840	1047600	I heard another nice question.
1047660	1048640	I said, Brad, take a...
1049920	1051580	take your time, take your time.
1051640	1053560	Because he'd already told me that there's some leaves.
1054620	1056180	And I said, yes, that's granted.
1057140	1058600	And so he told me goodbye.
1058980	1062940	And he went back down to take a run
1062940	1064700	and take a little walk through the place.
1064700	1068440	They took off and said they would see me again the next time they landed.
