start	end	text
2280	8520	I'm going to call on Mr. and Mrs. Bryant-Reeve to share some of their experiences in the
8520	9860	UFO research.
10480	15540	They've been at this thing for a number of years, and I know they did have enough information
15540	16440	to write a book.
16460	18560	As a matter of fact, I understand they have.
19320	23220	And would you just come up here, and we'll go on to an interviewer?
26160	28320	I never get the last word.
31100	35680	I understand you just returned from Mexico recently. Is that correct?
36080	41020	No, it's not quite correct. We've been back in the States about a year and a half since Mexico.
42000	47920	I heard something about the discovery of a pyramid there, greater than they have discovered so far.
47920	53440	Could you elaborate on that or any of the excavations in Mexico up to this time?
53740	58580	Well, as far as I know, there hasn't been any newly discovered pyramid in Michigan.
58800	59920	Are you in Mexico?
60260	61460	Are you aware of any of that?
61600	62220	No, but...
62220	63800	Dr. Williamson...
63800	66980	...the Egyptian pyramid right near Mexico City.
67260	73160	Dr. Williamson, of course, is down in Lima, Peru, doing some excavating work down there,
73160	78560	trying to uncover some of the lost records, which he says, according to one of the letters
78560	83620	I received from him, will tie in very much with the saucer phenomenon.
85760	93860	Good. Tell us about, how did you come in, oh, let's say, how was your interest developed
93860	98960	in the flying saucers? I understand you're quite active in the old Detroit Flying Saucers
98960	100880	on this firm by Henry Mayday.
101640	107280	Well, I should be very happy to tell you how we began our interest in flying saucers.
107680	114400	I think, however, a number of the Detroit people know Mr. Adamski is the villain.
114520	116420	He's the one that really got us started.
116760	120820	But Henry Mayday of Detroit, which I think most of you know,
120980	124360	came over to our house one night with George Adamski's book.
124620	125780	He said, look at this.
125980	128200	Here's a man that's talked to, a man from outer space.
128960	130320	Well, I was a little bit excited.
130420	131520	I thought, well, that's kind of thrilling.
131920	134560	And Brian, my husband, was quite disgusted.
134740	136800	He just, we're just impossible, that's all.
137620	142920	And we talked about the book with Henry Mayday
142920	145000	and Mrs. Laura Markser
146100	149960	and another chap who has since dropped away from the saucer field.
151060	155780	We decided that one way to find out whether Mr. Adamski was telling the truth
155780	159360	and have a nice pipe dream was to see if we could bring him to Detroit.
159940	163780	So we did very much as you have done this time.
163980	166680	We got a few sponsors and brought him to Detroit.
167680	170760	We worked on it, I think, about a month, day and night.
170920	172860	Laura can attest to that very well.
172980	174140	We would meet every night.
175640	177680	We knew nothing about promoting,
177720	183480	but it's sort of the case where fools rush where angels fear to tread.
183480	187300	and we went through the telephone book and contacted different clubs.
187620	192220	And, of course, at that time, in 54, you must remember there was no saucer,
192220	194860	that we knew of, no saucer interest in Detroit.
195820	199980	Fortunately, Mr. Adamski was the author of one of the bestsellers in books,
200140	202260	so that gave us some courage.
203080	208300	We brought him into Detroit with the idea of only presenting it to a very small group.
208500	212780	And even at that, we wondered where we would get 500 or 600 people
213480	219640	believed such a thing. But we did. We rented the Detroit Institute of Art, the small hall,
219800	226620	which sat 400 people each, and each lecture was sold out. I think you perhaps all know
226620	233680	the famous broadcast Mr. Adamski gave. Mrs. Markser contacted all the radio and television
233680	238840	stations and nobody would have any part of it. But finally, through her personal efforts,
238840	246280	She contacted Russ Mulholland, and he, out of friendship too, Mrs. Markser, agreed to take Mr. Adamski for five minutes.
247220	250620	And Laura took him down there, and they put him on the air for five minutes.
251080	252920	And the five minutes came and went.
253060	254860	He was on the air one hour and a half.
257480	265040	So with that publicity and the publicity from a press conference, our phones began to ring day and night.
265040	278260	Mrs. Marks, her phone was, she was called all the time and I was, and we were accused of withholding information from the public because we hadn't had an out-and-out open meeting for Mr. Adamski.
278620	292060	So I, not being in my right mind with Henry Mayday and a few others, not my husband, of course, he didn't want any part of the nonsense, went down to the Masonic Temple and rented it for $1,200 for one night.
292820	295040	I signed my husband's name and
295040	305360	there was almost a divorce in the Reed family over that
305360	308000	that was carrying it just a little bit too far
308000	310760	he took the attitude that well I was having fun
310760	312580	go ahead but don't bother him about it
312580	316260	of course as you know he's changed quite a deal from then
316980	320820	but after we spent a good deal of time with Mr. Adansky
322000	327760	sincerity. And frankly, I just believed it right from the beginning as sort of a woman's
