start	end	text
1520	4400	I'm going to talk about you before we get to this flying saucer thing.
4900	6360	Where are you from, sir?
6520	8180	I'm from the state of California.
8580	9980	Where did you get the title major?
11720	13460	From the armed services.
13500	17300	I was an army combat intelligence officer during World War II,
17340	21200	and I've had approximately 16 years in the military service.
22000	27060	Beginning in the year 1939, that's until two years ago,
27060	35800	goal. I am in Washington now as a private citizen, not representing any military services.
36040	41860	I am free to speak as an individual, but my views, I'm sure, are not different from many
41860	49320	people in the armed services, and it is not contrary to any group or any person in America
49320	55980	America that supports the Constitution. I'm a VSW member of long standing since 1941,
56440	59280	a past commander of my post in California.
59760	64200	Uh-huh. You hear Washington and tell the people about flying saucers. You don't mind
64200	65560	if I call them flying saucers.
65640	66280	It's okay.
66680	73180	I understand most of you men don't like the term. You like identified flying objects,
73300	75320	but that's too hard. We'll just say flying saucers.
75320	80360	All right Major, let's get started. Number one, did you ever see such a thing?
80960	88020	Yes, I did. On the night of May the 11th, 1957, in Southern California,
88960	95380	I had the unique experience of having a personal sighting on a desert in California.
95380	107200	California. And I think the story is a rather long one. It is very interesting to me, and
107200	113360	it changed my whole life as a result of the personal experience that I had on the desert.
113780	122580	I dropped all of my work and activities and proceeded to Washington to help create a great
122580	128520	understanding and applying thought to subjects among the people of America and especially
128520	132360	here in Washington where this knowledge is very important.
132660	135280	All right, you think it's very important.
135400	136320	Will you tell me why?
137740	144960	I think it is important because the question of mass conscience is involved.
144960	161540	The world is baffled by problems of various kinds, including nuclear fission, the various dangers involved, and resolving from our advance in nuclear science.
161540	171620	and the confusion in the world caused by things from many fields.
172360	179600	And it is my understanding from my study and activity in this flying saucer field
179600	185380	that here lies an answer that has been so far overlooked by a great many people.
185620	189300	You say, oh, well, Major Keyhawk says or told me
189300	195840	that he thought that the point he sought the issue was buried in official files for reasons which he outrun.
196060	197700	Do you feel the same way?
199080	206040	Well, I don't believe there's any major difference between Major Kehoe's views and mine.
206200	211000	We are friends, and I support him in his work every way that I can.
212860	221520	However, I wouldn't put LeBron on various military services as I charm him with responsibility
222220	224460	of a problem of unprecedented proportion.
224980	226740	All right, let me ask the question this way.
226960	231900	Do you think that official Washington knows that there is such a thing as flag sausage?
232360	232880	Definitely.
233240	234600	Why don't they tell us?
234780	236880	The same question, but in a different way.
237840	244860	Well, I believe that the fact that they are allowing people like Major Keepel and myself
244860	253120	and many others who are researching, talking about, discussing this situation in the field,
253260	257220	it's an indication that there is an official recognition.
257520	260200	I'm really surprised to hear you speak that way, Major.
260380	263460	You were an officer in the Intelligence Corps.
264060	269980	You're obviously a very intelligent man and you use the expression that allow you to speak that way?
270120	278540	Do you know of any official act or any official amendment to any constitution in any state or country here in the United States
278540	281040	which wouldn't allow you to speak any way you please?
282080	288900	Well, I believe there are ways and means to make people shut up if you don't want them to talk.
288900	296180	I haven't found any. I've found them by private people. I've found them by private people.
296260	300800	If they don't like what you say, they try to find all types of things to do to shut you out.
301160	306260	If you're a radio commentator, they might put a squeeze on you financially with sponsors,
306800	310500	or they might do all sorts of unhanded things to get you off the air.
310660	314340	If you're a newspaper writer, if they can approach the boss of a newspaper,
314340	318300	for defeat the fellow who has many scruples or fire yet,
318980	322480	but officialdom would never attempt to do such a thing.
322660	325340	And I've never heard of official Washington
325340	327740	ever trying to shut anybody up, Major.
328200	329460	How could they do it?
329540	331800	How could official Washington set you up,
331820	334360	or Major Kehoe or anybody who believes in this stuff?
335280	338840	Well, one thing we have been confronted with
339960	342900	in open discourse on playing songs
344340	347640	on Tuesday Sunday by press, radio, and television, and so forth,
347740	349680	is the terrible weapon of ridicule.
350160	353480	It has been used a great deal in this field.
354600	357100	I'm afraid that I've been a little guilty of it myself.
357940	360160	I tell you, I know a man named Truman Besson.
360360	361320	Do you know Mr. Besson?
361580	362260	I know him, yes.
362380	366420	He told me that on the plains of Nevada, he saw a flying saucer.
366500	368260	He was a fighter on board, took a trip in it,
368920	371000	and he told me the captain's name was Captain Rains,
371000	372360	and I invited him on the microphone.
374980	383380	So I said, I think Mr. Bethuram actually saw what he said he saw, but I thought that if
383380	386100	I were with him, I would not have seen it.
386460	388060	Now, that may be ridicule, maybe.
388340	389620	Maybe I've been guilty of it.
390460	394380	But ridicule wouldn't stop me from being dedicated to an idea like you.
395140	395540	Correct.
395740	396400	All right, then.
396440	396980	Let's get going.
397100	398740	What did you see when you saw one?
399300	400760	Firstly, let me say, I don't believe it.
401800	403440	Not that I don't believe you saw it.
403460	404060	You saw it.
404140	404320	You saw it.
404320	404320	
404320	404320	
404320	404320	
404320	404320	
404320	404320	
404320	404320	
404340	405620	Because you've got a wonderful imagination.
406860	409580	I told that to Major Kehoe, too, although he never saw.
409580	412640	And I said, I thought people would say they saw that wonderful imagination.
413100	414920	What did you see, Major Kehoe?
415260	420160	Well, I'll tell you what I saw, but I'll also tell you that I had witnesses to my sightings.
421720	424900	That's one of those fortunate things that happen sometimes.
425140	429200	When a person makes a certain statement that they saw something,
430160	433360	they are sometimes very fortunate to have a witness.
434800	437780	who think they have seen these objects at various times,
438700	443620	have not been fortunate enough to know of a witness who would appear and support them.
445100	448180	My sighting was witnessed by some people in California.
448280	452860	I have a name and address, and anyone that is curious enough or wants to check on this,
453380	455200	they have my permission to write to them.
455200	457980	I will supply this address to anyone that wants to write.
458300	461880	Have you ever seen a picture of one?
461880	464440	Yes, I have. I've seen a number of pictures.
465220	466360	Actual photographs?
466420	467120	Actual photographs.
467220	468520	Why have they never been published?
469100	474540	Well, I think if you brought in a picture to the Washington Post tonight of an actual
474540	478760	compliance object or the style of a news, they'd put it on the front page.
479220	481300	These pictures have been published.
482840	488300	Photographs have appeared in some of our leading magazines, and I personally saw a paper from
490200	494300	Pennsylvania, published about two months ago, which had not only one but about four pictures
494300	496540	of flying saucers in the paper.
496760	500080	Well, I saw pictures too, but they didn't look like flying saucers to me.
500240	504960	They looked like shooting sunspots of stars or what have you.
505120	508440	They didn't look at all like what I think a flying saucer should look like.
508580	510280	What did you see, Major?
510900	512360	My sighting was at night.
512360	519360	Many of the sightings that have taken place were in the daytime when the definite metallic
520660	529140	objects, usually of a stainless steel type and color appearance or aluminum, have been
529140	529500	observed.
529640	533060	Mine was inland nighttime at about 1130 p.m.
533560	541520	I was walking in the desert in California to the site of a space convention that was
542360	545740	and was underway at Giant Rock, California, Yucca Valley.
546800	552200	And I had a very unique and strange experience.
553020	558340	I could talk about this to people with great understanding on this subject,
558380	562940	and even to them, many of the classes that were involved in this sighting and experience
563640	566220	would cause a great deal of thought and conjecture.
566220	578300	and I am going to limit my discourse to the things that I believe will be of definite benefit and understanding to the people of it in this evening.
579660	583640	The signing occurred at about 11.30 p.m.
583880	585600	I was walking in the desert.
585740	587900	I saw a star up in the sky.
589160	595080	Here I felt that there was probably some kind of telepathic guidance or something involved.
596220	600940	because of the fact that I looked at a certain star out of all the stars in the sky.
601280	605940	The minute that my eye caught this star, it blinked an orange light.
607120	611420	When I saw the orange light, I thought, well, here's a strange thought.
611440	613100	It changes color when you look at it.
613340	621000	As I continued to watch it, it changed from a star into a large white light, egg-shaped,
622180	625500	and it moved across the sky in gliding motion.
626220	632900	moving toward me. I estimate that it was probably 15 or 20 miles away from me at the first point of observation,
633600	643080	and it took perhaps 30 seconds or so for this white object to arrive at a point in front of me about a quarter of a mile away,
643300	647860	about 1,000 to 1,500 feet in elevation above the desert.
648800	653460	When the object arrived at this point, it stopped.
654440	665100	It ceased all forward motion, became motionless, and it changed into a large red sphere about the color of the taillight on an automobile.
665900	670040	It was at this point, I estimated to be about 25 to 30 feet in diameter.
670500	674980	It remained motionless in this one spot for possibly five minutes.
676160	682860	At this point it was observed by those witnesses that I mentioned earlier, and they reported
682860	685180	the same to me the following morning.
685300	686920	I had never met the people before.
686960	689260	I didn't meet them the following morning.
689540	693320	They gave me their names and addresses as I had breakfast with them.
695300	703280	After remaining motionless for about five minutes, this red object started descending
704980	714980	away from me. The minute it began motion again, it descended, it changed back to a white light,
715160	722040	again egg-shaped, and it glided down toward the desert and landed approximately two miles away
722040	732160	from me. It went down over a ridge and it went out of sight. And at this point I was walking
732160	739540	toward this object all the time. And for all the people listening tonight, anyone from
739540	748180	any listening in the government capacity or the capacity of any foreign government, I
748180	753960	would like to state now and definitely that I had no fear about this object or any of
753960	761040	the consequences of my going out into this desert area by myself. I know that certain
762360	769020	and certain groups have tried to project a fear situation into this study
769020	773360	because of the fact that this is, you might say, somewhat unknown.
773580	775480	This is unprecedented and it is unknown.
775860	777080	Did you ever reach the object?
778440	780280	I walked out into the desert.
780920	784360	I was out in the desert all night until the following morning.
784440	790020	I arrived back at the first point of observation at about 7 o'clock the following morning.
790020	800500	I observed this object two more times during the night at very close proximity, and I came
800500	810280	to learn many things that I hadn't already thought before, and that is that these extraterrestrial
811020	818440	crafts or interplanetary crafts do have the ability to operate in other dimensions, from
820020	827400	discussions why we're getting into a lot of complicated things that I don't think most
827400	828240	people would understand.
828600	828960	All right.
829020	831180	We may not reinterject this question right here.
831580	837300	You say, if I got you straight, that you saw this object, it landed, you started to walk
837300	843200	to it, and then you went home or to a hotel or whatever it is, and then you came back
843200	845280	to the point of observation and you saw it again.
845600	848160	No, I remained on the desert all night long.
850020	861140	I saw it twice again in close proximity, and whenever it was in motion, it was this luminous, white light.
861820	869460	And I believe from books that I have read, observations of other people that are taken at close quarters,
870480	878760	that on certain occasions, these ships become visible to the physical eye, but only under the right conditions.
880020	880600	for a certain reason.
881040	883740	I am, it seems to me, ashamed
884660	886280	that you didn't have a camera
886280	887640	slung over your shoulder.
887800	889960	I had a camera slung over my shoulder
889960	893000	and I did not once think of taking a picture.
894920	897260	Finally, the revelation that came to you
897260	899180	after so many years of believing in something
899180	900080	and not saying it,
900620	901920	finally, there it was,
903080	904420	twice, three times,
904880	906780	and you didn't take this camera off
906780	907380	and take a picture.
907560	908280	I did not.
910140	922820	It is. I thought about it many times afterwards, and I told friends of all the stupid things that here I was close to, I saw it, and the camera was on my shoulder, and I didn't take a picture.
922820	929480	The reason was because there were a great many other things on my mind.
930020	938760	I have mentioned in letters to certain individuals that this was a nice, great experience for me.
938820	944000	There were a lot of things happened on that desert that I will tell various people
944000	948160	when I know that they have arrived at a point where they will understand some of these things
948160	949720	and not treat it as science fiction.
949720	958420	I consider it useless to talk to a group of people unless they listen in an open-minded attitude.
958860	964280	I already know something about this because this gets off into realms of philosophy and many things
964280	970580	that without any previous acquaintance, why people would tend to say,
970600	972260	well, we're getting into science fiction now.
972500	975360	All right. Let me just ask you a few surface questions.
975360	978280	For instance, did you see any life on the ship?
979100	986680	I saw no sign of life in the third dimension that we operate in.
986740	997560	However, I had reason to believe from certain observations that I made that there was a great deal of activity going on on the desert
998900	1003080	in, you might say, interdimensional or other dimensions.
1003080	1013420	and I had certain things were shown to me, I heard sounds, and I saw things with my eyes which confirmed these ideas.
1013840	1016360	Did you report your findings to any government agency?
1017220	1026320	Yes, I have. I have reported this sighting to friends here in the Washington area,
1026320	1033780	and any military group or intelligence group that wants to know any particular information about it,
1033840	1039280	I will give all the information I have on this fighting and desert experience that I have.
1039520	1041840	Now, Major A.O. is an Army officer.
1042240	1048120	You know as well as I do that airplanes have cameras on them now.
1048800	1050960	Most of the airplanes have cameras on them.
1050960	1059960	You, I'm quite sure, in your brochures have the names of pilots and flyboys who have seen these flying saucers, right?
1060260	1060920	Yes, I have.
1061580	1071500	Why do you think it is that they, our astronomers who are searching the sky 24 hours a day for any phenomena that might occur with cameras,
1072360	1075220	why do you think it is that they haven't got pictures of these things?
1075940	1078480	Well, my personal opinion is that they have the pictures.
1078720	1080160	Why don't they expose them?
1080960	1085600	Well, that's a question I couldn't answer. It's not in my capacity to answer that question.
1085700	1089180	What is your idea? Do you have any opinion on the subject?
1089720	1093800	Yes, I have very definite ideas and opinions on the subject.
1093820	1102100	I think that the main reason for this is that the question, the whole question is so big,
1102100	1111900	It is such fantastic proportions and could have so great an effect on our general concept of the universe
1111900	1120360	and what life is all about and our relationship to other planets and life in the universe
1121520	1130560	that various people have so far decided that perhaps the American public was not ready to hear this whole truth.
1132340	1137440	I'm not sure that I do, but let us assume for a moment that I do, that the American
1137440	1142700	public is not ready for such a coup, even though the American public is known through
1142700	1147780	its newspapers and radio and television about such major happenings as the Dissolument
1147780	1154500	Talk in London with Stassin and the Russian people in the other line, even though we're
1154500	1156280	told about almost everything that happens.
1156280	1161960	The J.O. said in this particular case, it is of such major proportion that the government
1161960	1164020	has decided the American people are ready to hear.
1164260	1166480	Let us presume for a moment that I agree with this.
1167320	1171500	Would you say, Mr. J.O., that these sightings have been made by other countries?
1172420	1172800	Definitely.
1172900	1173700	I have...
1173700	1180780	I received mail and I read and seen publications where these sightings are reported in a great
1180780	1183060	many countries all over the world.
1183280	1183780	All right.
1183780	1189940	Do you think the same thing that holds true of American government holds true of all other
1189940	1193400	governments, that they say there are people I'm supposed to know about this thing?
1193600	1196960	Or would you say that all the governments got together through some agency and said,
1197020	1197760	let's keep it away?
1198380	1206460	Well, some governments have made these sightings and the reports not necessarily official,
1206620	1211600	but they have, there seems to be no blockage of information flowing to the public.
1212420	1218800	Mexico is such a country and Australia has been treating it with a very open attitude,
1219160	1222060	and New Zealand, and perhaps some other countries.
1222500	1227580	Well, as I've said before, I don't believe that we have such a thing as censorship in our country,
1227720	1231940	and I don't think that the government or even the President of the United States
1231940	1236020	could say to the newspaper publishers and the Amnesty Association,
1236020	1241620	Please, don't pick anything up from the Australian or Mexican papers and print it to our country.
1241780	1246020	I don't think that our newspaper publishers were sold for it, number one, and I don't
1246020	1248080	think President Eisenhower would ever tell them, number two.
1248920	1254100	So I don't understand why the AT or the UP or any newspaper who has a correspondent in
1254100	1259180	Mexico or Australia, and I guess most of our major newspapers have one there, why they
1259180	1259960	haven't printed this.
1260340	1261940	I'm just trying to figure out why.
1261940	1262180	Why?
1262940	1265400	See, I'm not just giving you a word, Major A.O.
1265400	1266900	You say you saw it, you saw it.
1267200	1271580	You're here on the microphone and you're my guest, and I agree that you saw it.
1271820	1275780	You tell me they saw it in Mexico, you tell me they saw it in a pixel Washington,
1276080	1277540	you tell me they saw it in Australia.
