start	end	text
1600	9660	The first East Coast Interplanetary Space Convention held on the farm of one Howard Menger, outside of Lebanon, New Jersey.
9960	17380	This convention was strange and wonderful in many ways, and not the least interesting aspect were the people who came there.
17660	20000	Why do people go to a space convention?
20440	26180	Well, I talked to a number of conventioneers, and here are three typical examples culled from the crowd.
26180	30200	I first talked to a rather forward-looking gentleman who said...
30200	34280	I haven't seen anything. I don't know anything. I'm just dumb-eyed.
35120	37160	And ask why you came to the convention.
37740	41260	Curious. Find out what happened and why so many people are interested.
41700	43220	I take it you're not a believer.
43640	52180	I'm not a disbeliever. I just don't know. I have to be shown or if I was interested enough I would investigate the part.
52180	56500	You don't feel there's been enough proof offered here today to make you believe it?
56660	61080	Oh, I don't believe any proof at all, except that I think some of them are sincere in their statements.
61960	71500	And I think some people are taking advantage of the honest individuals who are honest enough and sincere enough and gullible enough to be exploited.
72660	73600	What is your name?
73980	78620	Jay Dane. I'm a freelance photographer on this assignment for Argosy magazine.
79260	82500	You've covered these conventions for Argosy before, have you not?
82580	84680	How would you say this convention compares?
84940	92500	This one seems a little more sober, less fanatics, less elderly Californians seeking for something to believe in,
93120	96240	not knowing quite what it is or what it might be.
96680	98520	You're not what you call a believer.
98720	99340	No, sir.
99680	100300	Why not?
100760	106980	Maybe I'm incapable of reaching with my mind just as far as these people are willing to go.
108620	113940	why not? But let me put it another way, from your observations, why do you believe believers
113940	119920	are believers? I think we've got a pretty large percentage of the population that are
119920	125180	looking for something to believe in which somebody else will tell them about. I mean,
125200	130840	these are people seeking an answer because they can't find answers anyplace else. Perhaps.
131140	137960	This is one place out of many to seek an answer. But I think there's a few thousand dollars
138620	144140	made here in these past two days from the sale of books, the admission fee of two bucks
144140	144560	a person.
145140	147680	A purely materialistic venture.
148160	152960	That was the opinion of many who attended the first East Coast Interplanetary Convention.
153460	155920	A bunch of crackpots was another opinion.
156580	161840	Sincere students of this yet unexplained phenomena was yet a third.
162300	167520	To find out more about all three of these opinions, and incidentally, to find out just
168620	174180	is to the flying saucer stories will go into many aspects of this new word, ufology.
174740	177400	First, the man who held this convention.
178120	182060	Many people have claimed to have met beings from outer space
182060	184660	and to have ridden in their flying saucers.
184880	187560	These people are called contactees.
188160	191780	One of the men who has made this claim is Howard Menger,
191940	195960	the man who held the first East Coast Interplanetary Space Convention
195960	198580	at his farm outside of Lebanon, New Jersey.
199240	204540	Is this man a crook, a crackpot, or could he be telling the truth?
205060	207560	With these questions in mind, we talked to him.
207800	211740	I first asked him about his convention and why he was holding it, and he said,
212000	219000	The purpose of this convention is to enlighten people as to the fact that these so-called flying saucers do exist,
219260	223140	that they are spaceships coming from other planets,
223140	227280	and that they do contain higher intelligences in the form of man,
227840	229560	but they're higher in intelligence.
229720	233440	They're spiritually and physically more developed than we are.
233540	236980	They know more about how to live than we do.
237080	239140	There are no wars on their planet, according to them.
239820	243020	And they're here to try to help us to help ourselves
243020	246000	to attain a higher understanding of life and its meaning.
246300	249040	And this convention is part of that educational process.
249340	249960	That's right.
249960	254100	And a lot of these speakers here have been exposed to this for some years, the investigators,
254440	259180	and they're giving some good information to the people here on just what the whole story is.
259300	260440	What is the whole story?
261120	265700	Well, of course, the message that these people bring us is this.
266640	268960	By these people, you mean the people from other planets?
269120	269680	That's right.
270020	273160	They say that we've more or less gone off the path, so to speak,
273680	278540	and that anything that these wars and troubles on this planet,
279960	284240	has begun with, you can't create anything without first thinking of it. In other words,
284260	288820	everything begins with thought. And they say that thought power, the mass thought power
288820	297660	on this planet has created instruments of war and negative approaches to life. Now,
