start	end	text
2340	4520	You mean it opened and you got in and it flew?
4720	10300	Yes, after the air was admitted and after I had been invited to make this test out.
11020	16820	Mr. Fry, when you ask us to accept the story that you not only saw a flying saucer,
16860	20140	but you communicated with some extraterrestrial people,
20300	22440	that they flew you to New York and back,
22620	25820	and I think when I read of your book, They Have Visited You Again,
25820	30460	you would admit that this is a rather incredible story
30460	35380	and that it sort of tests our powers of belief in you.
35700	38160	Well, I have never asked anyone to accept it.
38180	41540	I have presented the report for what it was worth.
42380	44500	It is of no concern whatever to me, actually,
44540	46080	whether anyone accepts it or not,
46220	49320	provided they do a little thinking on the subject.
49560	52580	We are about to go into space ourselves.
52580	60880	themselves, the coming generation is going to travel very widely in space. It is not
60880	65020	too early, in fact it's pretty late already, for them to begin to consider the things which
65580	71800	they may meet there when they do. The important thing is that we break down some of the thought
71800	77200	blocks which have been raised by people who are in position that they should know better.
77420	78740	I mean, there have been some unfortunate thought blocks...
78740	81880	No, pardon me for interrupting, but you say you don't ask us to believe it, and yet
82580	89360	a book that you want people to buy, I assume. You give lectures that you ask people to pay money to
89360	95600	attend. I've even been told by some of your former associates that at your ranch in Oregon that you
95600	102780	sell real estate for people who might want to build there or to be there when and if the
102780	108480	spacecraft and space people return. Now, what I'm wondering is, I'd like to find out a little
108480	115180	something about yourself your book says that you are a phd that you have this phd from the
115180	121480	saint andrews college of london university uh pardon me the book says saint andrews i didn't
121480	126820	write that i didn't write the advertising no it's in the book i was not even showing me i was not
126820	132780	even showing the yeah well do you have a phd yes where did you get it it was from saint andrews but
132780	137760	it was the university not a college and where is that located it is on tottenham road in london
138480	141720	I'm sorry, but I checked with the Library of Congress,
141780	148420	and they say there is no St. Andrews University in London.
148640	150120	There is one in Scotland.
150380	152700	Now, could you have mistaken Scotland for London?
152700	154660	No, I could not have mistaken Scotland.
154920	157820	Well, I'll tell you what I did, Mr. Cronin.
157940	163940	I put in a call to the college or university of St. Andrews in London,
163940	164200	Yes.
164360	168580	And the operator, I said, well, this man has a Ph.D. or says he has from there.
168680	170020	There must be a college.
170140	173120	And so they gave me the chief information operator in London.
173360	174840	She said, I'm terribly sorry.
174980	178160	If there is such a college here, they do not have a telephone.
178300	181520	Now, could it be that this college has an unlisted phone?
181980	183760	I don't know about their phones.
183820	188840	I'll be glad to send you a certified photostatic copy of the degree if you choose.
188840	191240	I mean, this is something that's come up 50 times before.
191360	192660	I mean, this is not a new thing.
193940	197960	Could this be what's sometimes called a diploma mill, where you buy a diploma?
197960	199300	No, it is not the diploma mill.
199340	203200	This organization was chartered by the Crown in 1890.
203520	206440	There is no reference to it in the directories.
206440	208300	There is no reference to it in the...
208300	209300	I can't help that.
209380	210340	It does exist.
210640	212200	It has the power to give degrees.
212520	214220	I have a degree from it.
215300	217940	And I cannot argue about the merits of the institution.
218020	219640	You'll have to take that up with the institution itself.
219640	220400	Let's consider something else.
221220	229540	The book says that Dr. Dan Fry is recognized as the best informed man in the world on the subject of space and space travel.
230160	237720	Now, I presume then that you're a member of the American Institute of Aeronautics and Astronautics, to which all of the space engineers are members.
237920	238820	Are you a member of that?
239100	241180	I am not a member at the present time.
241220	241540	I see.
241700	248600	The book also says that Dr. Daniel Fry is an internationally known scientist, researcher, and electronics engineer.
250400	254260	Institute of Electrical and Electronics Engineers. I have attended many of their
254260	258140	conventions. I have never joined the... As you know, there are 200,000 members. I
258140	261960	think probably even the members of the studio engineers are probably members.
262140	267860	But you're not a member. The book on page 15 says, during the many years I've been
267860	271900	employed in the field of aircraft and spacecraft design, I have helped to
271900	276780	develop many guided missiles. Could you tell us what some of those missiles were?
278160	283080	The reference there is a reference to control instruments on the Atlas missile,
283220	287660	of which Crescent Engineering furnished nine, and of which I personally design three.
287980	292860	So many guided missiles means only one guided missile, and in fact...
292860	297500	No, we sold instruments for many, or practically every missile that's ever left the ground,
297560	299660	Crescent has furnished one or more instruments for us.
299660	303180	Well, now the book says that as a scientist, and here I'm quoting,
303180	307840	researcher and electronics engineer who helped, he's speaking of you, who helped
307840	311500	us to develop the guidance missile system for our rockets and astronauts.
311820	316740	Now what company did develop the guidance system for the Atlas? There have
316740	322520	been at least 200 companies that developed guidance systems. Who was the prime contractor for the Atlas guidance system?
322520	327320	The prime contractor for the Atlas was Congar Astronautics who purchased our
