start	end	text
1440	9120	A very dark and rainy night on November the 2nd of 1966, a man whose then a
9120	14720	salesman by the name of Woodrow Derenberger was driving on I-77 between Marietta, Ohio
14720	22220	and Parkersburg, West Virginia on his way home when he was encountered by a flying saucer,
22780	29480	according to his story, and he met the man therein, and he has not experienced the same
30000	35300	since. It has significantly changed his life and what is very strange about this story
35300	40440	is that it has changed many other lives as well. It has captured the fancy and the imagination
41180	46220	of the entire country as well as parts of the entire world. We would like you to meet
46800	53580	America's now most controversial and most seen and heard contactee, Woodrow Derenberger.
53840	59220	This is Mr. Derenberger here and with Mr. Derenberger is a very charming wife whose
60180	62660	Darla. May I refer to you as Woody and Darla?
62780	63420	Yes, please do.
63480	66480	We've been on the air before, Woody, but I've never called you by your first name.
66660	69080	That's perfectly all right. I'd rather be called that anyway.
69260	69860	If I may.
70840	77440	Woody, you have, to pick up the story somewhere, you have encountered a flying saucer.
77460	84160	You've met the occupants of that vehicle, and you remain in touch with them.
84500	89740	Can you tell us who is in that flying saucer and what he's doing here?
90000	96140	At the time that I met this man, I think everybody has heard the beginning of my story.
96220	102400	The people in the craft were Ingrid Cold and Carl Ardo.
103040	107300	They were from a planet, a world, that they called Lanulus.
108300	112600	These people are here simply to make friends with us,
113380	118040	to set up some kind of a trading pact with the world here,
120120	127020	cultural ideas and views of how we live, and in turn we can see how they live. That is
127020	129160	the reason that they are here for.
129420	133680	Why have they contacted only you, Woody, or have they contacted others by now?
133920	139620	There has been many people contacted. There have even been two people here in the Cleveland
139620	145960	area themselves that have been contacted and talked to these people. Quite a few of the
145960	151740	people will not release their name for the publicity that they get on this yet quite a few
151740	158200	do release their names there is several books that are out that have been published by extra
158200	164560	contact days several fake books have been put out yes people that simply write the story for the
164560	169120	money they get out of it this is what makes it so hard to actually believe the tree stories when
169120	178500	they do come along yeah well uh uh you went aboard uh one of these uh craft and you went on a trip
179360	184800	with these people and i would be interested in knowing what ex what experience you had what you
184800	192640	saw and uh how long it took did you get to land you lost at all yes you saw it i've seen land
192640	198400	you lose i was on land you were on the ground yes i was you got out of the craft on that planet yes
199120	204200	breathe the atmosphere? It was, I could tell no difference in that air other than it seemed just
204200	209440	a little bit heavier than the air here on this world. And they explained to me the reason that
209440	214280	I felt this different was simply because the air here is polluted, the air there is not.
215540	221240	Well, I could breathe. I thought they would find a difference myself, I'm sure, if I had the
221240	225600	opportunity to breathe pure air. What about the trip? How long did it take to get to Lanulos?
225600	230840	The first time that I made this trip to Lanulis, I was not permitted to get out on the ground.
230940	232380	I was not permitted off of the ship.
232640	238600	I left Earth at just about 20 minutes after 7 p.m.
238980	245060	I arrived back on Earth just a few minutes before midnight.
245900	249680	I didn't believe this could be accomplished that fast myself.
249680	259460	But they explained to me that their traveling was done simply by bending distance and space.
260260	267840	That it was not actually traveling as we know, although that they told me there was one of the people from Earth,
268100	278440	a man by the name of McDonald, in San Francisco, California, that was right on the verge of discovering this way that they traveled.
279680	284700	They have talked to this man, McDonnell, and have shown him quite a few things.
285440	291040	And that any time that our government and our people will accept them as friends,
291220	299180	they will give the United States government or any other country in this world the secret of space travel.
299480	302240	Have you had an opportunity to relay this word to any members of the government?
302560	305680	I have talked to the officials of NASA.
306000	308360	I have told them everything that happened to me.
309680	316540	For one week, every night, one week, I was interrogated by the people of Massie in Cape Kennedy, Florida.
317000	322820	At the end of one week or six days that I had talked to them, when I got done talking to them on the sixth day,
322880	326540	they told me I had told them nothing that they had not already known.
327280	329360	That they knew everything that I had talked.
329500	330660	They even knew the planet.
331160	335580	They said they didn't know it by the name of Lannulus, but they knew the planet I was meaning.
336060	339720	They told me they knew everything that I did and a lot more.
340500	342040	You in touch with these people today?
342480	344660	Yes, I have been in touch with these people today.
344980	346820	When was the last contact that you had with them, Woody?
347700	353440	With mental telepathy, the last contact I had with them was approximately eight or ten minutes ago.
354140	355100	You were in the studio?
355220	355560	Yes, I did.
355560	356320	And you were waiting to go on?
356780	360320	I talked to them with mental telepathy while I was sitting there on the seat.
360520	361140	What did they tell you?
361720	363600	They told me to get over my nervousness,
363600	365900	to not be frightened that everything would be all right.
366180	367220	Well, you're not frightened of me.
367240	368300	You've been on the air with me before.
368800	370860	Maybe they don't know as much about us as they think.
371540	372960	Well, I think they do, Alan.
373040	374680	I think they know quite a bit about you.
375480	375840	Me?
376160	376660	Yes, you.
376960	377800	Have you asked them?
378020	379200	Yes, I have asked them.
379220	379800	What did they tell you?
379820	380500	I'm dying to know.
380900	385720	They told me that they had walked on a pasty in the street,
385820	389600	that one of the men had actually talked to you or spoke to you briefly.
391140	397240	She would be a name that would be contacted personally before too long,
397360	400240	and the PacePace people would identify themselves with you.
400940	405960	And from then on, it would be up to you what you would do with the information and knowledge you would learn.
406180	408400	Well, I am now completely in your power, Woody.
408740	415420	And we're going to pause for a moment before I become utterly helpless so that we can earn some money,
415520	418080	and then we'll be back to talk with Mr. and Mrs. Derenberger.
418260	419540	You happen to tune in late.
421140	425800	or darrenberger about his contact with and his association with people from another planet
425800	437300	and his affiliation with those flying saucers uh woody uh the uh information comes to me that you
437300	443580	have been uh followed here by uh by flying saucers are they in the vicinity yes they're very close in
443580	450900	the vicinity. I know that this is as hard to believe or maybe harder than to believe in the
450900	458720	first initial contact with the people, but I never go anyplace, I never go anyplace at all, unless one
459260	466000	or two of the space people are very close to me. If I travel on the highway, they travel with me.
466000	472280	They travel very close. If I am in a meeting of this sort, they are also very close.
473540	479280	These people are very identically like our own people. There is no difference between them.
479280	479960	They look just like us, do they?
480000	485060	Yes. If you would meet one on the street, you could not tell him from a man that was born on Earth.
485180	490240	He could be sitting next to you at any time and you would not know it unless he would
490240	493380	is to tell you or prove to you that it was so.
494160	499440	Woody, why is it that you were contacted originally on the 2nd of November of 1966
500500	506760	and we are now pushing toward two years following that date?
507200	508880	It's over a year and a half now.
509860	514140	And no significant progress has been made even by their time measurements
514140	515440	as you relate them to us.
515640	517060	Why is it taking so long?
517060	524520	I think there has been a great deal of progress made that may seem slow to the general public,
524780	532060	but the government itself is getting closer to announce this, to announce what they know on the air.
532600	537720	There is many more people know of these spacecraft, of these people,
537880	542380	than is generally thought of by the whole public taken as a whole.
542380	547060	many times I've been asked to prove this story in some way with some material
547060	551680	proof with pictures or some metals from these worlds but you do have pictures
551680	557760	pictures I have shown and been called a liar that they were fakes pictures that
557760	562460	were actually taken of the spacecraft and then yes I have I quit taking
562460	565500	pictures I don't I don't even have no interest in the pictures anymore
565500	570760	before you throw them away completely we have some pictures we have been yes and
572380	581280	While we're talking, could you roll the monitor out so the audience will have a chance to see firsthand the kind of pictures that Woody is talking about?
581580	588660	This is a 25-second film strip that catches a flying saucer in motion.
