start	end	text
1660	3460	A humanoid type figure.
3860	7320	This figure communicated with him but did not move his lips.
7500	11900	This person we later learned was a man named Dr. Cold or Mr. Cold.
12160	18300	And there followed from that a trip to a planet beyond our solar system.
19320	22360	And the man who had that experience is with us this morning.
22500	24140	And he is Woody Derenberger.
24140	30540	and he is also a man who has put together a book on this with the help of Harold Hubbard.
30660	32240	And it's good to have both of you here.
32400	36680	We'd like now, Woody, to have you just tell us this story from really the beginning.
37080	40860	Where did it start, and what were you doing there, and then what happened?
41500	45600	Well, it was right outside of Parkersburg, West Virginia.
45860	50940	I was, as you say, a sewing machine salesman,
50940	56940	and I was driving a Ford Econovan truck loaded with equipment.
58400	60280	And on this night it was raining.
60420	62780	The road was very slippery.
62880	67540	I was driving at approximately 25 to 30 miles per hour.
68040	73040	It was dark and I was driving along the highway
73040	78640	when I heard something fall in the back of my truck.
78780	80300	Like one of the sun machines?
81040	86160	and I turned the dome light on to see what it had fallen on the floor,
86300	90680	but as I started to glance back, I noticed this light coming up behind me,
90700	93740	an automobile, but it was coming very rapidly.
94580	97860	So I watched the road until the car got past me,
97920	100660	and again I turned to look at the back of the truck,
100700	103120	but as I did, I noticed this other object, no light,
103400	106160	but the object was coming up beside of my truck.
106240	109560	I thought it was a car at first, then as I glanced at it,
110940	114800	was not touching the highway, and I looked directly at it.
114800	119120	The object was across the level with the window in my cave.
119220	119740	Like hovering.
119940	122460	Yes, but keeping right with me.
122760	127900	And then it gradually pulled ahead of me, about, I'd say, 30 to 50 feet ahead of me.
127900	131480	It turned crosswise the road, but still moving ahead of me.
131580	133200	But it started slowing down.
133760	140020	As it slowed down, of course, I had to keep braking my truck until it stopped completely.
140940	144000	I stopped maybe 10, 12, 15 feet from the vehicle.
144420	148520	As I did stop, there was a door open directly in front of my headlights,
148740	151980	and a man stepped out on the highway and started toward my truck.
152360	154720	I had the motor running in my truck.
154780	155900	The windows were closed.
156360	160420	When this man was approximately halfway between my truck and his vehicle,
160620	168260	I distinctly either heard or felt this voice, or whatever you want to call it,
168260	172960	asked me to roll the window down on the passenger side of my truck.
174120	178860	I don't know yet why I did it, but I slid over in the middle of the cab.
179000	182220	I rolled the window down, and this man walked up to me.
182320	185060	He had his arms folded like this.
185200	189460	He had a slight smile on his face, but his lips were closed.
190140	196760	But as he walked up to the truck, again, I think I felt the communication.
198260	200540	I will not harm you. I only want to talk to you.
200540	202100	You're not necessarily hearing this.
202180	206420	It's like you're sort of just aware that this is the message that's coming through to you from this figure.
206620	210840	Correct. I couldn't, I cannot explain exactly the feeling.
210860	217400	I knew what the man was saying or what I was feeling, hearing, without audible communication.
218420	221060	And I was, he asked me what my name was.
221120	224840	I tried to tell him, but this time I honestly couldn't speak.
224840	229040	But I was thinking my name, and some way he knew what my name was.
229140	232860	He spoke my name, and then he said, my name is Cold.
233600	234040	Cold.
234040	234780	C-O-L-D.
235000	235680	C-O-L-D.
236300	241420	And he repeatedly asked me not to be frightened, but he only wanted to talk to me.
241560	248640	He asked me very simple questions like where I was from, what I was doing, if I worked for a living, if I had to work for a living.
249100	252840	He only asked me questions that anybody could have answered.
254840	261060	As soon as this man had got out there and walked toward my truck, the vehicle itself lifted straight up in the air.
261480	267380	And it was still in my headlights, or I could still see it, about 50 feet high, I would expect.
267860	271160	There was cars and trucks traveling the highway.
271400	275200	There was a car, not a mobile, with the woman I later found out.
275420	280680	And her three children in the car stopped about 100 feet ahead of my truck and sat there and watched.
280680	285820	There were several people, saw the vehicle, saw the man standing by my truck.
286560	289980	And the man only talked to me just a very short while.
290400	294620	Then, as he said, Mr. Dermberger, I will see you again shortly.
294720	299240	He turned, and the vehicle itself came back down again beside my truck.
299920	302900	This man, Mr. Cole, walked directly to the door.
302960	306440	I seen the door open again, and a man standing in the door.
307280	311920	Mr. Cole walked over, got into the vehicle, and again went straight up.
312060	316000	Now, Mr. Cole, he looks like a person, like a human being on our Earth.
316160	323400	If Mr. Cole would walk right here in with us now, there would be no way to identify him unless you knew exactly what to look for.
323480	330520	Right, I see. But the extraordinary thing was the communication that he did with you, which involved no speaking.
330660	333980	No speaking at all. There was no audible sound at all.
333980	337880	Well, then he got back on the vehicle, whatever it was, and went away.
338080	338740	Straight up.
338960	339420	Okay.
339520	341420	Now, then what happened?
341660	343040	What did you do?
343360	348300	As soon as he left, of course, I left much more rapidly than he did
348300	350320	because the vehicle itself didn't go fast.
351420	354800	But I went straight home, and when I went in the back door,
354840	357440	my wife knew immediately something had happened to me.
357540	360280	She said later that I was very white,
361440	363360	and she asked me what had happened.
363400	365840	If I'd hit somebody, had a wreck, I told her no.
365920	367880	And then I sent the children to bed
367880	370520	and over a cup of coffee,
370540	372340	I told my wife everything had happened.
372920	374960	She suggested we call the police.
375000	377220	I told her she wanted to call the police to go ahead
377220	377880	and she did.
378720	381020	As soon as she told the police what had happened,
381040	382840	they asked her to hang the phone up
382840	384760	and they would call her back shortly.
385400	387460	In approximately five to ten minutes,
387520	389120	they did call her back and ask her
390280	395880	I was in. I was nervous, frightened, sick for how I was acting. She told them that I was still
395880	403260	nervous but was calming down. They asked my wife to tell me not to worry that I had been the third
403260	411000	man on that highway that night that had been stopped by this vehicle and talked to. The two
411000	417960	other people I later found out by Mr. John Keel that they were truck drivers from Bellevue, West
417960	422960	were doing that they had stopped but when they reported this they asked that their names not be
422960	430420	released i know the men personally since that time and they are afraid of the publicity in their
430420	436580	positions they don't want to know was their experience with mr cold and this vehicle just
436580	441000	like yours yeah they came over to did they did they relate the same kind of story about the
441000	444700	communication that they communicated with you or with them rather than the same way they communicated
444700	450640	with you with that word they said that they seen the man's mouth move not at all they never heard
450640	456120	him speak any words at all audibly yet they this new call asked their name where they lived what
456120	461300	they were doing and the strange thing he asked each and every one of us if we worked for anything
461300	468640	or if we had to work for a living now now he is apparently apparently sorting out individuals he's
468640	473600	looking for somebody to take on the to take some place now what happened next when did you next
474700	480000	Now, the second contact that I had with Mr. Cole, I didn't see him at all.
480480	485760	I had another salesman in the truck, the same truck with me, driving along a different highway.
486480	490300	And I heard this voice or felt this communication.
490680	501300	And at this time, he asked me to keep control of myself, that he was actually speaking to me, not to be frightened, but he wanted to tell me a few things about himself.
501300	507140	At this time he told me his full name was Indy Cole, that he was married, had a wife,
507220	512880	Kemma, had two children, and said that the world that he was from was called Lanulus.
514080	514640	Lanulus.
515200	525040	And he told me that their world was similar to ours, very much like ours, that the people
525040	530980	in all of their history of their time, knowing time, there had never been a war of any kind
531800	534640	or any trouble on their world between the people.
535500	539140	He told me that there was different colored people on his planet,
539220	545020	but it was caused by either what the age or the climate in which they lived,
545720	547880	that they were all Lannulian people.
548180	550960	They were different colored, but still the same people.
551560	554360	And he told me at this time, he said,
554420	559480	we will meet with you personally, physically, and talk to you later.
561300	563700	We'll meet with you later and talk to you.
563760	565600	He asked me not to be frightened again.
565620	569260	He said, when I break contact with you, you will feel a distinct shock,
569900	572460	but there can be no harm come to you.
572980	574000	And I did.
574060	580320	It felt like something snapped close to your ear, and it was gone.
580680	584460	We want to have you tell us the story about this next contact
584460	587240	and where you went from there and what's happened since.
587460	588620	All right, I'd be glad to tell you.
588620	590660	We're talking with Woody Derenberger.
591300	594040	about a trip that he made to Langulis.
596360	598140	Woody Derenberger is with us this morning,
598220	600400	and we're talking about a trip he made on a UFO.
600560	602300	And also with us is Harold Hubbard,
602420	606820	who, with Woody, put together this book called Visitors from Langulis.
606980	609220	And when we left off just a moment ago,
610340	613720	we had come to the point where you were getting the second contact
614180	617080	from Mr. Cold, who was this humanoid figure
617080	623620	who came out of this uh this vehicle that stopped you on that road near mineral wells i don't
623620	629140	exactly like to hear him referred to as a humanoid figure because if you call him a humanoid you have
629140	636560	to call us a humanoid too because he is just as human as we are they there is a slight difference
636560	646720	in uh their blood but as i say they're 100 human they're 100 seen as we are for an example
647080	660620	They say that their religious beliefs are identical with ours, except they believe there is one God that created everything, and they have no different denomination.
661060	670660	But they believe in the same God we do, they worship God the same as we do, and they are more religious, actually, than what we are.
670660	676800	They contributed all of their knowledge, their learning, their dreaming, directly from God himself.
677260	680640	Now, you learned this from them after you made the second contract and went with them.
680740	682420	Well, tell us how that came about, Woody.
682520	687600	Well, about two weeks after my first encounter with this Mr. Cole,
688440	693040	I came home one night, approximately at 11 or 12 o'clock at night.
693260	699260	As I drove up into my yard, I seen two men sitting on the porch.
700660	706040	And when I got out of my truck and walked up, Mr. Cold, both the men got to their feet.
706260	710940	They shook hands with me, and this time they were talking just like we're talking now.
711680	713320	And we sit on the porch.
713360	714320	I asked them to go in.
714400	716700	They said they didn't want to frighten my wife or children.
717260	724660	But we sit on the porch at zero weather for approximately one and a half to two hours and talk.
724660	736880	At this time they asked me all about our way of life, how we lived, why we had our troubles here and how we handled them.
737340	740620	Of course I couldn't explain why we had so much trouble.
741140	747460	At this time he told me that, again, that on their world they had none of this trouble,
747460	754440	but they say that it was because they can communicate with each other so much better than what we can.
754640	765620	Because they use their mental telepathy, it's not a spoken word like we have to explain our every feeling and action to our friends,
766500	771680	but they can simply open their mind and let everyone around them know how they feel.
771680	781700	But he also told me that this is something that each and every one of us here on this world can also learn if we want.
781840	786260	That it's inherent in every man, woman and child, this method of communication.
787660	792360	And he talked to me this way for as I say an hour, an hour and a half, two hours.
792580	795040	And then asked me if I wanted to see their ship.
795500	800740	Now I had a large barn that set out approximately 100 yards from my home.
801680	808980	up behind this barn and the ship was sitting there. This ship, the only way that I can
808980	815180	describe it, if you've ever seen an old-fashioned lamp chimney, globe, they call them.
815360	818800	You mean shaped like this? One of those kind of arrangements like this?
818840	823140	That's right. That's a very good description. But it looked as though there were two of
823140	829540	those together, but it was flat on the bottom part of it. But they asked me if I wanted
829540	834400	to get on the ship at this time and i refused to get on it i was frankly frightened to get on it
835140	840440	but i asked him how fast they could move this ship if they wanted to and he asked me to watch them
840440	845360	he bid me goodbye told me he would meet me again and that both men got on the ship they closed the
845360	850080	door and one incident was sitting there the next instance they were just a faint like a spark
850620	856500	just blew into the sky and it disappeared completely and he later told me that they
856500	860340	They had complete control of gravity, the reason that they could move so fast.
861200	863060	But Mr. Cole did come back.
863080	866060	I don't think we'll have time to go into the full story,
866240	868820	but he did come back several times after this.
869120	873160	And on one of these meetings, coming from Ravenswood, West Virginia,
873340	875140	he asked me if I wanted to go for a trip.
875180	876100	I told him yes.
876620	878960	He told me where to drive to meet the ship.
879080	879860	I did drive.
879960	881100	I did get on the ship.
881100	889860	and at the first time that I got on the ship, he took me on a trip from this earth in one type of a vehicle,
889920	894100	straight up to someplace close to this vicinity with man.
894240	897640	Then we transferred into what they call the Starship of Lang,
897780	901560	and that's what the people of this earth are referring to now as the mothership.
902380	906680	The smaller craft that I was in went directly up and underneath of this craft,
906780	909360	and locked into position directly under it.
911100	916520	upward and we went into the mothership i met the whole crew and several hundred people that
916520	923340	were several hundred that was on this craft and they took me within approximately 50 to 100 feet
923340	930540	of the surface of the moon if you have read or seen me on television before you find out that
930540	935160	i did describe what the astronauts would find on the moon before they ever got there and it turned
935160	942420	out exactly as I said it would but I did see them and then they took me to their world that they
942420	948280	call landless at no time was I permitted to land on this first trip they took me close to the
948280	953460	surface of their world but I could see people I could see their buildings I could see vehicles
954260	959840	but I wasn't permitted to land they told me that I wasn't prepared to land that I would have to be
961440	966200	what I would call sanitized and inoculated and everything before I land,
966260	969360	but eventually I would be able to land on their world.
969720	975640	They brought me back home, and that was about all there was to that trip.
976160	977200	How long did it take?
977380	982260	Could you keep track of it in terms of, you know, our time?
982760	983720	Like how many days?
983740	986520	I would say on that first trip it was no more.
986600	989380	At the very greatest, I didn't look at my watch.
989840	995340	I never thought of it, but I would say it couldn't have been over two hours at the very latest
995340	997200	that I was going on the whole trip.
998300	1001500	That means that you're leaping over time in an extraordinary,
1001800	1006860	almost a way that transcends our grasp of what time is.
1007020	1012560	They say that they don't move in the speed in the way that we move.
1013240	1015660	We travel so many miles per hour,
1015660	1020640	But instead of this, they bend distance.
1021100	1024320	They do not bend time, they bend distance, space itself.
1025440	1029420	Like if you take a string, this end and this end, and bend them directly together.
1029800	1034140	If you would fit the switch, the end just comes together, and you're at that spot.
1037480	1040260	As strange as it seems, as hard as it is to believe,
1040260	1049440	these people told me that our government, our own government here on this earth, could travel at any speed, far greater than the speed of light right now.
1049500	1059480	They have the means, they have the ways, if they could control the gravity itself that would keep from crushing or disintegrating the objects in which our government would move.
1059560	1065120	They have the ways to move it, but they cannot control it. These people do have the way to control it.
1065120	1072820	Well, Woody, we haven't really gotten to the point where you actually went there and landed and talked to people on Lanulis.
1073160	1076180	But when we take this pause, can we come back and tell us a little bit about that?
1076220	1078580	And then we'll take some phone calls from some of our viewers out there.
1078680	1078960	Certainly.
1079100	1082580	And find out something about how you got the idea of putting the book together.
1082720	1082960	Oh, yeah.
1083700	1086740	We're talking with Woody Derenberger about his trip to Lanulis.
1087120	1089420	And we'll be back with him after a Who's That contest.
1089540	1091300	And we'll be back with Rose, who has the news.
