start	end	text
0	2680	Previously on Area 52 Investigations.
2700	7140	So when I had my out-of-body experience, it was terrifying.
7520	10620	It was time to head back to Virginia.
10840	14420	The one main thing I got from the out-of-body experience
14420	19400	is the absolute knowledge that I would transcend physical mortality.
20180	23600	Over the next few days, we'll be going through a process called entrainment.
23700	26320	And suddenly I realize that I'm standing behind myself.
26560	29180	The first one we end up learning is Focus 10.
30000	32060	I refer to this as mind awake, body asleep.
32320	35580	And I felt my body lighter than before.
35920	40900	We then moved on to focus 12, which represents a specific state of expanded awareness.
41320	46500	I sincerely felt like there was a truck driving, you know, on the property, like a Mack truck.
46600	51440	I saw myself sitting on this balcony, staring out at nature.
51580	54280	So it looked like this, like a scoreboard.
54620	55780	It's on my mind.
55840	56800	Normally it wouldn't be.
56800	63280	So somehow you journeyed through at least a part of my mental bubble and picked up that part.
63540	67180	This session, ladies and gentlemen, is about leaving the body.
70320	76080	If you're interested in being a part of these investigations, you can become an intern at Area 52 by joining our Patreon.
76360	83900	For just $5 a month, you can browse through hours of unseen content, uncut interviews, and enjoy early access to every video.
83900	99920	You will also be granted special permission to access the top secret clearance section of our rapidly growing Discord community, which includes weekly events like Q&As with special guests, movie nights, and above all, you'll be tasked with important missions which will help us with our investigations.
100440	102100	The link is in the description.
102380	104560	And now for part two of the Gateway experience.
104560	117780	After having multiple out-of-body experiences which led me to the Monroe Institute, I began the gateway process and started noticing physiological and psychological symptoms associated with the technology used within the Monroe Sound Science.
118080	127120	And hearing first-hand accounts of similar out-of-body experiences from the trainers and participants, I realized that my psyche was getting primed for something to happen.
127520	133320	And just as I thought the week couldn't get any better, we were visited by a familiar face.
134580	137580	Monigal, Remote Viewer 001.
138200	139020	How did it go?
140700	142280	What a nice surprise.
142660	143920	Yeah, it was really nice.
144120	148400	I was going to have to then, you know, give an intro on what Remote Viewing is and where it's coming from.
148520	149740	Maybe you want to do it in December.
149740	156260	Yeah, Remote Viewing came about because we found out that the Soviets at the time,
156360	159880	they were using a group of psychics.
159880	167600	They basically released a study that they did on mice to show that psychics could target the mice,
167820	172120	then they had to raise their anxiety to a point where it would cause physical harm.
173280	179740	In other words, in humans, they expected to be able to produce strokes, heart attacks,
180200	184900	high anxieties, so the decision-making was corrupted to some degree.
185400	189420	They did that three times, and outside of one house care, it worked.
189880	194040	So they leaked that to the West and Congress went mad.
195700	198220	If you're interested in hearing more of what Joe was talking about,
198360	201940	I would suggest checking out our previous investigation on Project Stargate.
202140	202800	Good morning.
203060	206080	Day, was it day three, day two?
206320	209360	I guess it's, is this day two?
209900	210500	Hold on.
211960	212960	This is day three.
213320	213800	Wow.
214240	215060	Everyone's in agreement.
215140	217760	Time has a way of messing with you while you're here.
217760	219860	and I think one of the reasons for that
219860	221740	is because you're in and out of consciousness constantly.
221920	224480	So every time we're done with a session,
224600	226640	we wake up, we kind of wander around,
