start	end	text
2200	9320	In 1943, 17 people of highly strange appearance were brought to Los Alamos.
9680	11540	They all looked very much alike.
12400	18100	Around five feet in height, hairless, with enlarged heads and oversized eyes.
18780	21960	They were brought to the base in a covered army vehicle.
22980	28860	Suits seemed to be almost alive or had an inbuilt memory.
30180	40200	Blood was extracted, skin samples were taken, and several of the beings were used in radiation experiments and bacteriological warfare tests, a controversial new field of science.
41420	49040	Whatever these creatures were, they hated us to a truly profound degree.
52920	57000	About September 2005 in the summer, about 4 in the morning,
57980	61180	Highway 183, North Brownwood, Texas,
62280	66060	right by the blanket cutoff past the airport on the right,
67060	74060	seven large rectangles, yellow, appeared above everything.
75400	77400	And I stopped my truck, got out.
79040	84140	was mesmerized. Tried to take a picture and when I got my phone out, it disappeared. And I was
84140	92620	shocked. My friends said they saw it on Facebook, but it was in Stephenville or something. And I
93220	99860	didn't tell anybody else because I felt stupid. Ladies and gentlemen, welcome back to another
99860	105360	episode of Debriefed. My name is Chris Ramsey. And today we're going to be taking a bit of a
105360	112340	dive into a rabbit hole that I consider extremely tantalizing. This comes from the suggestion of my
112340	117420	friend, Michael Phillip. He is the host of the Third Eyedrops podcast. You guys should check it
117420	123060	out. I've been on his podcast, I think probably close to half a dozen times. Love the guy,
123260	127460	great content. And if you're into like consciousness-based stuff, I definitely
127460	133060	recommend checking him out. But he texted me the other week and he's like, dude, you should read
133060	140780	chapter five of this book I'm reading, it is right up your alley. And boy, was he right. I skimmed
140780	146660	through it and I was like, this is exactly what we should be looking into. So the book is The NASA
147140	151620	Conspiracies, The Truth Behind the Moon Landing, Censored Photos, and the Face on Mars by Nick
152180	158420	Redfern. Now, some of you may know of Nick Redfern. He is a very popular author, author of
158420	163540	a dozen books, I don't know, maybe more. He's definitely someone who hangs around the fringe
163540	170140	side of theory, something I can definitely appreciate. But by no means take this as the
170140	176880	gospel or the truth. As with every dive we do here, I highly recommend that you take your
176880	182520	disbelief and you suspend it. In fact, suspend both the belief and the disbelief. Leave everything
182520	190240	everything in a quantum field of suspension it'll be waiting for you when we get back because as you
190240	196620	know belief often gets in the way of a good story and boy we got a good story for you today also
196620	203800	check out area52.shop we have replenished lots of the things in there including the graphic tees
203800	208300	which are flying off the shelf if you do enjoy these read-throughs you might be familiar with
208300	214080	with Errol and the alien interview featuring this little prison planet convict.
214360	216420	Well, we put her on a t-shirt.
216480	219920	We got a few different models for men and women.
220080	223520	We also have the famous lizard from Lucertophiles,
223600	227220	and of course the men in black, and those are available at area52.shop.
227260	228900	Folks, we paid the bills.
230420	232480	Let's get into reading this.
232520	234500	This is going to be chapter five of this book.
234540	235940	If you want to pick it up, I left the link below.
235940	241080	Special thanks to Nick, although, you know, we didn't get permission to read this.
241160	246540	Hopefully he's okay with it because this might just interest a lot of you to pick up his work.
246800	248260	So thank you, Nick.
249780	255100	Also, fun for me to just be able to read a book and not print out documents or like scour the internet.
255260	257820	Just I'm very used to holding books.
258020	259200	I enjoy reading.
259280	260460	So this is a lot of fun for me.
260520	261500	So folks, it begins.
261620	265420	Chapter 5, the Area 51 Connection.
265940	283280	The following startling account of John, born in Bloomington, Minnesota, a man who served from 1948 to 1959 in the New York Police Department, has a major bearing upon the work of NASA in relation to ultra-secret data on UFOs and alien beings.
283280	296740	His account also offers intriguing data suggesting a connection between NASA and secret UFO-dominated projects undertaken at the infamous Area 51 installation in Nevada.
297120	300980	And probably adjacently to S4 as well, is my guess.
301880	310060	The author, Nick, then gets into how he met this quote-unquote whistleblower and what his word actually means here.
310060	316880	I first encountered John in the latter part of 2005, after he read my book, Body Snatchers in the Desert.
318000	324940	The book was a study of the notorious UFO crash at Roswell, New Mexico, in the summer of 1947.
325760	330860	Body Snatchers, however, took a distinctly different approach to its subject matter,
330860	336640	and was focused upon allegations that the Roswell crash had far less to do with aliens
336640	341340	and much more to do with secret high-altitude balloon experiments
341840	346940	using Japanese prisoners of war and physically handicapped people.
347360	353340	Quick side note, Annie Jacobson also has work on this particular theory.
354080	357400	Not an uncommon theory in the UFO scope.
357500	360380	I'm one to entertain all sorts of theories, by the way.
360860	366100	is one of the wilder ones. Essentially, the one that Annie Jacobson talks about, that this was
366100	374500	actually from the Germans, that they sent some mutilated experiments on a craft and then had
374500	382900	it crash into the United States to, I don't know, end up seeding some type of PSYOP or what have you.
383340	389100	Frankly, I think aliens is probably more probable for some reason, but what do I know?
390860	397900	When John contacted me, he explained that during the course of his work with the U.S. intelligence community in the early 1970s,
397920	403500	he came across data that seemed to dovetail with some of the material contained in my book,
404320	407760	concerned by the possibility that if he spoke on the record,
408520	413880	he might very well lose his pension from his former employer, Wackenhut.
415220	423120	John agreed to a somewhat off-the-record interview, which was conducted in 2006 and reveals the many twists and turns of his story.
424020	426880	So who or what is Wackenhut?
427460	429000	Let me fill you in real quickly.
429140	441420	Wackenhut is a private security company that's been contracted out by various factions of the government, but mainly highly sensitive compartments of the government.
442040	456900	So in UFO lore, it's frequently mentioned as providing security at secret bases like Area 51 and being involved with underground facilities or UAP research through alleged ties with defense contractors such as SAIC, Science Applications International.
457020	464460	If you want to know more about that, check out UAP Gerb and his channel. He's got a lot of information on the legacy stuff over there.
465240	470300	So this guy apparently works for Wackenhut. All right. Interesting.
471420	477880	John stated that from the latter part of 1957 until the early months of 1958,
478320	484240	he and a number of police colleagues were tangentially involved in an FBI undercover operation
484240	492960	to try and locate and arrest a Soviet spy ring that was believed to be targeting and infiltrating a U.S. defense-related company in the city.
493520	500160	It was suspected that someone within the company had been compromised by the Soviets, although this was never ultimately proven.
501420	506480	were involved because the compromised individual had also suspected links, which again were never
506480	513420	ultimately proven, with a money laundering mob-based operation. John explained that arrests
513420	520160	of several Soviet citizens were made in connection with this particular operation, along with at
520160	525140	least two American citizens, partly as a result of his involvement in this operation and also
525140	529040	also because he was possessed of a very ambitious character.
529420	533360	After leaving the New York police, John was involved in additional work with the FBI
533360	539960	and began in late 1959 and continued, albeit sporadically, until October 1970.
541260	545460	John declined to describe fully the nature of his work with the FBI,
545540	551460	but stated that it centered upon Soviet attempts to obtain classified files of an intelligence,
551460	556900	military, and defense nature from within the borders of the United States.
557100	561600	So, your typical anti-spy guy, John, apparently.
562080	563900	If that is your real name.
564100	569160	But in July of 1970, John was approached by several of his old colleagues
569160	573520	and was duly offered a very lucrative position within Wackenhut,
574400	577780	a company that came into being in 1954 to this day,
577780	584040	albeit now under the control of Danish organization group 4FALC, which obtained Wackenhut in 2002.
584400	593520	Indeed, as far back as 1964, Wackenhut was providing welcome security at NASA's Florida-based Kennedy Space Center.
594020	598420	John began working with Wackenhut in December 1970, and in February 1971,
598420	604000	was asked if he would be interested in doing contract work for a certain,
604100	610080	highly secret arm of the U.S. intelligence community operating out of Nevada.
611140	612120	Bum, bum, bum.
613540	616960	John was advised that the salary would be very good indeed,
617720	620100	that the contract would be for one year only,
620920	625160	that the work would ensure for him very significant contracts within the intelligence community,
625160	629320	and that it would position him very well for future career prospects.
629820	635200	After speaking with his bosses at Wackenhut to secure their opinions and thoughts on the matter,
635280	641240	who all strongly urged him to accept the job, John did precisely that.
641360	648980	And as would most people in his position, I assume, I assume when you're left with a dangling carrot in front of you,
649080	651840	often you'll begin to chase said carrot.
651840	658360	it. John said that on accepting the new position, he was very soon subjected to a stringent background
658360	664740	check and was interviewed on six occasions, twice by NASA security personnel, twice by the
664740	672920	representatives of an unnamed agency, once by someone who identified himself as working for
672920	679700	the National Security Agency or the NSA, and once by former senior colleague at the FBI.
679700	696320	The results of the interviews were apparently satisfactory, and John began working in April 1971 at the location in Nevada that he later came to realize was none other than what today is infamously referred to as Area 51.
697040	702140	John revealed that a part of the reason he was given the posting was that, as a bachelor,
702380	709960	he could remain on base for 27-day stints at a time as required and could then return to Las Vegas for only three or four days,
710120	715480	depending on whether there were 30 or 31 days in the month, before returning to the secret location.
716780	722340	This, John said, would not have been the ideal situation for a married man or someone with children.
722340	726280	children. Notably, John was willing to admit to me that those involved in the security
726280	732060	screening process knew that while back in Las Vegas, John frequented high-priced prostitutes.
732700	737500	But this was not seen as problematic to his posting at all. Rather, the fact that John
737500	742940	has no family ties whatsoever was perceived as a bonus when it came to maintaining security
743640	746580	out of Area 51. As John said,
746580	752160	said, even if I'd said something to a hooker about aliens and UFOs, which I wouldn't have done
752160	757620	anyway, who was going to believe them? Well, all right, we're getting a little bit of a glimpse
757620	764500	into the psychology of said, you know, whistleblower, John here, might be the very reason
764500	768520	he doesn't want to use his name, might not be all the NDAs and contracts that he signed,
768600	774440	but maybe just the, you know, amount of prostitutes that he threw money at. Their whole
774440	780400	modus operandi of these, whether it's the CIA or whether it's the NSA or whoever it is,
781180	787020	is to make sure that you got a stable home life or better yet, like in this position,
787160	793880	that you have no home life whatsoever. I would also argue that to counter that,
794620	802260	if you were to hire somebody, say from Utah, who's out there by the test range that's out in Utah,
803700	809460	Dugway. Well, it goes without saying that a lot of people in Utah are Mormon. A lot of Mormons
809460	818660	have large families. I think for the opposite reason, you could hire people with large families
819760	826900	as it provides a lot of collateral for the threats that would be imposed to the people
826900	833600	working there, i.e. if you don't do what we say, you know, fill in the blanks. So both could be
833600	840500	true. I'm not against that. I think it's an interesting thing to note and a fun little
840500	849160	anecdote. Okay. John was always flown both into and out of Area 51, a small aircraft, usually a
849160	854400	Cessna, along with three colleagues whom he got to know very well in the one year they worked
854400	860600	together. There were blinds on the windows of the craft that had to be pulled down after takeoff
860600	866840	from Las Vegas and that had to remain pulled down after landing too and upon landing at Area 51
867540	873800	everyone was required to put on a pair of goggles. These were not normal goggles however, in fact,
873820	879260	they were quite unlike any that John and his newly found friends and colleagues had ever seen before.
880560	890140	The goggles had no split lenses, not unlike bifocal glasses, and the top section was so thick that it prevented any effective vision.
891420	894900	And all that one could make out was a vague blur.
895240	899340	Alright, so just enough for you to like maybe see where you're going.
899820	907420	The only part of the goggles that would have been seen through with any real effectiveness was a small section at the bottom of each lens.
909260	916040	result, the wearer was forced to look only in the direction of the ground and their shoes to see
916040	922700	where they were going. This was without a doubt done deliberately. John stated to ensure that the
922700	927500	person wearing the goggles was unable to make out the particular details of anything that he might
927500	933800	inadvertently view on the base, in which he did not have official clearance to see. The group was
933800	939500	was always guided to a bus, again with blacked out windows, and was then driven for a few minutes
939500	945180	to yet another location. When getting off the bus, they were still required to keep the goggles on
945180	951560	and were directed to their place of work. Fascinating. Fascinating, fascinating,
951680	958080	fascinating. I have never heard of these goggles before, but yeah, why wouldn't they have something
958080	978620	Some type of blinders for humans, because you hear a lot of stories of whether it's Bob Lazar, whether it's some other whistleblowers that came out during Stephen Greer's Disclosure Project, who even said that they were, you know, at gunpoint told to look at the shoes of the person in front of them as they were walking.
979240	980780	Goggles makes it way easier.
980960	986060	You'd think that this would be just common practice for anyone walking around these places.
987020	987880	Very cool.
988080	990900	Very cool piece of lore that I didn't know about.
991900	997960	The location in question was a small concrete building approximately 60 feet square.
999360	1001820	Security at the door was stringent, John added.
1002200	1005560	Upon entering the building, which was simply a bare concrete room,
1006340	1008200	he was finally allowed to take off his goggles.
1008320	1011340	He viewed two things only, the entrance to an elevator
1011340	1014300	and a concrete staircase that only descended.
1014300	1022380	Sometimes, John said, they would enter the elevator and sometimes they would use the staircase to descend the two floors to their place of work.
1022640	1028080	He had no idea at all what work was carried out on the first floor below the surface.
1028480	1033620	On arriving at the second floor, there was a second rigorous security screening procedure,
1033920	1040140	a procedure that would follow every time he returned to the base after his three to four days back in Las Vegas.
1040140	1057940	He recalled that after passing through the second security screening, he entered via a large pair of thick metal doors, a long corridor that was around 180 feet in length, and that had six doors leading off it, three on the left, three on the right.
1058840	1066420	His office was the second on the right, and it had a simple lock, identical to a standard lock on the front door of a typical house.
1066420	1076220	house. Now, you know, my mind immediately goes to, is this S4? Is this one of those little shacks
1076220	1081520	near, you know? I mean, you'd imagine that out there, most of that stuff's underground anyway.
1081640	1088860	So whether it's S4 or S2 or what have you, pretty interesting that we might be getting a sneak peek
1088860	1095200	into some of the ongoings. John was directed to his new office and was given an initial briefing
1096420	1098360	all displaying official NASA credentials.
1099040	1105100	He was advised that the location in which he would be employed was officially classed as the History Department.
1107000	1111640	The three NASA men relayed to John that the overall location at which he was working,
1111780	1115820	he says that the term Area 51 was never used during his employment there.
1115900	1119920	It was only years later that the term became widely used and known to him,
1119920	1132580	was involved in the development of prototype and radical aircraft, biological warfare agents, chemical warfare technologies, and exotic weaponry and something else in quotations.
1134440	1138580	All right, something else. We like something else.
1140040	1146920	That something else, John said, was research into things that had happened in the 1940s.
1146920	1149520	Well, by God, I think we know what we're talking about here.
1149920	1156200	It very soon became clear to John and his colleagues that they were being employed as custodians of historical files on these subjects,
1156540	1162020	files that would from time to time be required by base employees during the nature of their work.
1162380	1171360	John stated that there were three reasons, and three reasons only, that the files of which he was the custodian were ever accessed by anyone.
1171360	1179420	one. Number one, on a regular basis, scientific personnel would require access to the files as a
1179420	1185360	part of their work. Two, the files would be used to brief new employees to base if such things were
1185360	1191100	deemed necessary. Three, there would be regular random checks on the part of security personnel
1191100	1195960	to ensure that all of the files were present and had not been tampered with in any fashion.
1196980	1205520	Okay. Very cool. Very, very cool. Again, I'm reminded of Bob Lazar being briefed. You know,
1205540	1209040	he had a stack of blue files. I wish we knew the color of these, by the way, but
1209040	1214660	regardless, a stack of blue files that he was presented upon his briefing.
1215580	1220960	And the guards there, the security guards were very strict. Could these security guards all
1220960	1229240	all have been Wackenhut. Could Bob and this gentleman, John, here, have looked at the same
1229240	1237220	exact pieces of paper? Very interesting. I love the idea of thinking that these worlds are
1237220	1243720	connected and that, although this is 1970, almost 20 years prior to Bob Lazar visiting,
1244880	1249840	still interesting to think that, you know, maybe they still operate in the same way.
1250960	1254140	According to John, the priceless documentation was never allowed out of office,
1254220	1261300	and the briefings for new personnel were always conducted inside the confines of his office by a four-person team from NASA.
1261560	1265380	And if anyone ever needed to access the files as part of their work,
1265560	1270480	they would have to make pencil notes from the files, and pencil notes only.
