start	end	text
0	6080	In 1940, seven years prior to the crash in Roswell, New Mexico,
6340	10640	Udo Wartena reported an encounter in the Montana foothills
10640	15120	that predates nearly all modern UFO cases.
16220	20400	Wartena was a Dutch migrant who lived a steady practical life in the United States
20400	25240	as a hydroelectric plant operator, mining engineer, and prospector.
25320	29720	He was also quite religious and known for being quiet and dependable.
30000	35500	Late in his life, he shared a handwritten manuscript with a small group of his friends, describing an encounter.
35860	40700	That document is the source of everything we know about what had happened.
40880	44080	The encounter happened while he was inspecting an old mining claim.
44400	50660	Wartanis said he came across a disc-shaped craft in a clearing and saw two beings associated with it.
50760	53520	He described them as fully human in appearance.
53880	58380	And you guessed it, tall, blonde, muscular, and calm.
60000	64180	spoke to him in clear, deliberate English, while the other remained inside the craft.
64520	72380	Mortenus said the interaction was a conversation. No abduction, no missing time, no weird experiments,
72660	79660	no little green men, no gray men with giant eyes. He described speaking to two human-like entities
79660	87360	directly about who they were, why they were here, what they wanted, and how their technology
87360	93860	technology operated. This is, at its core, a documented conversation with an alien. Years
93860	100980	before Roswell, and years before any established UFO narrative existed. Let's take a closer look,
100980	109360	shall we? Hi there. I'm not going to give you my name. I'm an airline pilot. I used to fly for an
109360	115600	airline that did a lot of DOD charters, and one of these charters frequently would go to Gitmo.
117360	121540	a different charter, but the captain had just did a trip the week prior to out of Gitmo.
122220	128760	And we're sitting in cruise, the plane's empty. We're not really doing much. And we start
128760	134680	talking bullshit. And he's like, oh man, he's like, you guys see the UFO video. And I'm
134680	140520	like, what, what UFO video? What are you talking about? And he calls up one of the flight attendants
140520	146660	and he's like, yeah, yeah, look at this. This is a real thing. So we get together. They
148360	154680	and they, on the video screen, it's like, it's kind of zoomed out, half zoomed out.
154720	160180	The depth of field is hard to see, but there's something traveling along the water.
160960	165400	Ladies and gentlemen, welcome back to another episode of the Area 52 Podcast,
165900	167160	otherwise known as Debrief.
167220	172620	My name is Chris Ramsey, and today we're going to be taking a look at one of my favorite types of read-throughs,
172620	176300	basically a conversation with an extraterrestrial being.
177360	189940	This one, particularly special, as you've seen in the intro, is that it happened seven years prior to what seems like the genesis of modern UFO interaction, Roswell, New Mexico crash.
191000	204940	This is from a prospector, a religious person, somebody who's very sort of humble and calm and quiet, and later in his life shares this manuscript with his close friends only.
204940	224740	I hadn't heard about this case and it sort of popped up in my feed somehow and I was instantly drawn towards it because not only are we going to be talking about these humanoid figures, which seem to crop up a lot, mostly after 1950, never before, which is interesting, other than possibly the magenta crash in 33.
224740	235120	But what I find most fascinating about this is this gentleman never went on a convention circuit, never sold a book, never tried to publicize this.
235200	237120	In fact, never went public at all.
237260	242480	And I think that's where a lot of the credibility for me lies.
243920	246520	Now, this gentleman sadly passed away in 1989.
246580	251560	But before that, he gave his manuscript to his close friends and family.
251560	260080	And there was also an interview done with one of his close friends who is not a UFO researcher and not a, you know, not somebody who believes in this stuff.
260120	263340	But a close friend of his took notes about their conversation.
263800	266220	His name was Tim Grosnickle.
266300	268980	And we have also his transcript.
269040	272220	And all of this is courtesy of James Thompson.
272220	292100	So James Thompson put out a book in it has a bunch of different cases around Area 51, around UFOs, around alien interactions. And we're pulling chapter, I guess, chapter six or something like that of his book. I'll leave the link in the description if you want to check it out for yourself.
292100	316540	But in there is the verbatim transcript of not only his manuscript, but also the subsequent interview. And this was first published, I think, in 2013, 2012, 2013. Prior to that, the only public knowledge that was available was through a gentleman, a UFO researcher, Warren P. Aston.
316540	321180	He had a symposium in Australia in 1997, and there's a video on that.
321640	325160	You can watch that. I'll leave the link to that one as well below.
325360	331200	But he presented the analysis of the 1940 Udo Wartena case.
331940	336780	And this kind of blew everyone's mind, projected it into the spotlight once again.
337340	345900	Although it did crop up in newspapers here and there, this was widely overlooked, I would say, in the UFO space, even to this day.
346540	360700	And so, you know, here at Area 52, what we like doing more than anything is shedding light on some of these more, I guess, niche interactions and encounters, the stuff that sort of flies under the radar.
360860	363360	And that's exactly what we're going to be doing today.
363420	374280	But folks, right before we get into all of that, I want to announce something incredibly exciting and very special to me, very near and dear.
374280	377240	We interrupt this broadcast for a very important briefing.
378740	381780	You've been selected purely at random and definitely not monitored
381780	386040	to attend a routine informational briefing regarding odd happenings across the globe.
389040	391300	There's absolutely nothing unusual about this.
391480	392940	That's right. It's probably nothing.
393120	396940	Agents Ramsey and Michaels will embark on a perfectly ordinary North American tour
396940	402840	to discuss strange sightings, testimonies, and evidence that will force the government to say...
404520	408960	Each evening sessions will feature expert analysis, audience interrogation,
409040	411860	and at least one moment where you turn to the person next to you and whisper,
412600	419420	well, but rest assured, it's probably nothing. Should you experience confusion, excitement,
419640	427240	or sudden clarity during the show, do not worry. It's probably nothing. Whether you're a believer,
427380	432180	a skeptic, or simply dating one, your attendance is highly encouraged and statistically safe.
432180	439800	So if you're in Austin, Texas, or in Montreal, Canada, go to itsprobablynothing.com to secure your seats today.
439940	446880	And remember, crash saucers, mysterious abductions, nuclear flyovers, it's probably nothing.
456280	458460	Now back to your regular scheduled programming.
458460	478380	There you go, folks. We are officially going on tour now. If all goes well, we'll be hitting North America, probably up and around 20 to 30 cities is the idea. And we're going to be taking the show on the road, filming the entire thing, meeting you guys in person.
478380	480280	And I'm super, super stoked for this.
480660	484260	Incredibly nervous because I hope it sells some tickets.
484340	488260	It'd be weird to sit in one of these big theaters with, you know, a handful of people.
488340	492360	But alas, that is the risk I'm willing to take to hang out with you.
492440	497140	So if you want to check out the first two shows, links below.
497620	499400	It's probably nothing.com.
499760	502780	And you can buy your tickets for either Austin or Montreal.
502780	505800	I am incredibly excited for both of those dates.
505820	507260	I can barely contain my excitement.
508380	514000	Keep you updated with, you know, more news about the event as it unfolds.
514000	518880	But do rest assured, a lot of those tickets are going to go fast, especially like the VIP packages.
519300	521120	So check them out as early as you can.
521460	522280	Appreciate you.
522520	523040	Okay.
523220	523860	All right.
525400	531020	Like this video, subscribe, hit the notification bell, and we just paid the bills.
531240	536440	Let's get into reading this incredible encounter by Udo Wartena.
538380	544660	is from James Thompson. This is the full publication of his encounter or his. So James,
544760	552400	I think got his hands on the official manuscript and that's what this is here. But also what we're
552400	559400	going to be doing, I do have a case that is slightly related to Wartana's, one of the many
559400	564080	pieces of information that Wartana gives. And I've printed that out as well, because I want to read
564080	571500	through that with you guys. Now, it should be noted, I did not read through this thing. I read
571500	577860	the cliff notes of the case. But when it comes to the conversation, I'm completely in the dark.
