start	end	text
0	7260	Folks, it isn't every day that the Department of War in the United States releases files regarding UFOs.
7260	24940	As of 8 a.m. this morning on the 8th of May, 2026, there are currently 17 pages of links, documents, files, photos, and video evidence of UFO, UAP, and anomalous phenomenon.
24940	31300	This includes technical debriefings done by Apollo astronauts and pilots.
31620	38120	This includes cases like those of Lonnie Zamora in Socorro, New Mexico in 1964.
38700	48460	It also includes cases like the Kenneth Arnold sightings, which were made famous because they happened actually prior to Roswell in 1947.
48460	67160	But among all those amazing files, which I have to sift through that were released to us from the FBI and different departments within different agencies in the United States government, the most interesting of which currently that are bouncing around the Internet are the videos.
67420	74400	We're going to be looking at every single video in this UFO release starting now.
74540	77400	Like this video, subscribe. Let's get into it.
78460	86360	U.S. Department of War website. And as we scroll down, we'll find ourselves the 17 pages. Now,
87040	91880	look at all of these links. These are all FBI links. They are in ascending order. So they begin
91880	100060	here, the earliest of which I think around 19 in the 1940s, and then go all the way up to 2026.
100440	108440	And those are the videos that we'll be looking at. I don't normally do these type of videos. I
108460	113560	important here. These are all files. I'm just going to go through them one at a time. Now,
113580	117800	I was looking through them this morning, and I found some really interesting
119520	123220	things. Nothing about Roswell, nothing about the Aztec crash. And in fact,
124020	128520	there's a lot of missing time on these files, but I do appreciate that we're getting something here.
128520	138900	here. PDF, PDF, PDFs, PDFs, PDFs, more PDFs. These are things that we'll have to look for
138900	146080	eventually. But here we go. We start getting into the videos as of page nine. So the first one we
146080	151560	have here, this is the United States Central Command submitted a report of a non-identified
151560	156080	anomalous phenomenon to the All-Domain Anomaly Research Office, AERO, consisting of 10 seconds
156080	161700	of video footage from infrared sensor aboard US military platform in 2022. Here it is.
164940	169360	So we have what seems to be this slow moving object moving across frame now.
171220	176480	That's it. You know, what is that? Your guess is good as mine could be a balloon,
176980	182460	could be anything. Obviously, I don't think that that one is going to break the internet anytime
182460	187980	time soon, especially because everything is censored and it's only 10 seconds of footage.
188160	193200	So we go to the next one. This one here, this is at the five second mark. The video depicts an
193200	198600	object moving from right to left across the top right quarter of the sensor field of view.
203560	208240	Top right corner. We're looking over here. There we go. That was it.
212720	236340	It is very fast. And because the camera is stationary, we're not necessarily observing like some parallax effect. Now, is this a small object close to the lens appearing to move fast? Or is this a large object moving faster? Yes, it is as good as mine. I would probably opt for the former in this case. You know, usually the mundane explanations are the correct ones.
236340	239080	but that was taken in Syria.
239280	240280	So interesting.
240560	243400	These war-torn countries specifically seem to attract
244160	248380	some of this, you know, activity.
249380	250180	Here we go.
250300	252120	This one, video description.
252300	253820	The video depicts an area of contrast
253820	257260	moving from the bottom left to the top right corner
257260	258520	of the sensor field of view.
258580	259720	At approximately six seconds,
259760	261800	the area of contrast leaves the sensor field of view
261800	263520	near the top right corner of the frame.
263640	263980	Okay.
266540	267380	There it is.
272200	280040	That is an interesting one because this one does seem to move a lot faster than you would expect a balloon to move.
280220	285240	It doesn't seem to have any sort of fluttering wings like we would see on a bird.
285780	287620	Now, could that just be a drone?
288820	295300	I would say my guess would be drone, if not a UAP, which they probably assumed as well.
296320	304260	Iraq. Here we go to the United Arab Emirates. And this one here from zero to 17 area of contrast
304260	309180	remains generally within the top left quarter of display. But the sensor pans from right to left,
309240	314660	causing the area of contrast to pass through the sensor. Okay, sensor pans to the right. Okay,
314720	320260	the sensor stops tracking. Let's just watch the video here. Oh, it seems like can we download it?
320260	336960	Oh, you can't download it. Okay. It seems like some of these have been pulled from the site already. Very, very interesting. Okay. So that one's a no-go. The UAE, nothing to see here. And this one as well.
338900	342460	So two videos in the UAE are completely censored.
342500	343820	Let's go on to the next one.
344220	348520	Okay, and yet another one from Greece.
349760	352740	And yet another one from the Gulf of Oman.
353060	353520	Huh.
353980	355920	Folks, stay tuned to the end of the video.
356140	362580	These videos actually end up coming back on the site, and we look at them, and I review those.
362720	364580	So make sure to stick around until the end.
364620	365960	They are pretty interesting.
366960	371020	you here and we're looking at things online, I would also encourage you to go to this website.
371300	379480	It's probably nothing.com. This is my live show spent lots of lots of time putting this tour
379480	388940	together and making it everything that I could possibly want in a live show from the set design
390020	393540	that took forever and that cost a lot of money to build
394800	397400	to the guests that'll be appearing.
397580	400140	We have some really, really special guests
400140	402060	joining us for this tour.
402240	404720	The co-hosts as well that will be joining us
405660	408220	are some of the best people in this space,
409120	410240	recognizable faces.
410580	413260	And the experience itself of these live shows
413260	417500	is unlike anything I think you've ever gone to.
418940	424600	is so special, especially when people, especially the people who watch these videos, you can't talk
424600	431140	to anybody about this stuff. Like very more and more, I think it's becoming a thing that you can
431140	435500	talk to people about. But for the most part, this stuff is still kind of in these niche
435500	443700	pockets. Except when you go to events like this, there's such a special energy.
444900	447380	and I call it collective effervescence
447380	449080	because that's kind of what it is.
449160	449960	It's this excitement,
450640	454740	this energetic sort of positive polarization of people
455740	457880	that come together over something
457880	459080	they're very passionate about.
459200	460800	And we laugh harder.
461180	462400	We cry harder.
462660	464060	We have a better time.
464240	468000	It is such a fun and memorable show.
468220	470440	I really, really encourage you guys,
470480	471020	if you can,
471660	473540	if you can afford the ticket
473700	476120	or if you can afford calling the babysitter
476780	479040	and renting a hotel room and all that stuff,
479160	480240	but make a night out of it.
480380	482380	And if you're coming alone, check out the Discord.
482840	485260	We got a channel for each one of the shows,
485360	486220	each one of the venues.
486940	488780	And people who are just going alone are like,
488860	489700	hey, anybody else going?
489780	490480	They're doing meetups.
490600	492820	It's a really cool community.
493120	494260	All right, I'm going to stop talking
494260	496580	and pushing my own live show,
496660	497820	but I think it's really relevant,
497960	499720	but it's also probably nothing.
500140	500940	But here we go.
501160	502380	We're in Syria now.
503700	509360	an indistinctly shaped multicolored area that moves from the right to the left across the top
509360	513800	edge of the sensor display within the first few seconds of the video. And this is from a full
513800	520000	motion video FMV camera aboard a U.S. military platform in 2024. Described the UAP consisting
520000	528880	of a misshapen and uneven ball of white light and reported that the light slash glare halo effect
528880	531860	occurred at the top view of the FMV feed. Let's have a look.
535360	539520	That's it? What is that? Did you catch that?
543260	553600	I mean, to me, that seems like almost some type of lens flare.
553600	563360	air. It's moving erratically. I will agree. Also notice the dogs down here or the animals down
563360	568920	here. I don't know what to make of that. Honestly, not that impressed by that one either. Let's go
568920	573620	to the next one. That one was in Syria. We have another one from Syria, also October in 2024.
574080	575700	Is this the same footage?
579520	588720	Whoa. Now again, okay, let's read let's read the description here. Again, the must the misshapen
588720	597020	and uneven ball of white light. So this is the same type of thing. Look at the top of the frame
597020	597320	here.
601300	603020	That is very strange to look
603020	603720	at, I will agree.
605900	607120	Like a UFO
607120	608920	sort of coming into existence.
610560	611140	Don't know
611140	613040	what to make of that. Can that also be a
613040	613660	lens flare?
615080	616800	Light does behave in mysterious
616800	617820	ways, folks.
620340	620820	Alright.
620920	622620	We're going to the third one from this
622620	624440	same time frame here.
626400	627360	what is this
630320	636140	that's it that's what we get what is that semi-transparent irregular shaped orange areas
636140	641620	overlay the background imagery persisting for less than two seconds this that's it okay hold on
641620	649520	full motion misshapen uneven ball of white light okay so this must be a different so what we're
649520	655120	getting here it seems to be like three different vantage points of the same anomalous activity
656220	662960	i don't know if that red means that it is giving off a heat signature i don't know what that means
662960	669900	why there is red in the frame i have no idea doesn't seem to say here but it does say two
669900	673580	semi-transparent irregular shaped orange areas overlay the back imagery
679880	690340	Okay. I would call that anomalous and unidentified. Here we go to Greece, 2023, an accompanying mission report, making multiple.
690340	705160	This one, folks, is probably, for me, the most impressive of all of the videos that were released because there is no observable parallax effect where the background sort of moves faster due to the camera zoom.
705960	712140	The background seems at one point stationary, but this object traveling apparently at around 80 miles an hour.
712680	713640	Yeah, yes.
713840	714560	Oh, my God.
714760	718440	This thing does right angle turns at 80 miles an hour.
718500	719420	Now, I did some research.
720340	723440	any conventional aircraft to perform the same maneuver,
724240	725660	not including a drone,
726400	727880	but even a drone, you know,
727880	729840	wouldn't behave in this way, I don't think.
730260	733140	But conventional aircraft take about 20 to 30 seconds
733140	734660	to perform a right angle turn.
734880	736060	So here we go.
736220	737380	Check this out.
737420	738640	Right in the first few seconds,
741740	743180	right there on the bottom and boom,
743920	745560	right angle turn stops, comes back.
747200	749740	Now it looks like there's a bit of movement happening.
750380	752380	Like the camera's moving, but now the camera's stable.
753280	754060	And look at that.
754100	755580	It just bounces back and forth.
758980	763420	Now the camera's moving with it, but it's still...
766840	769180	I mean, this acceleration is crazy.
769200	769720	Look at that.
771300	772840	Back and forth it goes.
776360	779660	Seems like it's having a hard time locking on the object as well.
781980	785140	This thing is just playfully whizzing about.
791160	794740	I haven't got a lock on it, but it does seem to be tracking it here as it moves.
794920	797100	Oh, and there's a lock happening.
799080	799480	Boom.
800560	801860	They've locked in on the target.
801900	802620	Let's see what happens.
807500	809080	It seems to be behaving now.
810340	811100	I got caught.
812320	814740	Time to just fly in a straight line like a duck.
823660	824820	Incredibly interesting, though.
831840	834320	We have some type of overlay effect happening.
834380	837360	I don't know if that's in post or if that's the sensor itself
838980	845800	trying to perhaps use a different sensor or measuring device
845800	850120	or just increasing the contrast so that we can see the object better
850120	853220	as it gets further away from the camera seemingly.
853660	855140	And then we've lost it here.
855280	857300	So I don't know whether that's because of the distance,
857980	860840	the focus, or did it go underwater?
862700	863560	I don't know.
863580	864540	Do we find it again?
865320	871540	I can imagine the shock of the person manning this drone or whatever it is.
872340	876060	Seeing those initial movements must be very alarming.
877040	880980	This to me stands out as probably the most important of all the videos.
881080	882160	Let's go back to the beginning here.
882260	883380	I just want to see this one more time.
883540	885160	You see it come up in a frame here.
886320	887040	There it is.
887160	890460	And then boom, hits the 90 degree, comes back.
891620	899860	notice the background now is slightly moving but now we've stopped right and look immediately does
899860	907660	does these incredible maneuvers like what is this could this be a very high-powered drone
909060	917100	no way of knowing i know that if you're in the middle of the ocean your drone needs to be
917100	925500	connected to something, whoever's controlling the drone. And the bandwidth or the ability to
925500	934260	control a drone, it probably has some distance limitations. And I don't know where this is. It
934260	941660	says Greece, but who knows where this is in a lake or in an ocean. Very interesting to find out.
941660	947840	But regardless, probably the most important of all of them, I think, so far.
948080	949880	On to the next we go.
950140	951480	So that one was in Greece.
955460	957480	This one also in Greece.
957580	960720	Can we look at the dates compared to the other one here?
963540	965620	Incident date, no date given.
965680	966020	Okay.
966660	967520	It's 2023.
967980	968500	2023.
972240	974220	All right, let's just have a look at this video here.
980140	980500	Okay.
984560	986340	Seems to be moving in a straight line.
987040	988380	Whoa, what are those other ones?
989060	989860	What's going on here?
994880	996960	We're tracking the one thing, but what about those other?
997060	998600	Oh, those might be boats.
998740	1001140	I thought we were looking at the sky for a second.
1001660	1003100	And it seems like we're looking downwards.
1003240	1004000	Let's look at that again.
1004140	1008520	So where I thought we were looking up, we're actually observing the water here.
1008640	1011320	So those are probably, these are probably boats in the water.
1011380	1015220	But this one, can't tell if it's flying under the clouds or above.
1018800	1021400	Yeah, it does seem to be traveling rather rapidly.
1022000	1026920	You know, we have, we have comparison here.
1027020	1029080	We have perspective with the land now.
1029080	1034180	And so that thing does look like it's moving quite rapidly.
1034360	1041960	And coming from the water again, can I just note, or those of you at home watching, just take a note.
1042040	1044840	How many of these are happening over bodies of water?
1046060	1048400	There's probably a substantial amount of them.
1049300	1056820	Ever raising my conviction on the 4chan whistleblower and the underwater deep sea mobile construction unit.
1056820	1059800	This one in the Middle East is what we're given here.
1059940	1060580	Oh, wow.
1062220	1064360	This looks like an Epstein file.
1067500	1072060	So it looks like some type of oil rigger in the middle of the ocean.
1073820	1075940	We got a flyby here happening.
1077840	1078740	Let's have a look.
1087500	1091660	Okay, there was something that entered the frame. Let me just go back here. Right there.
1104860	1113680	So something enters the frame right here. And let's see if our camera operator picks
1113680	1124100	that up as he zooms in. Now I think he's chasing the object. Do we see it anywhere? There at the
1124100	1129980	top of the screen by the redacted stuff. Okay, I don't know if this is the camera moving,
1130720	1134960	or if it's the object moving. That's what's really hard to tell about these videos sometimes is that
1134960	1142380	you can't really see the camera seems to be stopped. But again, really hard to tell the
1144360	1155900	more. Oh, okay. If we could just see the ocean, we would know if this object was moving erratically,
1155980	1163760	or if that's just the camera operator trying to like track the object. If it's stationary,
1163900	1167900	or if it's moving in a straight line, these are things that would be really interesting to know.
1169900	1173560	and again all of the telemetry data as you can see is redacted
1174040	1178240	so not giving us much to go on in terms of distance in terms of speed
1181940	1184940	really hard to say what it is we are looking at
1206420	1210080	Now the shape of it is anomalous, right?
1210140	1213540	We're not seeing wings, any protrusions.
1214600	1218280	Seems to be ovoid-shaped, egg-shaped perhaps.
1222220	1225580	Okay, now we're seeing movement across the screen, so we are following.
1225620	1227240	It does seem like we're tracking this object.
1232440	1235780	and then something got redacted there not sure
1236720	1239700	more and more of these black boxes just keep appearing
1241380	1247040	and that's it okay so what i just want to see what this says here an area of contrast okay hold on
1247040	1253020	area of contrast re-enters the sensor field of view and when they say the area of contrast this
1253020	1255480	This is the UAP, by the way.
1255580	1258940	The area of contrast remains generally within the sensor field of view.
1259020	1261940	The sensor narrows its field of view to zoom in on the area of contrast.
1262240	1265720	The sensor further narrows its area in the field of view to zoom in on the contrast.
1265820	1271680	A blue reticle briefly appears on screen, but does not acquire a lock on the area of contrast.
