start	end	text
0	6100	Michael Masters, Dr. Michael Masters, a professor of biological anthropology at Montana Tech,
6340	10800	term that you coined the extra-tempestrial hypothesis or theory,
10960	15720	the idea that these beings that we're interacting with are essentially time travelers
15720	17920	and their crafts are essentially time machines.
18340	19220	Some of them, yeah.
19320	22920	And you can see these patterns reemerge over and over again from these cases.
23020	26840	And what it seems to indicate is that they're not just us from the future,
26840	30560	But they're asked from a lot of different points in that future.
30820	34960	You know, this brings me to something I wanted to talk to you about and something you've talked about before.
35120	38240	About an interaction you had at a conference a few years ago.
38420	39260	Multiple interactions.
39300	39680	Yes.
39720	44780	Where the high strangeness began is with a UFO encounter.
45140	47500	I was kind of called out to look at them.
47720	50600	I'd say compelled. It wasn't like I was instructed or anything.
50840	53640	And then they flew off at high speed.
53800	56360	So I was full on wanting to quit.
56840	64040	So not long after that UFO encounter, I had this telepathic interaction with these entities.
64220	71600	And then that fall of 2022 is when I gave a talk at the International UFO Congress.
71800	73560	I was taken up to a room.
73820	79920	A stranger comes out, puts his chair right up against mine face to face,
79920	81620	and then tells me,
82700	85060	we know you've been thinking about quitting lately
85060	87100	and we'd prefer you not do that.
87200	88660	Problem is I didn't tell anybody that.
88840	89900	But yeah, that's essentially what was happening.
89900	91060	There was something speaking through him.
91160	92440	And not just something, Chris.
92600	93440	This is the important part.
93540	95440	It was the same entities
95440	98820	whom I have had multiple interactions with since.
99300	101720	They said through him, once you know who we are,
101820	103140	you'll know how we know that.
103420	106060	Three women came out onto the balcony at one point
106060	109160	and were sort of made to turn and walk back inside.
110060	111280	What do you mean made to turn?
111520	115000	None of us, at this point they came out, none of us were moving our mouths.
115740	118740	He turned and said, can you close the door?
119000	119880	Like, that's all I remember.
120140	124340	And all three of them turned at the exact same time, walked back inside, closed the door.
124400	127480	Nobody came out the whole rest of the time that this was taking place.
127760	132140	They eventually put me into a sort of trance where my eyes were open.
132520	134460	Everything was black, so I couldn't see.
134700	135260	It went black?
135580	136900	Yeah, and they told me that would happen.
137020	138180	This is what will happen.
139920	141680	You won't have access to the information.
142160	146540	You'll still have your eyes open, but everything will go black from top to bottom.
146660	149180	And then you'll start to see and feel information.
149300	150560	That is exactly what happened.
151680	152860	I did see the information.
153240	156120	It did go in my brain like a freaking fire hose.
