start	end	text
0	8060	In June 2015, Sergeant First Class Jeremy Weeks, a 20-year veteran of the United States Army who worked in field artillery radar,
8340	14900	was driving with his wife and two children along a desolate stretch of highway on their way to their new home in Colorado Springs.
15400	23780	As they entered a dense wall of mist, the radio began to cut out and the truck started to experience violent electrical surges.
24680	25960	Then directly above their vehicle,
26160	29800	a massive disc spanning the size of several football fields
29800	32860	descended silently out of the fog
32860	37880	and hovered momentarily before it shot off at an unimaginable speed.
38620	41120	Shaken, the family pulled into a nearby rest stop,
41260	43520	and that's where they realized that something was wrong
43520	46860	because they were missing nearly three hours of time.
47080	49980	The following night, Jeremy awoke not in his bed,
50060	52460	but standing in the motel bathroom,
53780	56640	in one hand, the motel receipt in the other.
56780	58280	And on the back of that receipt
58280	60880	was a strange series of squares and lines,
61720	63620	something he had no memory of drawing.
63920	65840	The symbols didn't stop there.
66040	69880	More appeared over the following days, weeks, and months.
70160	72200	It wasn't until the material was examined
72200	74560	by researcher Linda Moulton Howe
74560	77280	and later handed to scientist and geneticist
77280	78720	Dr. Horace Drew for analysis
78720	82120	that the full implications became clear.
83820	87980	appeared to be a novel way of visualizing a binary system,
88160	91700	a multiplex code that allows for layered information
91700	93960	to be hidden within a simple format.
94140	96940	But that wasn't the most disturbing part.
97240	99760	You see, the messages also appeared to be a warning.
99880	101300	And according to the translation,
102180	104560	they were heralding an incoming alien invasion.
105440	107660	Jeremy first appeared with a disguised voice
107660	110840	in an interview with Linda on the Gaia YouTube channel
110840	112280	nearly eight years ago.
113820	120280	time he is revealing his identity publicly and sharing the next phase of his ongoing communication
120960	126640	with the beings known only as the council strap yourselves in i would highly advise that you
126640	133400	suspend your disbelief for the following few hours and hear out what jeremy has to say now at the end
133400	138640	of this if you choose not to believe or believe that's entirely up to you and honestly i don't
138640	143560	think belief plays a major part in this at all i think gather the information and the data that's
143780	148320	to be provided for you, shelf it, catalog it, and then eventually hold it up to the light and see
148320	156480	what other connections we can make using that information. The story is, I was sitting in a
157460	163500	electric utilities parking lot in the middle of nowhere, San Luis Valley, Colorado. I hear the
163500	172740	strangest, most guttural noise. It sounded like a donkey had its neck slit by a laser or something.
173780	179660	freaking out. All of a sudden, a truck comes down the road. He pulls, I wave at him. I have all my
179660	187680	camera equipment out. So he sees what I'm doing, but he was effectively, um, you know, accusing me
187680	194840	of this or about to me. And so he raced off right over to where I heard it happen. He had a house
194840	199920	as I would come to find out. Cause I visited him two years later. Cause it took up courage to
199920	207100	to actually go and just visit this random house and ask this dude about if one of his animals was mutilated.
207320	215000	I confirmed with this rancher that what happened that night is his mare horse was mutilated.
215660	221300	Classic, no blood, took out the tongue, a couple other strange parts.
221460	223440	One hell of a memorable experience.
223480	226300	It happened a little bit after I saw a green orb, too.
227500	228560	All right, folks.
229920	233260	We got somebody very special here, somebody I'm excited to talk to.
233820	238280	This is retired Army Sergeant First Class Jeremy Weeks.
240040	246800	Jeremy, you've got a really interesting background and story, which we're going to get into today.
247120	249440	First of all, I want to thank you for coming here.
249520	249960	So thank you.
250020	250960	Thank you for having me.
251120	251820	Yeah, absolutely.
251820	268400	Absolutely. Jeremy, it's going to be this to some people watching and listening, you might be familiar to them, but to maybe most of the audience, obviously, they're not going to be familiar with you.
268400	277620	But you had an incident happen to you and your family in 2015, June 2015, I believe.
277820	279240	June 29th, 2015.
279240	279880	Yeah.
280000	284700	And that kind of changed your whole course of your life.
284840	291120	And subsequently, this was investigated by Linda Moulton Howe, among many others.
291380	295480	And eventually, you gave an interview under the pseudonym CJ.
295840	296480	Yes.
296480	297600	Sorry, first class CJ, yes.
297760	298180	That's right.
298400	305060	And so today, this is you basically coming out to the world saying that was you.
305420	306140	Yes, yes.
306640	309980	Okay, so let's start a little bit further back.
310860	319480	I do want to introduce you to the audience, and I want to bring them up to speed a little bit on sort of your trajectory now.
319480	326060	Now, you were in the Army from 2001 to 2021, served 20 years in the Army.
326160	329000	So you were still serving when this happened?
329440	330160	Correct, yes.
332080	337840	Okay, can you tell us a little bit about your background history and what you were in the Army for?
338040	338800	Can we start there?
339300	340040	Yeah, absolutely.
341360	344820	My job in the military was field artillery radar.
344820	354280	radar. Um, I, uh, chose this job because it, it just seemed like it was a challenge for me. And
354280	358380	I, and I wanted to do something more or less like a challenge, but I also wanted to be outdoors.
358980	365640	Uh, so I didn't want to do infantry. Um, that wasn't my forte. I wanted to be out there doing
365640	372500	something and creating, um, uh, an environment around me that was challenging. And so I chose
372500	378040	field artillery radar um because essentially we're like ford observers we're out there alone
378040	384420	by ourselves and uh trying to track uh enemy targets you know that sort of thing it was uh
384420	390120	exciting and uh i i stayed with that career i stayed with that job my entire career i never
390120	395300	changed it i stayed field artillery radar from the moment i joined to the moment i retired
395300	410020	So field artillery radar, that's basically signals. You're working with radar all the time. You're tracking all sorts of stuff and then you're relaying that back to your superiors. And you're doing this all over the world.
410360	411080	Right. Correct.
411200	415940	You've traveled to many locations. You want to name a few of the places that you've been and that you served?
415940	424800	Uh, South Korea, Poland, Germany, uh, Iraq, um, lots of different locations across the United States.
424940	425320	Yep.
425400	427720	Um, quite a few areas.
428160	428620	Yeah.
428640	430960	Well, I mean, might as well just address it post-military.
430960	432840	You also went into defense contracting.
433160	433780	Right, right.
433940	435740	For, do you want to say who for?
435960	436500	I mean, that's.
437160	447200	I was a defense contractor with a company that picks up a lot of field engineer type stuff.
447680	460780	And so I worked with a very well-known defense contractor that required me to travel across the United States, work on radar systems, and working in Iraq for a while.
460900	463940	Yeah. And you don't want to name who that contractor was?
463940	470980	us? Uh, it's up to you. I mean, it's gonna, it's probably out there. So yeah, I was with JBM,
471200	478560	um, which was a, a subcontractor for, um, Lockheed Martin. Lockheed Martin. Yeah. Um,
478620	484020	okay. So quite a substantial career, obviously being in war zones, being, uh, you know,
484040	493380	deployed during Iraq and, um, you know, had probably some, I mean, interesting run-ins over
493940	499700	and throughout your career, but nothing like what happened to you in 2015.
500280	500720	Right.
501840	504220	Can you tell us where you were going?
504400	507800	Now, I have this information here, but I just want you to kind of run through the story
507800	508520	if that's possible.
508740	509140	Oh, absolutely.
509360	515820	Going from A to Z, where you were going, what road, what time this happened, all the details
515820	517180	you can just so we can start there.
517500	517940	Absolutely.
518100	518120	Absolutely.
518300	518380	All right.
518380	523720	So within my job field, there's been several incidents that I just.
523940	528440	can't talk about. You've always wanted to, and you think about it in the back of your mind,
528540	534520	man, I wish I could tell people about this, but you can't. So a lot of things have been
535800	539240	quiet, silenced for me. Are you referring to like-
539240	541580	Prior military. Yeah, you're referring to prior military,
541640	544480	and you're referring to like anomalous activity? Correct.
544560	546900	Okay. Anomalous activities and
546900	552740	non-disclosure statements, and you can't discuss it until those non-disclosure statements expire.
553940	562840	So yes, I can't go into details with those, but just experiencing them over and over and over again and not being able to talk about them just drives you kind of crazy after a while.
565820	582000	So June 29th, 2015, I was on leave and my wife, my kids, family had packed up and we were moving from Georgia to Colorado Springs, Colorado.
583940	589440	we packed up, uh, we chose to drive at night to avoid a lot of the traffic because I had a large
589440	595100	cargo trailer I was pulling, uh, behind my truck. And, uh, it was easier on the animals and the kids
595100	598120	traveling at night because they're going to sleep. They're not going to drive you crazy.
598720	602880	And so it just makes it a little bit more comfortable ride for, uh, my wife and I.
603520	613740	And so we left, um, if I remember correctly around 8 PM and, uh, I set GPS, uh, brand new GPS,
613940	620240	I'd made sure everything was working. Um, and we, we, we planned our route. And so our route was to
620240	626200	Atlanta and we were planning on, uh, stopping just after getting through Atlanta and the chaotic
626200	636060	traffic, uh, in route, um, at some point, um, along our, along the highway, uh, GPS rerouted us,
636080	642160	um, North on, I believe it was interstate six or highway six, or I'm trying to remember the,
643940	647220	I didn't notice that I had veered off of the highway onto another highway.
647440	654060	I mean, I did essentially, but I thought it was part of the planned route because the GPS was taking us there.
654200	659100	So we pull off and start traveling down this other highway.
660000	671140	And we started noticing a lot of dense fog and a lot of surges within the power system of the truck, such as like my dash lights started to dim.
671440	673020	My headlights were dimming.
674020	677040	our radio signal lost all radio signals.
677360	680500	So we moved it to XM, like a satellite radio,
681300	683700	and we were listening to it for a short while
683700	685520	before it lost all kinds of signals.
685540	687820	We couldn't get any signal on XM satellite.
688040	691260	We couldn't get any signal on the radio.
691340	694120	So we ended up turning it off, just shutting it off.
694240	695500	We were, what the heck?
695540	696620	Why can't we get any signal?
697260	701500	So there was a lot of confusion going on
701500	703860	in the cab of the truck at the time as we're traveling.
705660	709560	that sometimes my headlights would just get really bright,
709680	710540	like almost I...
711820	712500	Surged or something?
712640	714140	Like I put on my brights or something,
714300	715740	and I didn't.
715740	717940	I checked, and my brights even got even brighter
717940	719160	when I flashed them.
719200	720600	I was like, no, no, it's not me.
720840	723020	So she's asking me, like, what are you doing?
723420	726240	Why are all the lights dimming, and what's going on?
726420	727380	And I was like, I have no idea.
727420	728440	Maybe there's some sort of...
729420	731220	I got some sort of electrical disturbance
731220	733120	in the engine compartment, maybe something.
734820	739980	shifted or vibrated and touched is messing up with my electrical system. I told her I might
739980	745420	have to stop and I have to like lift the hood and see what's going on here later. But we continued
745420	751180	down the road, kept running into the fog and things. Now this fog, how far was visibility
751820	756680	with this fog? Was it really dense or was it like just kind of like a mist or? Some of it was pretty
756680	760920	dense where I could only see about 20, 30 feet in front of the truck. So I had to slow down. Wow.
760920	761120	Wow.
761140	762120	Going through it.
762140	762500	Okay.
762560	766580	And then it would like lighten up and I could see further and I'd speed up again.
766660	768980	So, uh, this was going on for a little while.
