start	end	text
43040	46480	Ladies and gentlemen, I am very, very excited about tonight
46480	50160	because we got a stacked card, as they would say in the UFC.
50420	52660	Really good undercard, solid main event.
52880	56240	You guys have been left in the dark about who the guests are
56680	58460	because there are multiple guests tonight.
58500	59320	It's a really fun show.
59860	61480	I'm glad you all made it out.
61500	62200	You won't regret it.
64140	69460	I do want to bring some friends out here, really close friends of mine, actually some of my closest friends in this space.
69600	73560	And they've been really welcoming and they've been like brothers to me.
73940	79620	One of them has a successful YouTube channel on sort of consciousness and philosophy.
79800	84400	And the other one is a six time U.S. memory champion.
85940	89560	Yeah, wild. So we're going to have some really good conversations to get us started.
89560	98580	Ladies and gentlemen, please put your hands together for none other than Michael Phillip from Third Eyedrops and Nelson Delis.
107880	111380	Grab a seat, folks. Grab a seat. Any of those? I'm over here.
112460	116780	Let's get comfy. Don't mind this brazzers sign back there.
118040	119340	I'll tell you about it later.
120940	126520	ah this is nice this is nice this feels like i'm in like my living room here it's very comfortable
126520	132380	very cozy so um in a nutshell in a small nutshell we'll start with nelson can you
133020	138300	i mean you're an inspiration to me i met you years ago when i was doing magic stuff and i
138300	143480	was like desperate to like increase my skill in magic and i saw you on a netflix special
144080	148340	and then i reached out to you because you had done these insane memory feats like he
149580	153940	He'll be humble about it, but he's memorized like 10,000 digits of pi.
156860	165280	To give you a small hint on how hard that is, just to say the numbers, it could take him up to three hours.
166400	167120	It's not fun.
167540	168040	It's not fun.
168240	170220	So strap yourselves in.
171200	172260	How much time we got?
173760	176080	Nelson, tell us about what you do.
176080	181860	Yeah, so my whole shtick is I learned how to memorize things.
182040	183480	I never really had a good memory.
183760	190180	My grandmother passed away from Alzheimer's, which was unfortunate and a whole thing our family went through.
190420	193580	But that was what inspired me to start working on my own memory.
193720	201780	I didn't know what that meant, but I discovered that there are memory championships and that people who compete in them train their memories.
201780	209620	I never thought that was a thing, but I was curious and learned how to do it and took it to the nth level.
209900	211000	Yeah, and here we are.
211120	214020	And you won which memory championship?
