start	end	text
1560	10720	Well, there's several, actually nine flying saucers, flying disks, that are out there of extraterrestrial origin.
11820	14360	People, you know, always said, well, how did you feel?
14460	17140	How did you feel going, how did you feel when you first looked at the craft?
18240	20920	It's not excitement. It's an ominous feeling.
21220	23340	It's just we're so used to something else.
23600	27180	It's like, you know, people say, well, that must have been so cool.
27260	29340	No, it was not cool at all.
30000	31520	I actually wanted to go back out.
32080	34100	It's a really creepy feeling in there.
34520	36500	Galileo was the project I was involved in
36500	38820	that dealt with the power and propulsion system of the craft.
39280	42320	This is where they talked about reverse engineering
44840	45880	extraterrestrial equipment.
46220	47880	This is when I really realized,
48240	52260	okay, we are reverse engineering something
53220	55340	that some other entities made.
55660	57960	You know, this is where it became real for me.
59200	61280	and if they have a machine
61820	64220	that is producing its own gravitational field
64220	68000	they really want to know how to make more of those
69300	71480	do you ever wish you could forget what you saw?
71620	72540	oh no, not at all
73000	73440	no
75540	77860	no, I want to see it again
77860	79940	I want to know more about
81860	82700	everything there
84660	86320	if you could ask somebody
87960	90700	who worked at S4 right now, right?
90740	92140	If you could talk to them right now,
93520	94620	what's something you'd ask?
94780	95720	What did you find out?
95880	98060	Where did we go from there?
98480	99900	I mean, tell me anything.
100280	102660	Tell me how was the power generated?
102940	105680	How did the components communicate to each other?
105920	108220	What range did they work at?
108240	109060	Just tell me anything.
109500	111380	Fill in any blank at all.
111780	114480	It's like having a crossword puzzle with nothing in it.
114520	117680	Just please put a letter anywhere and I'd be happy.
118420	125440	He rotates the emitter further than he did before, and a little black dot, a little ball forms there.
126300	130600	And as I walked out under the craft, I couldn't see the craft.
130880	134280	As I got closer to it, the craft just turned into sky.
134600	137720	What I was seeing was the light bending around the craft.
138880	140980	Imagine if you could control that.
142060	142620	Right?
143600	146020	You could do, I mean, what you could do.
147960	151820	If you could have taken one small item from the hangar with you, what would it be?
155040	156020	From the hangar.
157060	157880	Or from the lab.
167180	168960	That's kind of a trick question there.
169740	171780	Boy, I just don't want to get into that.
172060	172360	All right.
172480	172840	Okay.
172920	173340	All right.
173400	173580	Yep.
173580	181380	I mean, actually, to answer the question, I may have already done that.
184000	185300	Do you like the sound of your own voice?
185720	186820	Yeah, it's kind of weird.
186940	187160	Yeah.
187220	191020	I don't really like it, but I have to deal with it.
191200	192000	Yeah, no one does.
192900	194780	Well, especially after doing this documentary.
195820	196220	Yeah.
197740	201200	Do you ever get sick of watching yourself on video?
