start	end	text
27060	27880	Hey, Travis.
28060	29120	Hey, Bob. How's it going?
30000	30960	I haven't seen you in a while.
31260	31700	Yeah.
32880	34500	How long did it take you to get here?
35420	36140	Quite a while.
36260	40020	It was quite a trip, but I enjoyed the scenery.
41700	43280	What have you been doing these days?
43660	45280	Just working around the house.
46480	49720	As far as UFOs are concerned, as little as possible.
50040	52060	I hear you there.
52940	54000	Good afternoon, gentlemen.
54740	55400	Hello there.
55500	57340	Can I offer you guys some coffee, tea, water?
57740	59180	Oh, absolutely coffee.
60000	61700	I have the tea, sugar only.
62220	63000	Tea, sure.
63720	66980	If you want, we have a chocolate pie and an apricot pie.
67140	68200	I can come back later.
68340	68960	Apricot pie.
69180	70080	Yeah, you want a piece of that?
70140	70520	Okay, sure.
70560	71320	Never turn it down.
71460	71580	Yeah?
72020	72820	Apricot times two.
73140	73500	Okay.
73680	73960	Okay.
80060	82040	Hey, I always wanted to ask you something.
82660	83020	Yeah?
84420	89640	Yeah, the human-like beings that you saw.
89900	90240	Yeah.
90860	94540	What made you so sure that they weren't human?
95780	106460	Well, the sort of rigid, pre-planned movements, the controlled movements.
106920	110540	Oh, so they didn't move smoothly like that?
110540	117900	Like they should, but I'm in a panic, screaming, yelling, and everything.
118240	118520	Sure.
118560	119860	And they're just maintaining.
120380	125880	They're cool, calm, and collected, and just on task.
127180	131940	But physically, they just seem like a—
131940	135800	I think that was the intention, the plan.
135900	137680	Maybe to make you more comfortable.
138160	140320	Something to make me cooperate, yeah.
140540	147660	Yeah, it was. I recently looked at Fire in the Sky, the movie.
148120	153840	And in fact, I was trying to show my wife, Joy, your story.
154260	161880	And holy cow, there is so much contradicting information about everything.
162440	166920	Every single thing you look at tells a different story and they're all wrong.
166920	167120	Thanks.
167480	167800	Yeah.
167880	177080	Well, I understand that, you know, Hollywood dramatizations are not documentaries, but I think they went a little too far afield.
177760	179000	And they knew it.
179900	180940	Oh, they knew it?
181080	181260	Yeah.
181300	185640	They didn't put the part aboard the craft in the copy of the script that they gave me.
187180	187660	Really?
187900	188200	Yeah.
188880	190320	So, I mean, just to be clear.
190320	191740	They knew I wasn't going to like that.
191740	195780	The whole thing with you and the membrane and the dead bodies
195780	198280	and them drilling in your eye, none of that.
198400	200520	They just fabricated all that,
200600	202460	and you didn't know about that ahead of time.
202580	202820	Right.
205280	206320	That's unbelievable.
207460	210980	Well, there's a few things that could be classified
210980	212180	as a story device.
212900	215220	The membrane over the actor's face,
215400	218500	he's struggling to breathe, struggling to scream through it.
218500	226880	But I was, in my actual experience, feeling suffocated.
226880	236340	And, you know, how do you express that if you don't have the actor say something like, I can't breathe?
237260	239940	I think you're being generous.
240180	241520	Show it rather than tell it.
241600	241880	But, yeah.
241880	242000	Yeah.
242960	248580	You said it was a real, like a super humid environment where it was hard to breathe.
249340	249940	Yeah.
250700	257240	It was, it served the purpose of generating fear.
257640	263020	And that's probably as close as you can get for what they did there.
263020	272160	What was interesting to me is the size of the craft that you were in,
272240	275780	or if it was a craft or a base or whatever.
276840	279920	Because when you exited, when you got away,
280800	283840	and now I may have the story wrong myself,
284340	287680	when you walked out of the craft being led by this other being,
287780	290900	you were in some giant hangar with other crafts, right?
290900	298780	Even the craft we were coming out of seemed bigger than the way I remembered it when I approached it.
299080	301200	Did you think it was the same craft?
301620	302820	It was the same shape.
303080	303620	Okay.
303920	307460	But, you know, it's also the same shape as what you're reporting.
309580	321260	I've always been struck by reports, descriptions of your craft resemble what we saw more than
321260	323580	any other report that I've seen.
323780	325240	That's really interesting.
325620	332200	I rarely comment on other events or other people's reports, but that's one that
332200	335760	I've always found interesting and didn't mind saying before.
353220	355040	What caught my attention,
355740	358160	I think one of the times you were describing the craft,
358960	361220	it had archways in it.
361320	362480	Is that correct?
362800	363760	You saw some archways?
363760	373260	Well, the doorways and connecting surfaces between wall and ceiling and that sort of stuff weren't corners.
373440	375460	They, you know, were rounded.
375460	383720	But the craft itself, was it, the skin, was it made of archways?
383820	386140	Was it like a, looked like a support system?
386140	399560	Well, I was, it looked very angular from outside, from a distance, and I was preoccupied with the feeling of threat.
399740	402560	Yeah, I'm sure you didn't have time really to...
402560	404240	Study the architecture.
